strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_740,Bacillus,gun,Positive,Facultative Anaerobe,1.52
STR_591,Clostridium,month,Positive,Anaerobic,7.17
STR_748,Clostridium,machine,Negative,Facultative Anaerobe,2.84
STR_261,Streptococcus,never,Negative,Anaerobic,7.73
STR_775,Clostridium,detail,Negative,Aerobic,6.68
STR_336,Pseudomonas,people,Positive,Microaerophilic,3.1
STR_899,Pseudomonas,choose,Positive,Aerobic,2.84
STR_474,Clostridium,down,Positive,Anaerobic,4.77
STR_379,Staphylococcus,result,Positive,Aerobic,9.63
STR_172,Staphylococcus,police,Positive,Microaerophilic,1.35
STR_136,Lactobacillus,piece,Negative,Microaerophilic,1.5
STR_491,Lactobacillus,region,Negative,Microaerophilic,2.99
STR_854,Pseudomonas,sometimes,Negative,Microaerophilic,2.29
STR_276,Clostridium,movie,Negative,Facultative Anaerobe,5.32
STR_355,Clostridium,girl,Negative,Aerobic,6.8
STR_814,Staphylococcus,race,Negative,Microaerophilic,7.99
STR_838,Pseudomonas,recently,Negative,Facultative Anaerobe,5.13
STR_416,Bacillus,prove,Positive,Anaerobic,3.15
STR_382,Streptococcus,the,Negative,Aerobic,6.77
STR_170,Staphylococcus,woman,Positive,Anaerobic,1.69
STR_129,Lactobacillus,soldier,Negative,Microaerophilic,4.87
STR_222,Bacillus,those,Positive,Facultative Anaerobe,7.93
STR_281,Lactobacillus,support,Negative,Anaerobic,8.06
STR_117,Clostridium,south,Positive,Aerobic,5.48
STR_199,Streptococcus,enjoy,Positive,Anaerobic,6.89
STR_799,Pseudomonas,sign,Positive,Facultative Anaerobe,4.98
STR_707,Lactobacillus,process,Positive,Facultative Anaerobe,7.97
STR_456,Streptococcus,room,Positive,Anaerobic,1.17
STR_546,Staphylococcus,middle,Negative,Anaerobic,4.23
STR_320,Lactobacillus,strategy,Positive,Microaerophilic,7.35
STR_849,Streptococcus,camera,Positive,Anaerobic,7.08
STR_115,Bacillus,them,Negative,Aerobic,9.04
STR_236,Staphylococcus,reveal,Negative,Aerobic,3.94
STR_676,Streptococcus,without,Negative,Facultative Anaerobe,4.4
STR_540,Pseudomonas,property,Positive,Anaerobic,3.9
