strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_727,Pseudomonas,road,Positive,Facultative Anaerobe,1.51
STR_260,Bacillus,story,Negative,Anaerobic,1.85
STR_411,Bacillus,phone,Positive,Anaerobic,9.72
STR_914,Staphylococcus,both,Positive,Facultative Anaerobe,5.0
STR_560,Streptococcus,phone,Negative,Microaerophilic,6.71
STR_405,Bacillus,now,Positive,Facultative Anaerobe,7.29
STR_687,Clostridium,general,Positive,Microaerophilic,3.01
STR_411,Bacillus,senior,Positive,Aerobic,1.01
STR_333,Clostridium,travel,Negative,Anaerobic,9.31
STR_527,Bacillus,least,Negative,Facultative Anaerobe,8.18
STR_325,Streptococcus,sure,Positive,Microaerophilic,1.86
STR_357,Lactobacillus,necessary,Positive,Aerobic,2.26
STR_600,Streptococcus,push,Positive,Aerobic,2.55
STR_268,Pseudomonas,right,Negative,Facultative Anaerobe,2.35
STR_933,Pseudomonas,of,Positive,Facultative Anaerobe,3.32
STR_214,Pseudomonas,at,Negative,Aerobic,9.52
STR_103,Clostridium,civil,Positive,Microaerophilic,1.43
STR_488,Streptococcus,rather,Negative,Facultative Anaerobe,7.96
STR_884,Lactobacillus,century,Negative,Anaerobic,4.28
STR_200,Bacillus,decision,Negative,Microaerophilic,1.41
STR_800,Bacillus,water,Negative,Aerobic,7.19
STR_608,Staphylococcus,health,Negative,Aerobic,3.62
STR_141,Staphylococcus,hundred,Negative,Microaerophilic,1.27
STR_282,Streptococcus,make,Negative,Anaerobic,5.39
STR_441,Clostridium,identify,Positive,Anaerobic,3.64
STR_830,Clostridium,baby,Negative,Aerobic,1.61
STR_357,Streptococcus,test,Negative,Microaerophilic,5.75
STR_739,Clostridium,perform,Negative,Aerobic,6.75
STR_674,Clostridium,focus,Positive,Facultative Anaerobe,2.53
STR_396,Bacillus,put,Positive,Microaerophilic,6.35
STR_290,Streptococcus,he,Positive,Anaerobic,0.7
STR_979,Pseudomonas,growth,Positive,Facultative Anaerobe,8.73
STR_457,Pseudomonas,since,Negative,Microaerophilic,6.23
STR_384,Pseudomonas,article,Negative,Microaerophilic,9.46
STR_892,Clostridium,accept,Negative,Microaerophilic,2.84
STR_476,Staphylococcus,remember,Positive,Microaerophilic,8.04
STR_251,Streptococcus,area,Negative,Aerobic,9.0
STR_260,Clostridium,last,Positive,Microaerophilic,8.03
STR_487,Pseudomonas,exist,Positive,Microaerophilic,7.31
STR_908,Staphylococcus,building,Positive,Microaerophilic,3.67
STR_702,Pseudomonas,impact,Negative,Aerobic,6.07
STR_735,Pseudomonas,then,Negative,Aerobic,6.6
STR_126,Lactobacillus,capital,Negative,Microaerophilic,4.27
STR_272,Pseudomonas,not,Negative,Aerobic,2.27
STR_606,Pseudomonas,phone,Negative,Anaerobic,7.56
STR_496,Clostridium,candidate,Negative,Facultative Anaerobe,2.9
STR_848,Clostridium,city,Negative,Anaerobic,8.38
STR_338,Clostridium,drug,Negative,Aerobic,9.34
STR_778,Staphylococcus,six,Positive,Microaerophilic,0.63
STR_998,Streptococcus,note,Negative,Facultative Anaerobe,2.91
STR_325,Lactobacillus,great,Negative,Microaerophilic,3.81
STR_452,Pseudomonas,within,Positive,Aerobic,8.54
STR_530,Bacillus,choose,Negative,Aerobic,3.09
STR_832,Pseudomonas,stage,Positive,Anaerobic,9.8
STR_270,Clostridium,every,Negative,Microaerophilic,8.31
STR_706,Streptococcus,radio,Negative,Facultative Anaerobe,2.88
STR_788,Staphylococcus,beat,Positive,Aerobic,4.18
STR_285,Streptococcus,race,Positive,Microaerophilic,5.18
STR_639,Clostridium,plant,Negative,Microaerophilic,2.67
STR_177,Lactobacillus,bank,Positive,Facultative Anaerobe,5.61
STR_199,Streptococcus,since,Positive,Microaerophilic,4.75
STR_288,Clostridium,family,Negative,Facultative Anaerobe,9.07
STR_183,Pseudomonas,arrive,Positive,Aerobic,3.1
STR_763,Bacillus,toward,Positive,Microaerophilic,8.99
STR_227,Clostridium,sort,Positive,Facultative Anaerobe,5.2
STR_975,Streptococcus,son,Positive,Microaerophilic,4.57
STR_641,Clostridium,seek,Positive,Microaerophilic,8.96
STR_461,Staphylococcus,laugh,Positive,Aerobic,3.86
STR_788,Clostridium,court,Negative,Anaerobic,4.67
STR_817,Staphylococcus,fire,Negative,Microaerophilic,9.91
STR_962,Streptococcus,new,Positive,Aerobic,6.81
STR_750,Pseudomonas,statement,Negative,Anaerobic,0.85
STR_426,Clostridium,character,Positive,Facultative Anaerobe,8.04
STR_757,Pseudomonas,traditional,Negative,Microaerophilic,1.85
STR_655,Lactobacillus,eat,Negative,Facultative Anaerobe,0.78
STR_312,Bacillus,phone,Negative,Aerobic,1.92
STR_706,Lactobacillus,dog,Negative,Aerobic,3.62
STR_720,Staphylococcus,structure,Negative,Anaerobic,8.94
STR_169,Clostridium,know,Negative,Microaerophilic,4.45
STR_229,Clostridium,central,Positive,Facultative Anaerobe,7.84
STR_800,Clostridium,small,Negative,Microaerophilic,2.64
STR_213,Pseudomonas,from,Negative,Microaerophilic,8.08
STR_842,Staphylococcus,east,Positive,Microaerophilic,4.1
STR_507,Pseudomonas,run,Positive,Microaerophilic,5.81
STR_207,Pseudomonas,rock,Negative,Aerobic,1.81
STR_254,Pseudomonas,trade,Positive,Facultative Anaerobe,9.43
STR_944,Staphylococcus,eight,Negative,Anaerobic,9.79
STR_196,Bacillus,ever,Negative,Microaerophilic,2.8
