strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_723,Pseudomonas,former,Negative,Aerobic,3.67
STR_931,Lactobacillus,everybody,Positive,Anaerobic,2.56
STR_621,Streptococcus,statement,Negative,Microaerophilic,9.83
STR_529,Clostridium,popular,Positive,Anaerobic,6.07
STR_795,Clostridium,similar,Positive,Anaerobic,7.24
STR_284,Bacillus,where,Negative,Anaerobic,8.72
STR_560,Bacillus,fall,Positive,Anaerobic,9.02
STR_158,Pseudomonas,deal,Negative,Microaerophilic,0.63
STR_762,Bacillus,both,Positive,Aerobic,1.77
STR_556,Staphylococcus,only,Positive,Microaerophilic,3.02
STR_369,Streptococcus,answer,Positive,Microaerophilic,8.26
STR_996,Clostridium,simple,Negative,Aerobic,9.13
STR_730,Lactobacillus,low,Negative,Anaerobic,8.56
STR_772,Pseudomonas,network,Negative,Aerobic,1.9
STR_675,Lactobacillus,number,Negative,Facultative Anaerobe,1.2
STR_752,Pseudomonas,front,Positive,Anaerobic,6.49
STR_325,Lactobacillus,ready,Negative,Anaerobic,0.97
STR_978,Staphylococcus,walk,Negative,Aerobic,4.08
STR_236,Streptococcus,plan,Negative,Facultative Anaerobe,1.42
STR_605,Bacillus,story,Negative,Microaerophilic,2.02
STR_124,Pseudomonas,push,Positive,Aerobic,7.63
STR_804,Lactobacillus,offer,Positive,Anaerobic,7.83
STR_287,Clostridium,serious,Positive,Anaerobic,2.22
STR_193,Lactobacillus,behavior,Negative,Facultative Anaerobe,5.34
STR_472,Staphylococcus,require,Positive,Microaerophilic,8.54
STR_198,Streptococcus,full,Positive,Facultative Anaerobe,7.77
STR_622,Staphylococcus,consider,Negative,Aerobic,3.0
STR_838,Bacillus,ready,Negative,Aerobic,4.34
STR_950,Pseudomonas,law,Positive,Aerobic,2.32
STR_191,Streptococcus,cultural,Negative,Microaerophilic,2.58
STR_946,Streptococcus,position,Positive,Aerobic,2.63
STR_423,Pseudomonas,learn,Negative,Microaerophilic,1.95
STR_617,Clostridium,state,Negative,Facultative Anaerobe,8.2
STR_579,Lactobacillus,west,Positive,Microaerophilic,9.28
STR_103,Streptococcus,issue,Positive,Aerobic,8.81
STR_406,Bacillus,agree,Negative,Microaerophilic,7.71
STR_635,Clostridium,test,Positive,Anaerobic,7.12
STR_354,Streptococcus,safe,Negative,Microaerophilic,9.28
STR_450,Pseudomonas,left,Negative,Anaerobic,5.88
STR_207,Bacillus,and,Negative,Anaerobic,1.79
STR_438,Streptococcus,attorney,Negative,Facultative Anaerobe,4.03
STR_205,Lactobacillus,worker,Positive,Microaerophilic,4.99
STR_720,Staphylococcus,entire,Positive,Facultative Anaerobe,9.22
STR_444,Staphylococcus,mean,Positive,Microaerophilic,0.53
STR_926,Bacillus,water,Negative,Aerobic,9.55
STR_370,Clostridium,memory,Negative,Aerobic,7.41
STR_611,Bacillus,occur,Negative,Anaerobic,5.43
STR_742,Pseudomonas,line,Negative,Facultative Anaerobe,6.4
STR_132,Bacillus,bad,Negative,Anaerobic,3.89
STR_137,Clostridium,sense,Positive,Anaerobic,3.3
STR_205,Streptococcus,record,Negative,Facultative Anaerobe,7.76
STR_329,Bacillus,range,Positive,Facultative Anaerobe,1.63
STR_450,Lactobacillus,ok,Positive,Microaerophilic,9.76
STR_703,Staphylococcus,resource,Negative,Microaerophilic,8.07
STR_106,Lactobacillus,season,Negative,Microaerophilic,8.53
STR_729,Bacillus,character,Positive,Anaerobic,7.49
STR_994,Bacillus,guess,Negative,Microaerophilic,0.98
STR_361,Streptococcus,spring,Positive,Anaerobic,5.53
STR_274,Lactobacillus,around,Negative,Aerobic,2.08
STR_325,Streptococcus,through,Positive,Anaerobic,1.09
STR_423,Lactobacillus,across,Positive,Microaerophilic,4.31
STR_441,Streptococcus,ago,Positive,Aerobic,3.26
STR_997,Streptococcus,small,Negative,Facultative Anaerobe,3.65
STR_623,Clostridium,voice,Negative,Anaerobic,3.94
STR_914,Clostridium,table,Negative,Facultative Anaerobe,4.95
STR_186,Staphylococcus,child,Negative,Anaerobic,7.68
STR_850,Staphylococcus,drop,Negative,Aerobic,8.49
STR_550,Staphylococcus,radio,Positive,Anaerobic,5.35
STR_673,Staphylococcus,them,Negative,Anaerobic,9.69
STR_419,Staphylococcus,participant,Negative,Microaerophilic,8.32
STR_683,Bacillus,realize,Positive,Facultative Anaerobe,4.78
STR_197,Clostridium,three,Positive,Facultative Anaerobe,9.67
STR_547,Bacillus,yourself,Positive,Anaerobic,6.3
STR_933,Clostridium,particularly,Positive,Aerobic,3.26
STR_677,Streptococcus,whole,Negative,Anaerobic,6.41
STR_572,Lactobacillus,available,Negative,Aerobic,8.27
STR_886,Lactobacillus,force,Positive,Facultative Anaerobe,2.77
STR_572,Clostridium,enough,Positive,Facultative Anaerobe,8.57
STR_796,Clostridium,spend,Positive,Aerobic,3.17
STR_180,Bacillus,option,Negative,Aerobic,1.02
STR_416,Clostridium,perhaps,Positive,Facultative Anaerobe,4.25
STR_941,Pseudomonas,child,Negative,Facultative Anaerobe,0.92
STR_497,Streptococcus,even,Negative,Aerobic,6.54
STR_570,Lactobacillus,create,Positive,Anaerobic,0.84
STR_299,Bacillus,cultural,Negative,Microaerophilic,6.28
STR_501,Pseudomonas,painting,Negative,Facultative Anaerobe,7.6
STR_765,Staphylococcus,attention,Negative,Facultative Anaerobe,6.97
STR_519,Bacillus,site,Positive,Facultative Anaerobe,2.13
STR_564,Bacillus,good,Negative,Aerobic,7.65
STR_885,Pseudomonas,prove,Negative,Anaerobic,6.81
STR_847,Streptococcus,yard,Negative,Facultative Anaerobe,8.51
STR_216,Streptococcus,stop,Positive,Aerobic,8.45
STR_183,Clostridium,soon,Negative,Facultative Anaerobe,0.79
STR_342,Clostridium,example,Negative,Aerobic,4.43
STR_697,Lactobacillus,suggest,Negative,Anaerobic,9.3
STR_409,Streptococcus,buy,Positive,Anaerobic,0.99
STR_615,Streptococcus,society,Positive,Aerobic,8.1
STR_851,Clostridium,reduce,Negative,Anaerobic,8.2
STR_641,Bacillus,candidate,Negative,Microaerophilic,8.42
STR_392,Streptococcus,about,Negative,Aerobic,2.6
STR_700,Lactobacillus,kid,Positive,Aerobic,6.62
STR_791,Pseudomonas,region,Positive,Microaerophilic,9.54
STR_631,Clostridium,artist,Negative,Anaerobic,5.32
STR_114,Clostridium,visit,Positive,Aerobic,6.78
STR_632,Clostridium,movie,Negative,Microaerophilic,8.24
STR_467,Bacillus,apply,Negative,Aerobic,9.65
STR_707,Pseudomonas,song,Positive,Facultative Anaerobe,3.37
STR_320,Lactobacillus,bar,Positive,Facultative Anaerobe,7.46
STR_511,Staphylococcus,spend,Positive,Facultative Anaerobe,1.9
STR_439,Pseudomonas,good,Positive,Facultative Anaerobe,8.13
STR_499,Staphylococcus,consider,Positive,Microaerophilic,4.85
STR_855,Streptococcus,now,Negative,Aerobic,7.16
STR_743,Staphylococcus,material,Positive,Microaerophilic,3.03
STR_194,Clostridium,truth,Positive,Facultative Anaerobe,1.08
STR_482,Bacillus,support,Negative,Microaerophilic,7.66
STR_539,Lactobacillus,beat,Positive,Anaerobic,7.2
STR_644,Pseudomonas,investment,Positive,Facultative Anaerobe,1.58
STR_354,Lactobacillus,growth,Positive,Anaerobic,3.42
STR_179,Bacillus,since,Negative,Microaerophilic,3.31
STR_216,Lactobacillus,trade,Negative,Aerobic,5.15
STR_221,Bacillus,teacher,Negative,Microaerophilic,8.41
STR_973,Bacillus,north,Positive,Anaerobic,9.33
STR_982,Clostridium,bad,Positive,Anaerobic,4.69
STR_803,Staphylococcus,sign,Positive,Aerobic,2.81
STR_822,Clostridium,relationship,Negative,Facultative Anaerobe,8.07
STR_505,Bacillus,mouth,Negative,Aerobic,5.43
STR_696,Bacillus,example,Negative,Facultative Anaerobe,3.71
STR_289,Lactobacillus,during,Positive,Anaerobic,7.08
STR_188,Staphylococcus,senior,Positive,Microaerophilic,1.53
STR_226,Pseudomonas,pay,Negative,Microaerophilic,2.07
STR_184,Streptococcus,career,Negative,Facultative Anaerobe,2.31
STR_330,Pseudomonas,detail,Positive,Anaerobic,4.47
STR_920,Bacillus,other,Positive,Aerobic,5.06
STR_176,Streptococcus,account,Negative,Anaerobic,1.85
STR_507,Streptococcus,respond,Negative,Facultative Anaerobe,6.38
STR_368,Bacillus,age,Positive,Microaerophilic,9.72
STR_523,Clostridium,business,Negative,Microaerophilic,8.46
STR_555,Streptococcus,character,Negative,Aerobic,4.32
STR_640,Streptococcus,tell,Positive,Anaerobic,7.97
STR_919,Clostridium,relate,Positive,Facultative Anaerobe,4.01
STR_246,Pseudomonas,picture,Negative,Facultative Anaerobe,6.18
STR_199,Lactobacillus,or,Positive,Facultative Anaerobe,4.88
STR_603,Bacillus,federal,Negative,Aerobic,2.06
STR_703,Pseudomonas,knowledge,Positive,Aerobic,0.62
STR_756,Staphylococcus,give,Negative,Microaerophilic,9.04
STR_707,Streptococcus,boy,Negative,Aerobic,3.45
STR_390,Clostridium,rise,Positive,Aerobic,2.78
STR_258,Pseudomonas,pretty,Positive,Anaerobic,9.6
STR_943,Staphylococcus,wonder,Positive,Anaerobic,9.79
STR_991,Bacillus,whom,Negative,Anaerobic,2.84
STR_570,Clostridium,cup,Positive,Microaerophilic,6.32
STR_681,Pseudomonas,mean,Positive,Aerobic,4.81
STR_832,Pseudomonas,instead,Positive,Anaerobic,2.73
STR_885,Bacillus,run,Negative,Anaerobic,6.57
STR_291,Lactobacillus,computer,Positive,Aerobic,1.71
STR_905,Bacillus,significant,Negative,Anaerobic,6.9
STR_612,Clostridium,such,Positive,Anaerobic,3.7
STR_880,Bacillus,information,Negative,Aerobic,9.66
STR_473,Streptococcus,most,Negative,Facultative Anaerobe,1.8
STR_761,Lactobacillus,smile,Negative,Aerobic,6.68
STR_998,Lactobacillus,mean,Positive,Anaerobic,9.94
STR_439,Clostridium,tough,Positive,Microaerophilic,5.86
STR_458,Staphylococcus,admit,Positive,Anaerobic,4.84
STR_319,Clostridium,economic,Negative,Facultative Anaerobe,2.67
STR_597,Lactobacillus,security,Negative,Facultative Anaerobe,3.93
STR_202,Clostridium,rule,Positive,Aerobic,5.0
STR_880,Clostridium,imagine,Positive,Anaerobic,6.09
STR_209,Clostridium,less,Negative,Anaerobic,2.74
STR_558,Clostridium,local,Negative,Anaerobic,9.57
STR_915,Bacillus,unit,Positive,Aerobic,5.98
STR_192,Lactobacillus,tell,Negative,Microaerophilic,8.52
STR_532,Lactobacillus,much,Positive,Anaerobic,9.49
STR_750,Bacillus,Congress,Positive,Anaerobic,2.51
STR_774,Lactobacillus,receive,Positive,Microaerophilic,9.49
STR_447,Bacillus,herself,Positive,Aerobic,1.93
STR_845,Pseudomonas,choose,Negative,Aerobic,5.45
STR_600,Pseudomonas,hospital,Negative,Facultative Anaerobe,8.83
STR_692,Staphylococcus,baby,Positive,Microaerophilic,5.63
STR_852,Bacillus,spend,Positive,Facultative Anaerobe,2.24
STR_815,Clostridium,newspaper,Negative,Aerobic,7.21
STR_287,Lactobacillus,weight,Negative,Microaerophilic,6.77
STR_368,Staphylococcus,way,Positive,Facultative Anaerobe,2.35
STR_670,Pseudomonas,per,Positive,Microaerophilic,7.98
STR_455,Pseudomonas,require,Positive,Aerobic,3.29
STR_357,Streptococcus,lose,Positive,Microaerophilic,0.96
STR_345,Lactobacillus,like,Positive,Facultative Anaerobe,9.99
STR_192,Clostridium,rule,Negative,Facultative Anaerobe,4.22
STR_770,Clostridium,challenge,Positive,Facultative Anaerobe,9.88
STR_343,Staphylococcus,let,Positive,Aerobic,6.09
STR_224,Pseudomonas,coach,Negative,Facultative Anaerobe,8.35
STR_130,Lactobacillus,example,Negative,Microaerophilic,7.32
STR_922,Bacillus,front,Negative,Anaerobic,3.97
STR_497,Clostridium,start,Negative,Aerobic,5.04
STR_496,Lactobacillus,way,Negative,Microaerophilic,8.12
STR_624,Clostridium,those,Negative,Anaerobic,2.99
STR_960,Pseudomonas,yard,Positive,Facultative Anaerobe,0.85
STR_447,Bacillus,be,Negative,Aerobic,7.54
STR_204,Lactobacillus,act,Negative,Facultative Anaerobe,8.29
STR_704,Staphylococcus,animal,Negative,Facultative Anaerobe,7.57
STR_607,Streptococcus,determine,Negative,Microaerophilic,2.15
STR_801,Staphylococcus,represent,Negative,Facultative Anaerobe,8.57
STR_300,Staphylococcus,seat,Negative,Aerobic,0.6
STR_148,Streptococcus,already,Positive,Aerobic,4.66
STR_875,Lactobacillus,vote,Negative,Facultative Anaerobe,1.77
STR_420,Clostridium,investment,Positive,Anaerobic,3.97
STR_545,Staphylococcus,notice,Positive,Aerobic,6.78
STR_515,Pseudomonas,major,Positive,Anaerobic,2.97
STR_763,Staphylococcus,spend,Positive,Aerobic,4.2
STR_404,Streptococcus,must,Negative,Facultative Anaerobe,5.47
STR_706,Pseudomonas,form,Positive,Aerobic,3.56
STR_996,Clostridium,especially,Negative,Facultative Anaerobe,8.73
STR_231,Streptococcus,foot,Positive,Microaerophilic,3.67
STR_355,Staphylococcus,accept,Positive,Facultative Anaerobe,3.8
STR_555,Clostridium,face,Negative,Facultative Anaerobe,7.12
