strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_302,Streptococcus,thank,Negative,Aerobic,7.57
STR_238,Clostridium,great,Negative,Facultative Anaerobe,3.57
STR_755,Streptococcus,office,Positive,Microaerophilic,7.52
STR_504,Staphylococcus,manage,Negative,Aerobic,8.82
STR_380,Pseudomonas,general,Negative,Microaerophilic,6.62
STR_260,Streptococcus,white,Negative,Microaerophilic,2.63
STR_219,Pseudomonas,understand,Positive,Facultative Anaerobe,1.25
STR_417,Streptococcus,near,Negative,Facultative Anaerobe,3.24
STR_685,Pseudomonas,crime,Positive,Facultative Anaerobe,2.15
STR_351,Bacillus,century,Positive,Facultative Anaerobe,7.89
STR_228,Streptococcus,raise,Positive,Facultative Anaerobe,1.42
STR_369,Staphylococcus,seven,Positive,Facultative Anaerobe,0.59
STR_955,Staphylococcus,social,Negative,Microaerophilic,5.58
STR_320,Pseudomonas,evening,Negative,Facultative Anaerobe,0.73
STR_797,Staphylococcus,project,Negative,Microaerophilic,7.59
STR_138,Staphylococcus,describe,Positive,Facultative Anaerobe,8.02
STR_363,Pseudomonas,view,Negative,Facultative Anaerobe,5.76
STR_157,Streptococcus,pretty,Negative,Microaerophilic,8.55
STR_601,Clostridium,why,Negative,Aerobic,3.7
STR_809,Staphylococcus,turn,Positive,Anaerobic,1.75
STR_227,Clostridium,six,Positive,Facultative Anaerobe,4.63
STR_428,Staphylococcus,book,Positive,Facultative Anaerobe,7.25
STR_384,Streptococcus,question,Positive,Microaerophilic,1.25
STR_810,Streptococcus,either,Positive,Facultative Anaerobe,3.45
STR_652,Clostridium,mention,Negative,Facultative Anaerobe,6.8
STR_219,Clostridium,control,Positive,Aerobic,9.41
STR_922,Pseudomonas,fast,Positive,Microaerophilic,8.23
STR_275,Streptococcus,where,Negative,Microaerophilic,9.13
STR_128,Lactobacillus,short,Negative,Facultative Anaerobe,1.49
STR_639,Bacillus,different,Positive,Aerobic,1.03
STR_614,Staphylococcus,town,Negative,Microaerophilic,7.87
STR_925,Bacillus,sometimes,Positive,Aerobic,8.69
STR_715,Pseudomonas,few,Positive,Facultative Anaerobe,8.26
STR_594,Bacillus,break,Positive,Aerobic,5.96
STR_340,Pseudomonas,entire,Negative,Facultative Anaerobe,2.53
STR_228,Lactobacillus,much,Positive,Aerobic,8.02
STR_369,Pseudomonas,ground,Positive,Aerobic,1.95
STR_442,Clostridium,across,Positive,Facultative Anaerobe,8.97
STR_718,Clostridium,sea,Negative,Anaerobic,7.29
STR_970,Pseudomonas,issue,Positive,Aerobic,4.85
STR_121,Streptococcus,peace,Negative,Microaerophilic,2.45
STR_194,Clostridium,party,Positive,Microaerophilic,2.51
STR_235,Streptococcus,strong,Negative,Aerobic,5.25
STR_473,Staphylococcus,air,Positive,Facultative Anaerobe,3.84
STR_542,Staphylococcus,assume,Positive,Facultative Anaerobe,7.56
STR_203,Lactobacillus,final,Positive,Microaerophilic,6.54
STR_439,Lactobacillus,under,Negative,Aerobic,9.06
STR_437,Clostridium,need,Negative,Aerobic,6.55
STR_136,Bacillus,behind,Negative,Aerobic,8.06
STR_700,Bacillus,begin,Negative,Facultative Anaerobe,7.37
STR_819,Lactobacillus,discuss,Negative,Aerobic,3.5
STR_151,Pseudomonas,lose,Negative,Facultative Anaerobe,1.8
STR_808,Lactobacillus,the,Positive,Microaerophilic,8.29
STR_209,Streptococcus,day,Positive,Anaerobic,5.6
STR_828,Pseudomonas,window,Positive,Microaerophilic,4.06
STR_617,Clostridium,heavy,Negative,Aerobic,5.45
STR_823,Clostridium,attention,Negative,Facultative Anaerobe,3.99
STR_117,Clostridium,number,Positive,Facultative Anaerobe,6.1
STR_138,Clostridium,light,Negative,Microaerophilic,3.85
STR_469,Bacillus,citizen,Positive,Anaerobic,3.37
STR_660,Bacillus,certain,Positive,Facultative Anaerobe,8.72
STR_564,Lactobacillus,soon,Negative,Anaerobic,5.7
STR_246,Lactobacillus,development,Negative,Facultative Anaerobe,8.99
STR_942,Bacillus,public,Negative,Facultative Anaerobe,3.27
STR_231,Clostridium,way,Positive,Microaerophilic,6.04
STR_688,Pseudomonas,do,Positive,Anaerobic,9.9
STR_159,Bacillus,design,Positive,Facultative Anaerobe,7.34
STR_701,Pseudomonas,check,Negative,Aerobic,8.63
STR_535,Staphylococcus,would,Negative,Microaerophilic,5.84
STR_968,Staphylococcus,camera,Positive,Facultative Anaerobe,9.55
STR_372,Streptococcus,entire,Positive,Aerobic,5.76
STR_230,Pseudomonas,song,Negative,Microaerophilic,4.45
STR_895,Pseudomonas,recognize,Negative,Anaerobic,9.31
STR_522,Lactobacillus,head,Positive,Facultative Anaerobe,1.66
STR_962,Lactobacillus,fund,Positive,Aerobic,1.19
STR_561,Lactobacillus,space,Positive,Aerobic,0.89
STR_480,Bacillus,along,Positive,Aerobic,0.72
STR_816,Bacillus,statement,Negative,Facultative Anaerobe,3.43
STR_401,Staphylococcus,type,Negative,Facultative Anaerobe,1.18
STR_717,Lactobacillus,floor,Negative,Facultative Anaerobe,4.04
STR_502,Pseudomonas,thought,Positive,Microaerophilic,8.59
STR_979,Clostridium,cut,Positive,Facultative Anaerobe,7.96
STR_902,Staphylococcus,PM,Negative,Facultative Anaerobe,7.0
STR_383,Staphylococcus,maintain,Negative,Facultative Anaerobe,7.56
