strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_817,Lactobacillus,middle,Negative,Microaerophilic,6.5
STR_644,Streptococcus,fear,Positive,Aerobic,2.31
STR_835,Pseudomonas,more,Negative,Microaerophilic,1.03
STR_171,Pseudomonas,likely,Negative,Microaerophilic,5.92
STR_159,Pseudomonas,fund,Positive,Aerobic,4.9
STR_779,Pseudomonas,world,Positive,Facultative Anaerobe,5.47
STR_616,Streptococcus,guy,Positive,Facultative Anaerobe,9.25
STR_600,Bacillus,play,Positive,Aerobic,7.17
STR_342,Pseudomonas,similar,Positive,Aerobic,5.59
STR_534,Lactobacillus,those,Negative,Anaerobic,2.28
STR_171,Streptococcus,enough,Negative,Facultative Anaerobe,6.0
STR_803,Bacillus,party,Negative,Facultative Anaerobe,8.8
STR_204,Clostridium,different,Negative,Facultative Anaerobe,3.19
STR_546,Lactobacillus,parent,Positive,Facultative Anaerobe,4.42
STR_530,Lactobacillus,reach,Negative,Anaerobic,4.54
STR_663,Clostridium,we,Negative,Aerobic,2.72
STR_928,Bacillus,budget,Positive,Anaerobic,8.76
STR_787,Bacillus,many,Positive,Aerobic,6.48
STR_755,Clostridium,raise,Negative,Aerobic,1.78
STR_565,Clostridium,change,Negative,Microaerophilic,6.61
STR_767,Streptococcus,future,Negative,Anaerobic,8.62
STR_113,Lactobacillus,power,Negative,Aerobic,6.3
STR_593,Staphylococcus,account,Positive,Anaerobic,1.03
STR_651,Bacillus,job,Positive,Microaerophilic,3.84
STR_796,Staphylococcus,body,Negative,Facultative Anaerobe,6.48
STR_925,Bacillus,spend,Positive,Anaerobic,7.16
STR_841,Bacillus,above,Negative,Aerobic,5.7
STR_954,Clostridium,anything,Negative,Microaerophilic,0.67
STR_877,Pseudomonas,sit,Negative,Microaerophilic,8.62
STR_961,Lactobacillus,face,Negative,Facultative Anaerobe,7.42
STR_825,Pseudomonas,character,Negative,Anaerobic,3.65
STR_785,Pseudomonas,PM,Positive,Aerobic,4.64
STR_358,Pseudomonas,cover,Negative,Microaerophilic,0.85
STR_650,Lactobacillus,huge,Positive,Microaerophilic,1.29
STR_396,Pseudomonas,thing,Positive,Microaerophilic,5.29
STR_568,Streptococcus,hundred,Positive,Aerobic,7.65
STR_954,Bacillus,follow,Positive,Microaerophilic,1.49
STR_828,Pseudomonas,do,Positive,Anaerobic,5.36
STR_944,Lactobacillus,somebody,Positive,Aerobic,3.42
STR_714,Clostridium,such,Negative,Aerobic,9.64
STR_825,Lactobacillus,eat,Negative,Facultative Anaerobe,2.48
STR_643,Clostridium,hit,Positive,Anaerobic,2.54
STR_693,Streptococcus,under,Negative,Aerobic,3.61
STR_265,Clostridium,former,Negative,Microaerophilic,6.19
STR_101,Streptococcus,serve,Negative,Aerobic,2.67
STR_384,Streptococcus,character,Positive,Aerobic,1.16
STR_887,Bacillus,next,Positive,Microaerophilic,8.93
STR_774,Pseudomonas,somebody,Positive,Aerobic,8.01
STR_841,Lactobacillus,wide,Positive,Anaerobic,1.37
STR_350,Clostridium,would,Negative,Facultative Anaerobe,9.42
STR_891,Streptococcus,candidate,Negative,Microaerophilic,4.99
STR_348,Staphylococcus,out,Positive,Facultative Anaerobe,2.64
STR_630,Staphylococcus,understand,Negative,Facultative Anaerobe,7.23
STR_739,Streptococcus,specific,Positive,Microaerophilic,6.45
STR_179,Pseudomonas,age,Negative,Microaerophilic,6.45
STR_554,Bacillus,any,Positive,Facultative Anaerobe,0.56
STR_317,Streptococcus,serious,Positive,Anaerobic,9.09
STR_616,Streptococcus,ask,Positive,Aerobic,3.98
STR_295,Bacillus,couple,Positive,Aerobic,5.61
STR_844,Lactobacillus,figure,Negative,Microaerophilic,4.24
STR_622,Staphylococcus,give,Positive,Anaerobic,4.24
STR_427,Clostridium,color,Positive,Anaerobic,5.93
STR_897,Bacillus,law,Negative,Microaerophilic,7.75
STR_328,Staphylococcus,star,Negative,Anaerobic,8.86
STR_655,Streptococcus,start,Positive,Facultative Anaerobe,6.75
STR_719,Staphylococcus,design,Negative,Facultative Anaerobe,1.55
STR_340,Clostridium,safe,Negative,Aerobic,6.27
STR_298,Lactobacillus,buy,Negative,Aerobic,3.39
STR_901,Streptococcus,still,Positive,Anaerobic,5.87
STR_142,Pseudomonas,accept,Negative,Anaerobic,8.71
STR_360,Pseudomonas,visit,Negative,Aerobic,2.65
STR_696,Bacillus,head,Negative,Microaerophilic,1.39
STR_362,Pseudomonas,exactly,Positive,Facultative Anaerobe,8.72
STR_708,Pseudomonas,nature,Negative,Microaerophilic,4.13
STR_436,Staphylococcus,trade,Negative,Microaerophilic,6.49
STR_401,Bacillus,film,Positive,Facultative Anaerobe,7.26
STR_478,Bacillus,here,Positive,Aerobic,1.05
STR_726,Bacillus,happen,Positive,Facultative Anaerobe,0.56
STR_307,Pseudomonas,manager,Negative,Anaerobic,4.03
STR_137,Lactobacillus,large,Negative,Aerobic,2.98
STR_650,Lactobacillus,travel,Negative,Facultative Anaerobe,2.42
STR_127,Bacillus,town,Negative,Aerobic,2.85
STR_283,Pseudomonas,customer,Positive,Aerobic,3.89
STR_648,Clostridium,force,Positive,Aerobic,4.27
STR_535,Pseudomonas,industry,Positive,Microaerophilic,4.79
STR_319,Bacillus,evening,Negative,Aerobic,2.96
STR_546,Lactobacillus,enjoy,Negative,Facultative Anaerobe,9.48
STR_263,Staphylococcus,from,Negative,Anaerobic,7.77
STR_537,Staphylococcus,assume,Positive,Aerobic,6.16
STR_656,Pseudomonas,economic,Negative,Anaerobic,7.66
STR_605,Staphylococcus,follow,Positive,Anaerobic,7.81
STR_997,Clostridium,discover,Negative,Facultative Anaerobe,2.12
STR_576,Lactobacillus,letter,Positive,Microaerophilic,3.6
STR_230,Staphylococcus,paper,Negative,Anaerobic,8.99
STR_998,Streptococcus,exist,Negative,Facultative Anaerobe,5.47
STR_865,Bacillus,coach,Positive,Microaerophilic,2.26
STR_123,Pseudomonas,exactly,Positive,Microaerophilic,7.72
STR_133,Clostridium,of,Positive,Facultative Anaerobe,4.1
STR_335,Pseudomonas,box,Positive,Aerobic,3.67
STR_829,Streptococcus,bad,Negative,Aerobic,8.42
STR_643,Pseudomonas,peace,Positive,Anaerobic,8.55
STR_241,Clostridium,exactly,Negative,Aerobic,3.22
STR_223,Clostridium,nothing,Negative,Microaerophilic,6.84
STR_263,Streptococcus,nature,Positive,Facultative Anaerobe,8.52
STR_205,Clostridium,occur,Negative,Facultative Anaerobe,9.12
STR_423,Clostridium,billion,Positive,Anaerobic,2.66
STR_266,Lactobacillus,true,Positive,Facultative Anaerobe,4.97
STR_256,Lactobacillus,go,Positive,Aerobic,9.02
STR_590,Pseudomonas,edge,Positive,Microaerophilic,7.96
STR_293,Bacillus,pull,Positive,Anaerobic,2.78
STR_794,Clostridium,course,Positive,Microaerophilic,3.78
STR_807,Lactobacillus,hold,Negative,Aerobic,7.88
STR_884,Pseudomonas,none,Negative,Microaerophilic,5.68
STR_391,Streptococcus,religious,Positive,Facultative Anaerobe,6.9
STR_469,Pseudomonas,two,Negative,Facultative Anaerobe,9.73
STR_924,Streptococcus,bit,Negative,Aerobic,3.48
STR_157,Clostridium,safe,Negative,Anaerobic,5.22
STR_957,Streptococcus,shake,Negative,Microaerophilic,7.83
STR_241,Bacillus,old,Negative,Anaerobic,5.43
STR_676,Lactobacillus,lawyer,Positive,Microaerophilic,7.65
STR_467,Clostridium,wife,Positive,Microaerophilic,3.44
STR_587,Streptococcus,ask,Positive,Aerobic,0.99
STR_535,Clostridium,arm,Positive,Facultative Anaerobe,2.67
STR_656,Staphylococcus,report,Positive,Anaerobic,7.13
STR_129,Streptococcus,group,Positive,Anaerobic,9.6
STR_657,Lactobacillus,wear,Positive,Microaerophilic,9.96
STR_360,Streptococcus,article,Negative,Anaerobic,5.38
STR_992,Pseudomonas,Mr,Negative,Microaerophilic,6.98
STR_404,Bacillus,deep,Negative,Anaerobic,9.74
STR_855,Pseudomonas,institution,Positive,Facultative Anaerobe,6.55
STR_650,Pseudomonas,close,Negative,Anaerobic,2.79
STR_912,Pseudomonas,class,Negative,Microaerophilic,3.83
STR_453,Staphylococcus,see,Negative,Microaerophilic,5.15
STR_401,Streptococcus,we,Positive,Anaerobic,4.01
STR_281,Clostridium,send,Positive,Anaerobic,9.91
STR_852,Pseudomonas,happen,Positive,Microaerophilic,4.07
STR_455,Streptococcus,service,Positive,Aerobic,1.82
STR_396,Clostridium,tend,Negative,Anaerobic,4.36
STR_179,Clostridium,guess,Positive,Anaerobic,7.0
STR_597,Pseudomonas,relationship,Negative,Aerobic,1.2
STR_756,Streptococcus,subject,Positive,Microaerophilic,8.54
STR_111,Pseudomonas,direction,Positive,Facultative Anaerobe,9.9
STR_827,Lactobacillus,prove,Negative,Microaerophilic,8.71
STR_861,Clostridium,happy,Negative,Microaerophilic,8.22
STR_425,Bacillus,practice,Negative,Facultative Anaerobe,8.79
STR_615,Staphylococcus,light,Positive,Anaerobic,4.96
STR_717,Lactobacillus,great,Positive,Anaerobic,1.81
STR_128,Lactobacillus,bed,Positive,Aerobic,0.61
STR_964,Bacillus,enough,Positive,Aerobic,6.2
STR_496,Pseudomonas,with,Negative,Facultative Anaerobe,9.84
STR_855,Pseudomonas,lot,Positive,Facultative Anaerobe,5.07
STR_926,Bacillus,you,Positive,Aerobic,2.62
STR_991,Streptococcus,radio,Positive,Anaerobic,4.52
STR_691,Pseudomonas,laugh,Negative,Aerobic,0.74
STR_377,Streptococcus,government,Negative,Facultative Anaerobe,9.42
STR_275,Clostridium,also,Negative,Facultative Anaerobe,5.47
