strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_296,Lactobacillus,return,Positive,Microaerophilic,3.98
STR_797,Bacillus,movement,Positive,Aerobic,3.69
STR_102,Bacillus,water,Positive,Aerobic,3.35
STR_174,Staphylococcus,too,Positive,Facultative Anaerobe,6.36
STR_954,Bacillus,produce,Negative,Aerobic,3.99
STR_183,Pseudomonas,tax,Negative,Microaerophilic,1.63
STR_412,Staphylococcus,natural,Negative,Aerobic,9.66
STR_936,Staphylococcus,itself,Positive,Microaerophilic,2.72
STR_251,Bacillus,several,Positive,Anaerobic,2.24
STR_420,Staphylococcus,writer,Negative,Microaerophilic,8.23
STR_306,Pseudomonas,minute,Positive,Anaerobic,6.53
STR_686,Lactobacillus,produce,Positive,Anaerobic,9.34
STR_244,Streptococcus,future,Positive,Facultative Anaerobe,3.71
STR_935,Clostridium,happy,Negative,Aerobic,3.28
STR_745,Bacillus,think,Positive,Aerobic,9.64
STR_179,Clostridium,political,Negative,Aerobic,9.64
STR_575,Clostridium,hard,Negative,Anaerobic,9.48
STR_498,Pseudomonas,evening,Negative,Anaerobic,5.33
STR_956,Bacillus,without,Positive,Microaerophilic,7.83
STR_761,Streptococcus,which,Positive,Anaerobic,1.41
STR_705,Pseudomonas,pattern,Negative,Anaerobic,7.98
STR_186,Bacillus,magazine,Positive,Microaerophilic,8.53
STR_849,Streptococcus,medical,Negative,Anaerobic,5.04
STR_731,Streptococcus,shake,Negative,Facultative Anaerobe,9.97
STR_489,Bacillus,modern,Negative,Facultative Anaerobe,2.44
STR_373,Streptococcus,officer,Positive,Facultative Anaerobe,8.54
STR_873,Clostridium,strong,Positive,Microaerophilic,9.7
STR_201,Clostridium,decade,Positive,Anaerobic,3.54
STR_476,Lactobacillus,ever,Positive,Anaerobic,9.71
STR_229,Pseudomonas,section,Negative,Facultative Anaerobe,3.63
STR_368,Pseudomonas,toward,Positive,Facultative Anaerobe,1.7
STR_705,Lactobacillus,similar,Negative,Microaerophilic,7.68
STR_158,Lactobacillus,could,Positive,Facultative Anaerobe,5.1
STR_443,Pseudomonas,special,Positive,Aerobic,3.94
STR_996,Bacillus,before,Negative,Anaerobic,3.59
STR_477,Lactobacillus,clear,Negative,Anaerobic,9.71
STR_940,Staphylococcus,hold,Negative,Aerobic,7.13
STR_794,Bacillus,seek,Negative,Microaerophilic,7.73
STR_860,Bacillus,offer,Positive,Facultative Anaerobe,7.84
STR_103,Clostridium,cut,Positive,Microaerophilic,4.28
