strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_312,Bacillus,yes,Positive,Facultative Anaerobe,3.91
STR_376,Staphylococcus,for,Positive,Facultative Anaerobe,7.78
STR_266,Pseudomonas,certainly,Negative,Microaerophilic,4.93
STR_514,Bacillus,read,Negative,Aerobic,8.4
STR_881,Lactobacillus,rate,Positive,Facultative Anaerobe,5.81
STR_811,Clostridium,state,Negative,Aerobic,2.16
STR_124,Lactobacillus,impact,Positive,Microaerophilic,2.93
STR_303,Lactobacillus,use,Positive,Facultative Anaerobe,4.56
STR_719,Staphylococcus,herself,Positive,Facultative Anaerobe,9.01
STR_856,Pseudomonas,act,Positive,Anaerobic,8.48
STR_490,Streptococcus,country,Positive,Anaerobic,4.5
STR_994,Lactobacillus,entire,Positive,Aerobic,6.17
STR_766,Clostridium,catch,Positive,Facultative Anaerobe,6.68
STR_472,Clostridium,democratic,Negative,Facultative Anaerobe,3.24
STR_862,Streptococcus,camera,Negative,Aerobic,4.01
STR_690,Clostridium,why,Positive,Anaerobic,1.37
STR_525,Lactobacillus,certainly,Positive,Facultative Anaerobe,3.96
STR_523,Clostridium,near,Negative,Facultative Anaerobe,1.75
STR_115,Bacillus,service,Positive,Anaerobic,5.71
STR_181,Pseudomonas,father,Positive,Aerobic,5.58
STR_937,Clostridium,president,Positive,Aerobic,5.46
STR_687,Staphylococcus,figure,Negative,Microaerophilic,1.01
STR_243,Bacillus,friend,Negative,Anaerobic,8.86
STR_118,Lactobacillus,street,Positive,Aerobic,3.84
STR_125,Streptococcus,seven,Positive,Facultative Anaerobe,4.6
STR_862,Streptococcus,which,Negative,Microaerophilic,6.55
STR_426,Staphylococcus,foot,Positive,Aerobic,4.63
STR_857,Lactobacillus,recognize,Positive,Anaerobic,4.46
STR_791,Bacillus,piece,Positive,Aerobic,9.28
STR_583,Pseudomonas,a,Negative,Microaerophilic,0.68
STR_275,Lactobacillus,though,Positive,Facultative Anaerobe,6.3
STR_456,Lactobacillus,reduce,Positive,Facultative Anaerobe,3.02
STR_820,Staphylococcus,seat,Negative,Aerobic,6.61
STR_177,Bacillus,range,Negative,Anaerobic,8.36
STR_750,Pseudomonas,say,Negative,Microaerophilic,1.51
STR_522,Staphylococcus,present,Negative,Microaerophilic,8.34
STR_628,Staphylococcus,task,Positive,Aerobic,4.67
STR_864,Pseudomonas,dark,Negative,Microaerophilic,0.83
STR_748,Bacillus,huge,Positive,Microaerophilic,3.66
STR_978,Lactobacillus,white,Positive,Anaerobic,5.0
STR_338,Streptococcus,production,Negative,Anaerobic,4.0
STR_640,Lactobacillus,drug,Positive,Anaerobic,6.75
STR_742,Streptococcus,scientist,Positive,Microaerophilic,6.01
STR_828,Staphylococcus,time,Negative,Aerobic,1.58
STR_280,Bacillus,baby,Negative,Anaerobic,6.39
STR_615,Bacillus,manage,Positive,Facultative Anaerobe,4.62
STR_848,Staphylococcus,door,Positive,Facultative Anaerobe,4.94
STR_354,Lactobacillus,child,Positive,Anaerobic,7.34
STR_986,Streptococcus,land,Negative,Anaerobic,4.41
STR_837,Staphylococcus,could,Negative,Microaerophilic,5.89
STR_993,Bacillus,eat,Negative,Aerobic,9.54
STR_560,Lactobacillus,vote,Positive,Aerobic,6.23
STR_398,Streptococcus,building,Positive,Facultative Anaerobe,8.66
STR_517,Pseudomonas,picture,Negative,Facultative Anaerobe,3.74
