strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_621,Lactobacillus,see,Positive,Microaerophilic,0.82
STR_789,Bacillus,final,Negative,Anaerobic,8.59
STR_709,Lactobacillus,story,Positive,Aerobic,5.66
STR_719,Bacillus,including,Negative,Aerobic,6.69
STR_502,Staphylococcus,good,Negative,Aerobic,4.89
STR_778,Pseudomonas,throughout,Positive,Facultative Anaerobe,5.68
STR_625,Staphylococcus,fear,Positive,Facultative Anaerobe,7.08
STR_892,Bacillus,pattern,Positive,Microaerophilic,4.14
STR_207,Streptococcus,better,Negative,Facultative Anaerobe,1.25
STR_751,Bacillus,set,Negative,Aerobic,6.8
STR_661,Bacillus,environment,Negative,Anaerobic,0.68
STR_825,Streptococcus,child,Negative,Facultative Anaerobe,5.58
STR_125,Streptococcus,tonight,Positive,Anaerobic,2.91
STR_269,Pseudomonas,price,Positive,Aerobic,1.52
STR_635,Pseudomonas,possible,Positive,Aerobic,0.87
STR_970,Bacillus,beat,Positive,Anaerobic,0.61
STR_352,Lactobacillus,Republican,Positive,Aerobic,9.99
STR_348,Pseudomonas,successful,Positive,Microaerophilic,4.49
STR_439,Bacillus,support,Positive,Microaerophilic,5.81
STR_927,Streptococcus,data,Positive,Facultative Anaerobe,5.86
STR_263,Clostridium,run,Negative,Microaerophilic,8.66
STR_264,Lactobacillus,democratic,Positive,Anaerobic,1.37
STR_284,Clostridium,military,Negative,Aerobic,5.84
STR_141,Streptococcus,hard,Negative,Facultative Anaerobe,7.65
STR_818,Bacillus,us,Negative,Anaerobic,2.37
STR_579,Streptococcus,thus,Negative,Microaerophilic,4.16
STR_842,Pseudomonas,lose,Negative,Aerobic,1.0
STR_141,Lactobacillus,bit,Negative,Anaerobic,8.01
STR_161,Streptococcus,player,Negative,Microaerophilic,5.95
STR_987,Bacillus,yourself,Positive,Facultative Anaerobe,3.93
STR_455,Streptococcus,money,Negative,Facultative Anaerobe,7.65
STR_123,Pseudomonas,resource,Positive,Aerobic,4.99
STR_617,Lactobacillus,likely,Negative,Anaerobic,5.8
STR_618,Clostridium,news,Negative,Microaerophilic,4.85
STR_220,Pseudomonas,face,Negative,Aerobic,6.57
STR_593,Lactobacillus,other,Positive,Microaerophilic,1.7
STR_883,Lactobacillus,campaign,Negative,Microaerophilic,8.76
STR_205,Staphylococcus,door,Negative,Facultative Anaerobe,4.2
STR_506,Clostridium,measure,Negative,Anaerobic,8.96
STR_389,Lactobacillus,reflect,Positive,Anaerobic,2.19
STR_711,Streptococcus,growth,Positive,Aerobic,1.1
STR_382,Clostridium,character,Positive,Facultative Anaerobe,2.3
STR_654,Bacillus,go,Positive,Anaerobic,1.11
STR_217,Clostridium,garden,Negative,Aerobic,7.47
STR_628,Lactobacillus,behind,Negative,Anaerobic,4.0
STR_654,Streptococcus,account,Positive,Facultative Anaerobe,7.44
STR_621,Staphylococcus,tax,Negative,Aerobic,4.78
STR_162,Streptococcus,ten,Negative,Anaerobic,5.58
STR_719,Staphylococcus,score,Negative,Anaerobic,5.39
STR_629,Pseudomonas,exactly,Negative,Microaerophilic,6.66
STR_669,Staphylococcus,program,Positive,Aerobic,7.81
STR_779,Clostridium,trip,Positive,Microaerophilic,4.69
STR_793,Staphylococcus,worry,Positive,Facultative Anaerobe,2.83
STR_682,Pseudomonas,article,Negative,Facultative Anaerobe,1.44
STR_739,Staphylococcus,customer,Negative,Anaerobic,2.24
STR_574,Clostridium,your,Negative,Anaerobic,5.02
STR_864,Pseudomonas,right,Negative,Facultative Anaerobe,5.76
STR_919,Streptococcus,environmental,Positive,Facultative Anaerobe,2.94
STR_501,Bacillus,language,Positive,Facultative Anaerobe,7.58
STR_281,Bacillus,whose,Positive,Facultative Anaerobe,2.37
STR_238,Streptococcus,everyone,Negative,Aerobic,7.19
STR_557,Bacillus,well,Negative,Facultative Anaerobe,3.83
STR_967,Bacillus,question,Positive,Microaerophilic,7.08
STR_629,Streptococcus,real,Positive,Anaerobic,2.88
STR_545,Lactobacillus,arm,Negative,Anaerobic,5.16
STR_673,Staphylococcus,something,Positive,Facultative Anaerobe,5.69
STR_129,Lactobacillus,camera,Positive,Microaerophilic,9.75
STR_251,Staphylococcus,once,Negative,Anaerobic,3.45
STR_259,Streptococcus,lot,Positive,Anaerobic,1.93
STR_178,Pseudomonas,tonight,Positive,Facultative Anaerobe,4.13
STR_480,Clostridium,half,Positive,Facultative Anaerobe,6.98
STR_618,Lactobacillus,couple,Negative,Microaerophilic,5.01
STR_417,Pseudomonas,current,Negative,Aerobic,6.32
STR_711,Clostridium,on,Positive,Facultative Anaerobe,2.49
STR_439,Streptococcus,again,Positive,Anaerobic,1.83
STR_673,Bacillus,in,Negative,Anaerobic,2.01
STR_129,Pseudomonas,bad,Positive,Facultative Anaerobe,2.33
STR_750,Bacillus,his,Negative,Anaerobic,8.25
STR_251,Lactobacillus,strategy,Negative,Anaerobic,3.56
STR_812,Lactobacillus,cold,Positive,Anaerobic,3.62
STR_621,Pseudomonas,next,Negative,Facultative Anaerobe,4.48
STR_616,Lactobacillus,long,Positive,Microaerophilic,3.53
STR_740,Staphylococcus,last,Negative,Microaerophilic,4.83
STR_896,Streptococcus,above,Positive,Facultative Anaerobe,8.45
STR_945,Lactobacillus,financial,Positive,Facultative Anaerobe,3.25
STR_876,Pseudomonas,plan,Negative,Facultative Anaerobe,6.77
STR_696,Clostridium,kid,Negative,Facultative Anaerobe,8.29
STR_370,Lactobacillus,and,Negative,Microaerophilic,2.16
STR_880,Clostridium,item,Positive,Facultative Anaerobe,2.39
STR_170,Streptococcus,daughter,Negative,Facultative Anaerobe,3.65
STR_679,Clostridium,spring,Positive,Facultative Anaerobe,6.73
STR_752,Clostridium,walk,Positive,Aerobic,4.85
STR_864,Staphylococcus,well,Negative,Microaerophilic,2.99
STR_111,Clostridium,real,Positive,Microaerophilic,5.08
STR_955,Streptococcus,show,Positive,Aerobic,0.74
STR_908,Lactobacillus,admit,Positive,Facultative Anaerobe,8.37
STR_230,Clostridium,perform,Negative,Facultative Anaerobe,8.5
STR_463,Staphylococcus,still,Positive,Aerobic,0.62
STR_873,Clostridium,the,Positive,Anaerobic,9.95
STR_645,Clostridium,human,Positive,Microaerophilic,5.03
STR_805,Clostridium,nation,Negative,Microaerophilic,9.59
STR_332,Lactobacillus,guy,Negative,Facultative Anaerobe,6.66
STR_999,Lactobacillus,bed,Negative,Aerobic,0.62
STR_421,Streptococcus,speech,Negative,Aerobic,2.43
STR_329,Lactobacillus,suddenly,Positive,Aerobic,3.38
STR_524,Clostridium,reach,Positive,Anaerobic,6.46
STR_491,Pseudomonas,across,Positive,Aerobic,9.44
STR_554,Streptococcus,standard,Positive,Aerobic,5.0
STR_352,Clostridium,book,Negative,Aerobic,0.7
STR_301,Bacillus,now,Positive,Aerobic,5.54
STR_953,Staphylococcus,foreign,Negative,Microaerophilic,6.01
STR_717,Staphylococcus,these,Positive,Aerobic,6.7
STR_543,Staphylococcus,mission,Positive,Aerobic,5.65
STR_646,Clostridium,when,Negative,Anaerobic,8.03
STR_997,Pseudomonas,thing,Positive,Microaerophilic,6.45
STR_218,Pseudomonas,start,Positive,Microaerophilic,3.93
STR_759,Pseudomonas,call,Negative,Microaerophilic,8.34
STR_376,Lactobacillus,part,Negative,Anaerobic,7.73
STR_913,Lactobacillus,wall,Negative,Microaerophilic,3.82
STR_192,Staphylococcus,owner,Negative,Microaerophilic,3.67
STR_223,Clostridium,culture,Positive,Aerobic,3.2
STR_643,Lactobacillus,table,Negative,Facultative Anaerobe,6.81
STR_695,Bacillus,answer,Negative,Aerobic,7.52
STR_251,Clostridium,opportunity,Negative,Facultative Anaerobe,4.8
STR_510,Staphylococcus,doctor,Negative,Anaerobic,3.1
STR_726,Lactobacillus,beat,Negative,Aerobic,4.04
STR_287,Lactobacillus,staff,Negative,Anaerobic,4.19
STR_930,Clostridium,radio,Negative,Facultative Anaerobe,5.07
STR_369,Streptococcus,somebody,Positive,Microaerophilic,1.42
STR_711,Streptococcus,democratic,Negative,Aerobic,9.38
