strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_695,Pseudomonas,choose,Positive,Microaerophilic,5.18
STR_854,Bacillus,indeed,Positive,Anaerobic,7.34
STR_589,Pseudomonas,baby,Positive,Facultative Anaerobe,1.43
STR_769,Clostridium,picture,Positive,Aerobic,5.99
STR_675,Lactobacillus,morning,Positive,Facultative Anaerobe,0.93
STR_232,Streptococcus,red,Negative,Facultative Anaerobe,8.18
STR_940,Pseudomonas,player,Positive,Facultative Anaerobe,5.72
STR_533,Streptococcus,likely,Negative,Microaerophilic,2.74
STR_111,Pseudomonas,thousand,Positive,Microaerophilic,1.22
STR_184,Staphylococcus,movie,Positive,Facultative Anaerobe,6.22
STR_768,Bacillus,most,Negative,Anaerobic,7.08
STR_163,Staphylococcus,explain,Positive,Anaerobic,1.64
STR_279,Pseudomonas,concern,Negative,Microaerophilic,6.46
STR_905,Clostridium,himself,Positive,Microaerophilic,2.58
STR_275,Lactobacillus,and,Positive,Microaerophilic,3.32
STR_378,Clostridium,consumer,Negative,Facultative Anaerobe,1.8
STR_253,Bacillus,expect,Positive,Facultative Anaerobe,7.33
STR_637,Bacillus,service,Negative,Aerobic,6.87
STR_918,Lactobacillus,Democrat,Negative,Anaerobic,7.69
STR_740,Bacillus,tell,Positive,Microaerophilic,1.36
STR_364,Staphylococcus,day,Negative,Facultative Anaerobe,4.1
STR_982,Lactobacillus,apply,Negative,Microaerophilic,1.28
STR_846,Lactobacillus,war,Positive,Facultative Anaerobe,8.12
STR_498,Streptococcus,consumer,Positive,Anaerobic,7.81
STR_294,Pseudomonas,Mr,Negative,Aerobic,2.99
STR_343,Lactobacillus,kind,Negative,Aerobic,2.12
STR_901,Streptococcus,pattern,Negative,Facultative Anaerobe,7.22
STR_581,Pseudomonas,perform,Negative,Anaerobic,7.54
STR_893,Bacillus,individual,Positive,Facultative Anaerobe,0.67
STR_946,Bacillus,scientist,Negative,Microaerophilic,2.55
STR_585,Staphylococcus,travel,Negative,Microaerophilic,3.41
STR_855,Clostridium,certain,Positive,Facultative Anaerobe,4.56
STR_337,Staphylococcus,while,Positive,Anaerobic,8.44
STR_742,Staphylococcus,walk,Positive,Microaerophilic,2.77
STR_100,Clostridium,second,Negative,Microaerophilic,1.57
STR_259,Clostridium,unit,Negative,Facultative Anaerobe,6.27
STR_905,Staphylococcus,draw,Positive,Aerobic,2.5
STR_387,Pseudomonas,or,Negative,Facultative Anaerobe,6.62
STR_193,Clostridium,left,Negative,Facultative Anaerobe,1.34
STR_590,Streptococcus,anything,Negative,Facultative Anaerobe,7.24
STR_503,Streptococcus,couple,Negative,Aerobic,7.36
STR_763,Streptococcus,eye,Positive,Microaerophilic,9.5
STR_496,Clostridium,city,Negative,Anaerobic,2.05
STR_843,Clostridium,lawyer,Positive,Microaerophilic,1.76
STR_189,Pseudomonas,everybody,Negative,Anaerobic,7.31
STR_854,Bacillus,which,Positive,Anaerobic,8.28
STR_374,Bacillus,rise,Positive,Aerobic,3.83
STR_650,Streptococcus,short,Negative,Anaerobic,2.38
STR_950,Streptococcus,term,Positive,Microaerophilic,2.86
STR_174,Staphylococcus,kind,Positive,Facultative Anaerobe,1.9
STR_616,Staphylococcus,her,Negative,Aerobic,8.14
STR_854,Bacillus,myself,Negative,Anaerobic,8.07
STR_231,Bacillus,finish,Negative,Microaerophilic,6.68
STR_697,Pseudomonas,rise,Positive,Aerobic,8.88
STR_436,Staphylococcus,tough,Negative,Anaerobic,6.66
STR_588,Staphylococcus,old,Negative,Facultative Anaerobe,5.0
STR_596,Bacillus,cultural,Negative,Facultative Anaerobe,4.19
STR_201,Lactobacillus,mother,Negative,Microaerophilic,0.89
STR_102,Streptococcus,piece,Negative,Anaerobic,3.47
STR_647,Pseudomonas,seem,Positive,Aerobic,2.62
STR_406,Lactobacillus,particular,Negative,Aerobic,9.24
STR_668,Streptococcus,choose,Negative,Microaerophilic,2.61
STR_662,Bacillus,pass,Negative,Anaerobic,8.12
STR_874,Lactobacillus,assume,Negative,Anaerobic,6.53
STR_491,Pseudomonas,think,Positive,Anaerobic,3.0
STR_711,Staphylococcus,much,Negative,Aerobic,9.02
STR_782,Pseudomonas,eye,Negative,Facultative Anaerobe,1.75
STR_962,Staphylococcus,conference,Negative,Anaerobic,6.79
STR_477,Bacillus,wall,Negative,Aerobic,8.44
STR_264,Lactobacillus,common,Negative,Aerobic,3.45
STR_117,Staphylococcus,development,Negative,Microaerophilic,4.9
STR_894,Lactobacillus,bank,Positive,Anaerobic,9.86
STR_856,Pseudomonas,more,Positive,Aerobic,3.22
STR_112,Pseudomonas,sea,Positive,Aerobic,5.48
STR_554,Pseudomonas,building,Positive,Facultative Anaerobe,1.39
STR_544,Bacillus,near,Positive,Aerobic,4.27
STR_618,Streptococcus,agree,Positive,Aerobic,2.02
STR_138,Clostridium,against,Negative,Aerobic,3.66
STR_704,Pseudomonas,perform,Positive,Facultative Anaerobe,7.99
STR_439,Lactobacillus,role,Positive,Microaerophilic,3.12
STR_244,Bacillus,decade,Negative,Anaerobic,9.23
STR_332,Streptococcus,possible,Negative,Facultative Anaerobe,9.02
STR_279,Lactobacillus,husband,Positive,Microaerophilic,4.16
STR_972,Lactobacillus,husband,Negative,Aerobic,9.92
STR_773,Clostridium,around,Negative,Aerobic,7.89
STR_494,Pseudomonas,worker,Positive,Aerobic,2.94
STR_762,Streptococcus,later,Negative,Aerobic,9.57
STR_860,Bacillus,better,Negative,Facultative Anaerobe,3.62
STR_887,Staphylococcus,past,Positive,Microaerophilic,8.53
STR_262,Clostridium,crime,Positive,Anaerobic,1.18
STR_490,Clostridium,enough,Positive,Facultative Anaerobe,4.23
STR_300,Clostridium,run,Negative,Aerobic,5.37
STR_883,Clostridium,health,Positive,Facultative Anaerobe,9.5
STR_970,Clostridium,family,Positive,Facultative Anaerobe,4.8
STR_946,Clostridium,box,Negative,Facultative Anaerobe,3.39
STR_647,Clostridium,war,Positive,Facultative Anaerobe,5.48
STR_131,Lactobacillus,old,Negative,Anaerobic,5.21
STR_407,Staphylococcus,space,Negative,Aerobic,2.93
STR_775,Lactobacillus,war,Negative,Anaerobic,3.5
STR_459,Streptococcus,accept,Positive,Facultative Anaerobe,5.03
STR_599,Staphylococcus,simply,Negative,Anaerobic,5.04
STR_226,Clostridium,impact,Positive,Microaerophilic,7.33
STR_458,Bacillus,trial,Positive,Aerobic,1.13
STR_137,Streptococcus,never,Positive,Aerobic,5.48
STR_421,Streptococcus,leave,Positive,Anaerobic,6.55
STR_448,Pseudomonas,Democrat,Negative,Aerobic,9.17
STR_961,Streptococcus,might,Negative,Facultative Anaerobe,4.15
STR_591,Clostridium,second,Negative,Microaerophilic,4.11
STR_868,Pseudomonas,animal,Negative,Microaerophilic,8.42
STR_105,Clostridium,produce,Positive,Facultative Anaerobe,6.03
STR_641,Pseudomonas,once,Positive,Anaerobic,2.61
STR_607,Streptococcus,coach,Negative,Aerobic,6.14
STR_904,Pseudomonas,up,Positive,Microaerophilic,3.96
STR_706,Staphylococcus,new,Negative,Facultative Anaerobe,8.01
STR_287,Staphylococcus,him,Positive,Anaerobic,8.49
STR_619,Pseudomonas,own,Positive,Microaerophilic,1.43
STR_690,Pseudomonas,cold,Positive,Aerobic,1.11
STR_748,Lactobacillus,radio,Negative,Microaerophilic,6.52
STR_864,Bacillus,song,Negative,Facultative Anaerobe,3.68
STR_518,Bacillus,let,Negative,Anaerobic,10.0
STR_249,Streptococcus,morning,Positive,Facultative Anaerobe,5.77
STR_453,Pseudomonas,red,Positive,Anaerobic,7.41
STR_420,Clostridium,executive,Negative,Anaerobic,9.7
STR_628,Lactobacillus,pass,Negative,Microaerophilic,8.12
STR_689,Lactobacillus,action,Positive,Aerobic,6.93
STR_869,Clostridium,capital,Positive,Anaerobic,1.99
STR_484,Pseudomonas,occur,Positive,Facultative Anaerobe,8.44
STR_953,Streptococcus,form,Positive,Aerobic,4.75
STR_812,Pseudomonas,everyone,Negative,Microaerophilic,3.62
STR_830,Pseudomonas,his,Positive,Aerobic,2.39
STR_756,Staphylococcus,certain,Negative,Facultative Anaerobe,3.07
STR_516,Clostridium,high,Positive,Facultative Anaerobe,5.51
STR_996,Streptococcus,fast,Negative,Facultative Anaerobe,7.99
STR_100,Lactobacillus,card,Negative,Microaerophilic,6.73
STR_657,Bacillus,theory,Positive,Anaerobic,6.46
STR_765,Bacillus,it,Positive,Anaerobic,0.96
STR_265,Streptococcus,vote,Positive,Microaerophilic,2.21
STR_116,Pseudomonas,news,Negative,Aerobic,7.89
STR_930,Bacillus,conference,Positive,Anaerobic,6.06
STR_192,Streptococcus,six,Positive,Facultative Anaerobe,5.98
STR_272,Lactobacillus,rule,Positive,Aerobic,2.88
STR_432,Staphylococcus,dinner,Positive,Microaerophilic,5.56
STR_439,Streptococcus,purpose,Negative,Aerobic,3.49
STR_365,Staphylococcus,could,Positive,Facultative Anaerobe,3.44
STR_993,Streptococcus,manage,Negative,Facultative Anaerobe,0.57
STR_225,Pseudomonas,democratic,Positive,Aerobic,9.02
STR_752,Streptococcus,smile,Negative,Anaerobic,7.77
STR_460,Lactobacillus,community,Negative,Aerobic,1.52
STR_475,Bacillus,meeting,Positive,Facultative Anaerobe,8.48
STR_420,Streptococcus,to,Negative,Microaerophilic,5.98
STR_224,Staphylococcus,effect,Positive,Anaerobic,0.83
STR_880,Pseudomonas,between,Positive,Microaerophilic,5.02
STR_877,Pseudomonas,director,Negative,Microaerophilic,1.22
STR_219,Clostridium,this,Negative,Facultative Anaerobe,4.08
STR_327,Clostridium,our,Positive,Anaerobic,3.0
STR_984,Bacillus,hospital,Positive,Microaerophilic,8.12
STR_591,Staphylococcus,statement,Negative,Microaerophilic,2.05
STR_701,Streptococcus,glass,Negative,Anaerobic,0.7
STR_808,Streptococcus,share,Positive,Microaerophilic,4.31
STR_717,Staphylococcus,activity,Negative,Microaerophilic,9.2
STR_247,Streptococcus,several,Negative,Facultative Anaerobe,1.74
STR_895,Lactobacillus,than,Positive,Anaerobic,7.8
STR_691,Pseudomonas,song,Negative,Microaerophilic,6.01
STR_179,Clostridium,us,Positive,Anaerobic,1.25
STR_990,Bacillus,rule,Positive,Aerobic,8.47
STR_120,Clostridium,various,Negative,Anaerobic,2.79
STR_278,Bacillus,main,Negative,Facultative Anaerobe,1.96
STR_379,Bacillus,management,Positive,Facultative Anaerobe,6.64
STR_224,Pseudomonas,control,Negative,Aerobic,8.9
STR_603,Lactobacillus,author,Negative,Anaerobic,0.75
STR_159,Staphylococcus,life,Negative,Facultative Anaerobe,6.08
STR_519,Staphylococcus,answer,Positive,Microaerophilic,8.88
STR_636,Lactobacillus,production,Positive,Aerobic,3.89
STR_466,Clostridium,fact,Negative,Anaerobic,5.12
STR_173,Streptococcus,tell,Positive,Anaerobic,7.2
STR_416,Staphylococcus,around,Negative,Anaerobic,7.21
STR_742,Clostridium,director,Negative,Anaerobic,5.52
STR_574,Clostridium,group,Negative,Microaerophilic,6.41
STR_122,Clostridium,wait,Negative,Facultative Anaerobe,5.67
STR_224,Streptococcus,follow,Positive,Microaerophilic,6.67
STR_967,Clostridium,start,Negative,Facultative Anaerobe,0.62
STR_865,Lactobacillus,sort,Positive,Anaerobic,5.59
STR_271,Staphylococcus,look,Positive,Aerobic,9.22
STR_721,Pseudomonas,safe,Negative,Facultative Anaerobe,7.33
STR_430,Lactobacillus,step,Positive,Anaerobic,7.72
STR_337,Bacillus,personal,Negative,Microaerophilic,1.13
STR_116,Streptococcus,including,Negative,Microaerophilic,4.47
STR_823,Pseudomonas,leg,Negative,Facultative Anaerobe,6.12
STR_510,Pseudomonas,majority,Positive,Anaerobic,0.79
STR_676,Bacillus,lot,Positive,Microaerophilic,6.99
STR_960,Bacillus,same,Negative,Aerobic,5.66
STR_589,Lactobacillus,name,Negative,Facultative Anaerobe,9.15
STR_404,Pseudomonas,area,Positive,Facultative Anaerobe,7.9
STR_973,Lactobacillus,score,Positive,Facultative Anaerobe,6.62
STR_279,Clostridium,address,Positive,Microaerophilic,5.09
STR_257,Streptococcus,instead,Positive,Anaerobic,1.46
STR_387,Clostridium,professor,Negative,Anaerobic,7.79
STR_417,Bacillus,conference,Positive,Anaerobic,8.91
STR_461,Bacillus,middle,Negative,Anaerobic,7.63
STR_567,Staphylococcus,wife,Negative,Microaerophilic,8.75
STR_454,Bacillus,activity,Positive,Anaerobic,0.88
STR_509,Bacillus,treatment,Positive,Aerobic,5.48
STR_415,Staphylococcus,professor,Negative,Anaerobic,1.18
STR_759,Staphylococcus,position,Positive,Microaerophilic,8.47
STR_953,Lactobacillus,threat,Positive,Anaerobic,1.45
STR_998,Bacillus,total,Positive,Facultative Anaerobe,0.69
STR_737,Pseudomonas,trial,Negative,Facultative Anaerobe,7.53
STR_907,Staphylococcus,kind,Positive,Anaerobic,4.71
STR_648,Lactobacillus,case,Positive,Aerobic,5.2
STR_914,Streptococcus,such,Positive,Microaerophilic,7.61
STR_779,Clostridium,none,Negative,Microaerophilic,8.99
STR_662,Clostridium,subject,Positive,Anaerobic,3.1
STR_764,Clostridium,wonder,Negative,Microaerophilic,1.92
STR_324,Bacillus,maybe,Negative,Aerobic,8.98
STR_657,Pseudomonas,sister,Negative,Aerobic,6.09
STR_649,Staphylococcus,player,Negative,Microaerophilic,4.15
STR_695,Clostridium,pull,Positive,Anaerobic,2.58
STR_370,Clostridium,party,Negative,Aerobic,4.67
STR_695,Lactobacillus,health,Negative,Anaerobic,1.63
STR_514,Bacillus,outside,Positive,Microaerophilic,5.12
STR_392,Bacillus,value,Positive,Microaerophilic,7.18
STR_640,Lactobacillus,allow,Negative,Facultative Anaerobe,4.95
STR_594,Lactobacillus,official,Positive,Anaerobic,9.06
STR_739,Streptococcus,customer,Negative,Aerobic,9.5
STR_844,Lactobacillus,radio,Positive,Anaerobic,8.94
STR_673,Streptococcus,discussion,Positive,Microaerophilic,7.8
STR_253,Pseudomonas,social,Negative,Facultative Anaerobe,6.51
STR_568,Staphylococcus,consider,Positive,Microaerophilic,0.53
STR_981,Clostridium,positive,Negative,Microaerophilic,5.43
STR_590,Pseudomonas,produce,Negative,Microaerophilic,7.94
STR_539,Bacillus,really,Positive,Aerobic,3.36
STR_981,Bacillus,party,Negative,Anaerobic,5.59
STR_595,Clostridium,determine,Positive,Microaerophilic,5.09
STR_296,Bacillus,help,Negative,Facultative Anaerobe,7.97
STR_399,Pseudomonas,long,Positive,Aerobic,3.1
STR_851,Bacillus,may,Negative,Microaerophilic,8.39
STR_937,Clostridium,draw,Positive,Facultative Anaerobe,1.97
STR_594,Bacillus,across,Positive,Facultative Anaerobe,1.34
STR_321,Bacillus,itself,Positive,Facultative Anaerobe,3.45
STR_965,Streptococcus,she,Negative,Microaerophilic,9.09
STR_248,Clostridium,until,Negative,Aerobic,7.7
STR_248,Bacillus,law,Negative,Anaerobic,2.77
STR_812,Pseudomonas,western,Positive,Microaerophilic,7.28
STR_292,Clostridium,himself,Positive,Anaerobic,6.12
STR_592,Pseudomonas,among,Positive,Facultative Anaerobe,8.22
STR_787,Lactobacillus,Mr,Positive,Microaerophilic,8.3
STR_551,Pseudomonas,care,Positive,Anaerobic,2.17
STR_403,Bacillus,radio,Positive,Aerobic,2.81
STR_512,Lactobacillus,stop,Positive,Anaerobic,5.97
STR_949,Clostridium,side,Positive,Microaerophilic,2.51
STR_329,Pseudomonas,particular,Positive,Microaerophilic,8.82
STR_905,Clostridium,crime,Negative,Anaerobic,2.5
STR_710,Pseudomonas,line,Negative,Aerobic,1.7
STR_915,Pseudomonas,some,Positive,Facultative Anaerobe,5.6
STR_438,Streptococcus,two,Negative,Aerobic,9.09
STR_408,Lactobacillus,account,Positive,Microaerophilic,8.64
STR_665,Pseudomonas,attack,Positive,Facultative Anaerobe,3.87
STR_344,Streptococcus,huge,Positive,Anaerobic,6.57
STR_266,Pseudomonas,too,Positive,Aerobic,5.0
STR_666,Staphylococcus,much,Positive,Anaerobic,1.72
STR_921,Staphylococcus,around,Positive,Aerobic,3.47
STR_119,Streptococcus,wait,Negative,Microaerophilic,5.81
STR_826,Pseudomonas,position,Positive,Anaerobic,6.48
STR_397,Staphylococcus,magazine,Negative,Anaerobic,8.32
STR_863,Clostridium,should,Positive,Facultative Anaerobe,9.5
STR_748,Staphylococcus,actually,Positive,Microaerophilic,3.12
STR_812,Pseudomonas,couple,Negative,Microaerophilic,6.69
STR_607,Clostridium,carry,Positive,Microaerophilic,4.75
STR_416,Staphylococcus,concern,Positive,Facultative Anaerobe,6.86
STR_289,Streptococcus,clearly,Positive,Aerobic,4.5
STR_589,Pseudomonas,road,Positive,Aerobic,3.22
STR_119,Bacillus,left,Negative,Microaerophilic,8.71
STR_571,Lactobacillus,American,Positive,Anaerobic,2.43
STR_353,Lactobacillus,director,Positive,Aerobic,5.85
STR_941,Staphylococcus,office,Positive,Anaerobic,7.73
STR_858,Lactobacillus,water,Positive,Aerobic,0.71
STR_108,Staphylococcus,open,Positive,Aerobic,1.55
STR_898,Bacillus,church,Positive,Facultative Anaerobe,1.74
STR_250,Staphylococcus,employee,Positive,Aerobic,6.78
STR_604,Staphylococcus,adult,Positive,Facultative Anaerobe,7.57
STR_376,Bacillus,you,Positive,Anaerobic,6.09
STR_405,Bacillus,threat,Positive,Facultative Anaerobe,2.71
STR_422,Bacillus,begin,Negative,Aerobic,7.44
STR_463,Lactobacillus,stop,Positive,Anaerobic,7.81
STR_710,Lactobacillus,reason,Positive,Microaerophilic,1.89
STR_200,Pseudomonas,arm,Negative,Facultative Anaerobe,5.14
STR_544,Staphylococcus,throw,Negative,Microaerophilic,1.47
STR_885,Pseudomonas,beyond,Negative,Anaerobic,3.51
STR_566,Clostridium,guy,Positive,Microaerophilic,9.53
STR_742,Pseudomonas,attorney,Negative,Facultative Anaerobe,4.76
STR_435,Pseudomonas,next,Positive,Microaerophilic,8.22
STR_112,Pseudomonas,investment,Negative,Facultative Anaerobe,5.1
STR_440,Staphylococcus,throw,Negative,Facultative Anaerobe,8.59
STR_322,Staphylococcus,little,Positive,Anaerobic,1.2
STR_257,Pseudomonas,speak,Positive,Aerobic,4.45
STR_929,Lactobacillus,far,Positive,Anaerobic,7.85
STR_245,Staphylococcus,first,Positive,Microaerophilic,8.73
