strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_271,Clostridium,knowledge,Positive,Facultative Anaerobe,5.98
STR_253,Lactobacillus,nearly,Positive,Aerobic,8.57
STR_359,Clostridium,free,Positive,Facultative Anaerobe,4.89
STR_867,Staphylococcus,sing,Negative,Aerobic,4.89
STR_545,Staphylococcus,rock,Positive,Anaerobic,6.36
STR_374,Lactobacillus,player,Positive,Aerobic,2.38
STR_636,Staphylococcus,answer,Positive,Anaerobic,1.57
STR_152,Pseudomonas,resource,Negative,Anaerobic,7.66
STR_155,Streptococcus,attention,Positive,Aerobic,7.4
STR_851,Pseudomonas,her,Positive,Anaerobic,7.33
STR_318,Bacillus,realize,Positive,Facultative Anaerobe,2.26
STR_780,Lactobacillus,meeting,Negative,Facultative Anaerobe,8.52
STR_396,Staphylococcus,next,Positive,Microaerophilic,6.06
STR_829,Streptococcus,last,Negative,Aerobic,2.35
STR_377,Pseudomonas,stock,Positive,Anaerobic,9.33
STR_618,Streptococcus,however,Negative,Facultative Anaerobe,0.6
STR_253,Staphylococcus,mouth,Positive,Microaerophilic,8.43
STR_267,Clostridium,feel,Positive,Anaerobic,3.37
STR_671,Staphylococcus,that,Positive,Aerobic,4.45
STR_830,Bacillus,appear,Positive,Anaerobic,4.64
STR_272,Bacillus,us,Negative,Aerobic,9.66
STR_647,Bacillus,political,Positive,Aerobic,1.96
STR_505,Streptococcus,act,Negative,Anaerobic,4.27
STR_600,Bacillus,voice,Negative,Microaerophilic,9.41
STR_230,Bacillus,state,Negative,Aerobic,7.46
STR_384,Staphylococcus,crime,Negative,Facultative Anaerobe,7.2
STR_226,Streptococcus,house,Negative,Aerobic,1.51
STR_885,Pseudomonas,news,Negative,Facultative Anaerobe,0.61
STR_343,Streptococcus,ready,Negative,Facultative Anaerobe,6.13
STR_278,Staphylococcus,full,Negative,Anaerobic,1.99
STR_205,Streptococcus,generation,Negative,Facultative Anaerobe,2.55
STR_865,Staphylococcus,sell,Positive,Anaerobic,6.29
STR_935,Pseudomonas,you,Negative,Microaerophilic,6.15
STR_959,Streptococcus,conference,Positive,Facultative Anaerobe,5.3
STR_996,Pseudomonas,season,Negative,Facultative Anaerobe,1.46
STR_608,Lactobacillus,difference,Negative,Aerobic,6.13
STR_111,Clostridium,ground,Negative,Aerobic,5.97
STR_913,Bacillus,ten,Negative,Microaerophilic,1.08
STR_822,Clostridium,television,Negative,Anaerobic,9.6
STR_623,Pseudomonas,high,Positive,Anaerobic,0.7
STR_659,Bacillus,audience,Positive,Aerobic,3.29
STR_560,Clostridium,skill,Positive,Facultative Anaerobe,8.73
STR_325,Clostridium,tonight,Positive,Facultative Anaerobe,9.62
STR_545,Staphylococcus,this,Negative,Microaerophilic,9.39
STR_571,Bacillus,gun,Positive,Anaerobic,8.6
STR_694,Lactobacillus,here,Negative,Facultative Anaerobe,9.62
STR_918,Lactobacillus,present,Negative,Facultative Anaerobe,7.69
STR_567,Lactobacillus,memory,Negative,Anaerobic,5.34
STR_908,Streptococcus,here,Negative,Aerobic,0.58
STR_543,Pseudomonas,memory,Negative,Aerobic,7.62
STR_942,Streptococcus,upon,Positive,Facultative Anaerobe,8.29
STR_599,Bacillus,help,Negative,Microaerophilic,9.67
STR_625,Pseudomonas,thing,Negative,Facultative Anaerobe,6.35
STR_962,Bacillus,yard,Positive,Microaerophilic,5.26
STR_804,Lactobacillus,baby,Positive,Microaerophilic,4.09
STR_198,Streptococcus,assume,Positive,Facultative Anaerobe,3.02
STR_549,Pseudomonas,each,Positive,Facultative Anaerobe,4.0
STR_533,Lactobacillus,ready,Positive,Microaerophilic,6.27
STR_768,Lactobacillus,drive,Positive,Anaerobic,4.86
STR_173,Pseudomonas,spring,Negative,Facultative Anaerobe,0.64
STR_149,Lactobacillus,research,Negative,Facultative Anaerobe,2.95
STR_222,Staphylococcus,politics,Positive,Microaerophilic,5.26
STR_144,Bacillus,radio,Negative,Aerobic,8.65
STR_158,Lactobacillus,consider,Negative,Microaerophilic,3.36
STR_375,Streptococcus,happen,Negative,Microaerophilic,9.87
STR_491,Pseudomonas,particularly,Positive,Facultative Anaerobe,9.09
STR_396,Streptococcus,develop,Negative,Microaerophilic,0.93
STR_816,Bacillus,policy,Positive,Aerobic,8.09
STR_690,Staphylococcus,great,Positive,Aerobic,8.71
STR_547,Pseudomonas,red,Negative,Anaerobic,2.48
STR_230,Staphylococcus,move,Negative,Facultative Anaerobe,2.69
STR_533,Pseudomonas,time,Positive,Facultative Anaerobe,2.14
STR_687,Streptococcus,federal,Positive,Anaerobic,7.39
STR_187,Clostridium,glass,Positive,Facultative Anaerobe,3.6
