strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_768,Bacillus,western,Negative,Anaerobic,9.08
STR_227,Lactobacillus,reveal,Negative,Aerobic,8.17
STR_291,Pseudomonas,piece,Negative,Aerobic,3.46
STR_980,Streptococcus,value,Negative,Microaerophilic,8.36
STR_349,Pseudomonas,nor,Negative,Aerobic,6.6
STR_529,Clostridium,wide,Negative,Aerobic,6.48
STR_286,Clostridium,occur,Negative,Aerobic,9.62
STR_838,Lactobacillus,test,Negative,Facultative Anaerobe,1.15
STR_328,Streptococcus,north,Positive,Facultative Anaerobe,0.71
STR_228,Streptococcus,yeah,Negative,Aerobic,8.75
STR_415,Pseudomonas,follow,Negative,Aerobic,5.28
STR_986,Pseudomonas,bank,Positive,Microaerophilic,8.87
STR_234,Lactobacillus,shoulder,Negative,Microaerophilic,3.38
STR_448,Clostridium,there,Positive,Aerobic,3.92
STR_169,Bacillus,want,Positive,Facultative Anaerobe,9.89
STR_260,Bacillus,bag,Negative,Microaerophilic,9.49
STR_265,Pseudomonas,must,Positive,Facultative Anaerobe,0.97
STR_600,Bacillus,stand,Negative,Aerobic,7.25
STR_769,Staphylococcus,especially,Positive,Anaerobic,6.8
STR_667,Lactobacillus,entire,Positive,Aerobic,2.82
STR_363,Pseudomonas,hear,Positive,Anaerobic,1.22
STR_786,Bacillus,question,Positive,Microaerophilic,0.93
STR_203,Pseudomonas,up,Positive,Anaerobic,2.08
STR_230,Clostridium,sure,Negative,Microaerophilic,4.31
STR_410,Lactobacillus,far,Negative,Microaerophilic,8.56
STR_441,Lactobacillus,field,Negative,Anaerobic,1.69
STR_920,Lactobacillus,since,Positive,Anaerobic,9.62
STR_870,Clostridium,attack,Negative,Anaerobic,8.86
STR_947,Bacillus,realize,Negative,Anaerobic,2.28
STR_953,Streptococcus,effect,Negative,Anaerobic,7.66
STR_151,Streptococcus,real,Negative,Aerobic,7.15
STR_247,Pseudomonas,mission,Positive,Facultative Anaerobe,5.69
STR_388,Lactobacillus,market,Positive,Microaerophilic,4.55
STR_688,Streptococcus,assume,Positive,Facultative Anaerobe,0.98
STR_827,Staphylococcus,glass,Negative,Anaerobic,1.97
STR_279,Lactobacillus,race,Positive,Anaerobic,9.55
STR_829,Streptococcus,agreement,Negative,Aerobic,2.09
STR_594,Lactobacillus,according,Positive,Aerobic,4.91
STR_321,Streptococcus,present,Negative,Aerobic,6.84
STR_238,Pseudomonas,example,Positive,Anaerobic,7.61
STR_713,Bacillus,theory,Negative,Aerobic,4.29
STR_109,Lactobacillus,wife,Negative,Aerobic,8.68
STR_176,Bacillus,benefit,Negative,Aerobic,4.72
STR_714,Clostridium,future,Negative,Facultative Anaerobe,5.23
STR_280,Streptococcus,hair,Negative,Anaerobic,0.8
STR_439,Clostridium,really,Negative,Facultative Anaerobe,3.56
STR_464,Clostridium,system,Negative,Microaerophilic,9.34
STR_743,Lactobacillus,determine,Positive,Anaerobic,9.05
STR_817,Staphylococcus,success,Positive,Facultative Anaerobe,0.51
STR_793,Bacillus,final,Negative,Aerobic,2.29
STR_426,Streptococcus,live,Negative,Aerobic,9.99
STR_995,Clostridium,particularly,Negative,Facultative Anaerobe,4.84
STR_603,Lactobacillus,various,Negative,Facultative Anaerobe,7.25
STR_957,Lactobacillus,itself,Positive,Microaerophilic,7.31
STR_345,Clostridium,rock,Negative,Aerobic,1.21
STR_264,Pseudomonas,class,Positive,Microaerophilic,1.2
STR_723,Streptococcus,dark,Negative,Microaerophilic,2.15
STR_195,Streptococcus,who,Negative,Microaerophilic,1.56
STR_755,Clostridium,camera,Positive,Facultative Anaerobe,7.57
STR_939,Lactobacillus,ahead,Negative,Aerobic,6.6
STR_814,Staphylococcus,probably,Negative,Anaerobic,1.79
STR_519,Lactobacillus,throughout,Negative,Aerobic,3.67
STR_171,Streptococcus,field,Negative,Microaerophilic,1.8
STR_461,Streptococcus,conference,Negative,Facultative Anaerobe,6.39
STR_446,Bacillus,four,Negative,Microaerophilic,7.81
STR_910,Clostridium,protect,Negative,Microaerophilic,7.04
STR_965,Staphylococcus,back,Negative,Microaerophilic,7.25
STR_375,Bacillus,benefit,Positive,Facultative Anaerobe,4.88
STR_923,Bacillus,sound,Positive,Anaerobic,2.47
STR_830,Streptococcus,learn,Negative,Anaerobic,8.8
STR_279,Pseudomonas,food,Positive,Microaerophilic,7.33
STR_929,Lactobacillus,marriage,Negative,Microaerophilic,1.64
STR_464,Pseudomonas,story,Negative,Aerobic,8.96
STR_937,Bacillus,shake,Positive,Anaerobic,0.88
STR_102,Lactobacillus,field,Positive,Aerobic,5.14
STR_320,Streptococcus,school,Negative,Facultative Anaerobe,6.28
STR_496,Staphylococcus,key,Negative,Anaerobic,6.89
STR_425,Pseudomonas,know,Positive,Anaerobic,5.24
STR_384,Streptococcus,writer,Positive,Anaerobic,4.53
STR_303,Staphylococcus,yes,Negative,Facultative Anaerobe,2.69
STR_787,Pseudomonas,ago,Negative,Anaerobic,1.21
STR_802,Streptococcus,treatment,Positive,Facultative Anaerobe,5.47
STR_528,Staphylococcus,thus,Positive,Aerobic,2.43
STR_935,Pseudomonas,southern,Positive,Facultative Anaerobe,3.4
STR_934,Lactobacillus,course,Positive,Aerobic,0.87
STR_522,Streptococcus,social,Negative,Anaerobic,3.75
STR_448,Clostridium,rise,Negative,Anaerobic,2.27
STR_704,Staphylococcus,forward,Positive,Microaerophilic,5.84
STR_937,Clostridium,doctor,Negative,Microaerophilic,5.77
STR_849,Pseudomonas,beyond,Positive,Aerobic,5.77
STR_473,Clostridium,call,Positive,Facultative Anaerobe,5.41
STR_610,Clostridium,so,Negative,Anaerobic,8.47
STR_215,Clostridium,fast,Negative,Microaerophilic,3.16
STR_647,Lactobacillus,like,Positive,Aerobic,5.28
STR_605,Clostridium,scene,Positive,Anaerobic,0.73
STR_175,Lactobacillus,radio,Positive,Facultative Anaerobe,2.26
STR_658,Clostridium,become,Positive,Aerobic,2.68
STR_923,Streptococcus,music,Positive,Facultative Anaerobe,5.29
STR_764,Streptococcus,loss,Negative,Anaerobic,6.98
STR_480,Lactobacillus,meet,Positive,Anaerobic,3.52
STR_864,Pseudomonas,only,Negative,Microaerophilic,8.02
STR_455,Bacillus,fill,Negative,Microaerophilic,1.89
STR_711,Streptococcus,family,Positive,Facultative Anaerobe,1.14
STR_405,Streptococcus,land,Negative,Microaerophilic,3.83
STR_757,Clostridium,full,Positive,Facultative Anaerobe,7.17
STR_789,Lactobacillus,kid,Negative,Microaerophilic,2.53
STR_242,Streptococcus,clear,Positive,Aerobic,1.58
STR_944,Staphylococcus,activity,Positive,Aerobic,7.5
STR_310,Clostridium,indicate,Positive,Anaerobic,4.57
STR_750,Lactobacillus,peace,Positive,Anaerobic,2.26
STR_956,Clostridium,letter,Negative,Anaerobic,1.61
STR_415,Clostridium,begin,Positive,Aerobic,6.93
STR_800,Pseudomonas,kitchen,Positive,Anaerobic,1.72
STR_859,Lactobacillus,kid,Negative,Aerobic,7.28
STR_282,Staphylococcus,husband,Positive,Facultative Anaerobe,2.38
STR_806,Lactobacillus,church,Negative,Facultative Anaerobe,7.76
STR_420,Staphylococcus,idea,Negative,Facultative Anaerobe,7.41
STR_936,Lactobacillus,model,Negative,Facultative Anaerobe,7.16
STR_615,Lactobacillus,left,Negative,Facultative Anaerobe,5.71
STR_331,Bacillus,agree,Positive,Aerobic,1.41
STR_695,Lactobacillus,position,Positive,Microaerophilic,5.07
STR_444,Streptococcus,project,Positive,Microaerophilic,4.73
STR_387,Clostridium,front,Positive,Facultative Anaerobe,2.64
STR_636,Bacillus,one,Negative,Aerobic,0.78
STR_845,Bacillus,each,Positive,Facultative Anaerobe,8.91
STR_336,Lactobacillus,business,Negative,Anaerobic,0.88
STR_605,Pseudomonas,region,Positive,Anaerobic,2.65
STR_555,Bacillus,out,Negative,Facultative Anaerobe,1.62
STR_138,Pseudomonas,real,Positive,Aerobic,0.74
STR_739,Staphylococcus,general,Positive,Microaerophilic,4.82
STR_231,Staphylococcus,my,Positive,Anaerobic,9.8
STR_689,Clostridium,land,Positive,Microaerophilic,4.99
STR_703,Lactobacillus,during,Negative,Aerobic,7.69
STR_917,Clostridium,natural,Positive,Microaerophilic,2.7
STR_311,Clostridium,painting,Positive,Microaerophilic,9.99
STR_628,Streptococcus,Republican,Positive,Facultative Anaerobe,1.82
STR_905,Lactobacillus,size,Positive,Microaerophilic,4.55
STR_668,Streptococcus,decide,Negative,Facultative Anaerobe,2.31
STR_831,Lactobacillus,institution,Positive,Facultative Anaerobe,2.68
STR_984,Pseudomonas,teach,Negative,Anaerobic,7.52
STR_169,Streptococcus,friend,Positive,Microaerophilic,6.9
STR_496,Clostridium,expect,Positive,Facultative Anaerobe,9.0
STR_389,Clostridium,she,Negative,Facultative Anaerobe,6.98
STR_322,Staphylococcus,security,Positive,Anaerobic,2.44
STR_706,Pseudomonas,amount,Positive,Anaerobic,3.48
STR_860,Streptococcus,wait,Negative,Aerobic,7.89
STR_147,Bacillus,decade,Positive,Microaerophilic,8.66
STR_519,Pseudomonas,fund,Positive,Facultative Anaerobe,9.23
STR_887,Clostridium,charge,Positive,Aerobic,8.45
STR_358,Staphylococcus,ahead,Negative,Anaerobic,4.13
STR_135,Bacillus,court,Positive,Microaerophilic,1.11
STR_429,Lactobacillus,describe,Positive,Facultative Anaerobe,3.47
STR_420,Clostridium,them,Negative,Facultative Anaerobe,9.06
STR_726,Staphylococcus,certain,Negative,Facultative Anaerobe,1.43
STR_940,Staphylococcus,meet,Negative,Aerobic,10.0
STR_385,Clostridium,man,Negative,Anaerobic,0.69
STR_476,Staphylococcus,bag,Negative,Anaerobic,3.45
STR_251,Streptococcus,training,Positive,Aerobic,5.95
STR_248,Lactobacillus,within,Negative,Microaerophilic,1.86
STR_553,Streptococcus,sometimes,Positive,Facultative Anaerobe,4.11
STR_175,Clostridium,power,Positive,Aerobic,5.57
STR_563,Staphylococcus,per,Negative,Aerobic,5.6
STR_687,Pseudomonas,laugh,Positive,Aerobic,1.09
STR_542,Bacillus,oil,Negative,Anaerobic,8.94
STR_839,Pseudomonas,establish,Positive,Facultative Anaerobe,4.54
STR_453,Streptococcus,to,Negative,Anaerobic,9.67
STR_281,Lactobacillus,machine,Positive,Anaerobic,6.74
STR_950,Pseudomonas,six,Positive,Aerobic,8.14
STR_507,Clostridium,today,Positive,Facultative Anaerobe,4.69
STR_386,Clostridium,his,Positive,Microaerophilic,4.07
STR_365,Streptococcus,rock,Positive,Aerobic,3.43
STR_135,Clostridium,great,Positive,Anaerobic,3.67
STR_238,Lactobacillus,deal,Negative,Facultative Anaerobe,4.28
STR_676,Staphylococcus,focus,Positive,Anaerobic,3.75
STR_279,Staphylococcus,not,Positive,Aerobic,5.95
STR_743,Pseudomonas,discussion,Negative,Microaerophilic,0.72
STR_604,Staphylococcus,simply,Positive,Facultative Anaerobe,2.24
STR_893,Staphylococcus,simply,Positive,Anaerobic,7.29
STR_553,Clostridium,woman,Positive,Microaerophilic,5.22
STR_492,Staphylococcus,answer,Positive,Facultative Anaerobe,5.5
