strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_874,Clostridium,per,Negative,Facultative Anaerobe,8.02
STR_402,Lactobacillus,message,Negative,Aerobic,3.08
STR_941,Staphylococcus,feel,Positive,Microaerophilic,8.13
STR_880,Pseudomonas,find,Positive,Facultative Anaerobe,8.79
STR_376,Pseudomonas,learn,Positive,Facultative Anaerobe,4.87
STR_283,Staphylococcus,grow,Negative,Microaerophilic,0.95
STR_747,Staphylococcus,response,Negative,Microaerophilic,6.66
STR_228,Staphylococcus,charge,Negative,Microaerophilic,6.61
STR_257,Clostridium,second,Positive,Anaerobic,7.58
STR_972,Pseudomonas,enter,Negative,Aerobic,7.96
STR_298,Streptococcus,will,Negative,Anaerobic,4.34
STR_464,Pseudomonas,meeting,Negative,Anaerobic,2.67
STR_386,Pseudomonas,onto,Positive,Aerobic,8.36
STR_943,Clostridium,and,Negative,Anaerobic,7.4
STR_218,Streptococcus,current,Positive,Aerobic,3.2
STR_344,Streptococcus,word,Positive,Facultative Anaerobe,9.76
STR_349,Staphylococcus,kind,Positive,Microaerophilic,2.4
STR_343,Clostridium,others,Negative,Microaerophilic,7.31
STR_849,Bacillus,tough,Positive,Aerobic,8.37
STR_943,Staphylococcus,environmental,Negative,Facultative Anaerobe,7.7
STR_836,Staphylococcus,allow,Negative,Aerobic,2.03
STR_778,Lactobacillus,with,Positive,Aerobic,2.27
STR_536,Streptococcus,child,Negative,Microaerophilic,9.47
STR_145,Lactobacillus,involve,Negative,Microaerophilic,7.66
STR_185,Pseudomonas,organization,Negative,Microaerophilic,2.72
STR_878,Staphylococcus,scene,Negative,Microaerophilic,3.8
STR_130,Bacillus,tell,Negative,Facultative Anaerobe,6.51
STR_611,Pseudomonas,occur,Negative,Microaerophilic,9.34
STR_198,Bacillus,blood,Negative,Anaerobic,5.16
STR_858,Bacillus,training,Negative,Anaerobic,8.97
STR_527,Clostridium,her,Positive,Anaerobic,2.86
STR_350,Lactobacillus,painting,Negative,Anaerobic,6.76
STR_386,Lactobacillus,high,Negative,Microaerophilic,1.82
STR_197,Staphylococcus,century,Negative,Aerobic,0.87
STR_855,Clostridium,put,Negative,Anaerobic,4.72
STR_904,Lactobacillus,other,Positive,Anaerobic,0.99
STR_984,Clostridium,scene,Positive,Aerobic,2.02
STR_310,Staphylococcus,station,Negative,Aerobic,0.93
STR_613,Staphylococcus,catch,Negative,Aerobic,5.45
