strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_262,Streptococcus,course,Negative,Microaerophilic,4.07
STR_920,Staphylococcus,can,Positive,Facultative Anaerobe,7.22
STR_122,Clostridium,rather,Positive,Anaerobic,0.71
STR_627,Lactobacillus,music,Negative,Facultative Anaerobe,6.25
STR_693,Clostridium,avoid,Positive,Facultative Anaerobe,0.99
STR_609,Staphylococcus,current,Negative,Facultative Anaerobe,2.83
STR_771,Streptococcus,perhaps,Positive,Facultative Anaerobe,4.19
STR_705,Streptococcus,else,Negative,Anaerobic,3.97
STR_721,Clostridium,lawyer,Negative,Anaerobic,1.51
STR_144,Lactobacillus,adult,Positive,Microaerophilic,1.47
STR_910,Lactobacillus,he,Negative,Facultative Anaerobe,3.46
STR_779,Lactobacillus,like,Positive,Facultative Anaerobe,4.06
STR_695,Lactobacillus,time,Positive,Aerobic,0.95
STR_358,Clostridium,trade,Negative,Microaerophilic,2.56
STR_909,Clostridium,rate,Negative,Facultative Anaerobe,3.63
STR_568,Staphylococcus,after,Negative,Anaerobic,5.79
STR_155,Clostridium,although,Positive,Aerobic,3.3
STR_404,Clostridium,many,Positive,Microaerophilic,4.97
STR_157,Pseudomonas,near,Positive,Aerobic,2.34
STR_179,Lactobacillus,attorney,Positive,Anaerobic,2.49
STR_607,Streptococcus,teacher,Negative,Facultative Anaerobe,2.92
STR_308,Streptococcus,member,Negative,Microaerophilic,6.5
STR_751,Staphylococcus,research,Positive,Facultative Anaerobe,5.21
STR_331,Staphylococcus,human,Positive,Anaerobic,5.67
STR_299,Clostridium,space,Positive,Microaerophilic,1.79
STR_386,Staphylococcus,Mr,Negative,Facultative Anaerobe,2.46
STR_549,Clostridium,mouth,Negative,Aerobic,1.24
STR_538,Lactobacillus,piece,Negative,Anaerobic,9.38
STR_590,Bacillus,second,Positive,Aerobic,2.61
STR_856,Pseudomonas,kid,Negative,Facultative Anaerobe,9.42
STR_277,Clostridium,too,Positive,Microaerophilic,5.6
STR_838,Pseudomonas,none,Positive,Aerobic,4.22
STR_496,Bacillus,ask,Positive,Aerobic,5.42
STR_690,Pseudomonas,defense,Negative,Facultative Anaerobe,8.39
STR_829,Staphylococcus,main,Positive,Facultative Anaerobe,9.83
STR_419,Pseudomonas,brother,Negative,Aerobic,2.7
STR_780,Clostridium,miss,Positive,Facultative Anaerobe,6.72
STR_461,Pseudomonas,shake,Positive,Anaerobic,3.67
STR_927,Pseudomonas,know,Negative,Microaerophilic,7.4
STR_676,Streptococcus,yet,Positive,Microaerophilic,2.75
STR_231,Pseudomonas,visit,Positive,Microaerophilic,3.57
STR_537,Staphylococcus,money,Positive,Microaerophilic,4.36
STR_232,Staphylococcus,Mr,Positive,Aerobic,2.73
STR_933,Pseudomonas,decade,Positive,Facultative Anaerobe,2.38
STR_935,Lactobacillus,start,Positive,Microaerophilic,6.57
STR_879,Staphylococcus,performance,Negative,Anaerobic,9.99
STR_791,Pseudomonas,along,Positive,Facultative Anaerobe,9.3
STR_962,Clostridium,audience,Negative,Anaerobic,7.12
STR_280,Lactobacillus,call,Positive,Anaerobic,0.82
STR_888,Streptococcus,forget,Positive,Facultative Anaerobe,5.27
STR_234,Staphylococcus,affect,Negative,Aerobic,3.14
STR_307,Bacillus,notice,Negative,Facultative Anaerobe,8.97
STR_725,Pseudomonas,me,Negative,Aerobic,5.11
STR_535,Bacillus,issue,Negative,Microaerophilic,7.79
STR_306,Bacillus,leg,Positive,Microaerophilic,9.19
STR_351,Clostridium,down,Negative,Anaerobic,8.47
STR_125,Staphylococcus,area,Positive,Microaerophilic,9.97
STR_471,Clostridium,study,Negative,Microaerophilic,3.64
STR_153,Clostridium,old,Positive,Aerobic,3.72
STR_929,Staphylococcus,either,Positive,Facultative Anaerobe,9.11
STR_353,Pseudomonas,per,Positive,Anaerobic,8.91
STR_513,Streptococcus,science,Negative,Anaerobic,5.32
STR_775,Clostridium,affect,Negative,Facultative Anaerobe,6.7
STR_505,Pseudomonas,he,Negative,Facultative Anaerobe,8.33
STR_502,Streptococcus,mean,Positive,Anaerobic,8.65
STR_245,Bacillus,early,Positive,Facultative Anaerobe,3.93
STR_696,Bacillus,already,Negative,Facultative Anaerobe,2.21
STR_928,Pseudomonas,red,Negative,Anaerobic,2.33
STR_827,Lactobacillus,writer,Negative,Facultative Anaerobe,1.87
STR_815,Staphylococcus,establish,Negative,Aerobic,1.82
STR_332,Lactobacillus,act,Negative,Facultative Anaerobe,6.84
STR_603,Lactobacillus,who,Negative,Facultative Anaerobe,5.09
STR_148,Bacillus,spend,Negative,Microaerophilic,7.56
STR_268,Clostridium,player,Negative,Anaerobic,6.84
STR_504,Pseudomonas,determine,Negative,Aerobic,4.6
STR_564,Clostridium,American,Positive,Aerobic,7.19
STR_431,Clostridium,address,Negative,Aerobic,2.04
STR_279,Staphylococcus,purpose,Negative,Aerobic,2.89
