strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_135,Bacillus,network,Negative,Anaerobic,2.21
STR_145,Staphylococcus,win,Negative,Facultative Anaerobe,6.34
STR_882,Clostridium,capital,Negative,Aerobic,4.55
STR_488,Staphylococcus,quality,Positive,Microaerophilic,6.99
STR_988,Streptococcus,admit,Negative,Anaerobic,3.81
STR_332,Clostridium,interesting,Negative,Anaerobic,7.83
STR_123,Clostridium,view,Positive,Microaerophilic,3.01
STR_527,Pseudomonas,health,Positive,Microaerophilic,5.65
STR_677,Lactobacillus,inside,Positive,Aerobic,6.53
STR_160,Clostridium,open,Negative,Facultative Anaerobe,5.25
STR_910,Streptococcus,still,Negative,Aerobic,3.95
STR_211,Lactobacillus,air,Negative,Facultative Anaerobe,4.84
STR_337,Staphylococcus,onto,Negative,Anaerobic,6.44
STR_422,Pseudomonas,keep,Positive,Facultative Anaerobe,1.08
STR_185,Staphylococcus,behavior,Positive,Aerobic,2.25
STR_867,Pseudomonas,right,Positive,Anaerobic,3.4
STR_404,Clostridium,politics,Positive,Aerobic,5.6
STR_174,Clostridium,mind,Positive,Facultative Anaerobe,5.05
STR_631,Bacillus,ability,Positive,Microaerophilic,3.06
STR_893,Streptococcus,agency,Negative,Microaerophilic,1.6
STR_180,Lactobacillus,admit,Negative,Anaerobic,4.93
STR_300,Streptococcus,gun,Positive,Aerobic,7.5
STR_831,Clostridium,marriage,Positive,Aerobic,4.92
STR_952,Streptococcus,attack,Negative,Aerobic,5.39
STR_125,Lactobacillus,how,Positive,Microaerophilic,5.68
STR_661,Pseudomonas,task,Negative,Microaerophilic,2.26
STR_420,Lactobacillus,among,Positive,Microaerophilic,2.29
STR_283,Pseudomonas,similar,Positive,Microaerophilic,4.79
STR_159,Streptococcus,still,Negative,Facultative Anaerobe,2.17
STR_849,Lactobacillus,yeah,Negative,Anaerobic,7.92
STR_647,Streptococcus,various,Negative,Aerobic,0.57
STR_569,Staphylococcus,short,Positive,Facultative Anaerobe,8.78
STR_308,Staphylococcus,cold,Negative,Anaerobic,0.88
STR_137,Pseudomonas,else,Positive,Aerobic,3.85
STR_313,Staphylococcus,especially,Positive,Aerobic,1.61
STR_536,Clostridium,western,Negative,Microaerophilic,5.27
STR_150,Streptococcus,once,Negative,Aerobic,6.2
STR_481,Streptococcus,step,Negative,Anaerobic,6.95
STR_641,Staphylococcus,side,Negative,Aerobic,1.53
STR_528,Bacillus,employee,Negative,Facultative Anaerobe,2.33
STR_102,Staphylococcus,book,Positive,Microaerophilic,3.37
STR_497,Staphylococcus,modern,Positive,Aerobic,2.57
STR_210,Pseudomonas,voice,Positive,Aerobic,2.25
STR_634,Clostridium,follow,Positive,Aerobic,7.02
STR_590,Staphylococcus,recognize,Positive,Aerobic,9.21
STR_566,Bacillus,window,Negative,Aerobic,4.35
STR_431,Streptococcus,husband,Positive,Aerobic,1.55
STR_180,Lactobacillus,social,Positive,Aerobic,7.95
STR_831,Pseudomonas,own,Positive,Anaerobic,3.33
STR_603,Clostridium,down,Negative,Aerobic,6.64
STR_644,Streptococcus,degree,Negative,Microaerophilic,7.41
STR_493,Clostridium,they,Negative,Aerobic,4.58
STR_173,Lactobacillus,compare,Negative,Microaerophilic,0.86
STR_400,Streptococcus,lead,Positive,Microaerophilic,3.06
STR_297,Bacillus,collection,Negative,Microaerophilic,0.84
STR_866,Streptococcus,however,Negative,Microaerophilic,2.3
STR_167,Lactobacillus,be,Negative,Aerobic,8.68
STR_671,Lactobacillus,particularly,Negative,Microaerophilic,8.51
STR_956,Bacillus,order,Positive,Anaerobic,5.9
STR_304,Bacillus,well,Positive,Microaerophilic,2.71
STR_943,Lactobacillus,discover,Positive,Facultative Anaerobe,0.53
STR_876,Clostridium,radio,Positive,Aerobic,1.77
STR_640,Lactobacillus,mention,Positive,Facultative Anaerobe,7.31
