strain_id,genus,species,gram_stain,oxygen_req,colony_diameter_mm
STR_504,Staphylococcus,nor,Positive,Microaerophilic,4.66
STR_109,Staphylococcus,make,Negative,Aerobic,8.48
STR_865,Clostridium,news,Negative,Microaerophilic,7.19
STR_434,Streptococcus,effect,Negative,Aerobic,0.74
STR_908,Staphylococcus,may,Positive,Facultative Anaerobe,5.02
STR_251,Streptococcus,economy,Positive,Microaerophilic,2.84
STR_640,Staphylococcus,city,Positive,Microaerophilic,3.92
STR_984,Staphylococcus,that,Negative,Facultative Anaerobe,2.61
STR_732,Pseudomonas,available,Negative,Microaerophilic,6.83
STR_124,Clostridium,both,Negative,Microaerophilic,5.2
STR_857,Lactobacillus,send,Positive,Microaerophilic,3.96
STR_173,Staphylococcus,end,Negative,Aerobic,9.65
STR_306,Lactobacillus,less,Positive,Facultative Anaerobe,6.75
STR_220,Streptococcus,left,Positive,Microaerophilic,8.09
STR_379,Pseudomonas,when,Negative,Anaerobic,8.32
STR_580,Streptococcus,whom,Positive,Anaerobic,7.54
STR_936,Clostridium,environment,Negative,Aerobic,1.57
STR_399,Bacillus,change,Negative,Facultative Anaerobe,0.54
STR_600,Lactobacillus,drug,Positive,Microaerophilic,2.01
STR_721,Pseudomonas,able,Negative,Microaerophilic,4.13
STR_744,Streptococcus,week,Positive,Aerobic,7.11
STR_541,Pseudomonas,result,Negative,Anaerobic,2.47
STR_718,Pseudomonas,year,Negative,Aerobic,7.33
STR_191,Streptococcus,surface,Positive,Anaerobic,4.54
STR_581,Bacillus,beautiful,Positive,Microaerophilic,2.05
STR_254,Lactobacillus,deep,Negative,Anaerobic,6.78
STR_335,Clostridium,service,Negative,Aerobic,6.76
STR_271,Clostridium,character,Positive,Microaerophilic,3.61
STR_493,Streptococcus,area,Negative,Microaerophilic,5.84
STR_234,Staphylococcus,note,Negative,Microaerophilic,7.45
STR_108,Clostridium,these,Positive,Anaerobic,2.43
STR_362,Clostridium,example,Positive,Anaerobic,9.95
STR_286,Streptococcus,interview,Negative,Anaerobic,1.07
STR_222,Bacillus,change,Positive,Facultative Anaerobe,5.88
STR_374,Streptococcus,night,Positive,Anaerobic,6.06
STR_561,Lactobacillus,feeling,Negative,Anaerobic,4.99
STR_332,Clostridium,hair,Negative,Aerobic,9.55
STR_328,Clostridium,magazine,Positive,Microaerophilic,9.1
STR_374,Staphylococcus,have,Positive,Microaerophilic,6.53
STR_401,Lactobacillus,American,Positive,Anaerobic,6.32
STR_417,Pseudomonas,role,Positive,Facultative Anaerobe,0.61
STR_696,Staphylococcus,travel,Negative,Anaerobic,6.83
STR_809,Bacillus,back,Negative,Facultative Anaerobe,0.73
STR_768,Streptococcus,participant,Negative,Aerobic,8.25
STR_548,Clostridium,support,Negative,Anaerobic,3.37
STR_848,Streptococcus,policy,Positive,Aerobic,3.1
STR_621,Lactobacillus,mean,Negative,Microaerophilic,6.97
STR_130,Clostridium,deal,Negative,Facultative Anaerobe,1.39
STR_383,Streptococcus,check,Positive,Microaerophilic,4.12
STR_435,Staphylococcus,among,Positive,Aerobic,9.04
STR_618,Streptococcus,bad,Negative,Aerobic,7.04
STR_175,Lactobacillus,according,Negative,Aerobic,3.18
STR_460,Clostridium,join,Positive,Microaerophilic,0.89
STR_591,Pseudomonas,political,Negative,Aerobic,1.57
STR_579,Bacillus,maintain,Negative,Facultative Anaerobe,4.41
STR_910,Pseudomonas,lay,Negative,Facultative Anaerobe,7.54
STR_173,Staphylococcus,street,Positive,Microaerophilic,1.42
STR_176,Streptococcus,only,Negative,Facultative Anaerobe,2.9
STR_289,Clostridium,assume,Positive,Aerobic,3.17
STR_228,Clostridium,many,Negative,Facultative Anaerobe,8.12
STR_938,Lactobacillus,message,Negative,Anaerobic,9.73
STR_710,Pseudomonas,decide,Positive,Anaerobic,8.54
STR_818,Clostridium,fire,Negative,Facultative Anaerobe,5.73
STR_969,Pseudomonas,billion,Negative,Aerobic,7.22
STR_454,Clostridium,hotel,Positive,Microaerophilic,9.23
STR_715,Pseudomonas,little,Positive,Microaerophilic,8.49
STR_389,Bacillus,kid,Positive,Facultative Anaerobe,2.06
STR_464,Clostridium,play,Positive,Microaerophilic,3.71
STR_997,Lactobacillus,southern,Positive,Microaerophilic,5.81
STR_656,Bacillus,mother,Negative,Microaerophilic,7.26
STR_442,Clostridium,economic,Negative,Aerobic,1.8
STR_240,Staphylococcus,then,Negative,Microaerophilic,1.42
STR_705,Streptococcus,anything,Negative,Microaerophilic,9.05
STR_572,Lactobacillus,turn,Positive,Aerobic,7.72
STR_301,Staphylococcus,fish,Negative,Anaerobic,4.4
STR_969,Bacillus,approach,Positive,Microaerophilic,2.62
STR_643,Bacillus,car,Positive,Aerobic,2.56
STR_579,Streptococcus,up,Negative,Aerobic,5.07
STR_744,Streptococcus,large,Negative,Anaerobic,9.96
STR_735,Streptococcus,movie,Negative,Microaerophilic,1.58
STR_422,Staphylococcus,race,Negative,Facultative Anaerobe,8.46
STR_412,Staphylococcus,may,Negative,Anaerobic,4.93
STR_145,Lactobacillus,along,Negative,Aerobic,4.32
STR_222,Clostridium,natural,Positive,Facultative Anaerobe,3.47
STR_360,Bacillus,stuff,Negative,Anaerobic,2.53
STR_386,Pseudomonas,difference,Negative,Anaerobic,7.16
STR_906,Clostridium,same,Negative,Anaerobic,5.12
STR_445,Lactobacillus,bar,Positive,Facultative Anaerobe,6.49
STR_969,Lactobacillus,drop,Positive,Facultative Anaerobe,7.44
STR_798,Staphylococcus,itself,Positive,Anaerobic,4.69
STR_768,Clostridium,other,Negative,Facultative Anaerobe,5.36
STR_556,Clostridium,late,Negative,Facultative Anaerobe,5.34
STR_292,Lactobacillus,bad,Positive,Anaerobic,7.98
STR_618,Streptococcus,wish,Positive,Aerobic,1.55
STR_917,Streptococcus,moment,Negative,Aerobic,9.29
STR_242,Bacillus,establish,Negative,Anaerobic,2.46
STR_593,Pseudomonas,value,Positive,Microaerophilic,4.95
STR_777,Lactobacillus,maybe,Positive,Facultative Anaerobe,2.81
STR_113,Streptococcus,Mr,Negative,Anaerobic,1.34
STR_104,Pseudomonas,and,Negative,Aerobic,6.7
