neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_5118,Hippocampus,90.11,104.22,Rattus norvegicus
NEUR_9940,Thalamus,147.15,55.37,Danio rerio
NEUR_8569,Hypothalamus,22.57,50.8,Rattus norvegicus
NEUR_2097,Striatum,112.27,64.09,Mus musculus
NEUR_8438,Cerebellum,99.24,96.0,Rattus norvegicus
NEUR_5749,Amygdala,3.68,62.22,Danio rerio
NEUR_6259,Thalamus,83.49,72.65,Rattus norvegicus
NEUR_7349,Hypothalamus,113.37,14.71,Mus musculus
NEUR_9168,Hypothalamus,148.62,37.47,Mus musculus
NEUR_4385,Amygdala,146.64,11.7,Danio rerio
NEUR_1923,Cerebellum,49.49,110.38,Mus musculus
NEUR_8506,Hypothalamus,137.59,100.97,Rattus norvegicus
NEUR_1785,Thalamus,102.67,79.33,Danio rerio
NEUR_6224,Amygdala,90.93,115.17,Danio rerio
NEUR_8304,Amygdala,30.09,49.77,Mus musculus
NEUR_3333,Striatum,7.61,83.36,Danio rerio
NEUR_6445,Hippocampus,32.51,110.89,Danio rerio
NEUR_3911,Cortex,121.47,45.52,Rattus norvegicus
NEUR_4815,Cortex,79.8,90.32,Danio rerio
NEUR_1639,Cerebellum,77.21,86.49,Rattus norvegicus
NEUR_9684,Cerebellum,11.84,71.43,Mus musculus
NEUR_5456,Hippocampus,2.94,18.44,Rattus norvegicus
NEUR_9422,Thalamus,66.85,75.24,Rattus norvegicus
NEUR_5603,Amygdala,142.75,53.35,Danio rerio
NEUR_2061,Thalamus,100.85,10.86,Mus musculus
NEUR_4857,Cortex,84.21,61.92,Macaca mulatta
NEUR_4541,Hypothalamus,44.02,82.43,Danio rerio
NEUR_5160,Thalamus,131.57,106.99,Mus musculus
NEUR_1700,Thalamus,12.04,33.53,Macaca mulatta
NEUR_5792,Hippocampus,106.06,61.13,Rattus norvegicus
NEUR_7071,Striatum,70.02,26.71,Mus musculus
NEUR_2027,Thalamus,3.79,21.65,Danio rerio
