neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_6111,Thalamus,144.76,71.72,Mus musculus
NEUR_6879,Cerebellum,24.73,30.44,Danio rerio
NEUR_5966,Thalamus,90.63,28.21,Rattus norvegicus
NEUR_6166,Hippocampus,43.25,95.73,Mus musculus
NEUR_8995,Hippocampus,134.86,22.18,Danio rerio
NEUR_5300,Hypothalamus,93.88,96.34,Danio rerio
NEUR_4938,Hypothalamus,7.69,108.65,Mus musculus
NEUR_9252,Striatum,42.66,23.3,Rattus norvegicus
NEUR_3997,Cortex,80.44,106.97,Macaca mulatta
NEUR_4406,Striatum,59.37,74.93,Macaca mulatta
NEUR_1344,Hypothalamus,100.81,118.76,Mus musculus
NEUR_1230,Striatum,133.18,67.25,Rattus norvegicus
NEUR_6606,Hippocampus,71.94,69.7,Macaca mulatta
NEUR_8168,Hypothalamus,101.76,24.13,Mus musculus
NEUR_3644,Cerebellum,51.3,89.36,Danio rerio
NEUR_1076,Cerebellum,5.16,92.22,Danio rerio
NEUR_4114,Hippocampus,17.35,101.13,Macaca mulatta
NEUR_8023,Hippocampus,130.57,104.66,Danio rerio
NEUR_5828,Striatum,77.52,28.55,Rattus norvegicus
NEUR_4848,Hypothalamus,4.2,109.18,Macaca mulatta
NEUR_2086,Hypothalamus,91.23,97.7,Danio rerio
NEUR_2726,Striatum,69.25,73.16,Mus musculus
NEUR_6130,Hippocampus,43.93,71.99,Danio rerio
NEUR_5208,Hippocampus,53.75,71.27,Mus musculus
NEUR_6975,Hypothalamus,138.37,111.9,Macaca mulatta
NEUR_2352,Hypothalamus,16.21,98.58,Danio rerio
NEUR_7214,Hypothalamus,149.52,27.04,Rattus norvegicus
NEUR_4856,Cerebellum,86.36,63.6,Mus musculus
NEUR_5963,Amygdala,77.79,15.16,Rattus norvegicus
NEUR_3263,Amygdala,123.93,96.32,Macaca mulatta
NEUR_9663,Cerebellum,41.67,92.74,Macaca mulatta
NEUR_8036,Striatum,129.34,83.75,Macaca mulatta
NEUR_9200,Thalamus,71.41,114.02,Mus musculus
NEUR_7035,Thalamus,79.81,81.27,Mus musculus
NEUR_9882,Thalamus,116.9,37.82,Rattus norvegicus
NEUR_9502,Amygdala,104.66,86.56,Rattus norvegicus
NEUR_9521,Cerebellum,90.19,83.76,Mus musculus
NEUR_7288,Cerebellum,7.52,38.29,Rattus norvegicus
NEUR_2187,Hypothalamus,14.89,49.45,Mus musculus
NEUR_8999,Thalamus,118.8,60.95,Danio rerio
NEUR_3084,Hypothalamus,26.87,24.38,Danio rerio
NEUR_3970,Cerebellum,127.05,97.31,Macaca mulatta
NEUR_1435,Hippocampus,35.21,85.6,Danio rerio
NEUR_6914,Cerebellum,78.77,102.49,Danio rerio
NEUR_2679,Amygdala,54.84,91.16,Macaca mulatta
NEUR_6491,Thalamus,19.43,28.39,Rattus norvegicus
NEUR_5470,Cortex,130.82,10.26,Mus musculus
NEUR_3451,Striatum,43.64,87.8,Danio rerio
NEUR_5594,Striatum,72.11,77.5,Mus musculus
NEUR_2858,Hippocampus,3.14,118.75,Rattus norvegicus
NEUR_1380,Hippocampus,145.41,10.08,Rattus norvegicus
NEUR_2357,Cortex,97.53,27.71,Mus musculus
NEUR_4648,Striatum,54.17,108.1,Rattus norvegicus
NEUR_2569,Hippocampus,105.45,26.84,Macaca mulatta
NEUR_5817,Cerebellum,16.83,18.51,Rattus norvegicus
NEUR_8091,Cortex,102.88,105.48,Rattus norvegicus
NEUR_1240,Striatum,85.15,80.67,Mus musculus
NEUR_9319,Striatum,86.68,57.19,Danio rerio
NEUR_3925,Hypothalamus,4.6,11.86,Rattus norvegicus
NEUR_3195,Striatum,98.18,53.73,Danio rerio
NEUR_9179,Cortex,87.37,117.42,Macaca mulatta
NEUR_9939,Hypothalamus,81.13,45.56,Rattus norvegicus
NEUR_9756,Hypothalamus,4.79,35.32,Macaca mulatta
NEUR_3902,Cerebellum,44.46,97.21,Rattus norvegicus
NEUR_1593,Hypothalamus,67.63,10.61,Danio rerio
NEUR_5889,Hippocampus,122.81,118.3,Mus musculus
NEUR_4137,Hypothalamus,8.15,45.61,Mus musculus
NEUR_6739,Thalamus,66.16,106.05,Macaca mulatta
NEUR_9911,Cerebellum,117.76,56.19,Mus musculus
