neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_4610,Thalamus,12.11,36.43,Rattus norvegicus
NEUR_6661,Striatum,88.11,100.23,Rattus norvegicus
NEUR_9362,Hypothalamus,126.91,88.23,Macaca mulatta
NEUR_5823,Hypothalamus,48.15,53.71,Danio rerio
NEUR_3722,Hypothalamus,7.15,48.33,Danio rerio
NEUR_5002,Cerebellum,0.78,20.39,Macaca mulatta
NEUR_7928,Cortex,118.25,79.7,Mus musculus
NEUR_3899,Striatum,105.34,16.26,Danio rerio
NEUR_6165,Cortex,145.79,103.56,Rattus norvegicus
NEUR_8516,Cortex,41.17,95.15,Danio rerio
NEUR_6247,Cortex,129.71,50.6,Macaca mulatta
NEUR_2197,Hippocampus,135.15,110.0,Macaca mulatta
NEUR_8263,Cerebellum,63.0,26.82,Danio rerio
NEUR_1207,Hippocampus,74.88,40.21,Mus musculus
NEUR_1707,Cortex,62.46,75.13,Danio rerio
NEUR_9687,Striatum,36.86,101.6,Macaca mulatta
NEUR_5314,Thalamus,119.7,108.05,Danio rerio
NEUR_7271,Cortex,12.94,89.06,Mus musculus
NEUR_4984,Cortex,147.69,92.17,Rattus norvegicus
NEUR_9168,Striatum,21.09,35.46,Danio rerio
NEUR_3682,Cerebellum,148.35,69.18,Rattus norvegicus
NEUR_4236,Hypothalamus,60.29,45.74,Danio rerio
NEUR_1879,Striatum,54.06,12.3,Macaca mulatta
NEUR_1603,Cerebellum,29.84,39.73,Macaca mulatta
NEUR_1215,Cortex,15.3,98.51,Macaca mulatta
NEUR_9072,Hypothalamus,147.37,80.73,Macaca mulatta
NEUR_8092,Cortex,67.86,25.71,Macaca mulatta
NEUR_8231,Hypothalamus,61.01,100.09,Rattus norvegicus
NEUR_5773,Hypothalamus,34.92,52.94,Danio rerio
NEUR_1610,Striatum,28.8,117.85,Mus musculus
NEUR_5198,Amygdala,95.97,94.44,Rattus norvegicus
NEUR_4043,Amygdala,57.06,51.18,Rattus norvegicus
NEUR_8516,Cerebellum,49.49,40.85,Rattus norvegicus
NEUR_9006,Thalamus,80.74,105.64,Rattus norvegicus
NEUR_8651,Cerebellum,39.4,73.83,Macaca mulatta
NEUR_9444,Hippocampus,97.08,102.04,Mus musculus
NEUR_8042,Amygdala,75.74,111.9,Danio rerio
NEUR_3659,Cortex,28.12,29.63,Danio rerio
NEUR_8939,Amygdala,125.4,18.06,Rattus norvegicus
NEUR_2248,Thalamus,123.87,36.61,Macaca mulatta
NEUR_5740,Striatum,142.79,36.23,Rattus norvegicus
NEUR_2680,Striatum,66.32,16.45,Rattus norvegicus
NEUR_2880,Hippocampus,139.76,51.14,Danio rerio
NEUR_9109,Cerebellum,128.01,108.6,Mus musculus
NEUR_4507,Amygdala,100.94,69.66,Danio rerio
NEUR_8541,Cerebellum,41.07,33.31,Danio rerio
NEUR_1342,Thalamus,64.18,115.96,Rattus norvegicus
NEUR_6348,Thalamus,23.88,46.24,Rattus norvegicus
NEUR_2066,Cerebellum,10.34,96.48,Mus musculus
NEUR_7379,Cerebellum,77.22,48.4,Mus musculus
NEUR_5070,Striatum,78.1,76.39,Danio rerio
NEUR_9378,Cerebellum,36.57,39.34,Macaca mulatta
NEUR_7225,Cerebellum,99.26,91.75,Rattus norvegicus
NEUR_4324,Thalamus,132.0,17.22,Danio rerio
NEUR_5366,Hippocampus,105.31,56.33,Macaca mulatta
NEUR_7972,Amygdala,1.65,46.98,Rattus norvegicus
NEUR_9407,Striatum,73.19,97.14,Danio rerio
NEUR_4179,Cerebellum,27.51,21.05,Mus musculus
NEUR_2242,Cerebellum,43.05,112.76,Mus musculus
NEUR_7106,Cortex,45.2,39.34,Danio rerio
NEUR_5684,Thalamus,22.09,90.73,Danio rerio
NEUR_4958,Hypothalamus,27.19,95.18,Mus musculus
NEUR_6801,Cerebellum,19.36,26.94,Mus musculus
NEUR_6068,Striatum,83.53,91.82,Mus musculus
NEUR_8170,Thalamus,66.89,28.11,Mus musculus
NEUR_5901,Hippocampus,123.91,110.82,Mus musculus
NEUR_6699,Hippocampus,82.37,58.07,Danio rerio
