neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_3855,Striatum,22.06,43.0,Mus musculus
NEUR_8721,Hippocampus,96.35,113.9,Rattus norvegicus
NEUR_2524,Cortex,45.18,117.48,Danio rerio
NEUR_3910,Amygdala,115.3,70.68,Macaca mulatta
NEUR_5215,Thalamus,101.41,63.32,Macaca mulatta
NEUR_8836,Hippocampus,145.41,28.22,Rattus norvegicus
NEUR_6943,Cerebellum,123.46,25.08,Macaca mulatta
NEUR_8431,Hippocampus,72.72,20.58,Mus musculus
NEUR_9695,Cerebellum,110.15,53.63,Macaca mulatta
NEUR_3709,Cortex,80.27,64.0,Rattus norvegicus
NEUR_1387,Cortex,55.73,38.07,Macaca mulatta
NEUR_8415,Cortex,95.08,28.45,Danio rerio
NEUR_6358,Cerebellum,144.76,118.19,Rattus norvegicus
NEUR_7171,Thalamus,129.47,109.91,Macaca mulatta
NEUR_5949,Cortex,102.24,52.73,Macaca mulatta
NEUR_5028,Amygdala,135.37,24.08,Danio rerio
NEUR_1994,Cerebellum,90.48,66.09,Mus musculus
NEUR_3440,Hippocampus,137.98,10.19,Macaca mulatta
NEUR_5640,Amygdala,134.98,101.42,Danio rerio
NEUR_2418,Hypothalamus,9.77,63.93,Danio rerio
NEUR_7714,Cortex,100.33,54.64,Rattus norvegicus
NEUR_4583,Amygdala,122.4,101.3,Rattus norvegicus
NEUR_4396,Striatum,113.17,23.2,Danio rerio
NEUR_9572,Amygdala,90.79,88.47,Rattus norvegicus
NEUR_1473,Hippocampus,74.1,50.79,Rattus norvegicus
NEUR_9109,Cortex,74.73,75.17,Macaca mulatta
NEUR_5296,Cortex,145.35,72.21,Danio rerio
NEUR_8536,Cortex,121.53,47.13,Rattus norvegicus
NEUR_6401,Striatum,129.28,66.85,Mus musculus
NEUR_9217,Hypothalamus,140.43,70.48,Rattus norvegicus
NEUR_8917,Cortex,145.19,119.12,Rattus norvegicus
NEUR_6141,Striatum,79.77,69.93,Rattus norvegicus
NEUR_2780,Hippocampus,81.71,16.96,Macaca mulatta
NEUR_9996,Hypothalamus,102.65,76.67,Macaca mulatta
NEUR_8804,Cortex,26.93,114.75,Macaca mulatta
NEUR_1618,Striatum,133.76,31.47,Macaca mulatta
NEUR_4516,Hippocampus,88.01,99.33,Danio rerio
NEUR_5980,Striatum,55.37,40.1,Danio rerio
NEUR_5727,Striatum,31.08,44.97,Rattus norvegicus
NEUR_9783,Hypothalamus,114.14,94.74,Mus musculus
NEUR_6653,Thalamus,102.48,33.93,Macaca mulatta
NEUR_3622,Cerebellum,130.52,57.78,Mus musculus
NEUR_1884,Hypothalamus,87.92,93.38,Macaca mulatta
NEUR_9943,Striatum,131.61,35.39,Rattus norvegicus
NEUR_9062,Thalamus,13.27,53.47,Rattus norvegicus
NEUR_6843,Amygdala,132.23,72.38,Rattus norvegicus
NEUR_8597,Thalamus,105.38,89.65,Danio rerio
NEUR_3693,Striatum,22.82,43.17,Mus musculus
NEUR_2420,Striatum,61.77,43.75,Danio rerio
NEUR_5108,Cortex,69.76,112.64,Mus musculus
NEUR_1971,Hypothalamus,10.72,39.52,Mus musculus
NEUR_8818,Striatum,35.57,43.88,Macaca mulatta
NEUR_6049,Cerebellum,3.12,65.95,Macaca mulatta
NEUR_7900,Cerebellum,126.26,68.81,Mus musculus
NEUR_7227,Amygdala,74.11,95.38,Danio rerio
NEUR_4757,Hypothalamus,36.72,36.41,Rattus norvegicus
NEUR_8158,Amygdala,15.67,100.86,Rattus norvegicus
NEUR_8863,Thalamus,108.69,24.19,Mus musculus
NEUR_3002,Amygdala,138.05,96.09,Macaca mulatta
NEUR_3969,Hippocampus,98.61,64.59,Macaca mulatta
NEUR_7995,Hypothalamus,66.55,11.46,Rattus norvegicus
NEUR_8188,Hippocampus,51.29,29.13,Rattus norvegicus
NEUR_5912,Amygdala,14.3,21.15,Macaca mulatta
NEUR_9857,Striatum,31.03,118.95,Macaca mulatta
NEUR_1758,Cortex,54.43,58.63,Macaca mulatta
NEUR_9745,Cortex,34.78,53.76,Mus musculus
NEUR_5707,Amygdala,20.31,81.25,Danio rerio
NEUR_3899,Hippocampus,139.54,75.19,Mus musculus
NEUR_7916,Cerebellum,100.45,23.2,Danio rerio
NEUR_2245,Amygdala,36.48,96.47,Mus musculus
NEUR_6496,Hypothalamus,13.42,74.0,Rattus norvegicus
NEUR_3870,Striatum,68.21,93.34,Rattus norvegicus
NEUR_3185,Cerebellum,67.74,15.47,Macaca mulatta
NEUR_6173,Cortex,123.58,62.58,Macaca mulatta
NEUR_9070,Cerebellum,65.98,17.12,Macaca mulatta
