neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_1535,Hypothalamus,80.27,116.4,Mus musculus
NEUR_3514,Hypothalamus,86.16,94.54,Mus musculus
NEUR_3116,Thalamus,30.27,32.23,Macaca mulatta
NEUR_7690,Thalamus,122.35,40.48,Danio rerio
NEUR_2117,Cortex,63.29,81.29,Macaca mulatta
NEUR_3104,Striatum,6.8,47.51,Rattus norvegicus
NEUR_8386,Hypothalamus,3.4,66.62,Mus musculus
NEUR_5287,Thalamus,116.43,83.4,Danio rerio
NEUR_7790,Hippocampus,0.46,81.06,Rattus norvegicus
NEUR_7211,Hypothalamus,55.93,96.53,Mus musculus
NEUR_6682,Hippocampus,31.83,40.29,Macaca mulatta
NEUR_6592,Amygdala,146.96,110.77,Rattus norvegicus
NEUR_5846,Thalamus,100.65,95.49,Macaca mulatta
NEUR_3949,Thalamus,98.29,83.37,Mus musculus
NEUR_4436,Striatum,129.5,91.15,Rattus norvegicus
NEUR_8790,Cerebellum,101.66,93.33,Rattus norvegicus
NEUR_6256,Striatum,116.39,97.18,Danio rerio
NEUR_3478,Amygdala,121.8,23.83,Danio rerio
NEUR_8312,Cortex,149.21,23.17,Mus musculus
NEUR_6772,Striatum,143.34,71.83,Danio rerio
NEUR_8697,Thalamus,42.16,103.31,Mus musculus
NEUR_3828,Cortex,41.77,65.94,Danio rerio
NEUR_6216,Hypothalamus,134.99,45.65,Macaca mulatta
NEUR_6801,Hypothalamus,16.41,82.34,Danio rerio
NEUR_3649,Cortex,108.77,22.83,Rattus norvegicus
NEUR_3433,Striatum,135.8,87.34,Mus musculus
NEUR_3225,Amygdala,109.45,52.45,Macaca mulatta
NEUR_4939,Thalamus,87.31,56.45,Danio rerio
NEUR_9393,Thalamus,9.16,106.5,Macaca mulatta
NEUR_4749,Hippocampus,91.81,65.93,Danio rerio
NEUR_2243,Striatum,71.27,36.79,Danio rerio
NEUR_3854,Amygdala,80.99,10.08,Macaca mulatta
NEUR_4952,Hippocampus,101.59,15.18,Danio rerio
NEUR_5898,Amygdala,106.03,66.18,Macaca mulatta
NEUR_3423,Cortex,59.61,31.64,Mus musculus
NEUR_7288,Hypothalamus,33.99,69.01,Mus musculus
NEUR_3496,Cerebellum,113.84,70.0,Mus musculus
NEUR_2325,Cerebellum,71.38,52.07,Rattus norvegicus
NEUR_9063,Thalamus,78.9,98.18,Rattus norvegicus
NEUR_3185,Hippocampus,101.28,82.33,Macaca mulatta
NEUR_1554,Cortex,66.35,113.37,Macaca mulatta
NEUR_6173,Amygdala,10.01,109.41,Macaca mulatta
NEUR_5777,Hippocampus,49.81,87.33,Macaca mulatta
NEUR_5942,Amygdala,77.18,111.41,Macaca mulatta
NEUR_3392,Cerebellum,70.3,105.91,Rattus norvegicus
NEUR_4201,Thalamus,119.29,88.59,Mus musculus
NEUR_5607,Striatum,28.92,27.48,Rattus norvegicus
NEUR_1329,Amygdala,94.1,90.03,Mus musculus
NEUR_7526,Cerebellum,3.51,69.51,Danio rerio
NEUR_2445,Hypothalamus,74.03,60.09,Danio rerio
NEUR_5523,Amygdala,102.13,28.61,Rattus norvegicus
NEUR_7942,Amygdala,31.86,38.0,Mus musculus
NEUR_5828,Amygdala,51.83,65.11,Mus musculus
NEUR_2946,Striatum,75.52,14.71,Danio rerio
NEUR_6942,Hypothalamus,89.76,79.64,Macaca mulatta
NEUR_5883,Cerebellum,111.73,93.6,Mus musculus
NEUR_4459,Hippocampus,87.73,31.53,Macaca mulatta
NEUR_1907,Striatum,81.8,104.96,Mus musculus
NEUR_4978,Amygdala,33.11,89.76,Macaca mulatta
NEUR_6613,Cerebellum,95.79,10.32,Macaca mulatta
NEUR_8495,Thalamus,79.55,70.29,Mus musculus
NEUR_8814,Hypothalamus,120.07,91.64,Danio rerio
NEUR_2910,Cerebellum,69.45,43.28,Danio rerio
NEUR_5230,Hypothalamus,28.87,35.01,Rattus norvegicus
NEUR_3424,Thalamus,115.83,47.44,Macaca mulatta
NEUR_8548,Cortex,127.49,60.9,Mus musculus
NEUR_5317,Hypothalamus,17.37,60.13,Rattus norvegicus
NEUR_7222,Hypothalamus,98.56,79.67,Danio rerio
NEUR_8721,Striatum,135.6,67.85,Macaca mulatta
NEUR_5654,Amygdala,55.75,50.61,Rattus norvegicus
NEUR_6254,Striatum,121.82,28.26,Danio rerio
NEUR_8639,Hypothalamus,70.05,48.13,Macaca mulatta
NEUR_3295,Cerebellum,38.75,111.56,Rattus norvegicus
NEUR_7418,Striatum,22.01,24.39,Mus musculus
NEUR_3550,Hippocampus,104.84,53.91,Macaca mulatta
NEUR_9128,Thalamus,18.87,23.12,Mus musculus
NEUR_6567,Hippocampus,5.04,18.93,Macaca mulatta
NEUR_5444,Cortex,55.74,101.57,Mus musculus
NEUR_3113,Thalamus,11.77,48.14,Macaca mulatta
NEUR_5569,Hypothalamus,56.17,81.26,Rattus norvegicus
NEUR_2811,Cortex,87.79,68.59,Macaca mulatta
NEUR_9601,Hippocampus,123.43,94.93,Mus musculus
NEUR_5382,Hippocampus,65.87,44.52,Rattus norvegicus
NEUR_7768,Amygdala,17.09,54.91,Danio rerio
NEUR_3222,Cerebellum,105.8,83.15,Mus musculus
NEUR_5938,Amygdala,114.44,26.46,Mus musculus
NEUR_6039,Cerebellum,32.18,40.15,Mus musculus
NEUR_8834,Hypothalamus,24.26,68.89,Mus musculus
NEUR_2213,Cortex,39.61,59.75,Mus musculus
NEUR_7563,Cortex,47.56,12.93,Macaca mulatta
NEUR_6295,Cortex,148.57,15.45,Mus musculus
NEUR_4194,Cerebellum,118.51,41.66,Rattus norvegicus
NEUR_6179,Thalamus,65.24,73.2,Macaca mulatta
NEUR_2731,Thalamus,131.35,23.67,Mus musculus
NEUR_2870,Thalamus,33.49,17.13,Mus musculus
NEUR_5449,Amygdala,23.59,83.53,Mus musculus
NEUR_6968,Thalamus,5.96,119.26,Mus musculus
NEUR_4281,Hypothalamus,6.18,70.41,Mus musculus
NEUR_3001,Amygdala,62.54,51.68,Mus musculus
NEUR_3856,Thalamus,113.69,52.07,Macaca mulatta
NEUR_5702,Hippocampus,40.13,102.0,Rattus norvegicus
NEUR_8603,Thalamus,129.49,58.23,Danio rerio
NEUR_7204,Thalamus,45.36,104.1,Mus musculus
NEUR_3364,Hypothalamus,117.43,57.83,Danio rerio
NEUR_2288,Cerebellum,31.63,13.94,Rattus norvegicus
NEUR_1545,Hippocampus,49.46,91.45,Rattus norvegicus
NEUR_1606,Striatum,8.29,50.73,Mus musculus
NEUR_1734,Amygdala,96.69,47.28,Macaca mulatta
NEUR_6276,Amygdala,107.93,25.4,Mus musculus
NEUR_8601,Hippocampus,92.76,68.39,Danio rerio
NEUR_4029,Hippocampus,11.1,59.06,Danio rerio
NEUR_7973,Amygdala,42.06,53.27,Danio rerio
NEUR_2162,Thalamus,114.16,111.58,Rattus norvegicus
NEUR_5588,Hypothalamus,21.47,59.85,Danio rerio
NEUR_3672,Cortex,149.08,13.9,Danio rerio
NEUR_1162,Hippocampus,84.69,89.02,Macaca mulatta
NEUR_5177,Striatum,106.21,63.0,Rattus norvegicus
NEUR_5204,Hypothalamus,11.9,61.32,Macaca mulatta
NEUR_9071,Hypothalamus,113.83,76.76,Macaca mulatta
NEUR_5328,Striatum,74.18,72.81,Danio rerio
NEUR_3203,Amygdala,124.03,57.89,Macaca mulatta
NEUR_3996,Cortex,28.58,109.58,Mus musculus
NEUR_3056,Hippocampus,146.47,98.18,Danio rerio
NEUR_4747,Cerebellum,8.36,83.4,Danio rerio
NEUR_5997,Hypothalamus,67.79,99.31,Rattus norvegicus
NEUR_2108,Cortex,56.3,57.46,Danio rerio
NEUR_9571,Amygdala,124.48,99.23,Mus musculus
NEUR_1136,Thalamus,46.39,112.28,Danio rerio
NEUR_1629,Cerebellum,96.63,118.46,Mus musculus
NEUR_4473,Hypothalamus,133.81,90.69,Rattus norvegicus
NEUR_8796,Cortex,71.66,54.79,Mus musculus
NEUR_5947,Cortex,39.89,98.93,Macaca mulatta
NEUR_2165,Cerebellum,84.24,33.01,Macaca mulatta
NEUR_3641,Striatum,45.08,18.33,Macaca mulatta
NEUR_1536,Cortex,8.99,77.03,Mus musculus
NEUR_5398,Hypothalamus,104.69,116.35,Macaca mulatta
NEUR_1931,Striatum,79.22,80.61,Danio rerio
NEUR_4369,Hypothalamus,146.91,115.16,Danio rerio
NEUR_3623,Cerebellum,134.13,58.18,Macaca mulatta
NEUR_3329,Cortex,3.87,103.74,Rattus norvegicus
NEUR_8474,Hypothalamus,24.7,74.98,Macaca mulatta
NEUR_9271,Cerebellum,24.63,48.68,Rattus norvegicus
NEUR_3623,Cortex,125.85,82.23,Danio rerio
NEUR_4484,Cortex,114.41,77.18,Mus musculus
NEUR_5489,Striatum,92.72,65.81,Danio rerio
NEUR_6068,Cortex,58.07,34.05,Danio rerio
NEUR_1076,Hypothalamus,25.6,19.76,Mus musculus
NEUR_2540,Cerebellum,71.27,49.94,Mus musculus
NEUR_8621,Amygdala,83.3,75.76,Mus musculus
NEUR_9390,Striatum,68.29,87.43,Rattus norvegicus
NEUR_6471,Cerebellum,111.23,97.21,Mus musculus
NEUR_4390,Thalamus,31.55,27.6,Danio rerio
NEUR_8196,Cerebellum,101.15,78.95,Mus musculus
NEUR_2715,Thalamus,45.88,16.8,Danio rerio
NEUR_7051,Amygdala,82.14,107.09,Mus musculus
NEUR_8660,Hypothalamus,135.38,34.22,Mus musculus
NEUR_5066,Hippocampus,47.53,21.31,Danio rerio
NEUR_7821,Hypothalamus,88.96,20.1,Macaca mulatta
NEUR_4933,Amygdala,58.27,105.07,Macaca mulatta
NEUR_6808,Thalamus,5.93,26.26,Mus musculus
NEUR_4248,Cerebellum,67.27,98.04,Macaca mulatta
NEUR_6349,Striatum,21.24,28.74,Danio rerio
NEUR_6173,Striatum,128.0,87.11,Rattus norvegicus
NEUR_4374,Cerebellum,88.75,116.55,Rattus norvegicus
NEUR_3873,Hypothalamus,65.05,48.9,Macaca mulatta
NEUR_4541,Hypothalamus,81.76,115.96,Mus musculus
NEUR_9698,Cerebellum,42.65,53.99,Rattus norvegicus
NEUR_3076,Hippocampus,124.24,117.21,Danio rerio
NEUR_9659,Striatum,0.21,73.65,Rattus norvegicus
NEUR_5152,Striatum,6.59,74.21,Macaca mulatta
NEUR_2458,Cortex,102.76,63.19,Mus musculus
NEUR_5225,Amygdala,60.57,39.45,Rattus norvegicus
NEUR_3769,Cerebellum,61.15,56.63,Macaca mulatta
NEUR_2972,Striatum,113.83,110.17,Mus musculus
NEUR_5589,Thalamus,67.82,89.23,Macaca mulatta
NEUR_6235,Hypothalamus,69.2,41.7,Danio rerio
NEUR_1511,Hippocampus,142.2,93.56,Mus musculus
NEUR_9781,Striatum,36.32,52.09,Danio rerio
NEUR_5334,Hippocampus,84.79,21.7,Mus musculus
NEUR_6119,Cerebellum,100.0,75.6,Macaca mulatta
NEUR_6511,Thalamus,75.79,67.89,Danio rerio
NEUR_3258,Amygdala,111.08,75.77,Macaca mulatta
NEUR_6724,Hippocampus,114.64,97.86,Macaca mulatta
NEUR_7168,Thalamus,117.61,78.57,Danio rerio
NEUR_8386,Thalamus,142.91,116.75,Rattus norvegicus
NEUR_8555,Thalamus,45.74,52.69,Macaca mulatta
NEUR_9733,Cortex,97.16,85.28,Rattus norvegicus
NEUR_6561,Cerebellum,64.89,38.74,Rattus norvegicus
NEUR_2973,Hypothalamus,32.24,23.74,Rattus norvegicus
NEUR_5200,Hypothalamus,29.02,116.47,Rattus norvegicus
NEUR_5232,Cortex,84.03,51.65,Danio rerio
NEUR_1430,Cerebellum,38.51,77.05,Danio rerio
NEUR_9191,Cerebellum,147.74,91.07,Rattus norvegicus
NEUR_9343,Cerebellum,128.95,34.32,Macaca mulatta
NEUR_6638,Hippocampus,134.05,92.29,Mus musculus
NEUR_4204,Striatum,136.05,10.01,Danio rerio
NEUR_2002,Striatum,95.01,92.79,Mus musculus
NEUR_8069,Cortex,88.13,99.08,Danio rerio
NEUR_3517,Hippocampus,24.24,64.38,Rattus norvegicus
NEUR_2504,Striatum,107.61,89.25,Macaca mulatta
