neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_6083,Amygdala,110.44,36.48,Macaca mulatta
NEUR_5335,Hypothalamus,65.21,70.68,Macaca mulatta
NEUR_7313,Hippocampus,101.2,71.87,Rattus norvegicus
NEUR_9620,Cerebellum,34.02,69.3,Mus musculus
NEUR_9311,Hippocampus,49.91,86.69,Macaca mulatta
NEUR_9141,Amygdala,18.21,89.8,Danio rerio
NEUR_2033,Hypothalamus,42.41,80.44,Danio rerio
NEUR_3936,Amygdala,125.03,97.88,Rattus norvegicus
NEUR_6776,Thalamus,148.34,34.7,Rattus norvegicus
NEUR_7865,Cortex,36.29,35.68,Danio rerio
NEUR_1392,Thalamus,29.81,103.43,Macaca mulatta
NEUR_2141,Cerebellum,77.7,115.42,Danio rerio
NEUR_9240,Cerebellum,84.62,64.18,Mus musculus
NEUR_5451,Thalamus,100.22,112.71,Macaca mulatta
NEUR_4499,Cerebellum,145.82,67.45,Mus musculus
NEUR_7113,Amygdala,137.08,22.27,Danio rerio
NEUR_5321,Cortex,33.13,71.71,Mus musculus
NEUR_1764,Striatum,72.51,55.67,Rattus norvegicus
NEUR_3430,Hypothalamus,12.53,52.85,Rattus norvegicus
NEUR_8303,Thalamus,66.97,25.9,Mus musculus
NEUR_3035,Thalamus,0.82,114.29,Macaca mulatta
NEUR_9653,Cortex,18.22,86.89,Danio rerio
NEUR_6398,Amygdala,88.84,90.97,Mus musculus
NEUR_3307,Hippocampus,129.59,75.84,Mus musculus
NEUR_7603,Hippocampus,71.76,49.89,Rattus norvegicus
NEUR_9895,Thalamus,110.05,104.2,Mus musculus
NEUR_1649,Cortex,28.66,28.53,Rattus norvegicus
NEUR_6889,Amygdala,50.81,102.0,Danio rerio
NEUR_6248,Thalamus,23.98,80.17,Macaca mulatta
NEUR_9057,Thalamus,66.02,66.26,Macaca mulatta
NEUR_5093,Hypothalamus,4.39,118.86,Rattus norvegicus
NEUR_1250,Amygdala,23.92,88.53,Macaca mulatta
NEUR_9269,Cerebellum,92.08,101.54,Rattus norvegicus
NEUR_2990,Cerebellum,94.68,105.3,Mus musculus
NEUR_7822,Thalamus,55.29,118.37,Danio rerio
NEUR_7717,Thalamus,96.32,50.94,Rattus norvegicus
NEUR_3727,Thalamus,49.45,53.63,Macaca mulatta
NEUR_6797,Amygdala,148.54,24.7,Macaca mulatta
NEUR_6491,Thalamus,48.74,40.69,Macaca mulatta
NEUR_7742,Striatum,103.75,113.54,Danio rerio
NEUR_4467,Cerebellum,28.32,84.19,Mus musculus
NEUR_6270,Thalamus,26.37,76.58,Danio rerio
NEUR_1081,Thalamus,117.3,43.33,Macaca mulatta
NEUR_2449,Cortex,101.22,73.35,Mus musculus
NEUR_9228,Thalamus,99.43,97.7,Mus musculus
NEUR_8024,Hypothalamus,115.71,75.54,Mus musculus
NEUR_6332,Hippocampus,102.0,111.37,Danio rerio
NEUR_5514,Cerebellum,42.24,85.51,Macaca mulatta
NEUR_7293,Hippocampus,26.59,20.96,Macaca mulatta
NEUR_5671,Striatum,38.63,105.79,Macaca mulatta
NEUR_6584,Cortex,63.31,16.62,Danio rerio
NEUR_3424,Cortex,113.12,115.84,Rattus norvegicus
NEUR_8434,Striatum,63.87,102.19,Mus musculus
NEUR_5794,Cortex,54.94,102.95,Mus musculus
NEUR_4020,Cortex,137.45,111.49,Macaca mulatta
NEUR_4047,Thalamus,51.67,19.53,Mus musculus
NEUR_7577,Cerebellum,58.05,90.9,Mus musculus
NEUR_6591,Thalamus,34.28,52.4,Macaca mulatta
NEUR_1473,Cerebellum,88.2,65.27,Macaca mulatta
NEUR_9713,Amygdala,103.68,26.2,Rattus norvegicus
NEUR_7132,Striatum,143.9,38.13,Rattus norvegicus
NEUR_8003,Hippocampus,16.64,110.23,Rattus norvegicus
NEUR_3404,Hippocampus,115.18,115.81,Danio rerio
NEUR_7762,Amygdala,69.65,99.95,Rattus norvegicus
NEUR_6269,Hippocampus,86.28,43.8,Rattus norvegicus
NEUR_5360,Cerebellum,28.09,62.78,Macaca mulatta
NEUR_4121,Hippocampus,65.46,62.15,Rattus norvegicus
NEUR_5151,Hypothalamus,116.73,89.04,Macaca mulatta
NEUR_6207,Striatum,22.89,38.31,Mus musculus
NEUR_1931,Thalamus,77.82,33.65,Macaca mulatta
NEUR_4085,Amygdala,111.24,20.62,Macaca mulatta
NEUR_3046,Striatum,149.28,69.27,Mus musculus
NEUR_4013,Striatum,29.33,32.69,Mus musculus
NEUR_8989,Cortex,138.25,66.33,Danio rerio
NEUR_6750,Thalamus,18.5,91.61,Macaca mulatta
NEUR_2584,Amygdala,90.64,54.42,Rattus norvegicus
NEUR_5539,Cortex,125.99,89.7,Rattus norvegicus
NEUR_3896,Striatum,21.38,67.2,Danio rerio
NEUR_8655,Hypothalamus,142.33,73.49,Mus musculus
NEUR_9590,Hypothalamus,17.79,116.76,Danio rerio
NEUR_5097,Striatum,116.71,115.14,Danio rerio
NEUR_3918,Hippocampus,101.35,110.61,Danio rerio
NEUR_8815,Cerebellum,20.5,99.47,Danio rerio
NEUR_6793,Hypothalamus,52.14,62.64,Macaca mulatta
NEUR_9804,Cerebellum,9.52,22.16,Danio rerio
NEUR_4371,Hippocampus,141.36,67.71,Rattus norvegicus
NEUR_9826,Hippocampus,28.02,46.32,Rattus norvegicus
NEUR_4870,Cortex,58.36,89.24,Macaca mulatta
NEUR_1452,Thalamus,93.82,22.23,Mus musculus
NEUR_3598,Cortex,17.64,118.66,Danio rerio
NEUR_9365,Cortex,54.51,68.07,Danio rerio
NEUR_1422,Cortex,107.99,84.22,Rattus norvegicus
NEUR_2294,Amygdala,122.87,53.94,Mus musculus
NEUR_9012,Cerebellum,135.12,107.93,Mus musculus
NEUR_7751,Hypothalamus,94.01,105.7,Danio rerio
NEUR_1631,Amygdala,133.88,64.57,Rattus norvegicus
NEUR_4643,Amygdala,123.75,94.11,Mus musculus
NEUR_8753,Thalamus,103.12,100.75,Mus musculus
NEUR_1047,Hypothalamus,146.41,46.1,Macaca mulatta
NEUR_7749,Striatum,65.85,42.85,Rattus norvegicus
NEUR_7469,Hippocampus,37.49,12.72,Rattus norvegicus
NEUR_8814,Amygdala,112.52,34.56,Rattus norvegicus
NEUR_5800,Hippocampus,27.82,31.5,Rattus norvegicus
NEUR_8774,Cerebellum,79.66,18.16,Macaca mulatta
NEUR_4174,Cortex,149.41,106.78,Macaca mulatta
NEUR_5203,Thalamus,86.21,15.87,Mus musculus
NEUR_6045,Cortex,144.67,69.12,Danio rerio
NEUR_2764,Hypothalamus,39.1,18.28,Macaca mulatta
NEUR_7112,Cerebellum,148.27,87.41,Danio rerio
NEUR_1638,Amygdala,87.9,69.69,Mus musculus
NEUR_9915,Cerebellum,42.0,19.8,Danio rerio
NEUR_2562,Hypothalamus,91.15,86.75,Macaca mulatta
NEUR_1809,Hypothalamus,45.82,27.07,Danio rerio
NEUR_8140,Amygdala,54.74,51.86,Macaca mulatta
NEUR_6013,Striatum,140.74,31.1,Mus musculus
NEUR_7939,Cortex,90.16,78.84,Mus musculus
NEUR_9719,Cortex,81.19,19.45,Mus musculus
NEUR_1149,Striatum,75.73,65.96,Danio rerio
NEUR_8225,Hippocampus,92.9,110.03,Rattus norvegicus
NEUR_5788,Amygdala,65.98,112.14,Mus musculus
NEUR_8714,Thalamus,76.68,101.06,Danio rerio
NEUR_7397,Hippocampus,32.9,63.1,Danio rerio
NEUR_9221,Amygdala,137.68,102.3,Danio rerio
NEUR_2546,Striatum,91.2,105.22,Macaca mulatta
NEUR_8160,Amygdala,119.29,26.78,Rattus norvegicus
NEUR_8426,Cortex,113.34,13.89,Macaca mulatta
NEUR_3145,Hypothalamus,79.96,55.58,Mus musculus
NEUR_8928,Hypothalamus,41.31,100.32,Rattus norvegicus
NEUR_8212,Hypothalamus,133.08,106.67,Macaca mulatta
NEUR_2614,Hippocampus,13.98,98.92,Rattus norvegicus
NEUR_3454,Striatum,120.13,84.32,Rattus norvegicus
NEUR_5420,Cerebellum,58.94,74.68,Mus musculus
NEUR_2203,Cerebellum,50.4,73.42,Mus musculus
NEUR_5823,Hypothalamus,140.88,45.58,Rattus norvegicus
NEUR_4785,Cerebellum,33.33,38.23,Macaca mulatta
NEUR_2672,Cortex,87.59,69.1,Mus musculus
NEUR_1764,Hypothalamus,38.44,11.17,Danio rerio
NEUR_3738,Cerebellum,141.57,47.04,Macaca mulatta
NEUR_7722,Cerebellum,51.23,75.3,Danio rerio
NEUR_6482,Hypothalamus,24.91,94.8,Danio rerio
NEUR_1950,Cerebellum,105.63,95.12,Mus musculus
NEUR_3346,Striatum,87.44,111.4,Danio rerio
NEUR_3052,Cortex,15.06,109.22,Macaca mulatta
NEUR_2286,Hippocampus,15.32,118.42,Rattus norvegicus
NEUR_3285,Thalamus,8.05,45.56,Rattus norvegicus
NEUR_7521,Striatum,62.7,59.41,Mus musculus
NEUR_6560,Cortex,70.43,88.08,Rattus norvegicus
NEUR_8963,Cortex,118.32,56.09,Mus musculus
NEUR_3113,Cerebellum,105.3,53.99,Macaca mulatta
NEUR_4995,Amygdala,60.72,17.99,Danio rerio
NEUR_4573,Cerebellum,108.19,78.93,Macaca mulatta
NEUR_9064,Amygdala,22.47,111.47,Macaca mulatta
NEUR_8133,Hypothalamus,115.31,106.57,Mus musculus
NEUR_1639,Hypothalamus,2.79,71.21,Rattus norvegicus
NEUR_4917,Hypothalamus,42.9,55.19,Rattus norvegicus
NEUR_9915,Hypothalamus,9.93,62.66,Macaca mulatta
NEUR_2092,Hippocampus,82.31,49.22,Macaca mulatta
NEUR_5191,Striatum,138.69,102.31,Macaca mulatta
NEUR_9851,Cerebellum,114.51,54.3,Rattus norvegicus
NEUR_6969,Striatum,58.82,64.6,Mus musculus
NEUR_6021,Striatum,10.68,11.06,Rattus norvegicus
NEUR_2616,Hypothalamus,136.96,15.25,Mus musculus
NEUR_1788,Thalamus,54.74,117.09,Mus musculus
NEUR_5476,Striatum,78.86,25.29,Macaca mulatta
NEUR_4692,Striatum,98.34,14.21,Macaca mulatta
NEUR_2572,Cortex,71.8,85.53,Mus musculus
NEUR_5586,Thalamus,50.66,32.19,Mus musculus
NEUR_9099,Hypothalamus,144.24,48.5,Rattus norvegicus
NEUR_8568,Hippocampus,113.83,11.22,Rattus norvegicus
NEUR_5356,Amygdala,138.3,89.12,Danio rerio
NEUR_9374,Cerebellum,51.36,28.7,Danio rerio
NEUR_2421,Cortex,18.99,84.58,Mus musculus
NEUR_1683,Thalamus,77.1,101.93,Danio rerio
NEUR_4666,Hippocampus,25.08,68.33,Danio rerio
NEUR_1607,Striatum,34.02,12.48,Rattus norvegicus
NEUR_8314,Thalamus,100.71,35.32,Macaca mulatta
NEUR_4004,Cortex,112.99,45.47,Rattus norvegicus
NEUR_1773,Amygdala,37.16,82.55,Danio rerio
NEUR_3368,Thalamus,67.2,16.24,Rattus norvegicus
NEUR_7413,Hypothalamus,75.61,59.07,Danio rerio
NEUR_5232,Thalamus,60.28,98.13,Macaca mulatta
NEUR_2168,Hippocampus,85.9,43.26,Rattus norvegicus
NEUR_3655,Thalamus,108.74,12.97,Rattus norvegicus
NEUR_2958,Hippocampus,44.82,96.65,Mus musculus
NEUR_8306,Thalamus,123.39,78.98,Mus musculus
NEUR_1626,Hippocampus,143.5,30.83,Rattus norvegicus
NEUR_1805,Striatum,93.83,110.97,Mus musculus
NEUR_5272,Amygdala,28.34,96.49,Mus musculus
NEUR_8395,Cerebellum,138.74,92.34,Rattus norvegicus
NEUR_7674,Hippocampus,128.16,17.9,Rattus norvegicus
NEUR_9921,Hypothalamus,148.82,102.4,Rattus norvegicus
NEUR_8769,Hippocampus,135.54,76.58,Mus musculus
NEUR_3363,Amygdala,32.0,38.55,Danio rerio
NEUR_9250,Cerebellum,32.03,65.41,Danio rerio
NEUR_4535,Amygdala,22.32,100.39,Macaca mulatta
NEUR_8033,Thalamus,58.16,60.93,Rattus norvegicus
NEUR_6264,Cerebellum,48.12,60.31,Mus musculus
NEUR_6811,Thalamus,137.55,67.39,Rattus norvegicus
NEUR_1797,Amygdala,42.65,12.9,Rattus norvegicus
NEUR_7819,Hippocampus,145.57,50.72,Rattus norvegicus
NEUR_4929,Cerebellum,12.04,113.24,Danio rerio
NEUR_4839,Thalamus,130.75,66.3,Mus musculus
NEUR_1372,Hypothalamus,118.75,50.99,Macaca mulatta
NEUR_5721,Cerebellum,122.35,68.12,Mus musculus
NEUR_9950,Striatum,131.34,48.32,Rattus norvegicus
NEUR_4736,Hypothalamus,113.15,14.66,Macaca mulatta
NEUR_5853,Cerebellum,124.12,60.9,Danio rerio
