neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_1672,Amygdala,42.73,62.3,Macaca mulatta
NEUR_9489,Cerebellum,17.4,10.05,Mus musculus
NEUR_1317,Cerebellum,64.25,94.89,Mus musculus
NEUR_9483,Striatum,12.21,84.57,Rattus norvegicus
NEUR_8245,Thalamus,104.46,51.52,Danio rerio
NEUR_5438,Thalamus,39.59,13.34,Danio rerio
NEUR_3422,Cerebellum,103.25,56.14,Rattus norvegicus
NEUR_9005,Striatum,121.33,101.61,Macaca mulatta
NEUR_4013,Hippocampus,59.79,59.53,Mus musculus
NEUR_2616,Striatum,106.94,97.67,Mus musculus
NEUR_2046,Hypothalamus,79.9,92.34,Macaca mulatta
NEUR_8915,Amygdala,21.94,116.92,Macaca mulatta
NEUR_6666,Striatum,8.48,71.25,Rattus norvegicus
NEUR_8038,Thalamus,93.22,28.16,Macaca mulatta
NEUR_3901,Thalamus,55.05,52.74,Rattus norvegicus
NEUR_8018,Hypothalamus,24.79,25.0,Danio rerio
NEUR_8055,Hypothalamus,133.27,41.48,Rattus norvegicus
NEUR_4068,Striatum,82.9,38.78,Rattus norvegicus
NEUR_4917,Thalamus,78.4,93.96,Macaca mulatta
NEUR_2208,Thalamus,8.31,13.5,Mus musculus
NEUR_4893,Amygdala,94.05,43.73,Rattus norvegicus
NEUR_1424,Striatum,116.15,34.49,Mus musculus
NEUR_9231,Hippocampus,25.97,105.27,Mus musculus
NEUR_4415,Thalamus,128.81,97.74,Macaca mulatta
NEUR_9936,Striatum,6.53,19.59,Mus musculus
NEUR_3379,Cerebellum,34.67,51.87,Macaca mulatta
NEUR_6250,Cerebellum,72.15,74.64,Macaca mulatta
NEUR_5665,Hippocampus,127.53,48.26,Rattus norvegicus
NEUR_5580,Hypothalamus,46.54,33.78,Rattus norvegicus
NEUR_5457,Hypothalamus,98.23,23.26,Danio rerio
NEUR_2816,Cerebellum,79.43,23.38,Mus musculus
NEUR_7891,Hippocampus,43.66,42.04,Danio rerio
NEUR_4209,Hippocampus,149.97,38.08,Macaca mulatta
NEUR_8053,Cortex,66.2,113.74,Rattus norvegicus
NEUR_3290,Amygdala,144.87,37.56,Mus musculus
NEUR_9928,Amygdala,7.38,30.02,Macaca mulatta
NEUR_9521,Cerebellum,41.18,111.94,Macaca mulatta
NEUR_7542,Cerebellum,120.5,87.01,Rattus norvegicus
NEUR_2581,Thalamus,119.05,13.86,Danio rerio
NEUR_1730,Amygdala,6.86,64.28,Macaca mulatta
NEUR_7814,Hippocampus,125.86,80.19,Mus musculus
NEUR_9609,Cerebellum,38.87,89.61,Danio rerio
NEUR_8530,Striatum,123.01,110.91,Macaca mulatta
NEUR_6280,Striatum,149.9,119.83,Danio rerio
NEUR_2598,Thalamus,53.19,88.85,Danio rerio
NEUR_3375,Cortex,86.91,83.79,Rattus norvegicus
NEUR_1155,Thalamus,102.77,41.44,Macaca mulatta
NEUR_3156,Amygdala,10.24,41.04,Rattus norvegicus
NEUR_7148,Amygdala,106.18,97.55,Mus musculus
NEUR_6986,Amygdala,9.86,86.09,Rattus norvegicus
NEUR_6538,Thalamus,130.62,68.17,Rattus norvegicus
NEUR_8606,Cerebellum,128.65,57.23,Danio rerio
NEUR_6791,Amygdala,125.53,47.29,Danio rerio
NEUR_9297,Hippocampus,18.53,34.74,Macaca mulatta
NEUR_8161,Hippocampus,122.81,68.52,Mus musculus
NEUR_4873,Amygdala,105.99,14.68,Danio rerio
NEUR_3375,Thalamus,128.1,50.14,Mus musculus
NEUR_5657,Cortex,95.11,72.65,Rattus norvegicus
NEUR_3550,Striatum,55.25,100.26,Mus musculus
NEUR_4717,Hippocampus,131.97,96.11,Mus musculus
NEUR_3956,Hippocampus,4.32,30.39,Mus musculus
NEUR_8008,Amygdala,96.28,51.54,Rattus norvegicus
NEUR_8770,Thalamus,107.44,43.11,Rattus norvegicus
NEUR_9732,Cerebellum,77.5,117.8,Rattus norvegicus
NEUR_1040,Thalamus,62.41,93.38,Danio rerio
NEUR_4069,Cerebellum,86.31,116.21,Macaca mulatta
NEUR_5537,Hippocampus,115.37,38.0,Danio rerio
NEUR_8468,Amygdala,10.89,36.97,Macaca mulatta
NEUR_5086,Hypothalamus,74.49,119.91,Mus musculus
NEUR_6191,Cerebellum,98.37,94.31,Rattus norvegicus
NEUR_1894,Cerebellum,71.96,63.1,Danio rerio
NEUR_2002,Amygdala,49.33,14.35,Danio rerio
NEUR_9856,Hypothalamus,120.29,77.29,Mus musculus
NEUR_7640,Cortex,8.06,54.62,Danio rerio
NEUR_6167,Cortex,101.62,65.5,Danio rerio
NEUR_8755,Cerebellum,120.81,38.5,Rattus norvegicus
NEUR_2981,Hippocampus,71.84,98.76,Macaca mulatta
NEUR_9793,Striatum,75.47,43.8,Mus musculus
NEUR_7619,Thalamus,13.9,103.56,Mus musculus
NEUR_3456,Thalamus,87.43,103.24,Macaca mulatta
NEUR_2501,Hypothalamus,143.49,60.75,Macaca mulatta
NEUR_5181,Amygdala,55.89,111.45,Danio rerio
NEUR_1587,Amygdala,79.92,109.19,Danio rerio
NEUR_1036,Thalamus,24.15,10.27,Macaca mulatta
NEUR_3806,Thalamus,23.16,45.81,Rattus norvegicus
NEUR_4958,Cortex,44.25,83.77,Rattus norvegicus
NEUR_3703,Thalamus,52.64,101.68,Rattus norvegicus
NEUR_4649,Cortex,61.78,34.95,Mus musculus
NEUR_2273,Cortex,117.59,31.71,Mus musculus
NEUR_6211,Striatum,149.31,54.52,Danio rerio
NEUR_7948,Thalamus,133.32,50.59,Danio rerio
NEUR_8398,Amygdala,94.24,118.3,Mus musculus
NEUR_7405,Hypothalamus,113.33,39.07,Macaca mulatta
NEUR_3599,Thalamus,21.72,99.55,Mus musculus
NEUR_7314,Hypothalamus,56.92,28.38,Macaca mulatta
NEUR_5615,Hypothalamus,23.48,86.83,Mus musculus
