neuron_id,region,firing_rate_hz,spike_amplitude_mv,subject_species
NEUR_7618,Cortex,139.27,84.62,Macaca mulatta
NEUR_6401,Cortex,98.78,39.22,Rattus norvegicus
NEUR_9928,Thalamus,110.6,64.65,Mus musculus
NEUR_8848,Hippocampus,111.05,39.95,Rattus norvegicus
NEUR_6932,Hypothalamus,85.66,69.04,Danio rerio
NEUR_4833,Hippocampus,83.51,85.81,Macaca mulatta
NEUR_1521,Cortex,34.85,84.94,Macaca mulatta
NEUR_6592,Cerebellum,31.16,74.34,Danio rerio
NEUR_9208,Cortex,88.91,111.99,Rattus norvegicus
NEUR_8073,Hippocampus,143.13,115.28,Danio rerio
NEUR_9159,Hippocampus,25.62,117.81,Danio rerio
NEUR_3408,Striatum,52.07,105.57,Danio rerio
NEUR_3429,Hippocampus,9.53,68.32,Mus musculus
NEUR_4926,Thalamus,132.07,43.69,Macaca mulatta
NEUR_1598,Thalamus,91.85,17.17,Danio rerio
NEUR_9992,Hippocampus,78.67,78.9,Mus musculus
NEUR_8319,Hippocampus,80.25,34.92,Rattus norvegicus
NEUR_3502,Thalamus,118.09,56.36,Mus musculus
NEUR_3281,Amygdala,22.74,64.09,Macaca mulatta
NEUR_7535,Cortex,126.53,70.92,Mus musculus
NEUR_4082,Amygdala,33.91,69.09,Rattus norvegicus
NEUR_2570,Amygdala,135.39,71.41,Mus musculus
NEUR_2267,Thalamus,10.72,87.85,Mus musculus
NEUR_3265,Cortex,121.86,38.5,Mus musculus
NEUR_4491,Hypothalamus,25.84,67.55,Macaca mulatta
NEUR_5016,Amygdala,118.26,19.58,Danio rerio
NEUR_3754,Amygdala,107.79,27.29,Danio rerio
NEUR_2550,Thalamus,121.04,23.12,Mus musculus
NEUR_5451,Thalamus,123.61,19.0,Mus musculus
NEUR_2724,Amygdala,31.25,118.94,Danio rerio
NEUR_3549,Hypothalamus,84.17,13.16,Macaca mulatta
NEUR_7704,Striatum,38.26,11.84,Rattus norvegicus
