species,class,order,weight_kg,length_cm,conservation_status
Wear remember,Mammalia,Primates,984.292,112.27,Near Threatened
Add team,Reptilia,Primates,3044.091,2444.95,Vulnerable
Stop whole,Amphibia,Rodentia,4827.729,1042.69,Vulnerable
Travel fact,Reptilia,Rodentia,2773.255,347.89,Near Threatened
Plant society,Mammalia,Squamata,4692.797,2602.64,Vulnerable
Majority defense,Reptilia,Anura,4596.7,1124.3,Vulnerable
The bar,Aves,Anura,2043.031,1915.12,Vulnerable
Follow red,Reptilia,Carnivora,1679.195,422.19,Near Threatened
Their teacher,Mammalia,Passeriformes,4230.013,966.72,Extinct in the Wild
Above interview,Reptilia,Carnivora,3921.55,1508.59,Extinct in the Wild
Professional few,Reptilia,Carnivora,973.936,2866.17,Extinct in the Wild
Today artist,Amphibia,Rodentia,3672.719,2009.27,Critically Endangered
Modern food,Aves,Passeriformes,1678.495,1407.45,Endangered
Music real,Mammalia,Squamata,206.519,2092.79,Least Concern
Ask woman,Mammalia,Primates,658.724,2681.15,Near Threatened
Remain name,Actinopterygii,Rodentia,2846.195,2035.3,Near Threatened
Yourself teacher,Mammalia,Passeriformes,4937.748,1.64,Extinct in the Wild
Play say,Aves,Anura,776.126,966.77,Critically Endangered
Executive run,Reptilia,Squamata,3277.978,2017.99,Critically Endangered
Who bed,Mammalia,Squamata,1734.127,1969.41,Critically Endangered
Approach director,Amphibia,Carnivora,4134.599,895.99,Vulnerable
Establish much,Aves,Squamata,2108.024,1541.25,Critically Endangered
Thing pull,Aves,Anura,327.872,742.91,Extinct in the Wild
Teacher hotel,Mammalia,Anura,2116.82,1443.62,Extinct in the Wild
Human establish,Actinopterygii,Passeriformes,3413.634,2126.26,Extinct in the Wild
None week,Actinopterygii,Anura,2689.271,2304.2,Endangered
Financial break,Mammalia,Anura,2042.872,2741.51,Least Concern
Performance fall,Reptilia,Passeriformes,4591.342,581.61,Near Threatened
We similar,Reptilia,Primates,3608.814,251.95,Extinct in the Wild
Game answer,Reptilia,Rodentia,3896.096,1216.3,Least Concern
Various worry,Amphibia,Primates,4215.168,1293.11,Endangered
Rather system,Actinopterygii,Squamata,2861.592,1901.82,Vulnerable
Could affect,Mammalia,Anura,603.982,2420.3,Vulnerable
Yourself suffer,Mammalia,Primates,2087.469,495.81,Least Concern
Where process,Amphibia,Passeriformes,827.478,1428.48,Extinct in the Wild
Natural scientist,Mammalia,Rodentia,3149.515,2160.23,Near Threatened
Prevent training,Aves,Anura,1408.356,638.48,Least Concern
Owner ask,Actinopterygii,Squamata,4187.923,892.21,Vulnerable
Seat people,Actinopterygii,Passeriformes,4468.689,2146.28,Vulnerable
Hot window,Aves,Rodentia,1809.779,2539.81,Endangered
Old south,Actinopterygii,Anura,3463.289,2272.65,Endangered
Everything ability,Reptilia,Passeriformes,2890.562,1524.3,Critically Endangered
Else million,Aves,Passeriformes,140.624,1223.7,Endangered
Admit pass,Aves,Carnivora,2670.201,1599.9,Critically Endangered
Some per,Actinopterygii,Anura,2779.926,2196.3,Near Threatened
Generation interview,Actinopterygii,Rodentia,2410.808,2388.26,Extinct in the Wild
After my,Aves,Squamata,2968.007,2091.15,Endangered
At discuss,Amphibia,Carnivora,2718.773,2531.0,Extinct in the Wild
Trip up,Mammalia,Passeriformes,4348.256,1157.51,Endangered
Response they,Actinopterygii,Primates,2480.043,1225.71,Least Concern
Alone statement,Mammalia,Squamata,4152.253,2840.94,Extinct in the Wild
Way something,Amphibia,Passeriformes,1176.313,1447.94,Extinct in the Wild
Thus expect,Amphibia,Passeriformes,857.019,2208.12,Endangered
Even break,Amphibia,Primates,2026.456,1764.23,Endangered
Safe open,Mammalia,Primates,4776.183,2200.59,Least Concern
Argue recently,Reptilia,Anura,3541.852,1692.33,Critically Endangered
Dream detail,Reptilia,Rodentia,604.59,1763.03,Vulnerable
Suffer attack,Aves,Rodentia,1561.308,1654.28,Near Threatened
Order parent,Mammalia,Rodentia,1383.737,725.92,Extinct in the Wild
From thousand,Aves,Squamata,1804.632,1923.4,Critically Endangered
Large forward,Amphibia,Anura,1474.025,441.65,Vulnerable
