species,class,order,weight_kg,length_cm,conservation_status
Beat choice,Mammalia,Squamata,1444.856,2167.42,Least Concern
Great than,Aves,Anura,1514.244,327.37,Vulnerable
Range section,Aves,Anura,3809.345,404.8,Near Threatened
Ahead join,Amphibia,Squamata,3303.268,295.93,Least Concern
Area happen,Amphibia,Passeriformes,2186.729,2067.37,Critically Endangered
Security suggest,Reptilia,Squamata,1357.058,2190.27,Endangered
Decide probably,Actinopterygii,Carnivora,4786.191,854.12,Least Concern
Behind pay,Mammalia,Anura,4253.318,2103.43,Critically Endangered
Job close,Mammalia,Carnivora,3238.578,592.1,Least Concern
Look up,Aves,Carnivora,2887.352,356.21,Vulnerable
A design,Actinopterygii,Squamata,921.523,2152.95,Extinct in the Wild
Produce treatment,Amphibia,Anura,1823.66,2.78,Near Threatened
Value research,Aves,Passeriformes,3907.297,229.63,Near Threatened
Local current,Reptilia,Rodentia,419.693,2798.45,Endangered
Anyone seat,Amphibia,Passeriformes,4459.265,822.01,Critically Endangered
Congress commercial,Mammalia,Primates,401.552,1843.8,Critically Endangered
Leave protect,Amphibia,Carnivora,3912.325,1740.64,Vulnerable
And far,Amphibia,Carnivora,1232.925,2340.54,Extinct in the Wild
Girl direction,Mammalia,Squamata,1296.528,2726.07,Endangered
Prove book,Mammalia,Anura,4190.111,1864.87,Near Threatened
Mother say,Actinopterygii,Primates,4297.723,477.16,Near Threatened
Movie fear,Reptilia,Squamata,2036.213,1322.79,Near Threatened
Simple certain,Reptilia,Rodentia,1430.357,2817.11,Endangered
Whatever this,Mammalia,Carnivora,486.925,2159.81,Vulnerable
Candidate not,Aves,Rodentia,209.88,1890.68,Extinct in the Wild
Show among,Aves,Rodentia,318.287,1503.42,Critically Endangered
Heart follow,Reptilia,Carnivora,4575.62,1817.2,Extinct in the Wild
Protect American,Mammalia,Squamata,1115.965,1457.73,Endangered
Environmental election,Aves,Anura,1847.9,2049.26,Endangered
Bit million,Actinopterygii,Primates,4457.986,1864.82,Extinct in the Wild
Yes system,Actinopterygii,Passeriformes,4833.184,2027.55,Extinct in the Wild
Matter usually,Amphibia,Primates,3909.096,112.91,Least Concern
Ok beyond,Actinopterygii,Anura,2381.97,1499.61,Near Threatened
Left listen,Aves,Primates,1014.023,2996.13,Critically Endangered
Laugh moment,Reptilia,Squamata,1131.457,374.78,Vulnerable
Television treatment,Amphibia,Carnivora,1758.917,503.72,Near Threatened
Become thank,Amphibia,Anura,1482.711,151.31,Endangered
See road,Actinopterygii,Squamata,3175.896,15.23,Critically Endangered
Myself pull,Amphibia,Passeriformes,4495.472,863.9,Extinct in the Wild
Information ahead,Mammalia,Passeriformes,3444.111,2902.1,Critically Endangered
Key decade,Amphibia,Rodentia,4938.12,2853.82,Near Threatened
Fact thing,Aves,Rodentia,1122.749,1986.73,Vulnerable
Base recent,Amphibia,Passeriformes,2213.942,1372.82,Extinct in the Wild
Time prepare,Aves,Carnivora,58.72,2997.52,Critically Endangered
Fast very,Reptilia,Squamata,3585.781,1966.49,Near Threatened
Whether late,Amphibia,Passeriformes,4876.714,877.49,Extinct in the Wild
Front might,Amphibia,Carnivora,1283.511,2187.72,Least Concern
International age,Aves,Passeriformes,4743.667,558.74,Near Threatened
State growth,Amphibia,Passeriformes,2401.274,2045.15,Extinct in the Wild
Amount that,Mammalia,Rodentia,730.54,1494.83,Least Concern
High fast,Mammalia,Carnivora,3925.997,1837.05,Near Threatened
Result yourself,Actinopterygii,Passeriformes,1361.408,1702.5,Least Concern
A ago,Reptilia,Squamata,4368.632,1397.27,Endangered
Final finally,Actinopterygii,Squamata,2477.686,2842.01,Near Threatened
Tv assume,Mammalia,Rodentia,1363.288,1202.21,Endangered
