species,class,order,weight_kg,length_cm,conservation_status
Everything able,Actinopterygii,Carnivora,2972.008,2863.77,Least Concern
Government day,Amphibia,Squamata,1362.35,2231.64,Endangered
Explain treat,Reptilia,Passeriformes,3757.724,1616.32,Critically Endangered
Include for,Aves,Passeriformes,2710.571,2746.67,Extinct in the Wild
Window account,Reptilia,Anura,2234.154,2920.8,Critically Endangered
Whether authority,Amphibia,Passeriformes,973.083,1783.46,Least Concern
Practice common,Amphibia,Carnivora,2941.65,1981.28,Vulnerable
Responsibility spring,Reptilia,Carnivora,4402.409,2694.46,Endangered
Fight network,Aves,Passeriformes,2203.198,2803.18,Vulnerable
Next population,Actinopterygii,Squamata,2531.881,1770.63,Extinct in the Wild
Property want,Aves,Rodentia,4556.552,1429.81,Near Threatened
Method forward,Actinopterygii,Anura,806.978,304.98,Extinct in the Wild
A show,Aves,Anura,3783.68,1150.28,Least Concern
Would treatment,Aves,Rodentia,4075.157,495.08,Vulnerable
Understand me,Aves,Rodentia,2638.79,8.34,Vulnerable
Film notice,Reptilia,Primates,4227.55,2566.06,Endangered
Food seven,Amphibia,Rodentia,90.767,2144.55,Extinct in the Wild
Use its,Actinopterygii,Primates,3549.698,1368.23,Endangered
Within true,Mammalia,Rodentia,3777.945,2000.08,Least Concern
Art author,Actinopterygii,Carnivora,727.838,973.94,Vulnerable
Miss usually,Aves,Passeriformes,2859.404,2129.27,Critically Endangered
Behavior early,Aves,Anura,2570.204,265.74,Vulnerable
And measure,Aves,Passeriformes,672.301,1891.08,Least Concern
Care still,Actinopterygii,Anura,2283.596,2190.3,Critically Endangered
First before,Reptilia,Primates,4412.975,14.96,Near Threatened
Office section,Amphibia,Squamata,4449.574,128.52,Endangered
Ever sign,Reptilia,Carnivora,2226.066,956.01,Least Concern
Professor prove,Reptilia,Rodentia,1824.555,45.1,Extinct in the Wild
Exactly simple,Mammalia,Passeriformes,4564.422,2896.79,Least Concern
Ten style,Amphibia,Passeriformes,1379.105,1266.44,Near Threatened
Since real,Aves,Anura,835.434,81.5,Least Concern
Concern network,Amphibia,Primates,4089.813,1451.65,Critically Endangered
Return outside,Reptilia,Rodentia,2026.241,2746.55,Endangered
Across physical,Aves,Squamata,412.183,843.3,Critically Endangered
Concern drug,Amphibia,Carnivora,108.425,1873.34,Extinct in the Wild
Possible plant,Mammalia,Passeriformes,4718.571,1896.81,Near Threatened
Exactly politics,Aves,Primates,1874.838,2068.07,Near Threatened
Current tell,Amphibia,Anura,464.49,801.88,Least Concern
Everybody expert,Mammalia,Rodentia,3220.075,2271.97,Near Threatened
Indeed reason,Amphibia,Squamata,2188.065,496.9,Critically Endangered
Make describe,Actinopterygii,Anura,541.106,1578.35,Near Threatened
Realize seem,Mammalia,Passeriformes,3754.104,1505.69,Critically Endangered
Occur everything,Mammalia,Passeriformes,358.644,1888.05,Endangered
Safe but,Aves,Passeriformes,4181.922,462.5,Near Threatened
May kid,Aves,Anura,1441.85,2721.45,Critically Endangered
Say hair,Actinopterygii,Anura,1491.422,339.08,Extinct in the Wild
Certainly increase,Mammalia,Carnivora,1778.892,2512.72,Extinct in the Wild
White blue,Reptilia,Primates,1887.55,2878.23,Critically Endangered
But red,Reptilia,Anura,1191.918,1509.23,Critically Endangered
Beyond pretty,Mammalia,Rodentia,3207.017,1808.46,Endangered
Crime itself,Mammalia,Passeriformes,2346.102,2023.88,Extinct in the Wild
Image adult,Aves,Anura,4659.692,2985.05,Vulnerable
Plant through,Amphibia,Anura,2347.919,1444.25,Least Concern
Forget view,Amphibia,Anura,2146.017,677.75,Near Threatened
Bad happen,Actinopterygii,Rodentia,4449.2,294.14,Vulnerable
Street situation,Actinopterygii,Anura,2048.272,200.8,Extinct in the Wild
Each oil,Aves,Passeriformes,2172.911,1412.16,Extinct in the Wild
Heart result,Reptilia,Anura,3862.571,361.55,Least Concern
