species,class,order,weight_kg,length_cm,conservation_status
See coach,Amphibia,Anura,2651.377,1093.49,Critically Endangered
Then beat,Actinopterygii,Squamata,2225.648,384.24,Endangered
Board grow,Mammalia,Passeriformes,2643.897,425.51,Extinct in the Wild
Store job,Amphibia,Rodentia,2490.012,264.65,Least Concern
I perform,Mammalia,Passeriformes,3826.898,1139.7,Least Concern
History thus,Mammalia,Primates,4282.707,340.63,Endangered
Than recent,Aves,Carnivora,4723.824,2194.87,Endangered
National stop,Reptilia,Rodentia,409.521,2526.57,Vulnerable
Perform prepare,Amphibia,Rodentia,1009.259,2765.83,Critically Endangered
Build never,Amphibia,Carnivora,2845.733,1655.55,Endangered
Front attorney,Aves,Anura,4763.245,2593.7,Least Concern
Where wife,Mammalia,Carnivora,2543.7,1192.14,Least Concern
Write card,Actinopterygii,Squamata,4343.994,2029.76,Least Concern
But end,Amphibia,Anura,3885.356,2095.13,Extinct in the Wild
Even fly,Mammalia,Carnivora,3308.108,1197.63,Vulnerable
Claim test,Aves,Passeriformes,1507.835,1036.94,Vulnerable
Play party,Aves,Carnivora,2432.321,501.93,Extinct in the Wild
Tree spend,Aves,Carnivora,3949.655,2435.03,Vulnerable
Run area,Reptilia,Anura,3306.661,451.26,Extinct in the Wild
Front and,Amphibia,Primates,2882.08,2476.8,Critically Endangered
List politics,Reptilia,Squamata,4256.872,1980.42,Extinct in the Wild
Common product,Aves,Anura,2348.278,2105.23,Vulnerable
Fund conference,Reptilia,Anura,2496.442,2972.72,Vulnerable
Fear water,Amphibia,Squamata,2189.862,2518.18,Extinct in the Wild
Everyone around,Reptilia,Squamata,3736.743,1497.86,Least Concern
Truth small,Aves,Rodentia,872.334,2719.71,Vulnerable
Although road,Aves,Squamata,2526.748,1125.66,Critically Endangered
Character mother,Reptilia,Squamata,2193.375,1191.79,Endangered
Election difficult,Reptilia,Carnivora,1333.243,1192.31,Near Threatened
Citizen lot,Aves,Passeriformes,3587.904,139.64,Critically Endangered
Expert ok,Actinopterygii,Primates,3877.063,657.1,Least Concern
Third determine,Amphibia,Primates,3270.866,2492.4,Least Concern
Who necessary,Aves,Anura,2272.13,51.31,Near Threatened
Read relate,Reptilia,Anura,3758.829,465.88,Critically Endangered
Share quality,Mammalia,Passeriformes,2394.476,2163.23,Near Threatened
Already relate,Reptilia,Passeriformes,3489.248,1858.13,Least Concern
Few head,Reptilia,Primates,3525.683,2327.4,Endangered
Act return,Reptilia,Primates,4614.754,742.14,Extinct in the Wild
Act task,Actinopterygii,Anura,4627.161,2734.16,Endangered
Huge law,Actinopterygii,Carnivora,2022.612,580.89,Critically Endangered
