species,class,order,weight_kg,length_cm,conservation_status
Scientist politics,Amphibia,Squamata,250.645,2251.99,Least Concern
Fight rock,Actinopterygii,Passeriformes,2424.321,2244.59,Least Concern
Half air,Amphibia,Rodentia,2647.495,90.93,Vulnerable
Card significant,Amphibia,Squamata,761.501,2698.08,Endangered
Or before,Actinopterygii,Passeriformes,3873.09,2710.82,Near Threatened
Two owner,Mammalia,Squamata,2700.73,2970.18,Near Threatened
Management customer,Amphibia,Squamata,3821.762,1168.76,Near Threatened
Tonight give,Mammalia,Carnivora,2888.638,2790.64,Endangered
Matter keep,Aves,Rodentia,807.004,1182.63,Least Concern
Method laugh,Mammalia,Rodentia,4559.513,65.74,Near Threatened
Back buy,Mammalia,Squamata,536.593,636.92,Extinct in the Wild
Play drug,Aves,Primates,1902.53,1152.98,Critically Endangered
Front trip,Amphibia,Primates,963.152,1732.49,Vulnerable
Author building,Actinopterygii,Passeriformes,4002.963,514.74,Endangered
Nation account,Reptilia,Passeriformes,3882.862,1954.93,Vulnerable
Parent series,Mammalia,Primates,672.924,180.4,Least Concern
Must ago,Reptilia,Primates,2534.698,620.19,Least Concern
Bag loss,Mammalia,Rodentia,2645.843,602.62,Endangered
Ground beat,Mammalia,Squamata,4177.781,1429.67,Critically Endangered
Station increase,Mammalia,Carnivora,2630.54,112.01,Extinct in the Wild
Also throw,Amphibia,Carnivora,3989.574,2977.76,Extinct in the Wild
Among drug,Aves,Anura,4335.771,2940.98,Critically Endangered
She trip,Amphibia,Carnivora,86.617,661.34,Least Concern
Moment itself,Actinopterygii,Primates,1771.547,2822.97,Near Threatened
Mother data,Reptilia,Primates,4145.54,378.59,Extinct in the Wild
Realize in,Aves,Carnivora,3374.198,1102.98,Critically Endangered
Lay list,Aves,Primates,3373.701,1565.23,Vulnerable
Opportunity understand,Amphibia,Squamata,2070.39,1238.34,Least Concern
Hair theory,Mammalia,Rodentia,3480.562,2085.55,Extinct in the Wild
Herself for,Reptilia,Anura,362.537,430.88,Endangered
Coach product,Reptilia,Passeriformes,4272.336,1369.18,Vulnerable
Model player,Mammalia,Passeriformes,266.265,292.56,Critically Endangered
Eat only,Reptilia,Anura,4085.407,228.74,Extinct in the Wild
Tell address,Amphibia,Rodentia,412.223,2367.15,Near Threatened
Water everybody,Reptilia,Carnivora,1104.255,2229.65,Endangered
Phone resource,Aves,Primates,2922.975,188.46,Vulnerable
Letter include,Mammalia,Passeriformes,119.194,2682.35,Extinct in the Wild
Forget brother,Reptilia,Passeriformes,4303.898,2171.17,Least Concern
Himself later,Aves,Anura,4974.417,2351.22,Near Threatened
Wish low,Aves,Squamata,4123.573,361.55,Least Concern
Ability sure,Aves,Passeriformes,1712.913,2802.83,Least Concern
Effort relate,Amphibia,Carnivora,4427.056,1419.68,Vulnerable
Again officer,Mammalia,Primates,2952.593,354.31,Critically Endangered
Spend painting,Reptilia,Rodentia,187.591,2813.98,Critically Endangered
Billion eye,Actinopterygii,Rodentia,2980.594,176.58,Critically Endangered
Soldier truth,Reptilia,Primates,3210.421,517.46,Endangered
Sense sit,Mammalia,Anura,3962.61,2369.84,Near Threatened
Trade least,Amphibia,Rodentia,4195.513,859.2,Near Threatened
Other less,Mammalia,Primates,3153.66,1867.45,Least Concern
Final citizen,Aves,Rodentia,4041.245,1221.94,Extinct in the Wild
Begin card,Amphibia,Carnivora,2678.021,2864.41,Near Threatened
Individual their,Mammalia,Rodentia,480.855,705.85,Vulnerable
Theory something,Mammalia,Anura,2366.753,2948.95,Extinct in the Wild
Identify speak,Actinopterygii,Primates,4978.555,670.84,Vulnerable
Especially try,Aves,Primates,1096.191,1369.39,Vulnerable
Whom score,Aves,Primates,4073.692,2140.81,Critically Endangered
Space business,Mammalia,Anura,4859.62,1245.65,Endangered
Conference quite,Actinopterygii,Primates,2917.747,494.63,Least Concern
Poor hour,Mammalia,Primates,2775.55,1596.75,Near Threatened
Author right,Mammalia,Rodentia,186.083,377.86,Near Threatened
Majority necessary,Amphibia,Carnivora,2014.626,1725.77,Endangered
Against reduce,Mammalia,Carnivora,2476.465,2288.4,Least Concern
Off decade,Amphibia,Primates,1125.312,2881.55,Extinct in the Wild
Billion no,Mammalia,Rodentia,4498.076,1534.49,Least Concern
Election book,Aves,Primates,1940.314,176.05,Extinct in the Wild
Technology success,Aves,Rodentia,2819.284,633.03,Extinct in the Wild
Enjoy large,Amphibia,Rodentia,3276.665,1288.71,Endangered
Conference seek,Actinopterygii,Primates,2849.009,1707.85,Extinct in the Wild
History relationship,Aves,Carnivora,4950.049,1440.91,Critically Endangered
Once bill,Actinopterygii,Anura,613.458,1502.47,Near Threatened
Compare read,Amphibia,Carnivora,3542.926,2693.9,Least Concern
Yet artist,Mammalia,Anura,2788.207,2807.67,Endangered
Cost foreign,Reptilia,Anura,3667.271,445.56,Near Threatened
Across marriage,Amphibia,Primates,1006.631,2302.94,Extinct in the Wild
Purpose raise,Mammalia,Carnivora,354.465,2976.16,Critically Endangered
Teacher quickly,Mammalia,Passeriformes,1699.837,2547.32,Extinct in the Wild
Make man,Amphibia,Passeriformes,3227.297,1143.87,Vulnerable
Source through,Amphibia,Anura,80.425,193.77,Critically Endangered
Build prevent,Mammalia,Anura,3522.896,197.17,Vulnerable
