species,class,order,weight_kg,length_cm,conservation_status
Expect most,Aves,Anura,2808.194,1414.31,Vulnerable
Should outside,Mammalia,Squamata,2869.18,2054.16,Endangered
One live,Aves,Anura,788.852,716.7,Extinct in the Wild
Allow capital,Amphibia,Carnivora,2775.84,2129.84,Least Concern
International likely,Amphibia,Passeriformes,3654.418,1617.59,Vulnerable
Along bill,Actinopterygii,Rodentia,1055.113,1259.6,Vulnerable
Water who,Amphibia,Rodentia,2580.826,1725.87,Extinct in the Wild
Although picture,Reptilia,Squamata,3798.189,2551.64,Extinct in the Wild
Population record,Reptilia,Passeriformes,984.973,1419.27,Least Concern
Guy performance,Reptilia,Rodentia,3606.906,2866.01,Vulnerable
Just at,Amphibia,Primates,2674.494,2448.79,Critically Endangered
Investment enough,Aves,Squamata,4629.336,367.38,Least Concern
Someone network,Mammalia,Passeriformes,3802.257,2029.71,Least Concern
Back beyond,Mammalia,Squamata,3044.264,1688.72,Extinct in the Wild
Care onto,Reptilia,Carnivora,123.708,758.91,Critically Endangered
Another amount,Reptilia,Anura,2576.283,2359.26,Near Threatened
Building name,Amphibia,Carnivora,1346.05,2714.59,Endangered
History future,Reptilia,Anura,3578.205,2115.83,Extinct in the Wild
Quickly establish,Aves,Carnivora,3842.662,1279.93,Vulnerable
Alone all,Aves,Passeriformes,1218.356,1493.15,Near Threatened
Participant herself,Aves,Squamata,4048.22,1264.63,Least Concern
Man do,Mammalia,Primates,2664.064,2901.25,Extinct in the Wild
Election add,Reptilia,Primates,1716.347,1255.47,Extinct in the Wild
Social scientist,Actinopterygii,Carnivora,1388.585,2095.86,Vulnerable
Entire care,Amphibia,Primates,3807.249,1109.01,Near Threatened
Worry hope,Amphibia,Carnivora,3803.774,231.29,Vulnerable
Play population,Actinopterygii,Rodentia,1383.29,1792.42,Vulnerable
Base water,Actinopterygii,Squamata,2799.601,1093.39,Extinct in the Wild
Development picture,Mammalia,Passeriformes,4668.505,656.17,Critically Endangered
Learn agency,Aves,Carnivora,1949.653,260.94,Critically Endangered
Note own,Reptilia,Rodentia,2022.12,762.8,Critically Endangered
Single lot,Amphibia,Rodentia,4520.005,675.58,Endangered
Democratic central,Amphibia,Rodentia,787.452,357.33,Least Concern
Or billion,Aves,Rodentia,3112.968,1946.2,Extinct in the Wild
Everyone article,Reptilia,Carnivora,3521.908,2549.08,Critically Endangered
Sign well,Reptilia,Primates,60.643,602.67,Critically Endangered
Themselves majority,Actinopterygii,Passeriformes,2555.756,764.18,Near Threatened
May benefit,Reptilia,Passeriformes,2710.849,463.16,Near Threatened
Policy a,Actinopterygii,Rodentia,662.518,589.13,Least Concern
Picture politics,Mammalia,Rodentia,817.104,2862.51,Endangered
Enough college,Actinopterygii,Carnivora,2349.721,1286.78,Critically Endangered
Beyond list,Mammalia,Passeriformes,3625.203,2771.5,Near Threatened
Hair explain,Amphibia,Primates,4314.365,95.06,Endangered
May while,Mammalia,Squamata,218.13,1692.17,Extinct in the Wild
Car also,Mammalia,Passeriformes,2266.042,690.31,Near Threatened
You cut,Actinopterygii,Primates,775.21,2527.84,Least Concern
Then sell,Reptilia,Carnivora,2351.058,844.47,Vulnerable
Share else,Mammalia,Carnivora,2918.693,2211.7,Vulnerable
Necessary occur,Actinopterygii,Carnivora,4224.181,2987.39,Vulnerable
Strategy type,Mammalia,Squamata,4281.503,250.31,Critically Endangered
Against serious,Actinopterygii,Rodentia,4759.528,997.83,Extinct in the Wild
Hand realize,Actinopterygii,Anura,2815.787,2945.34,Near Threatened
Break run,Reptilia,Carnivora,839.896,796.35,Least Concern
People traditional,Mammalia,Anura,3390.14,434.43,Critically Endangered
Support red,Actinopterygii,Rodentia,2681.985,2762.23,Endangered
Nature western,Amphibia,Carnivora,578.559,2051.46,Critically Endangered
Edge through,Actinopterygii,Primates,3729.366,254.69,Endangered
Dog strong,Reptilia,Carnivora,4732.231,580.82,Vulnerable
Bed pattern,Reptilia,Anura,5.281,943.37,Extinct in the Wild
Night effect,Aves,Primates,2128.748,2574.2,Extinct in the Wild
Feel factor,Amphibia,Primates,2195.271,1016.86,Vulnerable
Again item,Aves,Passeriformes,2020.665,784.83,Endangered
Give chance,Amphibia,Carnivora,2891.199,1790.85,Vulnerable
Describe gun,Actinopterygii,Primates,3822.987,1849.96,Critically Endangered
Voice military,Actinopterygii,Rodentia,2330.002,395.91,Near Threatened
Explain indicate,Aves,Primates,991.379,2478.25,Endangered
Someone pretty,Mammalia,Rodentia,3347.94,1551.79,Critically Endangered
Little man,Actinopterygii,Passeriformes,3631.891,1316.47,Endangered
Nor different,Mammalia,Primates,861.231,2679.45,Endangered
Nice conference,Aves,Squamata,3893.398,1958.69,Near Threatened
Professional sound,Amphibia,Anura,657.739,1926.54,Vulnerable
Control real,Actinopterygii,Rodentia,2299.166,252.89,Endangered
Because another,Mammalia,Rodentia,2242.704,2296.18,Least Concern
Method claim,Amphibia,Primates,810.72,1294.45,Near Threatened
Forget center,Aves,Anura,1802.1,133.13,Extinct in the Wild
Player tax,Actinopterygii,Carnivora,2689.913,2204.51,Critically Endangered
Painting he,Aves,Anura,1625.922,1864.84,Vulnerable
Success certain,Actinopterygii,Carnivora,3686.277,1491.31,Endangered
Administration exactly,Aves,Anura,612.873,1734.58,Near Threatened
Deep somebody,Reptilia,Squamata,1839.52,937.47,Least Concern
Try effect,Reptilia,Anura,243.822,556.13,Endangered
Able four,Actinopterygii,Anura,142.803,470.43,Endangered
Stuff available,Mammalia,Squamata,1130.628,2504.07,Endangered
Movie single,Mammalia,Passeriformes,3547.298,284.68,Endangered
New federal,Reptilia,Primates,4969.386,181.26,Extinct in the Wild
Consumer yard,Amphibia,Squamata,4327.075,2120.12,Vulnerable
Final tough,Aves,Passeriformes,378.842,2455.47,Vulnerable
Wonder team,Mammalia,Squamata,4929.23,1862.91,Vulnerable
Truth time,Mammalia,Squamata,4136.419,2490.88,Extinct in the Wild
Story matter,Aves,Rodentia,3180.397,2860.31,Critically Endangered
Anyone eight,Aves,Anura,3119.639,27.38,Critically Endangered
Operation knowledge,Mammalia,Passeriformes,2428.136,1930.88,Endangered
You likely,Actinopterygii,Primates,3254.684,2148.2,Critically Endangered
Exactly listen,Amphibia,Squamata,2343.818,1798.38,Endangered
It each,Actinopterygii,Rodentia,945.281,934.66,Near Threatened
Cell our,Amphibia,Squamata,1061.695,2495.77,Critically Endangered
Outside process,Reptilia,Carnivora,2947.369,1305.09,Endangered
Organization with,Mammalia,Anura,4141.958,1784.25,Near Threatened
Another hotel,Aves,Carnivora,2437.549,1419.44,Vulnerable
School painting,Aves,Rodentia,2613.716,1164.66,Least Concern
Lay raise,Aves,Squamata,4992.256,604.14,Least Concern
American knowledge,Actinopterygii,Carnivora,2157.285,1621.38,Endangered
Be character,Aves,Anura,1510.012,606.02,Critically Endangered
When book,Aves,Rodentia,267.637,2771.81,Vulnerable
Design but,Actinopterygii,Passeriformes,3281.475,2632.98,Critically Endangered
Accept when,Aves,Anura,4295.813,1733.29,Endangered
Visit word,Aves,Passeriformes,3435.416,2225.73,Vulnerable
Song bad,Reptilia,Rodentia,3481.78,1101.53,Critically Endangered
Necessary mean,Reptilia,Carnivora,3995.274,1889.4,Near Threatened
Six answer,Reptilia,Passeriformes,1365.014,1621.79,Endangered
Foreign environment,Reptilia,Rodentia,3732.456,598.35,Critically Endangered
Key event,Aves,Primates,4970.198,2325.99,Near Threatened
Arm quickly,Amphibia,Passeriformes,983.491,2658.24,Endangered
Civil listen,Actinopterygii,Passeriformes,1804.363,2196.95,Least Concern
Policy sell,Mammalia,Rodentia,397.053,2260.6,Near Threatened
Send hold,Aves,Primates,2014.822,2467.85,Critically Endangered
Put threat,Actinopterygii,Carnivora,83.231,1391.44,Vulnerable
Picture against,Amphibia,Anura,2837.361,1873.89,Critically Endangered
Determine affect,Reptilia,Rodentia,3020.957,1015.48,Vulnerable
Expert situation,Reptilia,Squamata,1401.074,1171.79,Extinct in the Wild
Order least,Aves,Rodentia,4383.235,334.56,Least Concern
Magazine page,Reptilia,Primates,4683.176,466.53,Critically Endangered
For story,Mammalia,Carnivora,2532.104,1330.24,Vulnerable
Hour test,Amphibia,Passeriformes,4457.402,1099.97,Near Threatened
Town ahead,Aves,Passeriformes,1719.817,2676.7,Endangered
Go laugh,Aves,Anura,1805.524,2535.0,Near Threatened
Land take,Amphibia,Primates,240.401,2370.66,Extinct in the Wild
Bar explain,Actinopterygii,Primates,3182.391,154.66,Least Concern
Act event,Aves,Primates,2414.129,2653.87,Critically Endangered
Section response,Aves,Rodentia,3276.0,1184.99,Endangered
The medical,Reptilia,Primates,748.609,85.18,Endangered
Individual town,Mammalia,Passeriformes,3351.954,77.77,Extinct in the Wild
Sit account,Amphibia,Rodentia,2414.36,1853.53,Vulnerable
Reach usually,Aves,Carnivora,1759.499,753.18,Near Threatened
Above similar,Amphibia,Carnivora,1078.398,1642.41,Endangered
City natural,Amphibia,Passeriformes,2370.667,1863.51,Near Threatened
Rest already,Aves,Rodentia,2942.025,400.12,Vulnerable
Tell father,Reptilia,Squamata,2596.928,927.14,Critically Endangered
During sit,Reptilia,Anura,3199.752,37.86,Vulnerable
Sort situation,Aves,Carnivora,1598.3,2475.36,Vulnerable
Newspaper somebody,Aves,Primates,2460.002,786.79,Near Threatened
Visit military,Amphibia,Rodentia,572.082,1025.88,Endangered
Never term,Mammalia,Carnivora,943.635,301.77,Near Threatened
Section hair,Reptilia,Primates,3593.496,1473.65,Critically Endangered
Peace audience,Mammalia,Squamata,4128.763,438.8,Endangered
Eye firm,Aves,Primates,4880.822,2848.36,Vulnerable
Democratic discussion,Actinopterygii,Rodentia,1417.978,1718.89,Vulnerable
Expect win,Reptilia,Squamata,3496.082,692.21,Near Threatened
Million whether,Mammalia,Squamata,501.824,1684.35,Near Threatened
View remain,Amphibia,Primates,3047.82,971.49,Near Threatened
Water support,Amphibia,Passeriformes,73.785,1198.63,Vulnerable
Group grow,Aves,Carnivora,2180.934,1013.1,Extinct in the Wild
History value,Amphibia,Carnivora,3991.698,1124.0,Critically Endangered
Look behavior,Actinopterygii,Primates,973.255,807.77,Critically Endangered
Tree range,Mammalia,Squamata,4066.247,1250.09,Least Concern
Five painting,Aves,Primates,3930.877,941.14,Vulnerable
None my,Reptilia,Passeriformes,3313.247,2515.41,Extinct in the Wild
So live,Mammalia,Anura,4645.564,332.22,Near Threatened
Financial girl,Amphibia,Primates,1673.645,295.69,Least Concern
Game theory,Aves,Carnivora,2438.039,2358.26,Critically Endangered
After chance,Mammalia,Primates,1896.632,1832.35,Vulnerable
Manager between,Amphibia,Anura,1416.635,2739.34,Critically Endangered
Majority town,Aves,Carnivora,1686.444,937.59,Critically Endangered
Hundred act,Aves,Squamata,3741.919,1695.17,Extinct in the Wild
Fish early,Reptilia,Primates,790.037,912.66,Least Concern
Commercial lose,Reptilia,Squamata,2385.131,89.16,Endangered
Tax medical,Actinopterygii,Primates,3733.295,1373.22,Endangered
Decision raise,Aves,Carnivora,1851.939,831.22,Extinct in the Wild
Near prove,Mammalia,Anura,3550.854,2806.86,Near Threatened
Appear view,Reptilia,Anura,317.219,1431.3,Least Concern
Under expert,Aves,Carnivora,4734.501,2004.24,Extinct in the Wild
A soldier,Reptilia,Carnivora,4582.04,1689.36,Critically Endangered
Important fish,Mammalia,Squamata,4586.91,884.98,Vulnerable
Head then,Aves,Rodentia,1279.329,1642.28,Endangered
Provide grow,Mammalia,Carnivora,2203.932,1687.93,Near Threatened
Thousand window,Aves,Squamata,1207.143,1472.3,Vulnerable
Take we,Reptilia,Carnivora,2447.327,91.17,Least Concern
Sport want,Reptilia,Anura,1953.391,1528.0,Vulnerable
Study deep,Amphibia,Primates,521.518,2147.79,Endangered
Strong manager,Amphibia,Squamata,103.475,2761.81,Critically Endangered
Final suggest,Actinopterygii,Anura,2676.74,155.42,Near Threatened
Sometimes start,Actinopterygii,Primates,1578.56,2532.6,Critically Endangered
Figure best,Amphibia,Squamata,3027.619,1222.57,Critically Endangered
Artist someone,Reptilia,Carnivora,2119.108,57.76,Endangered
If white,Reptilia,Carnivora,15.259,2259.51,Endangered
Beat car,Actinopterygii,Primates,103.778,1490.09,Endangered
Attack listen,Aves,Carnivora,2737.173,405.63,Critically Endangered
Couple beat,Reptilia,Carnivora,1541.253,2133.1,Vulnerable
Investment network,Actinopterygii,Primates,1026.64,2927.48,Endangered
Consider especially,Reptilia,Anura,4592.048,589.86,Critically Endangered
Cut marriage,Actinopterygii,Rodentia,2051.029,495.7,Vulnerable
But product,Aves,Rodentia,4911.563,1026.12,Vulnerable
Group character,Reptilia,Squamata,1345.496,137.56,Near Threatened
Opportunity defense,Mammalia,Carnivora,1451.942,1177.17,Least Concern
Reach here,Aves,Rodentia,2473.008,1133.38,Near Threatened
Also down,Amphibia,Carnivora,3803.697,2131.44,Endangered
Piece property,Reptilia,Anura,4698.899,666.74,Extinct in the Wild
Go safe,Aves,Carnivora,182.719,1321.54,Endangered
Stock wear,Reptilia,Primates,1927.73,126.01,Vulnerable
Low summer,Actinopterygii,Carnivora,1245.258,1774.83,Vulnerable
Leave indeed,Aves,Carnivora,3635.1,2841.57,Endangered
Record card,Aves,Primates,2012.661,2809.68,Least Concern
Cause wrong,Mammalia,Primates,1607.49,1543.64,Endangered
Establish budget,Reptilia,Passeriformes,1306.91,2202.63,Critically Endangered
My true,Mammalia,Rodentia,3164.545,2647.89,Near Threatened
Factor most,Mammalia,Anura,3589.595,1343.18,Near Threatened
At cause,Reptilia,Carnivora,946.583,1863.98,Extinct in the Wild
Every daughter,Actinopterygii,Rodentia,2772.158,2211.81,Extinct in the Wild
Improve face,Actinopterygii,Anura,4562.292,2286.55,Least Concern
Painting rise,Reptilia,Carnivora,931.367,1140.81,Endangered
Vote radio,Actinopterygii,Carnivora,3576.982,2607.45,Least Concern
Business hotel,Mammalia,Carnivora,3078.058,2726.91,Critically Endangered
Democratic worry,Aves,Rodentia,2497.167,1192.79,Critically Endangered
Task too,Actinopterygii,Rodentia,455.869,2823.96,Extinct in the Wild
Sort follow,Mammalia,Carnivora,1548.891,2307.59,Extinct in the Wild
Trial end,Mammalia,Rodentia,828.537,764.94,Least Concern
Fish thus,Aves,Squamata,1209.335,316.38,Vulnerable
Remember resource,Amphibia,Passeriformes,532.543,1207.14,Near Threatened
Huge summer,Aves,Carnivora,4531.481,1934.93,Vulnerable
Goal form,Reptilia,Rodentia,683.056,581.35,Endangered
General level,Mammalia,Rodentia,3534.657,677.04,Endangered
Buy focus,Reptilia,Carnivora,3077.277,1134.07,Extinct in the Wild
Hear myself,Actinopterygii,Rodentia,4387.613,1924.95,Extinct in the Wild
Guy best,Reptilia,Squamata,4309.526,1583.95,Vulnerable
Agent worry,Amphibia,Anura,1009.614,1741.26,Vulnerable
Month quickly,Actinopterygii,Primates,681.021,857.83,Extinct in the Wild
Water world,Actinopterygii,Rodentia,2972.693,717.03,Extinct in the Wild
Forget believe,Actinopterygii,Carnivora,1794.785,2397.23,Critically Endangered
Half technology,Amphibia,Squamata,2952.013,2375.29,Least Concern
Central there,Reptilia,Passeriformes,1331.485,444.89,Critically Endangered
Drive increase,Mammalia,Anura,3002.312,1119.18,Near Threatened
Material newspaper,Reptilia,Anura,3842.645,425.34,Extinct in the Wild
Ever hear,Reptilia,Rodentia,2752.089,296.89,Vulnerable
The both,Aves,Squamata,950.381,1794.72,Extinct in the Wild
Note happen,Reptilia,Anura,3183.218,2886.63,Near Threatened
Make her,Amphibia,Rodentia,1397.415,273.89,Least Concern
Happy good,Amphibia,Rodentia,2754.5,1308.2,Near Threatened
Center feel,Amphibia,Squamata,4627.795,1840.65,Near Threatened
So quickly,Mammalia,Carnivora,1883.462,373.17,Critically Endangered
Finish college,Aves,Primates,194.071,405.49,Least Concern
Somebody human,Mammalia,Primates,2296.296,445.31,Extinct in the Wild
Because debate,Aves,Passeriformes,2411.436,1622.39,Endangered
Democrat writer,Aves,Anura,2501.442,2726.61,Least Concern
Agency country,Mammalia,Squamata,139.703,510.93,Endangered
Technology old,Actinopterygii,Carnivora,25.897,2133.88,Vulnerable
Have fly,Mammalia,Squamata,1324.102,281.31,Near Threatened
Somebody fight,Actinopterygii,Carnivora,1408.169,2976.15,Critically Endangered
