species,class,order,weight_kg,length_cm,conservation_status
Agent will,Aves,Primates,2811.12,2736.48,Critically Endangered
Police fill,Mammalia,Carnivora,1440.844,1576.87,Critically Endangered
Impact senior,Mammalia,Rodentia,2475.844,2958.29,Endangered
Note increase,Mammalia,Rodentia,1263.839,1405.15,Vulnerable
Protect effort,Reptilia,Primates,3230.647,129.94,Extinct in the Wild
News close,Mammalia,Squamata,954.127,104.94,Critically Endangered
So among,Reptilia,Rodentia,841.921,545.62,Extinct in the Wild
President both,Aves,Carnivora,2306.119,64.19,Near Threatened
Main professor,Mammalia,Passeriformes,632.481,2197.69,Near Threatened
This create,Mammalia,Primates,4086.612,290.64,Least Concern
Eat example,Mammalia,Passeriformes,1892.765,2146.13,Critically Endangered
Support do,Amphibia,Primates,203.567,2168.16,Extinct in the Wild
Share movement,Actinopterygii,Passeriformes,3657.113,2965.38,Extinct in the Wild
Subject among,Reptilia,Primates,246.271,2613.22,Critically Endangered
Ready though,Reptilia,Rodentia,104.969,1661.88,Near Threatened
Congress drop,Mammalia,Passeriformes,4192.197,769.81,Near Threatened
On law,Actinopterygii,Rodentia,243.779,496.53,Extinct in the Wild
This tough,Actinopterygii,Passeriformes,4893.81,2487.67,Vulnerable
Yeah strong,Aves,Carnivora,3912.363,1220.08,Near Threatened
City my,Amphibia,Carnivora,2017.964,1407.2,Critically Endangered
Role tend,Mammalia,Carnivora,2184.273,1063.4,Least Concern
Dog scene,Aves,Primates,2072.469,2393.86,Least Concern
Check walk,Actinopterygii,Squamata,1856.279,1034.4,Near Threatened
Market reduce,Aves,Primates,4914.681,39.66,Extinct in the Wild
Defense experience,Reptilia,Rodentia,2062.663,2171.29,Vulnerable
Central draw,Mammalia,Passeriformes,222.349,2713.8,Vulnerable
Mean team,Mammalia,Anura,346.761,2632.04,Near Threatened
Energy talk,Reptilia,Carnivora,3971.224,2141.24,Near Threatened
Professor large,Amphibia,Rodentia,1091.341,282.75,Critically Endangered
New forward,Aves,Anura,3340.155,600.4,Near Threatened
First order,Mammalia,Passeriformes,3226.529,1586.55,Endangered
Present woman,Mammalia,Anura,4184.82,2358.72,Vulnerable
A mother,Mammalia,Anura,1570.473,2938.97,Endangered
Imagine final,Reptilia,Squamata,3334.927,87.85,Endangered
Listen kitchen,Mammalia,Passeriformes,3988.003,682.2,Extinct in the Wild
Avoid around,Actinopterygii,Primates,4561.093,182.16,Least Concern
Plant believe,Mammalia,Primates,1822.817,1563.21,Endangered
Phone animal,Reptilia,Anura,1544.587,981.11,Extinct in the Wild
Time somebody,Amphibia,Anura,2493.098,126.63,Least Concern
Wide suddenly,Actinopterygii,Rodentia,2502.689,886.47,Endangered
Wall actually,Amphibia,Anura,1803.851,273.28,Extinct in the Wild
According project,Reptilia,Squamata,2743.193,2518.18,Least Concern
Executive several,Reptilia,Rodentia,4207.29,2286.85,Near Threatened
Parent keep,Aves,Carnivora,4171.364,621.11,Extinct in the Wild
Hot decision,Actinopterygii,Squamata,1939.952,815.39,Least Concern
Check hot,Mammalia,Rodentia,3590.869,2358.07,Least Concern
Star seem,Actinopterygii,Squamata,963.019,1479.69,Vulnerable
In local,Reptilia,Carnivora,619.637,647.5,Endangered
Great arrive,Aves,Rodentia,4830.737,8.54,Near Threatened
Line money,Mammalia,Rodentia,1501.72,1162.26,Near Threatened
Outside word,Amphibia,Rodentia,276.776,784.15,Vulnerable
Down head,Actinopterygii,Anura,2355.981,32.48,Least Concern
Side speak,Reptilia,Rodentia,3099.285,1784.63,Extinct in the Wild
Staff ok,Amphibia,Passeriformes,2918.255,2912.17,Extinct in the Wild
And forget,Amphibia,Passeriformes,1151.631,654.98,Vulnerable
Author place,Mammalia,Anura,367.512,1867.86,Near Threatened
Tough example,Mammalia,Carnivora,531.273,603.15,Extinct in the Wild
Say become,Actinopterygii,Passeriformes,894.762,531.01,Critically Endangered
Region game,Amphibia,Primates,4582.871,1475.81,Vulnerable
With yes,Amphibia,Primates,3874.956,257.37,Extinct in the Wild
Medical him,Actinopterygii,Primates,530.253,2565.37,Least Concern
Each little,Aves,Squamata,2096.771,323.57,Endangered
Leader care,Actinopterygii,Anura,3790.606,1754.42,Near Threatened
Organization eight,Amphibia,Anura,2328.138,490.95,Vulnerable
Box carry,Mammalia,Anura,313.619,53.86,Extinct in the Wild
Common image,Mammalia,Primates,4999.923,2888.05,Endangered
Out sign,Aves,Rodentia,622.089,2701.8,Endangered
Probably opportunity,Actinopterygii,Squamata,253.914,1850.86,Near Threatened
Raise six,Aves,Anura,1124.495,1829.48,Near Threatened
Avoid picture,Aves,Rodentia,4850.704,1785.62,Endangered
Pattern into,Reptilia,Anura,2679.05,56.93,Near Threatened
Official page,Aves,Primates,1172.879,505.3,Vulnerable
Stuff firm,Mammalia,Rodentia,378.324,890.23,Vulnerable
Our season,Actinopterygii,Carnivora,817.012,2750.73,Endangered
Nothing radio,Reptilia,Squamata,438.504,2904.44,Near Threatened
Media government,Amphibia,Primates,1528.235,1945.0,Near Threatened
Simply exist,Reptilia,Squamata,2436.698,2523.86,Vulnerable
Set him,Actinopterygii,Anura,158.484,1262.66,Vulnerable
Agency responsibility,Aves,Rodentia,4332.31,640.51,Least Concern
Realize certainly,Mammalia,Squamata,2055.771,1957.57,Critically Endangered
Shoulder air,Actinopterygii,Passeriformes,1988.724,1914.6,Critically Endangered
Dog free,Aves,Primates,3451.417,912.33,Extinct in the Wild
Glass my,Amphibia,Squamata,3770.166,1064.3,Extinct in the Wild
Wind red,Reptilia,Primates,3897.611,1253.66,Near Threatened
Media age,Aves,Squamata,757.379,1576.53,Critically Endangered
Free continue,Mammalia,Squamata,117.114,1975.23,Near Threatened
Newspaper own,Reptilia,Rodentia,1345.841,128.14,Extinct in the Wild
Fight main,Actinopterygii,Passeriformes,6.203,2348.07,Extinct in the Wild
Collection student,Reptilia,Primates,3644.047,2734.76,Critically Endangered
Peace radio,Actinopterygii,Primates,1162.368,2074.78,Vulnerable
Art spend,Mammalia,Squamata,901.032,974.58,Extinct in the Wild
But gas,Reptilia,Squamata,2843.191,1856.35,Vulnerable
Simply activity,Mammalia,Carnivora,1015.394,2025.44,Extinct in the Wild
Why ten,Aves,Primates,2753.145,1251.21,Vulnerable
Thought stage,Amphibia,Passeriformes,3279.839,352.81,Endangered
Cut onto,Mammalia,Squamata,4967.219,2333.91,Vulnerable
Cut choice,Amphibia,Primates,1812.453,2815.96,Near Threatened
Effort out,Amphibia,Squamata,1190.026,2876.36,Critically Endangered
Move language,Mammalia,Squamata,216.503,2785.48,Least Concern
Service kid,Amphibia,Rodentia,2397.028,2864.13,Endangered
Gun wife,Mammalia,Primates,1761.778,177.12,Extinct in the Wild
Still standard,Actinopterygii,Primates,453.344,1933.36,Least Concern
Responsibility specific,Reptilia,Rodentia,1682.681,1746.84,Vulnerable
Suffer resource,Reptilia,Rodentia,2559.406,1989.27,Endangered
Environment sit,Amphibia,Carnivora,1440.057,354.58,Near Threatened
Economy wide,Reptilia,Anura,4824.406,1542.21,Critically Endangered
Throughout low,Aves,Carnivora,3261.792,1919.27,Vulnerable
Continue near,Actinopterygii,Squamata,4114.629,211.89,Least Concern
Husband wife,Reptilia,Squamata,668.811,1683.31,Vulnerable
Will only,Aves,Passeriformes,3007.014,2880.14,Extinct in the Wild
Wish entire,Actinopterygii,Rodentia,4678.214,2786.83,Endangered
Experience manage,Amphibia,Rodentia,3399.96,2456.92,Critically Endangered
Night statement,Actinopterygii,Rodentia,4222.066,1157.99,Endangered
Dream out,Reptilia,Squamata,2822.209,463.09,Near Threatened
Them TV,Actinopterygii,Squamata,1946.159,276.84,Critically Endangered
Property mean,Actinopterygii,Rodentia,3951.121,1981.01,Least Concern
Shoulder possible,Mammalia,Anura,2360.978,1169.16,Critically Endangered
Say test,Reptilia,Rodentia,2870.277,1859.33,Least Concern
By somebody,Reptilia,Carnivora,428.963,1838.13,Vulnerable
Small perhaps,Actinopterygii,Anura,3398.665,2850.49,Endangered
Official college,Actinopterygii,Squamata,2211.66,162.67,Endangered
Wall political,Mammalia,Squamata,888.966,2501.18,Endangered
Film computer,Amphibia,Anura,4682.757,401.88,Least Concern
Current blue,Amphibia,Carnivora,1494.961,2206.43,Endangered
Million hear,Reptilia,Rodentia,883.906,1937.08,Endangered
Region sea,Aves,Carnivora,4954.342,1994.27,Near Threatened
Kid join,Amphibia,Primates,3557.099,2710.81,Vulnerable
Game surface,Amphibia,Passeriformes,4934.023,132.77,Extinct in the Wild
Three pretty,Mammalia,Carnivora,2575.592,2218.9,Vulnerable
Increase each,Reptilia,Anura,2225.091,1166.58,Critically Endangered
Interest thank,Aves,Anura,3970.752,1909.56,Critically Endangered
Remain foot,Actinopterygii,Anura,1985.834,1271.85,Critically Endangered
Send exactly,Mammalia,Passeriformes,1859.03,1008.43,Extinct in the Wild
Range include,Mammalia,Primates,1112.329,1450.25,Extinct in the Wild
Interview bit,Aves,Passeriformes,3813.733,36.05,Near Threatened
Street music,Actinopterygii,Carnivora,3070.876,2000.87,Extinct in the Wild
