species,class,order,weight_kg,length_cm,conservation_status
Add example,Reptilia,Squamata,4646.697,829.19,Critically Endangered
Top energy,Actinopterygii,Passeriformes,2590.949,765.75,Least Concern
Go cover,Actinopterygii,Rodentia,4150.732,539.02,Endangered
Happy plant,Amphibia,Squamata,220.284,1634.3,Extinct in the Wild
Defense magazine,Amphibia,Primates,1593.983,2542.98,Critically Endangered
Leg process,Aves,Anura,1316.316,102.36,Extinct in the Wild
Break either,Mammalia,Squamata,371.574,373.18,Least Concern
Figure drug,Mammalia,Passeriformes,4174.353,127.76,Least Concern
Good history,Amphibia,Primates,2173.302,1496.73,Extinct in the Wild
Pattern road,Mammalia,Carnivora,3630.51,1981.56,Least Concern
Shake one,Mammalia,Anura,3601.034,1236.66,Near Threatened
Piece which,Amphibia,Primates,4688.049,15.05,Critically Endangered
A lawyer,Mammalia,Rodentia,2505.284,950.96,Near Threatened
Store crime,Aves,Anura,4284.701,1518.53,Endangered
Food break,Aves,Passeriformes,3514.65,2144.59,Endangered
Thousand money,Actinopterygii,Carnivora,645.944,2488.95,Extinct in the Wild
North media,Mammalia,Squamata,4495.516,1936.79,Near Threatened
Here boy,Reptilia,Primates,301.833,2579.8,Near Threatened
Long election,Aves,Primates,4441.35,1300.86,Critically Endangered
Order institution,Amphibia,Carnivora,862.677,889.48,Vulnerable
Produce fly,Aves,Carnivora,2247.729,1471.07,Critically Endangered
Under serve,Actinopterygii,Primates,3957.479,1918.76,Extinct in the Wild
Turn professional,Aves,Squamata,3861.508,137.3,Extinct in the Wild
Cell lot,Actinopterygii,Primates,261.189,2825.04,Endangered
Campaign it,Amphibia,Anura,2283.921,814.6,Near Threatened
This everything,Aves,Carnivora,3019.848,451.45,Near Threatened
Effort TV,Mammalia,Primates,2232.906,755.35,Critically Endangered
Teach anyone,Amphibia,Carnivora,731.701,1665.3,Near Threatened
Dog note,Amphibia,Carnivora,974.68,988.6,Least Concern
Learn forward,Amphibia,Anura,4628.908,630.03,Near Threatened
Investment strong,Actinopterygii,Anura,4784.525,1823.46,Least Concern
Star center,Reptilia,Rodentia,4549.287,2467.18,Extinct in the Wild
Still property,Amphibia,Passeriformes,4045.674,857.69,Extinct in the Wild
Appear successful,Mammalia,Anura,4938.634,498.58,Critically Endangered
Also tonight,Actinopterygii,Anura,3356.906,2347.16,Critically Endangered
Hot just,Reptilia,Anura,2715.338,2737.31,Vulnerable
Activity thus,Actinopterygii,Squamata,2325.102,2280.21,Least Concern
Lead draw,Aves,Anura,4039.238,2783.63,Endangered
Laugh front,Actinopterygii,Carnivora,3872.201,2282.85,Critically Endangered
View teacher,Reptilia,Rodentia,4784.764,2845.02,Least Concern
Answer building,Amphibia,Anura,1892.117,2704.39,Least Concern
Beautiful chance,Amphibia,Carnivora,2987.038,1657.51,Extinct in the Wild
Remember need,Reptilia,Primates,2209.789,1525.6,Vulnerable
Section message,Mammalia,Carnivora,3344.265,1679.17,Extinct in the Wild
Agree my,Mammalia,Squamata,2878.407,2082.52,Critically Endangered
Several house,Actinopterygii,Primates,2662.407,626.32,Critically Endangered
Recognize wife,Aves,Rodentia,3807.974,455.16,Critically Endangered
Learn accept,Mammalia,Primates,1588.789,2368.6,Near Threatened
System owner,Mammalia,Passeriformes,3968.678,897.86,Near Threatened
Individual approach,Reptilia,Carnivora,1933.174,1664.19,Endangered
Behind lose,Amphibia,Carnivora,4469.843,1676.92,Endangered
Learn training,Reptilia,Rodentia,57.488,1159.74,Extinct in the Wild
Forward teacher,Actinopterygii,Anura,1930.365,2148.03,Extinct in the Wild
Partner maintain,Amphibia,Carnivora,4999.199,1292.02,Least Concern
Some late,Actinopterygii,Primates,2581.605,428.64,Extinct in the Wild
Dark down,Amphibia,Primates,1016.171,2244.97,Endangered
Sometimes station,Amphibia,Squamata,107.621,270.35,Critically Endangered
Level perhaps,Amphibia,Primates,3037.24,2511.35,Near Threatened
Under discussion,Mammalia,Rodentia,3957.909,1583.98,Vulnerable
However radio,Actinopterygii,Passeriformes,2551.442,382.59,Vulnerable
Season claim,Actinopterygii,Carnivora,202.311,2113.28,Endangered
Language religious,Amphibia,Squamata,4982.358,133.01,Endangered
Day all,Amphibia,Anura,1942.046,2231.35,Extinct in the Wild
Task leg,Reptilia,Rodentia,4291.144,1956.29,Vulnerable
Sometimes risk,Reptilia,Passeriformes,3283.11,711.2,Vulnerable
Too national,Mammalia,Carnivora,1379.89,702.38,Vulnerable
Look leader,Amphibia,Carnivora,1817.994,2569.53,Endangered
Reveal concern,Aves,Passeriformes,4448.106,2277.36,Vulnerable
Race argue,Actinopterygii,Rodentia,118.357,170.82,Vulnerable
Million hope,Aves,Carnivora,2587.676,1928.96,Endangered
Attention now,Actinopterygii,Passeriformes,609.928,2475.84,Least Concern
History road,Mammalia,Anura,2160.005,1689.07,Near Threatened
Boy election,Mammalia,Anura,125.014,2902.71,Least Concern
Person involve,Amphibia,Passeriformes,4382.33,118.57,Critically Endangered
Quite decide,Reptilia,Primates,464.682,2596.91,Vulnerable
Write decade,Aves,Primates,1884.616,1398.37,Extinct in the Wild
Its change,Reptilia,Passeriformes,3249.517,2867.2,Near Threatened
Face trouble,Actinopterygii,Passeriformes,14.498,1631.24,Least Concern
Really church,Mammalia,Primates,2018.634,2770.05,Extinct in the Wild
Marriage design,Aves,Carnivora,4084.644,1356.04,Extinct in the Wild
Program pressure,Amphibia,Carnivora,4284.168,2483.72,Extinct in the Wild
Same bill,Aves,Carnivora,1669.528,963.54,Near Threatened
Evening student,Aves,Squamata,2403.404,1959.36,Vulnerable
Suddenly seem,Aves,Primates,3556.527,1468.43,Least Concern
Woman decide,Mammalia,Rodentia,1177.443,2948.21,Least Concern
Within production,Mammalia,Squamata,1257.249,2009.12,Near Threatened
Authority local,Amphibia,Passeriformes,3895.906,821.16,Near Threatened
Measure during,Reptilia,Anura,4773.146,1981.45,Vulnerable
Artist message,Actinopterygii,Primates,3704.526,1456.15,Least Concern
Their its,Actinopterygii,Primates,3063.339,2195.78,Endangered
Campaign last,Actinopterygii,Squamata,1585.492,1813.65,Near Threatened
Should from,Amphibia,Passeriformes,3524.77,2691.19,Critically Endangered
Difficult measure,Actinopterygii,Primates,3450.281,703.75,Vulnerable
Show conference,Reptilia,Rodentia,567.562,2002.65,Extinct in the Wild
Moment at,Amphibia,Squamata,1284.632,902.13,Endangered
Begin majority,Mammalia,Squamata,4964.248,1821.5,Extinct in the Wild
Community learn,Mammalia,Anura,1336.996,246.82,Least Concern
Market sister,Mammalia,Anura,2783.936,966.43,Near Threatened
Modern eye,Mammalia,Primates,4761.493,1788.36,Endangered
Factor serious,Amphibia,Carnivora,4937.392,616.96,Vulnerable
About task,Reptilia,Rodentia,4962.144,1611.53,Extinct in the Wild
Avoid meet,Aves,Primates,2037.668,1862.67,Near Threatened
Cultural and,Aves,Passeriformes,1389.981,2240.05,Extinct in the Wild
Court consumer,Reptilia,Primates,463.231,2466.17,Vulnerable
Anyone big,Reptilia,Squamata,2220.192,2710.27,Critically Endangered
Night sort,Mammalia,Carnivora,3831.989,1048.19,Extinct in the Wild
Action probably,Actinopterygii,Anura,4367.417,883.29,Extinct in the Wild
Entire on,Mammalia,Passeriformes,1970.086,60.85,Near Threatened
Campaign cold,Actinopterygii,Squamata,665.234,493.61,Near Threatened
Owner hold,Actinopterygii,Carnivora,3238.427,2149.11,Vulnerable
Conference move,Actinopterygii,Carnivora,4327.592,997.93,Least Concern
Walk off,Amphibia,Rodentia,3204.312,2115.17,Endangered
Alone answer,Amphibia,Rodentia,1307.775,2522.95,Extinct in the Wild
Follow likely,Reptilia,Carnivora,4855.832,627.06,Endangered
Difference heavy,Amphibia,Anura,765.647,1211.71,Endangered
Author never,Reptilia,Carnivora,1687.348,1751.3,Extinct in the Wild
Economic recent,Reptilia,Primates,4498.914,1083.81,Extinct in the Wild
Throw have,Actinopterygii,Passeriformes,337.888,1130.2,Vulnerable
Them reach,Actinopterygii,Primates,959.077,834.79,Least Concern
Usually thing,Actinopterygii,Passeriformes,3665.83,4.17,Endangered
Side sign,Reptilia,Anura,551.226,2069.07,Critically Endangered
Staff since,Aves,Anura,2438.156,288.32,Endangered
Behavior line,Aves,Passeriformes,2272.555,2451.95,Near Threatened
Stage operation,Aves,Primates,247.982,2902.97,Least Concern
Share maintain,Actinopterygii,Rodentia,3146.174,1440.12,Vulnerable
Wait thing,Reptilia,Anura,693.681,2567.05,Near Threatened
Service industry,Amphibia,Anura,1019.221,700.49,Extinct in the Wild
Nearly few,Reptilia,Carnivora,2344.264,1277.3,Endangered
No huge,Reptilia,Carnivora,1665.563,1612.83,Near Threatened
Myself your,Mammalia,Passeriformes,4425.448,869.88,Endangered
Use should,Reptilia,Primates,4756.671,1209.92,Vulnerable
Those whether,Actinopterygii,Carnivora,3640.735,862.56,Least Concern
Serve he,Mammalia,Primates,1211.38,1875.42,Vulnerable
Such us,Aves,Carnivora,2540.977,2163.87,Extinct in the Wild
Score when,Mammalia,Rodentia,3123.973,1456.68,Vulnerable
Record quality,Aves,Carnivora,4246.642,2893.76,Vulnerable
Industry energy,Aves,Anura,1475.704,1692.17,Least Concern
True also,Mammalia,Anura,2303.029,510.57,Endangered
Only yet,Reptilia,Rodentia,2945.054,198.24,Extinct in the Wild
Black it,Mammalia,Rodentia,1127.232,58.75,Least Concern
Hard true,Amphibia,Passeriformes,1407.599,2158.4,Least Concern
Century official,Mammalia,Rodentia,4253.649,2.84,Vulnerable
