species,class,order,weight_kg,length_cm,conservation_status
Author party,Aves,Anura,894.726,102.93,Vulnerable
Tell spend,Amphibia,Rodentia,1539.606,2736.76,Vulnerable
Mother two,Reptilia,Anura,4223.656,329.43,Critically Endangered
Glass only,Reptilia,Carnivora,3195.122,615.11,Vulnerable
Bring foreign,Aves,Carnivora,3458.879,2499.9,Critically Endangered
Moment thank,Actinopterygii,Carnivora,4724.315,1071.42,Near Threatened
Job computer,Reptilia,Primates,2946.456,1389.84,Near Threatened
Maintain accept,Mammalia,Primates,3862.548,1461.81,Extinct in the Wild
Note yard,Reptilia,Squamata,2755.013,725.62,Vulnerable
Second into,Actinopterygii,Carnivora,422.274,2858.48,Vulnerable
Up choice,Reptilia,Rodentia,1819.166,1765.5,Least Concern
Health act,Aves,Carnivora,154.192,729.76,Endangered
Difference woman,Amphibia,Primates,1413.417,1730.93,Critically Endangered
Movement toward,Amphibia,Rodentia,4424.785,2088.58,Endangered
Collection opportunity,Amphibia,Rodentia,4445.052,2638.15,Extinct in the Wild
On attack,Actinopterygii,Primates,1296.048,2752.06,Least Concern
Too loss,Reptilia,Rodentia,997.219,1822.77,Least Concern
Best evening,Reptilia,Squamata,2298.222,2000.19,Critically Endangered
Want few,Actinopterygii,Passeriformes,421.195,2090.27,Extinct in the Wild
Wife none,Aves,Squamata,3695.823,882.78,Endangered
May job,Aves,Primates,2819.564,1506.84,Extinct in the Wild
Change TV,Reptilia,Squamata,968.378,1618.93,Critically Endangered
American who,Aves,Anura,1769.732,2159.57,Least Concern
Play produce,Amphibia,Anura,3328.173,1940.03,Least Concern
Such seek,Mammalia,Primates,2932.859,1770.05,Extinct in the Wild
Tv media,Aves,Anura,808.623,2998.82,Critically Endangered
Sit industry,Reptilia,Anura,490.789,1135.03,Endangered
Change source,Reptilia,Rodentia,1386.627,993.67,Endangered
International trouble,Amphibia,Anura,769.833,1699.77,Vulnerable
Budget agree,Amphibia,Primates,265.664,1976.25,Least Concern
Hard organization,Actinopterygii,Primates,2155.068,1067.72,Endangered
Head poor,Mammalia,Squamata,3126.076,1895.74,Least Concern
Wait smile,Mammalia,Anura,4020.346,2566.19,Least Concern
Writer rule,Amphibia,Primates,2918.886,2183.93,Least Concern
Lead option,Amphibia,Squamata,2007.698,1534.04,Near Threatened
Take provide,Aves,Anura,1372.243,827.49,Endangered
Want outside,Aves,Rodentia,1379.534,444.59,Least Concern
Beyond provide,Aves,Primates,990.985,2681.56,Vulnerable
Cover three,Mammalia,Anura,4391.692,1481.47,Least Concern
Interesting once,Amphibia,Rodentia,169.587,1867.19,Endangered
Whom church,Mammalia,Anura,4597.783,1276.68,Extinct in the Wild
Word fall,Reptilia,Primates,363.77,1531.81,Least Concern
At guy,Mammalia,Primates,799.128,2201.03,Near Threatened
Forget wait,Amphibia,Squamata,4598.145,2785.68,Vulnerable
Father option,Actinopterygii,Passeriformes,4868.785,2855.12,Vulnerable
Meeting price,Aves,Anura,1160.582,1002.1,Extinct in the Wild
Word up,Reptilia,Passeriformes,1817.047,1802.89,Least Concern
Sign development,Actinopterygii,Carnivora,4457.024,1997.13,Vulnerable
Hit treat,Reptilia,Squamata,3594.354,2535.56,Near Threatened
Pay car,Reptilia,Squamata,3083.437,533.75,Extinct in the Wild
Listen almost,Amphibia,Passeriformes,2439.256,1765.37,Critically Endangered
Field indicate,Amphibia,Rodentia,3523.703,612.84,Extinct in the Wild
Agency store,Mammalia,Passeriformes,1712.918,205.49,Near Threatened
Situation remember,Reptilia,Rodentia,4344.518,2821.16,Vulnerable
Exactly board,Aves,Carnivora,3623.474,1256.56,Extinct in the Wild
Nation soon,Aves,Primates,2304.125,319.92,Endangered
Issue inside,Reptilia,Primates,141.454,823.44,Extinct in the Wild
Just policy,Aves,Passeriformes,2827.436,2033.76,Critically Endangered
Foreign possible,Amphibia,Primates,2524.892,2212.23,Endangered
Across send,Mammalia,Passeriformes,1063.557,289.49,Extinct in the Wild
Prepare provide,Reptilia,Primates,1859.176,2316.18,Endangered
Military also,Reptilia,Carnivora,1887.429,2689.13,Near Threatened
Ago success,Aves,Passeriformes,974.991,1770.47,Least Concern
Line change,Aves,Anura,785.26,2948.78,Near Threatened
Lay charge,Mammalia,Passeriformes,277.348,1400.01,Least Concern
Must space,Reptilia,Primates,353.296,177.42,Vulnerable
Admit about,Amphibia,Carnivora,4262.423,2627.37,Critically Endangered
Rise everybody,Aves,Passeriformes,3024.844,1968.48,Extinct in the Wild
Investment third,Reptilia,Rodentia,2364.989,1597.81,Extinct in the Wild
Travel wall,Aves,Primates,405.152,1912.09,Extinct in the Wild
Mean yeah,Amphibia,Carnivora,31.403,442.65,Extinct in the Wild
Protect center,Aves,Primates,2077.313,1066.84,Vulnerable
Throughout suddenly,Aves,Rodentia,4181.082,2102.8,Near Threatened
Cell church,Mammalia,Rodentia,2726.905,1597.65,Extinct in the Wild
Quality traditional,Reptilia,Passeriformes,2758.533,712.71,Endangered
Summer national,Amphibia,Anura,4190.684,1526.73,Vulnerable
