species,class,order,weight_kg,length_cm,conservation_status
Cultural heavy,Mammalia,Passeriformes,3036.621,2730.89,Endangered
While space,Amphibia,Passeriformes,4021.958,1063.52,Critically Endangered
Section could,Aves,Squamata,3935.617,978.65,Endangered
Half memory,Mammalia,Squamata,574.021,1245.36,Endangered
Teach deep,Actinopterygii,Carnivora,2458.996,2306.6,Critically Endangered
Early recognize,Aves,Rodentia,689.463,1873.12,Near Threatened
Sort respond,Reptilia,Squamata,4947.078,844.64,Near Threatened
Simple key,Amphibia,Squamata,1416.673,373.63,Extinct in the Wild
Article whose,Amphibia,Primates,3544.243,487.99,Extinct in the Wild
Their later,Actinopterygii,Squamata,269.581,1810.07,Extinct in the Wild
Wear resource,Actinopterygii,Squamata,4959.237,1695.8,Critically Endangered
Blue subject,Actinopterygii,Anura,1390.617,851.84,Near Threatened
Region have,Amphibia,Primates,2833.282,2086.46,Critically Endangered
Discuss property,Mammalia,Squamata,3085.572,2357.59,Critically Endangered
Administration day,Amphibia,Primates,2122.899,1151.93,Critically Endangered
Alone future,Reptilia,Carnivora,3508.485,1768.68,Near Threatened
Against sit,Actinopterygii,Passeriformes,398.792,1130.28,Endangered
Newspaper opportunity,Actinopterygii,Passeriformes,758.945,1569.7,Least Concern
Democrat build,Actinopterygii,Rodentia,3122.953,1694.69,Endangered
Explain right,Aves,Squamata,316.789,752.2,Least Concern
Medical name,Amphibia,Primates,4545.056,980.99,Extinct in the Wild
Walk sea,Actinopterygii,Carnivora,4754.33,632.48,Critically Endangered
Do series,Amphibia,Carnivora,325.364,146.61,Least Concern
Degree care,Aves,Anura,2236.943,1105.86,Near Threatened
On that,Actinopterygii,Squamata,2210.474,792.79,Endangered
Note war,Aves,Rodentia,1319.242,1949.99,Near Threatened
Nothing foot,Actinopterygii,Squamata,1183.152,2258.89,Endangered
Never suffer,Aves,Passeriformes,3029.004,133.95,Least Concern
Improve environment,Aves,Carnivora,2362.969,1917.9,Vulnerable
Create article,Amphibia,Carnivora,2976.997,97.62,Critically Endangered
Black edge,Reptilia,Rodentia,725.186,366.41,Least Concern
Serve defense,Aves,Passeriformes,4732.336,1463.99,Endangered
Father knowledge,Actinopterygii,Squamata,3310.545,2365.76,Near Threatened
Space father,Amphibia,Rodentia,4829.408,1072.4,Endangered
Politics enter,Reptilia,Passeriformes,4140.15,2144.5,Critically Endangered
Teach people,Mammalia,Passeriformes,4419.924,1788.12,Near Threatened
Food return,Aves,Primates,1643.422,2687.37,Near Threatened
Difference drug,Amphibia,Passeriformes,187.379,778.3,Critically Endangered
Tend stand,Reptilia,Squamata,486.949,2046.53,Critically Endangered
Book audience,Mammalia,Anura,1705.166,2179.22,Vulnerable
Early end,Mammalia,Rodentia,3092.697,2117.4,Vulnerable
Employee policy,Mammalia,Squamata,1073.059,511.59,Extinct in the Wild
Alone reduce,Aves,Passeriformes,1723.137,1219.24,Least Concern
Gas ready,Aves,Passeriformes,4388.215,288.04,Near Threatened
Although dinner,Mammalia,Squamata,4206.665,1218.06,Extinct in the Wild
Crime first,Amphibia,Anura,142.486,1561.4,Vulnerable
Soon behind,Mammalia,Rodentia,1780.111,359.39,Critically Endangered
Raise system,Aves,Primates,2380.476,700.52,Least Concern
Major per,Reptilia,Anura,3702.38,2372.48,Least Concern
Business reflect,Actinopterygii,Primates,4402.473,899.56,Extinct in the Wild
A through,Amphibia,Primates,1697.22,2891.34,Vulnerable
Send between,Mammalia,Primates,635.206,594.33,Least Concern
Loss federal,Aves,Primates,448.183,820.85,Critically Endangered
Store old,Amphibia,Rodentia,4123.009,2536.14,Vulnerable
Sell national,Reptilia,Squamata,2918.788,1699.32,Near Threatened
Under technology,Actinopterygii,Passeriformes,1713.776,1999.78,Extinct in the Wild
Rich across,Reptilia,Squamata,4054.534,2246.46,Least Concern
Box various,Amphibia,Carnivora,4817.689,2940.31,Least Concern
Television affect,Amphibia,Passeriformes,2478.745,2871.64,Near Threatened
Meeting them,Aves,Anura,1183.954,464.83,Critically Endangered
Game price,Amphibia,Squamata,3354.983,2005.44,Extinct in the Wild
Say no,Reptilia,Anura,3007.922,2927.86,Vulnerable
Perhaps budget,Aves,Primates,2525.541,2559.43,Vulnerable
History tell,Aves,Passeriformes,163.893,1661.44,Least Concern
Town wide,Aves,Rodentia,1950.062,1289.55,Vulnerable
Health section,Actinopterygii,Carnivora,3560.689,1913.91,Least Concern
Key before,Aves,Carnivora,2486.103,585.72,Vulnerable
Teach ball,Actinopterygii,Squamata,4656.498,216.85,Critically Endangered
Eat wear,Actinopterygii,Carnivora,1506.364,2596.52,Extinct in the Wild
Since value,Actinopterygii,Rodentia,1634.672,19.93,Vulnerable
Include mind,Mammalia,Squamata,3189.773,2867.14,Extinct in the Wild
Huge opportunity,Amphibia,Anura,888.971,1773.81,Extinct in the Wild
White whose,Aves,Rodentia,375.888,1866.25,Extinct in the Wild
Office none,Mammalia,Primates,436.565,2387.89,Near Threatened
