species,class,order,weight_kg,length_cm,conservation_status
Once community,Mammalia,Passeriformes,1562.194,1224.1,Endangered
Drug station,Reptilia,Primates,2900.485,1785.23,Near Threatened
Game return,Aves,Primates,2766.461,2432.02,Critically Endangered
Development center,Reptilia,Passeriformes,457.821,2172.89,Extinct in the Wild
Resource around,Reptilia,Rodentia,2466.618,2557.06,Least Concern
Discuss study,Reptilia,Primates,1367.528,2684.65,Least Concern
Response type,Mammalia,Anura,1117.116,2767.27,Near Threatened
Join radio,Actinopterygii,Anura,689.566,355.52,Near Threatened
Act wrong,Reptilia,Anura,1710.864,1556.12,Extinct in the Wild
Last last,Reptilia,Passeriformes,3958.498,1070.31,Near Threatened
Hotel across,Amphibia,Primates,4301.402,217.86,Vulnerable
Government administration,Aves,Passeriformes,2849.963,1221.71,Extinct in the Wild
Young realize,Amphibia,Carnivora,943.451,2165.11,Least Concern
Available garden,Mammalia,Rodentia,7.24,2295.24,Near Threatened
Son anything,Aves,Carnivora,3095.381,1504.06,Endangered
Prove those,Mammalia,Rodentia,4007.319,2494.48,Critically Endangered
Line energy,Reptilia,Squamata,3323.401,1908.53,Extinct in the Wild
Specific visit,Aves,Passeriformes,1520.745,998.09,Near Threatened
Economy when,Mammalia,Squamata,977.631,1524.72,Extinct in the Wild
Side reach,Reptilia,Squamata,2311.928,982.04,Critically Endangered
Girl these,Actinopterygii,Primates,2963.1,2357.6,Extinct in the Wild
Town instead,Reptilia,Primates,3572.957,292.87,Near Threatened
Past according,Actinopterygii,Anura,1073.852,2294.96,Critically Endangered
Stay radio,Reptilia,Rodentia,2461.655,749.59,Near Threatened
East individual,Mammalia,Squamata,3965.289,2327.96,Extinct in the Wild
President leave,Aves,Primates,3008.467,193.99,Critically Endangered
War activity,Aves,Carnivora,286.421,629.53,Endangered
Notice theory,Actinopterygii,Primates,371.78,1721.84,Least Concern
Tell pattern,Mammalia,Squamata,143.598,141.74,Critically Endangered
First whole,Mammalia,Squamata,2957.589,2270.48,Least Concern
Recently sing,Aves,Squamata,272.33,1683.6,Extinct in the Wild
Somebody home,Aves,Rodentia,2828.271,2466.8,Least Concern
Huge as,Amphibia,Passeriformes,4896.134,373.73,Vulnerable
These world,Amphibia,Carnivora,1249.757,659.38,Near Threatened
Growth range,Aves,Anura,4345.308,1232.25,Endangered
Up pay,Reptilia,Carnivora,3934.279,366.82,Critically Endangered
Glass cause,Actinopterygii,Anura,4778.682,1997.95,Near Threatened
Number experience,Actinopterygii,Passeriformes,434.932,623.53,Least Concern
Enjoy summer,Actinopterygii,Anura,956.762,1036.73,Extinct in the Wild
Study across,Actinopterygii,Passeriformes,566.472,511.57,Vulnerable
Society population,Actinopterygii,Squamata,3573.153,801.27,Vulnerable
Possible sport,Reptilia,Passeriformes,1844.71,1652.19,Least Concern
Manager full,Amphibia,Passeriformes,1541.754,341.04,Near Threatened
Ability south,Aves,Anura,4055.562,1946.65,Endangered
Sea scene,Aves,Primates,4457.44,2729.53,Near Threatened
As police,Amphibia,Passeriformes,4940.752,2694.91,Least Concern
Window seem,Actinopterygii,Rodentia,630.842,1245.24,Near Threatened
Trial receive,Reptilia,Passeriformes,2929.756,1937.19,Near Threatened
Event drug,Reptilia,Anura,1933.689,1470.5,Least Concern
Go recent,Actinopterygii,Rodentia,3353.123,54.51,Least Concern
Among ball,Mammalia,Anura,2029.802,940.55,Least Concern
Direction Congress,Mammalia,Squamata,4170.718,257.08,Vulnerable
His business,Reptilia,Passeriformes,4083.619,1262.34,Vulnerable
Boy fast,Aves,Carnivora,639.661,1268.45,Least Concern
Gas decade,Actinopterygii,Passeriformes,2264.57,2805.04,Extinct in the Wild
Music necessary,Reptilia,Rodentia,3318.806,2402.9,Near Threatened
Away song,Aves,Passeriformes,3054.369,2182.4,Near Threatened
Gun north,Actinopterygii,Passeriformes,669.215,2342.98,Near Threatened
Talk religious,Aves,Passeriformes,2530.824,1477.13,Extinct in the Wild
About if,Aves,Rodentia,1754.99,1345.88,Extinct in the Wild
Sit clear,Reptilia,Carnivora,2245.713,1531.22,Critically Endangered
Soon my,Actinopterygii,Anura,2798.579,2274.36,Near Threatened
Civil the,Mammalia,Rodentia,505.31,1549.16,Vulnerable
Although weight,Aves,Squamata,1974.571,1542.45,Least Concern
Modern so,Mammalia,Rodentia,1814.344,1366.34,Extinct in the Wild
Article strong,Mammalia,Squamata,3893.246,2026.28,Extinct in the Wild
Pretty indeed,Aves,Carnivora,1163.686,805.41,Endangered
Budget run,Amphibia,Passeriformes,3817.739,2649.86,Least Concern
Dinner least,Mammalia,Squamata,4717.623,1374.16,Critically Endangered
Prove push,Actinopterygii,Squamata,4283.968,674.36,Endangered
Himself statement,Mammalia,Squamata,985.824,2187.33,Vulnerable
Business discussion,Actinopterygii,Anura,1439.236,2469.56,Least Concern
Short skill,Mammalia,Primates,362.103,2270.58,Vulnerable
Decide event,Amphibia,Squamata,3564.08,223.54,Near Threatened
Team attention,Reptilia,Anura,1649.719,2757.33,Vulnerable
Remain share,Reptilia,Primates,2237.967,1733.84,Least Concern
Go total,Amphibia,Rodentia,1592.652,2931.79,Extinct in the Wild
Threat light,Reptilia,Rodentia,4263.898,1965.71,Extinct in the Wild
Congress bad,Reptilia,Squamata,3903.213,1431.45,Least Concern
Friend build,Amphibia,Rodentia,83.42,1513.68,Vulnerable
Participant table,Actinopterygii,Passeriformes,2740.204,1934.02,Vulnerable
Sure major,Mammalia,Rodentia,96.25,2332.03,Near Threatened
Either scientist,Mammalia,Primates,3701.445,552.34,Near Threatened
Capital or,Reptilia,Anura,3473.059,288.94,Vulnerable
Range health,Amphibia,Primates,2536.641,2096.07,Near Threatened
Drive street,Reptilia,Squamata,2372.335,62.21,Near Threatened
Matter if,Mammalia,Anura,1806.476,2950.94,Least Concern
Fine new,Amphibia,Primates,1619.016,2008.82,Vulnerable
Any authority,Mammalia,Primates,2122.126,887.59,Least Concern
Response themselves,Actinopterygii,Carnivora,4663.941,204.73,Extinct in the Wild
Pay college,Mammalia,Carnivora,4671.978,401.67,Vulnerable
That stand,Amphibia,Squamata,3411.608,891.91,Endangered
Art budget,Amphibia,Carnivora,4530.753,1588.22,Least Concern
Research war,Reptilia,Rodentia,3831.861,1962.06,Extinct in the Wild
End price,Amphibia,Squamata,612.265,897.82,Near Threatened
Big energy,Mammalia,Carnivora,4112.697,62.43,Least Concern
Structure politics,Reptilia,Anura,2609.943,797.46,Endangered
Low dark,Reptilia,Anura,3806.64,2791.84,Near Threatened
Several lead,Mammalia,Anura,3364.597,1232.8,Least Concern
Appear middle,Aves,Carnivora,1106.895,1781.27,Endangered
Prepare certainly,Mammalia,Passeriformes,713.237,252.16,Critically Endangered
Something year,Actinopterygii,Rodentia,441.55,2260.83,Endangered
General bed,Amphibia,Rodentia,4444.659,562.28,Critically Endangered
There animal,Reptilia,Anura,1524.844,1031.9,Critically Endangered
Yard various,Mammalia,Squamata,2191.593,1959.62,Least Concern
Effect bed,Reptilia,Carnivora,1592.241,923.3,Near Threatened
Through forward,Mammalia,Squamata,1528.571,866.69,Least Concern
Of true,Aves,Primates,1292.952,1984.88,Least Concern
Seven parent,Amphibia,Rodentia,564.009,2590.79,Vulnerable
Mission meet,Actinopterygii,Squamata,1311.594,1230.72,Near Threatened
A benefit,Actinopterygii,Carnivora,1593.099,2270.28,Critically Endangered
Boy but,Reptilia,Rodentia,4558.944,2801.87,Vulnerable
Whatever air,Amphibia,Primates,1933.064,1190.22,Least Concern
Pattern fall,Aves,Passeriformes,2665.381,225.74,Near Threatened
Early think,Reptilia,Carnivora,3414.532,1753.64,Critically Endangered
Theory realize,Mammalia,Carnivora,387.297,2426.7,Least Concern
Serve media,Amphibia,Primates,3443.262,125.64,Vulnerable
Fall most,Amphibia,Primates,2605.691,1839.38,Vulnerable
Ago although,Actinopterygii,Anura,3752.603,1475.69,Critically Endangered
Attorney scene,Amphibia,Primates,2226.631,522.87,Vulnerable
Better evening,Aves,Rodentia,1897.497,660.31,Vulnerable
Might would,Actinopterygii,Rodentia,2122.973,453.86,Vulnerable
To take,Reptilia,Primates,3387.012,35.87,Vulnerable
Support guess,Reptilia,Primates,697.841,2915.08,Near Threatened
Nation offer,Actinopterygii,Squamata,2207.631,2995.3,Least Concern
During able,Amphibia,Rodentia,3673.723,1340.47,Vulnerable
Painting unit,Aves,Rodentia,1963.059,310.25,Extinct in the Wild
Foreign kind,Actinopterygii,Passeriformes,2912.68,1214.58,Least Concern
Operation general,Reptilia,Anura,1415.835,1103.72,Critically Endangered
Clearly ready,Mammalia,Passeriformes,96.013,1655.44,Least Concern
Whose option,Mammalia,Passeriformes,1527.22,1310.09,Extinct in the Wild
Writer loss,Mammalia,Passeriformes,2544.751,1962.61,Near Threatened
Course speech,Actinopterygii,Squamata,2734.513,2828.87,Critically Endangered
Story city,Aves,Carnivora,1389.272,1110.82,Least Concern
Sign his,Aves,Carnivora,3356.722,2391.1,Endangered
Spend seek,Mammalia,Passeriformes,2972.126,1323.54,Extinct in the Wild
Shake front,Actinopterygii,Carnivora,1399.417,2981.99,Least Concern
