species,class,order,weight_kg,length_cm,conservation_status
War success,Reptilia,Carnivora,3198.983,1405.9,Near Threatened
Blood guy,Reptilia,Rodentia,2825.504,2749.11,Extinct in the Wild
Through give,Actinopterygii,Rodentia,2792.91,1497.26,Least Concern
Particular real,Reptilia,Passeriformes,3660.336,118.82,Least Concern
Public out,Mammalia,Primates,381.285,602.59,Endangered
Hot necessary,Actinopterygii,Anura,4328.024,682.47,Vulnerable
Check without,Actinopterygii,Carnivora,85.758,146.84,Endangered
Prevent popular,Aves,Carnivora,3993.616,1628.35,Extinct in the Wild
Increase free,Actinopterygii,Primates,4252.57,2916.64,Least Concern
Religious likely,Reptilia,Rodentia,4947.066,2732.12,Extinct in the Wild
Reveal likely,Actinopterygii,Squamata,2867.308,2159.47,Vulnerable
Energy industry,Mammalia,Anura,2066.692,895.85,Extinct in the Wild
On concern,Amphibia,Rodentia,1.278,2400.6,Extinct in the Wild
Look speech,Reptilia,Squamata,94.129,1399.6,Least Concern
Away participant,Amphibia,Rodentia,4192.715,667.88,Critically Endangered
Kind continue,Amphibia,Carnivora,557.495,1927.98,Least Concern
Among civil,Reptilia,Rodentia,1228.059,2418.04,Extinct in the Wild
Rich medical,Reptilia,Passeriformes,4216.139,2904.11,Extinct in the Wild
Product player,Mammalia,Anura,956.979,120.97,Least Concern
That million,Actinopterygii,Primates,292.974,2437.79,Critically Endangered
Still effect,Amphibia,Passeriformes,242.552,2086.64,Endangered
Indicate eye,Amphibia,Squamata,486.542,325.53,Critically Endangered
Anything real,Aves,Squamata,4460.908,1138.46,Extinct in the Wild
Three under,Amphibia,Squamata,2569.075,2351.34,Extinct in the Wild
Teacher happy,Aves,Carnivora,470.013,1420.27,Extinct in the Wild
Rate its,Mammalia,Squamata,1400.698,288.62,Near Threatened
Man growth,Actinopterygii,Rodentia,1451.369,1509.19,Extinct in the Wild
Production less,Actinopterygii,Squamata,1561.809,2916.31,Near Threatened
Him certain,Amphibia,Rodentia,4599.153,1690.02,Vulnerable
Challenge still,Amphibia,Primates,3919.486,1464.24,Critically Endangered
Meeting crime,Amphibia,Passeriformes,2515.121,2192.25,Near Threatened
Executive toward,Mammalia,Anura,1328.704,2263.27,Endangered
Relationship style,Aves,Rodentia,38.468,2798.7,Critically Endangered
Help health,Aves,Squamata,1054.232,1744.6,Near Threatened
Occur light,Amphibia,Carnivora,811.885,2077.23,Extinct in the Wild
Until why,Aves,Primates,4535.694,1099.61,Critically Endangered
Write state,Amphibia,Primates,735.45,216.79,Critically Endangered
Hotel single,Actinopterygii,Passeriformes,25.728,2027.67,Extinct in the Wild
Oil admit,Amphibia,Squamata,3422.91,602.8,Least Concern
Draw civil,Mammalia,Passeriformes,4619.801,442.97,Least Concern
Necessary world,Actinopterygii,Carnivora,4737.946,1625.3,Vulnerable
Thank full,Mammalia,Anura,3474.432,2278.27,Endangered
Piece property,Aves,Carnivora,4091.833,1603.88,Least Concern
Wonder base,Actinopterygii,Carnivora,868.92,2582.9,Extinct in the Wild
Huge able,Aves,Rodentia,3508.166,573.32,Near Threatened
Exactly low,Reptilia,Carnivora,729.179,1031.71,Extinct in the Wild
Audience market,Amphibia,Squamata,3738.111,1507.91,Least Concern
Back law,Reptilia,Carnivora,1730.929,2370.09,Critically Endangered
Song summer,Mammalia,Primates,1697.662,2668.01,Critically Endangered
Culture account,Aves,Primates,4925.975,109.94,Endangered
Theory second,Actinopterygii,Primates,129.161,1608.35,Least Concern
Happen power,Reptilia,Passeriformes,3077.991,917.76,Vulnerable
Party early,Mammalia,Carnivora,258.929,926.5,Least Concern
Question phone,Mammalia,Passeriformes,2681.09,1997.08,Endangered
Church fund,Aves,Primates,2868.644,488.68,Least Concern
Culture production,Amphibia,Carnivora,367.87,5.47,Near Threatened
Religious there,Reptilia,Carnivora,987.824,725.93,Endangered
Later federal,Aves,Passeriformes,2025.644,107.0,Least Concern
Model training,Amphibia,Passeriformes,3337.039,2449.26,Least Concern
Detail office,Amphibia,Squamata,4686.277,2310.9,Critically Endangered
Expert address,Reptilia,Rodentia,4138.536,462.92,Near Threatened
Lead ago,Amphibia,Rodentia,3111.463,1374.9,Near Threatened
Common system,Actinopterygii,Squamata,4335.111,2321.61,Least Concern
Actually store,Aves,Rodentia,1779.558,2836.18,Critically Endangered
Factor form,Mammalia,Primates,2909.273,432.13,Endangered
Alone imagine,Amphibia,Anura,3778.088,2629.64,Extinct in the Wild
Community say,Mammalia,Primates,2541.902,2913.32,Vulnerable
True outside,Reptilia,Squamata,2469.501,2648.25,Least Concern
Sell sell,Actinopterygii,Primates,220.993,2625.12,Least Concern
Keep might,Mammalia,Carnivora,3506.305,724.97,Critically Endangered
Response yourself,Amphibia,Carnivora,4929.803,618.23,Endangered
Simply window,Mammalia,Passeriformes,2697.701,555.62,Critically Endangered
Type road,Reptilia,Anura,1566.011,2014.41,Near Threatened
Manager act,Mammalia,Carnivora,1754.959,2044.62,Vulnerable
Every fill,Aves,Rodentia,16.365,2572.65,Vulnerable
Their prepare,Amphibia,Rodentia,3206.91,2577.64,Vulnerable
Young down,Mammalia,Passeriformes,3605.778,2493.84,Least Concern
Fish data,Mammalia,Carnivora,270.602,1510.65,Extinct in the Wild
From political,Amphibia,Squamata,4302.699,2638.68,Least Concern
Space pull,Amphibia,Squamata,881.61,2467.43,Near Threatened
Plant standard,Reptilia,Passeriformes,522.751,2346.58,Least Concern
Blood deal,Reptilia,Passeriformes,2877.615,1882.9,Near Threatened
Under clear,Aves,Squamata,4616.03,2105.19,Vulnerable
Dog military,Actinopterygii,Rodentia,3195.027,269.59,Least Concern
Like defense,Actinopterygii,Squamata,4730.049,1314.92,Extinct in the Wild
Product investment,Amphibia,Passeriformes,1994.8,473.42,Extinct in the Wild
Crime story,Mammalia,Rodentia,3355.67,274.01,Near Threatened
Have above,Actinopterygii,Anura,1862.508,2040.09,Extinct in the Wild
