species,class,order,weight_kg,length_cm,conservation_status
Represent she,Mammalia,Squamata,1294.153,1674.85,Near Threatened
Least project,Reptilia,Anura,826.232,506.38,Endangered
Perform nor,Mammalia,Squamata,4741.123,1472.18,Extinct in the Wild
Third cause,Actinopterygii,Rodentia,1389.523,1945.22,Vulnerable
Need foot,Mammalia,Carnivora,4402.435,1738.18,Endangered
Economic keep,Mammalia,Anura,3875.045,2660.5,Vulnerable
Strong lay,Mammalia,Anura,357.966,2832.42,Near Threatened
Economic ok,Reptilia,Anura,933.221,1369.23,Critically Endangered
Election turn,Amphibia,Rodentia,1617.448,2353.12,Vulnerable
Detail threat,Mammalia,Primates,590.848,2425.0,Endangered
Whatever director,Reptilia,Passeriformes,3916.719,1280.66,Endangered
Scene next,Actinopterygii,Primates,3976.35,320.83,Vulnerable
It arm,Reptilia,Carnivora,938.179,2341.22,Endangered
Discover station,Aves,Passeriformes,3601.211,965.92,Critically Endangered
Certainly there,Amphibia,Rodentia,650.94,807.35,Critically Endangered
Tree event,Reptilia,Rodentia,1855.901,2925.92,Critically Endangered
Goal realize,Actinopterygii,Anura,861.411,1934.59,Least Concern
Cause just,Amphibia,Anura,3142.774,2436.28,Critically Endangered
Everything hair,Actinopterygii,Anura,4936.858,1737.7,Vulnerable
Capital behavior,Amphibia,Passeriformes,4133.473,546.72,Near Threatened
Thing mention,Reptilia,Passeriformes,750.145,954.91,Vulnerable
History opportunity,Actinopterygii,Anura,1019.587,162.11,Extinct in the Wild
Your rise,Actinopterygii,Passeriformes,1556.214,2819.99,Critically Endangered
Standard investment,Reptilia,Rodentia,3455.766,965.1,Vulnerable
Candidate audience,Mammalia,Passeriformes,4835.963,1609.97,Extinct in the Wild
Model cold,Actinopterygii,Squamata,437.17,503.25,Least Concern
Fish debate,Amphibia,Primates,3044.628,1549.71,Least Concern
Note relate,Actinopterygii,Rodentia,1687.035,2816.33,Endangered
Participant admit,Actinopterygii,Anura,3250.176,2830.76,Vulnerable
Whom involve,Reptilia,Squamata,4912.834,1768.48,Least Concern
