species,class,order,weight_kg,length_cm,conservation_status
Western foot,Amphibia,Carnivora,4953.235,1527.6,Extinct in the Wild
Reduce everybody,Mammalia,Anura,490.169,1539.75,Least Concern
Exist over,Amphibia,Carnivora,695.569,1909.51,Least Concern
Yard read,Reptilia,Squamata,1913.652,867.38,Endangered
There discussion,Actinopterygii,Primates,613.445,68.99,Vulnerable
Possible behavior,Aves,Anura,4978.423,2146.67,Near Threatened
Order stop,Reptilia,Passeriformes,4843.622,2568.66,Near Threatened
Build late,Reptilia,Anura,2769.326,2295.88,Near Threatened
Daughter computer,Mammalia,Squamata,4939.979,245.07,Vulnerable
Popular develop,Reptilia,Rodentia,870.68,193.25,Least Concern
After size,Actinopterygii,Passeriformes,2104.896,233.04,Near Threatened
Trade hour,Actinopterygii,Squamata,4534.16,236.74,Endangered
Increase discuss,Reptilia,Anura,1821.077,2945.45,Endangered
Way road,Amphibia,Squamata,4927.91,381.95,Endangered
Myself mean,Reptilia,Squamata,1620.638,2057.79,Vulnerable
Wear fear,Aves,Rodentia,2413.316,1343.06,Vulnerable
Article never,Amphibia,Squamata,3168.877,2546.12,Vulnerable
Send option,Reptilia,Anura,2433.068,376.1,Endangered
Civil itself,Amphibia,Anura,319.009,5.14,Near Threatened
Girl friend,Aves,Primates,2658.257,1888.05,Extinct in the Wild
Style call,Amphibia,Carnivora,1206.113,2186.56,Critically Endangered
Situation dark,Mammalia,Squamata,3566.015,2615.91,Vulnerable
Far guess,Aves,Carnivora,3155.945,2845.42,Near Threatened
Director identify,Actinopterygii,Rodentia,955.404,160.76,Least Concern
Range should,Actinopterygii,Anura,900.613,322.58,Vulnerable
Heart pay,Reptilia,Primates,4510.283,1675.59,Near Threatened
Stop scene,Aves,Squamata,1114.337,898.39,Least Concern
Law plan,Aves,Carnivora,2961.364,2763.29,Vulnerable
Compare blood,Amphibia,Rodentia,2898.932,275.59,Endangered
Believe great,Mammalia,Anura,4147.405,2026.95,Near Threatened
Not film,Amphibia,Rodentia,354.865,2348.15,Near Threatened
End line,Amphibia,Passeriformes,2910.207,1211.48,Extinct in the Wild
City mother,Mammalia,Primates,4919.164,143.39,Endangered
Ready arrive,Reptilia,Rodentia,1140.265,1544.73,Extinct in the Wild
Happy stand,Aves,Anura,629.233,1490.58,Vulnerable
Ok organization,Aves,Passeriformes,629.855,1835.48,Critically Endangered
