species,class,order,weight_kg,length_cm,conservation_status
Argue such,Aves,Squamata,2689.222,2996.87,Critically Endangered
Require light,Mammalia,Primates,714.389,1211.03,Critically Endangered
Attention out,Actinopterygii,Rodentia,1175.713,287.82,Extinct in the Wild
Move ground,Mammalia,Passeriformes,2082.947,793.86,Least Concern
Sister sea,Reptilia,Squamata,1036.537,2074.05,Extinct in the Wild
Receive mean,Aves,Carnivora,1909.645,2346.81,Vulnerable
Buy green,Amphibia,Rodentia,4581.956,272.22,Near Threatened
Manager seek,Amphibia,Rodentia,386.489,1902.2,Endangered
Own high,Actinopterygii,Anura,4337.958,1570.67,Extinct in the Wild
Outside necessary,Mammalia,Carnivora,2923.381,306.11,Endangered
Take account,Actinopterygii,Squamata,1334.482,456.33,Extinct in the Wild
Cold move,Aves,Passeriformes,3080.455,212.38,Endangered
Hair nice,Reptilia,Anura,101.174,1100.5,Vulnerable
Theory drop,Reptilia,Carnivora,4264.195,1241.9,Least Concern
Audience poor,Mammalia,Primates,603.091,2794.52,Extinct in the Wild
Evening surface,Aves,Carnivora,4284.308,2161.44,Least Concern
Discover every,Reptilia,Primates,3915.979,450.3,Vulnerable
Even available,Actinopterygii,Passeriformes,855.313,214.44,Least Concern
Short today,Mammalia,Carnivora,0.577,1534.51,Endangered
Now military,Mammalia,Squamata,2102.24,2244.12,Endangered
Name write,Actinopterygii,Anura,976.232,1830.85,Endangered
Author thought,Amphibia,Squamata,879.789,1889.26,Endangered
Director sometimes,Actinopterygii,Anura,657.389,1468.31,Endangered
Recently choose,Reptilia,Carnivora,2584.954,1922.1,Near Threatened
Country nation,Actinopterygii,Squamata,2733.4,2615.74,Least Concern
Money by,Aves,Passeriformes,4257.001,1110.4,Endangered
Dream interest,Aves,Anura,4654.272,1323.58,Near Threatened
Already stay,Reptilia,Squamata,2423.134,1887.93,Vulnerable
Add later,Amphibia,Primates,4220.768,371.44,Endangered
Spend add,Mammalia,Anura,775.276,1887.84,Endangered
Speech scientist,Reptilia,Anura,2205.627,870.39,Endangered
Certainly allow,Amphibia,Carnivora,4961.288,2887.86,Critically Endangered
Significant why,Amphibia,Carnivora,3518.125,1767.8,Endangered
Share personal,Aves,Rodentia,2662.539,2733.28,Least Concern
Spring by,Amphibia,Rodentia,3920.01,803.32,Extinct in the Wild
Whole affect,Aves,Carnivora,1525.408,233.11,Vulnerable
Quickly sort,Actinopterygii,Primates,4821.16,648.5,Critically Endangered
Least fall,Reptilia,Anura,3740.011,1190.56,Vulnerable
Trial several,Actinopterygii,Anura,4797.303,448.37,Endangered
Moment price,Amphibia,Passeriformes,3985.299,2479.34,Endangered
Join return,Amphibia,Squamata,146.764,2324.67,Least Concern
Wonder address,Reptilia,Passeriformes,3081.712,740.94,Least Concern
First dark,Amphibia,Primates,4815.651,1329.11,Critically Endangered
Ground those,Reptilia,Primates,1638.898,2327.37,Vulnerable
Clearly body,Mammalia,Carnivora,300.762,495.0,Least Concern
Get down,Actinopterygii,Anura,4883.506,1836.32,Extinct in the Wild
Low fear,Actinopterygii,Squamata,790.742,2479.64,Vulnerable
Collection sort,Mammalia,Anura,1375.98,559.29,Least Concern
Pretty list,Mammalia,Primates,2473.059,886.28,Near Threatened
Little because,Mammalia,Squamata,3024.14,2381.4,Least Concern
Argue west,Aves,Squamata,3058.548,2617.74,Least Concern
After appear,Mammalia,Squamata,1565.149,1776.99,Least Concern
Use success,Reptilia,Primates,561.678,100.17,Endangered
Professor activity,Mammalia,Squamata,3520.48,1417.9,Critically Endangered
Away around,Aves,Anura,4103.937,1548.5,Near Threatened
Animal many,Aves,Rodentia,4987.91,845.32,Vulnerable
Answer building,Actinopterygii,Anura,2405.542,1029.83,Near Threatened
Test act,Reptilia,Carnivora,3278.786,822.96,Least Concern
Too rise,Aves,Primates,3793.882,291.45,Extinct in the Wild
Approach majority,Actinopterygii,Passeriformes,2584.094,1062.68,Critically Endangered
Term form,Actinopterygii,Anura,3889.229,2783.32,Near Threatened
Option audience,Actinopterygii,Rodentia,2488.718,2059.22,Least Concern
Within box,Reptilia,Carnivora,2286.375,2742.69,Critically Endangered
Statement treatment,Actinopterygii,Primates,2847.499,1434.82,Endangered
Plant behind,Mammalia,Passeriformes,2295.426,1839.48,Critically Endangered
Art next,Reptilia,Passeriformes,1741.506,550.91,Vulnerable
Dinner including,Aves,Passeriformes,3782.166,1689.24,Near Threatened
Fast several,Aves,Anura,3180.775,218.26,Critically Endangered
Debate management,Aves,Primates,2489.069,389.94,Vulnerable
Factor young,Mammalia,Rodentia,4780.499,2333.23,Near Threatened
Year significant,Reptilia,Rodentia,2553.261,2442.98,Vulnerable
Several song,Actinopterygii,Squamata,2187.858,451.22,Endangered
Computer plant,Aves,Passeriformes,1156.261,1227.75,Vulnerable
White know,Mammalia,Rodentia,3950.076,1556.97,Extinct in the Wild
Discover treatment,Reptilia,Rodentia,2094.068,2239.75,Vulnerable
Certain cold,Mammalia,Primates,1581.418,2470.25,Near Threatened
Claim green,Amphibia,Rodentia,2720.175,1296.5,Vulnerable
Career second,Actinopterygii,Passeriformes,364.777,93.4,Least Concern
Five box,Actinopterygii,Anura,4801.052,2830.48,Critically Endangered
Group statement,Amphibia,Rodentia,3500.816,270.76,Endangered
Across tell,Mammalia,Primates,3900.677,27.53,Extinct in the Wild
Much yourself,Amphibia,Passeriformes,1875.13,1194.99,Extinct in the Wild
Ago never,Mammalia,Anura,3422.858,1856.97,Near Threatened
Where cover,Actinopterygii,Anura,3320.997,1073.64,Extinct in the Wild
It front,Amphibia,Primates,399.903,683.89,Near Threatened
People clear,Mammalia,Carnivora,3571.656,2332.13,Extinct in the Wild
Rather mission,Aves,Squamata,1653.934,2492.38,Endangered
Scientist study,Actinopterygii,Carnivora,2387.986,2832.19,Critically Endangered
Long nor,Aves,Passeriformes,4678.575,1455.44,Least Concern
Lay set,Mammalia,Primates,3459.874,2931.74,Extinct in the Wild
Office lose,Actinopterygii,Carnivora,4674.201,2832.44,Vulnerable
Shoulder focus,Mammalia,Anura,1915.311,65.67,Near Threatened
Power your,Mammalia,Primates,3253.926,1447.98,Least Concern
Nor fund,Amphibia,Anura,3498.775,961.4,Critically Endangered
Produce significant,Aves,Carnivora,4631.722,2349.89,Least Concern
House middle,Mammalia,Carnivora,2587.591,1084.23,Critically Endangered
Local real,Aves,Primates,4451.388,1165.47,Vulnerable
Over evening,Aves,Squamata,4572.528,2942.23,Near Threatened
To last,Actinopterygii,Passeriformes,4121.669,1514.1,Extinct in the Wild
Artist become,Amphibia,Carnivora,710.202,569.04,Near Threatened
Crime time,Aves,Carnivora,2911.111,1348.96,Least Concern
Up hand,Amphibia,Primates,3827.892,2400.1,Vulnerable
Commercial fly,Amphibia,Squamata,254.68,1654.8,Least Concern
Foreign issue,Reptilia,Passeriformes,2289.155,1164.21,Least Concern
Form full,Amphibia,Rodentia,577.08,1728.02,Extinct in the Wild
Air discover,Aves,Squamata,3792.589,2522.75,Least Concern
Great operation,Mammalia,Anura,2440.213,1834.13,Least Concern
Away weight,Aves,Carnivora,4429.427,1531.49,Endangered
Senior senior,Aves,Squamata,795.512,2368.67,Near Threatened
Claim station,Actinopterygii,Anura,1375.536,1215.92,Vulnerable
Price forward,Actinopterygii,Passeriformes,4375.343,211.85,Extinct in the Wild
Church show,Aves,Primates,4432.409,103.92,Near Threatened
Hot film,Reptilia,Primates,340.42,2903.85,Near Threatened
Mind necessary,Reptilia,Carnivora,2075.776,1402.46,Critically Endangered
Two agreement,Actinopterygii,Squamata,2720.477,1577.74,Extinct in the Wild
Born heart,Actinopterygii,Primates,1925.644,2222.27,Critically Endangered
Cup green,Aves,Squamata,923.808,1254.38,Extinct in the Wild
Safe staff,Reptilia,Primates,4389.925,1603.03,Near Threatened
Realize game,Aves,Rodentia,1162.9,2764.7,Endangered
Mission common,Actinopterygii,Squamata,2408.319,1714.27,Critically Endangered
Author style,Mammalia,Rodentia,2567.364,2510.09,Endangered
Learn local,Reptilia,Squamata,3408.124,2148.81,Least Concern
Learn son,Aves,Passeriformes,3749.147,1648.38,Vulnerable
Nice concern,Aves,Primates,1038.257,1107.74,Vulnerable
Compare skin,Reptilia,Rodentia,3571.637,2088.94,Vulnerable
Why station,Actinopterygii,Squamata,129.678,1319.59,Least Concern
Land increase,Amphibia,Carnivora,4240.132,247.81,Extinct in the Wild
Many institution,Amphibia,Anura,1123.815,2065.97,Extinct in the Wild
Director by,Amphibia,Squamata,3849.681,2878.71,Least Concern
Long point,Mammalia,Rodentia,63.147,2409.95,Vulnerable
One child,Aves,Primates,3148.649,2212.7,Critically Endangered
Collection service,Actinopterygii,Rodentia,1099.094,1284.25,Vulnerable
Sister newspaper,Amphibia,Anura,3985.245,1202.98,Least Concern
Speak foot,Amphibia,Primates,460.81,2148.67,Near Threatened
North read,Actinopterygii,Anura,3303.79,2160.58,Critically Endangered
Debate age,Aves,Squamata,4745.8,860.21,Endangered
Tend question,Actinopterygii,Primates,3413.297,508.0,Endangered
Huge small,Mammalia,Passeriformes,32.91,1674.14,Critically Endangered
Total executive,Actinopterygii,Carnivora,1723.452,734.51,Vulnerable
Piece a,Reptilia,Carnivora,4089.478,505.87,Extinct in the Wild
Measure better,Aves,Carnivora,3751.93,402.77,Near Threatened
Painting money,Reptilia,Squamata,4460.362,1849.58,Extinct in the Wild
President employee,Actinopterygii,Anura,2511.544,1283.77,Critically Endangered
Debate science,Mammalia,Rodentia,844.301,1859.33,Critically Endangered
Federal myself,Mammalia,Primates,3255.416,1078.84,Least Concern
Then power,Actinopterygii,Passeriformes,495.261,1551.87,Endangered
Writer prevent,Actinopterygii,Squamata,2097.689,1418.4,Vulnerable
Evidence father,Actinopterygii,Primates,4942.275,1180.61,Endangered
Unit dream,Aves,Anura,4277.735,2568.36,Near Threatened
Crime thousand,Amphibia,Squamata,789.113,109.88,Critically Endangered
Feel several,Mammalia,Rodentia,4485.008,1811.9,Extinct in the Wild
Draw leave,Actinopterygii,Carnivora,1620.397,925.61,Critically Endangered
Computer current,Reptilia,Squamata,586.998,1732.45,Extinct in the Wild
Your without,Amphibia,Carnivora,1604.803,133.51,Extinct in the Wild
Dinner some,Reptilia,Squamata,3461.962,1998.52,Near Threatened
Light language,Mammalia,Carnivora,90.854,754.86,Near Threatened
Provide than,Aves,Carnivora,1858.012,839.55,Least Concern
Politics treatment,Mammalia,Squamata,3883.257,666.62,Least Concern
She network,Aves,Anura,1726.748,1963.62,Near Threatened
So evening,Actinopterygii,Rodentia,2964.413,2672.15,Near Threatened
Bank professor,Reptilia,Squamata,4847.801,2171.92,Endangered
But maintain,Mammalia,Squamata,38.338,2813.65,Endangered
Seem represent,Actinopterygii,Anura,2508.341,1300.12,Near Threatened
Establish hotel,Actinopterygii,Passeriformes,54.196,363.45,Near Threatened
