species,class,order,weight_kg,length_cm,conservation_status
Born strategy,Actinopterygii,Primates,3883.643,602.91,Least Concern
Mother street,Reptilia,Squamata,3069.427,1192.32,Near Threatened
Stop situation,Reptilia,Anura,4144.02,1336.47,Endangered
Office hear,Amphibia,Carnivora,935.518,1664.77,Vulnerable
Art apply,Actinopterygii,Carnivora,4937.242,392.71,Extinct in the Wild
Plan reflect,Amphibia,Rodentia,4513.515,1029.76,Endangered
Economic learn,Reptilia,Carnivora,270.014,1497.63,Vulnerable
Machine miss,Amphibia,Anura,3056.46,2916.93,Near Threatened
Republican might,Actinopterygii,Primates,2909.04,445.39,Near Threatened
Road mean,Mammalia,Anura,3547.305,408.67,Vulnerable
Speech clear,Aves,Rodentia,1003.789,2443.01,Extinct in the Wild
Someone amount,Aves,Anura,3388.691,2599.29,Endangered
Course leader,Aves,Carnivora,167.05,641.51,Endangered
Staff nothing,Actinopterygii,Primates,3629.569,2069.75,Least Concern
Write realize,Actinopterygii,Primates,3890.066,121.87,Near Threatened
Result throughout,Reptilia,Squamata,4991.598,1519.02,Least Concern
Relate seek,Reptilia,Primates,2010.214,21.36,Near Threatened
Fear compare,Actinopterygii,Passeriformes,1852.827,657.31,Critically Endangered
Later whether,Reptilia,Carnivora,1470.27,1211.0,Critically Endangered
Protect last,Reptilia,Anura,3999.151,12.11,Endangered
Performance walk,Actinopterygii,Primates,1277.414,836.95,Critically Endangered
Among plant,Actinopterygii,Squamata,2292.238,1537.45,Vulnerable
Their finally,Reptilia,Squamata,2614.474,2563.73,Near Threatened
Former official,Reptilia,Anura,3333.044,109.35,Extinct in the Wild
Cut on,Reptilia,Primates,4067.479,750.83,Endangered
Ok marriage,Amphibia,Rodentia,47.774,137.65,Critically Endangered
Fill everybody,Amphibia,Primates,2500.53,887.39,Least Concern
Impact outside,Mammalia,Primates,386.623,1533.75,Critically Endangered
Still my,Reptilia,Anura,4621.307,1535.07,Endangered
Democrat seat,Amphibia,Anura,4165.15,2597.2,Least Concern
If write,Mammalia,Anura,4274.673,995.92,Vulnerable
Police information,Aves,Carnivora,2964.737,2804.91,Vulnerable
Letter painting,Aves,Rodentia,770.401,2307.19,Least Concern
Something child,Mammalia,Primates,37.009,2469.61,Extinct in the Wild
Pull good,Mammalia,Carnivora,2330.563,176.39,Near Threatened
Position without,Mammalia,Squamata,3386.633,489.88,Critically Endangered
Heavy us,Mammalia,Anura,3382.712,1538.02,Endangered
Four rate,Aves,Passeriformes,281.85,1989.87,Vulnerable
Prevent relationship,Actinopterygii,Anura,4433.064,1860.12,Least Concern
Leg sound,Amphibia,Rodentia,2185.016,1476.04,Near Threatened
Out character,Actinopterygii,Squamata,3352.375,2144.81,Critically Endangered
Party defense,Mammalia,Anura,1461.077,415.49,Vulnerable
Significant course,Amphibia,Rodentia,659.439,526.27,Critically Endangered
Whom nice,Actinopterygii,Rodentia,1366.238,255.58,Vulnerable
Herself usually,Amphibia,Rodentia,3729.873,2133.0,Vulnerable
May pattern,Amphibia,Rodentia,650.933,1837.89,Vulnerable
Describe action,Mammalia,Carnivora,22.054,707.95,Vulnerable
Note change,Aves,Squamata,1736.829,1911.9,Near Threatened
Knowledge some,Reptilia,Passeriformes,478.051,698.66,Critically Endangered
Page project,Actinopterygii,Primates,1404.394,136.48,Extinct in the Wild
Record describe,Mammalia,Rodentia,2286.293,1349.52,Near Threatened
Baby now,Amphibia,Passeriformes,4874.557,2837.08,Vulnerable
Watch first,Mammalia,Squamata,4354.154,2336.12,Vulnerable
Avoid beyond,Mammalia,Squamata,2028.494,1493.51,Critically Endangered
Those item,Amphibia,Squamata,214.694,1937.82,Critically Endangered
Whether responsibility,Actinopterygii,Rodentia,2862.998,84.72,Critically Endangered
You cold,Aves,Primates,3730.883,437.23,Critically Endangered
Maybe study,Mammalia,Carnivora,2740.364,1563.56,Least Concern
Opportunity black,Mammalia,Rodentia,3271.715,220.4,Least Concern
Reason now,Mammalia,Anura,3325.986,1414.79,Endangered
Economy film,Amphibia,Carnivora,465.529,2544.54,Least Concern
Phone serve,Mammalia,Primates,869.661,2601.91,Extinct in the Wild
Themselves fall,Actinopterygii,Carnivora,2991.909,2427.14,Critically Endangered
Front PM,Reptilia,Carnivora,2948.009,1204.7,Critically Endangered
Now ability,Reptilia,Primates,1816.965,1260.37,Vulnerable
Prove democratic,Amphibia,Primates,2794.332,254.63,Near Threatened
Carry wind,Actinopterygii,Rodentia,1383.866,761.51,Extinct in the Wild
Enjoy fish,Reptilia,Passeriformes,1227.798,2107.92,Vulnerable
Middle manager,Actinopterygii,Passeriformes,2321.87,976.15,Critically Endangered
Seem eight,Reptilia,Passeriformes,2485.607,1690.37,Near Threatened
Explain avoid,Actinopterygii,Squamata,3873.953,1298.42,Near Threatened
What she,Amphibia,Squamata,3357.288,2121.36,Vulnerable
His chance,Aves,Squamata,329.496,346.19,Vulnerable
Case exactly,Amphibia,Passeriformes,2113.044,62.94,Vulnerable
Maybe economy,Actinopterygii,Carnivora,1474.95,2898.88,Endangered
Exist hundred,Amphibia,Passeriformes,2952.96,2082.17,Endangered
Response international,Mammalia,Rodentia,3442.549,1970.22,Endangered
Memory quality,Reptilia,Passeriformes,4596.196,1849.44,Extinct in the Wild
