species,class,order,weight_kg,length_cm,conservation_status
Enough sell,Aves,Passeriformes,73.903,1886.69,Near Threatened
Concern but,Aves,Rodentia,3297.064,848.13,Vulnerable
Away occur,Amphibia,Squamata,2761.585,1499.85,Endangered
None morning,Amphibia,Anura,1893.524,428.9,Critically Endangered
Other far,Mammalia,Squamata,4879.496,2857.13,Endangered
Article unit,Mammalia,Passeriformes,1650.87,2558.87,Endangered
Hospital national,Mammalia,Squamata,3893.612,803.62,Near Threatened
Article account,Reptilia,Squamata,4.792,1387.94,Extinct in the Wild
Agent answer,Aves,Primates,4638.056,2192.86,Least Concern
Life politics,Amphibia,Anura,1746.477,130.26,Vulnerable
Stop if,Reptilia,Anura,822.118,211.32,Critically Endangered
Human himself,Aves,Squamata,1210.059,1346.63,Extinct in the Wild
View huge,Actinopterygii,Primates,3219.701,2868.23,Vulnerable
Allow baby,Mammalia,Anura,739.198,1323.4,Endangered
Set specific,Mammalia,Squamata,3428.358,1736.64,Near Threatened
Whole international,Amphibia,Carnivora,1727.825,407.07,Endangered
Under red,Actinopterygii,Squamata,4603.931,2688.61,Least Concern
Hit threat,Reptilia,Passeriformes,4664.663,691.82,Endangered
Program couple,Mammalia,Squamata,1601.758,1961.24,Endangered
Send federal,Reptilia,Anura,1462.775,276.21,Least Concern
Consider support,Reptilia,Squamata,1097.098,1182.49,Endangered
What work,Mammalia,Primates,1606.209,1770.47,Near Threatened
Technology world,Amphibia,Carnivora,3023.738,1179.86,Endangered
This court,Actinopterygii,Primates,3842.701,1018.07,Near Threatened
Talk art,Amphibia,Passeriformes,2624.514,271.22,Extinct in the Wild
Future article,Aves,Squamata,3698.931,2939.58,Critically Endangered
Rule likely,Reptilia,Rodentia,3295.931,188.71,Critically Endangered
Charge around,Amphibia,Passeriformes,4371.793,2389.27,Least Concern
Little read,Mammalia,Squamata,466.426,571.77,Near Threatened
Tough table,Amphibia,Primates,3158.092,1361.47,Vulnerable
Trial nation,Reptilia,Anura,4692.823,329.3,Critically Endangered
Land move,Mammalia,Anura,1317.275,1155.7,Near Threatened
Building likely,Amphibia,Squamata,4116.455,382.35,Extinct in the Wild
Major arrive,Reptilia,Rodentia,593.551,2924.57,Extinct in the Wild
Subject policy,Aves,Carnivora,3226.336,1720.77,Endangered
Direction weight,Actinopterygii,Primates,3624.15,790.23,Vulnerable
Organization employee,Reptilia,Anura,1563.79,2764.62,Endangered
West late,Mammalia,Squamata,2058.373,1972.39,Extinct in the Wild
Strong represent,Amphibia,Squamata,4791.704,2418.92,Vulnerable
Mr attention,Actinopterygii,Rodentia,3848.779,432.89,Critically Endangered
Price final,Reptilia,Squamata,3347.515,2961.84,Critically Endangered
Town table,Aves,Rodentia,4862.528,1621.71,Extinct in the Wild
Attack surface,Reptilia,Anura,1363.047,737.27,Critically Endangered
Operation least,Aves,Squamata,4850.583,1070.79,Near Threatened
Great big,Reptilia,Squamata,1540.335,2108.12,Vulnerable
But treat,Amphibia,Rodentia,1714.1,1188.21,Vulnerable
Early money,Mammalia,Squamata,1185.708,12.63,Least Concern
Knowledge kid,Amphibia,Passeriformes,3399.587,762.12,Near Threatened
Expect operation,Reptilia,Carnivora,2170.549,957.98,Endangered
Case house,Actinopterygii,Anura,3229.86,504.74,Endangered
Third will,Mammalia,Squamata,4245.193,317.21,Near Threatened
Since happen,Reptilia,Primates,26.012,253.7,Endangered
Be onto,Amphibia,Rodentia,1626.821,2068.45,Critically Endangered
Loss poor,Actinopterygii,Anura,4395.382,331.47,Extinct in the Wild
Line future,Mammalia,Rodentia,2838.443,1042.79,Near Threatened
Physical walk,Amphibia,Primates,3272.437,2326.01,Vulnerable
Participant though,Actinopterygii,Primates,956.861,737.17,Critically Endangered
Month yourself,Reptilia,Anura,3436.336,225.79,Critically Endangered
Hope rock,Mammalia,Primates,4931.779,2996.48,Least Concern
Family half,Aves,Primates,1884.429,1957.2,Vulnerable
Sort decision,Reptilia,Squamata,175.831,883.27,Critically Endangered
Deep hard,Reptilia,Carnivora,1326.11,2691.12,Least Concern
Wall give,Reptilia,Carnivora,2176.564,1793.88,Critically Endangered
It anything,Reptilia,Rodentia,4766.44,2852.13,Near Threatened
