species,class,order,weight_kg,length_cm,conservation_status
Standard foreign,Mammalia,Squamata,1868.88,500.83,Extinct in the Wild
Instead best,Amphibia,Carnivora,585.851,462.4,Extinct in the Wild
Else with,Aves,Anura,79.816,1373.51,Near Threatened
Doctor along,Reptilia,Anura,2249.383,965.4,Least Concern
Upon weight,Actinopterygii,Rodentia,1825.233,1452.36,Least Concern
Record give,Aves,Squamata,4763.2,2054.66,Vulnerable
Not parent,Reptilia,Primates,3160.509,2940.8,Least Concern
Sort bit,Actinopterygii,Carnivora,1851.186,587.76,Endangered
Every change,Aves,Passeriformes,3754.134,1306.15,Vulnerable
Huge major,Aves,Carnivora,1669.905,2715.49,Endangered
Teach decade,Aves,Anura,2619.241,2112.21,Near Threatened
Feeling easy,Reptilia,Primates,2660.885,2299.53,Endangered
Building little,Aves,Rodentia,3239.817,1005.53,Vulnerable
Realize while,Reptilia,Primates,2074.534,393.14,Least Concern
Act allow,Reptilia,Rodentia,2475.095,351.21,Vulnerable
Central start,Aves,Rodentia,888.982,2892.26,Critically Endangered
Value party,Actinopterygii,Rodentia,3020.696,2670.29,Least Concern
Often TV,Amphibia,Carnivora,4118.003,1719.56,Endangered
Tonight position,Amphibia,Squamata,751.031,1873.69,Near Threatened
Plan be,Mammalia,Carnivora,742.039,2303.15,Critically Endangered
Sense use,Amphibia,Anura,2098.164,271.15,Extinct in the Wild
Board major,Reptilia,Anura,836.193,2919.08,Near Threatened
Window recognize,Aves,Squamata,164.785,155.44,Near Threatened
Late continue,Reptilia,Passeriformes,2078.706,1372.27,Near Threatened
Industry study,Actinopterygii,Rodentia,4403.958,1822.37,Extinct in the Wild
Positive unit,Actinopterygii,Primates,2540.436,1241.69,Vulnerable
Manager realize,Reptilia,Squamata,2192.679,2040.48,Vulnerable
Feeling upon,Amphibia,Squamata,4065.553,2698.96,Near Threatened
Everybody news,Actinopterygii,Anura,520.245,2381.52,Least Concern
Cover again,Actinopterygii,Rodentia,3230.34,2972.76,Least Concern
Common your,Aves,Squamata,1079.469,1691.41,Near Threatened
Thank performance,Reptilia,Rodentia,2862.19,1010.88,Vulnerable
Officer notice,Reptilia,Carnivora,1836.302,1577.21,Least Concern
Mind suddenly,Mammalia,Squamata,4386.145,2498.2,Critically Endangered
Huge success,Aves,Carnivora,3273.631,1084.72,Near Threatened
List leader,Mammalia,Passeriformes,3639.127,498.88,Vulnerable
Day within,Amphibia,Anura,1933.526,1010.53,Endangered
Section answer,Actinopterygii,Primates,4310.815,1986.06,Endangered
Spring white,Amphibia,Carnivora,2925.516,1963.54,Least Concern
Design stock,Amphibia,Squamata,4106.603,2226.5,Near Threatened
Help all,Actinopterygii,Anura,1752.004,2973.35,Extinct in the Wild
Serious teacher,Amphibia,Anura,2441.606,1008.7,Vulnerable
Born help,Aves,Rodentia,3008.349,780.22,Least Concern
But say,Mammalia,Rodentia,367.434,2056.43,Near Threatened
Network peace,Reptilia,Passeriformes,1640.683,2678.99,Least Concern
More teacher,Mammalia,Anura,2045.796,399.36,Critically Endangered
Moment while,Mammalia,Passeriformes,2988.741,929.1,Near Threatened
Place those,Actinopterygii,Primates,4672.118,793.2,Extinct in the Wild
Work carry,Actinopterygii,Primates,2419.93,2939.77,Critically Endangered
Kind find,Actinopterygii,Squamata,4829.024,369.48,Least Concern
Action help,Mammalia,Primates,676.763,671.7,Extinct in the Wild
Professional figure,Reptilia,Rodentia,568.231,1484.03,Near Threatened
Create usually,Reptilia,Carnivora,735.469,1352.05,Endangered
Carry degree,Aves,Passeriformes,2999.75,1426.24,Near Threatened
Toward raise,Reptilia,Rodentia,610.879,1527.98,Least Concern
Which number,Reptilia,Passeriformes,2559.143,2388.0,Endangered
Benefit employee,Reptilia,Carnivora,1133.198,376.81,Near Threatened
Agency remain,Actinopterygii,Passeriformes,3965.167,2639.84,Near Threatened
