species,class,order,weight_kg,length_cm,conservation_status
About girl,Mammalia,Passeriformes,3271.788,1587.51,Near Threatened
And side,Reptilia,Passeriformes,1599.175,444.76,Endangered
Energy once,Reptilia,Passeriformes,3708.487,1641.02,Least Concern
Receive character,Mammalia,Rodentia,257.45,1305.45,Vulnerable
Among experience,Actinopterygii,Primates,1556.302,1330.96,Vulnerable
Anything change,Amphibia,Squamata,3139.205,619.51,Least Concern
Point news,Actinopterygii,Carnivora,2963.325,2615.46,Extinct in the Wild
Character difference,Reptilia,Anura,3316.863,848.88,Vulnerable
Sound buy,Mammalia,Carnivora,2745.118,274.41,Least Concern
Morning poor,Actinopterygii,Passeriformes,2468.54,1978.0,Vulnerable
Society modern,Actinopterygii,Primates,2537.481,522.75,Least Concern
Article sign,Mammalia,Rodentia,813.308,1133.32,Critically Endangered
The meet,Actinopterygii,Squamata,4282.266,2029.56,Least Concern
Project memory,Amphibia,Primates,3061.452,1980.83,Least Concern
Rather organization,Actinopterygii,Primates,196.759,1633.47,Extinct in the Wild
Wide training,Reptilia,Carnivora,684.425,877.43,Vulnerable
Administration reality,Actinopterygii,Rodentia,296.164,850.43,Extinct in the Wild
Enjoy another,Mammalia,Rodentia,4590.634,1028.13,Critically Endangered
Want space,Amphibia,Anura,402.301,1073.76,Endangered
Professor several,Actinopterygii,Anura,2753.293,1835.43,Endangered
Clear hold,Aves,Primates,3169.942,1069.88,Near Threatened
Religious Congress,Actinopterygii,Carnivora,3112.387,946.87,Near Threatened
Cover really,Mammalia,Squamata,2331.577,1564.4,Vulnerable
Top account,Amphibia,Carnivora,3002.404,778.61,Critically Endangered
Particular population,Mammalia,Anura,131.224,133.81,Vulnerable
Wait future,Reptilia,Passeriformes,722.831,1570.7,Endangered
Skill between,Mammalia,Squamata,501.003,158.09,Extinct in the Wild
Billion open,Mammalia,Primates,1792.142,727.92,Least Concern
Third thank,Actinopterygii,Anura,1453.695,1380.96,Near Threatened
Front least,Actinopterygii,Anura,2453.959,840.54,Least Concern
Will cause,Reptilia,Squamata,2269.888,484.55,Extinct in the Wild
Push politics,Mammalia,Squamata,185.73,580.98,Near Threatened
Feel quality,Reptilia,Carnivora,1912.464,299.22,Vulnerable
Society front,Mammalia,Rodentia,4387.964,2485.7,Extinct in the Wild
Great he,Actinopterygii,Passeriformes,4832.292,569.7,Least Concern
Less face,Aves,Carnivora,3334.86,2591.98,Critically Endangered
Former dinner,Amphibia,Rodentia,335.13,2901.76,Endangered
Want crime,Mammalia,Squamata,378.484,609.01,Least Concern
Morning run,Actinopterygii,Primates,3968.001,1183.97,Extinct in the Wild
Put least,Aves,Anura,4196.17,590.84,Extinct in the Wild
Front rich,Reptilia,Rodentia,4613.502,444.83,Extinct in the Wild
Keep possible,Aves,Anura,3977.213,1989.44,Least Concern
Month question,Reptilia,Squamata,2879.06,738.2,Extinct in the Wild
Affect impact,Actinopterygii,Rodentia,1348.377,295.62,Extinct in the Wild
Specific laugh,Amphibia,Passeriformes,1667.8,317.86,Critically Endangered
Fear standard,Amphibia,Rodentia,3504.92,2952.98,Least Concern
Must list,Amphibia,Squamata,710.959,1367.09,Vulnerable
Loss ability,Aves,Primates,545.914,1471.3,Extinct in the Wild
Send lay,Aves,Squamata,3560.601,915.87,Vulnerable
Message time,Reptilia,Squamata,4507.655,488.6,Near Threatened
Song month,Reptilia,Anura,3909.708,682.4,Near Threatened
Nor network,Mammalia,Squamata,3076.987,744.37,Least Concern
Decision rock,Amphibia,Anura,4097.789,661.08,Least Concern
Recent coach,Actinopterygii,Passeriformes,64.821,641.5,Near Threatened
Serious remember,Amphibia,Primates,703.802,2740.8,Near Threatened
Pretty between,Reptilia,Squamata,1537.115,532.39,Near Threatened
Main economic,Aves,Carnivora,191.31,1441.81,Extinct in the Wild
Student gas,Amphibia,Carnivora,4550.926,2386.34,Vulnerable
Clear fly,Mammalia,Rodentia,4299.457,1804.07,Endangered
Again true,Amphibia,Passeriformes,1423.485,2866.53,Least Concern
Real others,Aves,Squamata,7.466,1610.94,Endangered
Middle book,Reptilia,Passeriformes,2856.973,758.69,Near Threatened
Moment next,Reptilia,Carnivora,4840.309,1111.54,Critically Endangered
Evidence area,Amphibia,Passeriformes,1304.804,1375.11,Critically Endangered
All him,Mammalia,Anura,4531.921,797.02,Extinct in the Wild
Safe election,Mammalia,Carnivora,2247.227,1492.41,Extinct in the Wild
Term education,Reptilia,Anura,4878.914,920.76,Critically Endangered
Lawyer bad,Mammalia,Carnivora,4377.04,1983.45,Critically Endangered
Few artist,Mammalia,Rodentia,463.771,2593.44,Near Threatened
Read lay,Actinopterygii,Passeriformes,4827.02,828.66,Extinct in the Wild
Increase responsibility,Amphibia,Anura,897.056,1514.55,Near Threatened
Every suggest,Actinopterygii,Squamata,4508.473,1413.97,Extinct in the Wild
Thousand stop,Actinopterygii,Passeriformes,1602.325,1863.25,Extinct in the Wild
Read him,Aves,Anura,1040.724,1882.09,Vulnerable
Easy record,Mammalia,Squamata,4220.081,644.58,Extinct in the Wild
Drug give,Amphibia,Squamata,581.128,1082.99,Endangered
Seven describe,Amphibia,Rodentia,4561.624,2629.03,Endangered
Series buy,Reptilia,Passeriformes,4147.165,2718.11,Near Threatened
Create recognize,Amphibia,Passeriformes,4355.965,2189.31,Endangered
Great value,Mammalia,Squamata,3652.2,432.93,Extinct in the Wild
Star argue,Amphibia,Anura,3408.498,2377.93,Near Threatened
Skin generation,Reptilia,Squamata,91.545,253.68,Critically Endangered
Score news,Aves,Carnivora,4265.218,681.04,Extinct in the Wild
Example seek,Mammalia,Passeriformes,1823.573,1370.6,Near Threatened
Not father,Reptilia,Rodentia,569.7,1080.74,Extinct in the Wild
Along report,Aves,Rodentia,3025.41,1089.08,Extinct in the Wild
