species,class,order,weight_kg,length_cm,conservation_status
Tax early,Reptilia,Squamata,3062.192,199.03,Vulnerable
Effect treat,Amphibia,Squamata,3730.07,1798.37,Critically Endangered
Wrong part,Amphibia,Primates,861.356,2514.11,Endangered
Store purpose,Amphibia,Squamata,101.32,224.11,Endangered
Couple line,Amphibia,Primates,1187.974,2054.83,Critically Endangered
Before defense,Amphibia,Anura,3810.829,2835.82,Critically Endangered
Present suggest,Actinopterygii,Squamata,256.581,60.56,Critically Endangered
Even door,Aves,Anura,4522.343,2521.28,Least Concern
Director political,Amphibia,Primates,3995.708,2608.69,Extinct in the Wild
Mean indeed,Actinopterygii,Squamata,113.072,2063.06,Least Concern
Clear but,Actinopterygii,Primates,1101.895,2450.06,Near Threatened
Half five,Amphibia,Squamata,3087.439,589.38,Near Threatened
Interesting your,Mammalia,Squamata,371.261,2497.62,Endangered
Goal last,Reptilia,Squamata,241.885,2844.06,Vulnerable
Today what,Amphibia,Rodentia,633.469,1066.93,Near Threatened
Impact if,Actinopterygii,Squamata,3335.773,1049.07,Least Concern
Section size,Reptilia,Rodentia,334.085,1355.96,Near Threatened
Us treatment,Reptilia,Rodentia,1201.625,2695.54,Endangered
Compare take,Mammalia,Anura,2650.688,2724.76,Extinct in the Wild
Test at,Amphibia,Rodentia,4242.283,2126.15,Extinct in the Wild
Brother tough,Amphibia,Carnivora,347.16,2514.28,Least Concern
Rule base,Actinopterygii,Squamata,3494.017,1518.7,Extinct in the Wild
Again present,Mammalia,Primates,2184.214,1017.73,Extinct in the Wild
Avoid within,Amphibia,Carnivora,2990.697,257.72,Least Concern
Too though,Mammalia,Squamata,182.119,1452.35,Vulnerable
General sometimes,Reptilia,Anura,1550.171,501.63,Near Threatened
Response modern,Actinopterygii,Rodentia,1083.126,2062.01,Extinct in the Wild
Early husband,Aves,Rodentia,1176.506,2377.02,Vulnerable
Either growth,Actinopterygii,Carnivora,2069.372,683.6,Critically Endangered
Success degree,Aves,Rodentia,1308.002,2838.41,Near Threatened
Off cold,Actinopterygii,Squamata,4062.301,1156.0,Near Threatened
Behavior fund,Mammalia,Rodentia,1022.545,2368.81,Endangered
Military suddenly,Aves,Primates,2506.967,796.07,Vulnerable
Necessary one,Mammalia,Passeriformes,4366.816,1514.9,Endangered
Pull study,Amphibia,Passeriformes,2781.086,2039.46,Extinct in the Wild
Young tonight,Reptilia,Squamata,4058.846,2802.1,Near Threatened
Wish item,Actinopterygii,Squamata,3.077,2969.32,Critically Endangered
Subject your,Actinopterygii,Passeriformes,4938.066,1575.87,Near Threatened
Pull according,Aves,Carnivora,4285.395,2513.34,Least Concern
Moment ahead,Mammalia,Rodentia,3331.614,1816.05,Critically Endangered
Simply individual,Reptilia,Carnivora,1913.198,2990.73,Extinct in the Wild
Together way,Amphibia,Carnivora,967.406,2808.6,Near Threatened
Skin happy,Mammalia,Anura,2580.447,806.49,Extinct in the Wild
Lead house,Amphibia,Squamata,148.799,1992.89,Endangered
Onto road,Amphibia,Carnivora,1425.224,2074.2,Endangered
Perform couple,Actinopterygii,Squamata,106.912,965.14,Critically Endangered
Very should,Aves,Primates,275.973,1637.68,Endangered
Respond somebody,Aves,Primates,4697.448,267.59,Critically Endangered
Enter year,Reptilia,Rodentia,133.219,1524.61,Critically Endangered
Outside seven,Mammalia,Passeriformes,304.146,2068.71,Endangered
Letter any,Mammalia,Passeriformes,4544.43,417.16,Extinct in the Wild
Want raise,Aves,Squamata,3119.146,1395.49,Vulnerable
Possible computer,Actinopterygii,Rodentia,1265.983,2962.63,Endangered
Leg rule,Aves,Anura,2230.007,2077.5,Least Concern
Choice although,Actinopterygii,Primates,4482.816,2752.73,Endangered
Lawyer road,Mammalia,Rodentia,4499.791,999.8,Vulnerable
Everyone only,Mammalia,Passeriformes,3351.473,2716.55,Near Threatened
That have,Mammalia,Anura,3289.029,827.05,Endangered
Medical age,Aves,Passeriformes,3368.287,462.69,Extinct in the Wild
Use spring,Reptilia,Squamata,2091.674,2840.92,Vulnerable
Movie pretty,Actinopterygii,Primates,4225.479,1900.92,Endangered
Difference age,Actinopterygii,Squamata,2649.291,1507.86,Endangered
Name world,Amphibia,Passeriformes,4558.695,1880.15,Vulnerable
Book personal,Mammalia,Passeriformes,4528.902,1876.57,Critically Endangered
Degree town,Mammalia,Rodentia,3625.69,1018.25,Vulnerable
Professor sometimes,Mammalia,Passeriformes,307.714,735.21,Near Threatened
Sort power,Reptilia,Passeriformes,264.587,1591.11,Vulnerable
Nearly activity,Amphibia,Primates,1638.27,1789.53,Extinct in the Wild
Maybe information,Actinopterygii,Passeriformes,3829.383,2342.91,Least Concern
Career industry,Amphibia,Passeriformes,1357.59,592.57,Least Concern
Car standard,Amphibia,Rodentia,3049.69,1831.68,Extinct in the Wild
Operation son,Amphibia,Rodentia,3234.082,2525.73,Extinct in the Wild
History better,Reptilia,Carnivora,4164.667,1303.88,Extinct in the Wild
Thought piece,Amphibia,Anura,2718.791,1160.34,Critically Endangered
Enough stand,Reptilia,Passeriformes,3554.384,454.91,Near Threatened
Today because,Amphibia,Primates,3492.113,1803.72,Near Threatened
Tough catch,Mammalia,Squamata,4280.159,606.99,Near Threatened
Event life,Reptilia,Anura,466.537,1249.27,Least Concern
Nice pattern,Aves,Carnivora,4349.749,1508.81,Vulnerable
Agree role,Aves,Passeriformes,4250.273,2443.21,Near Threatened
Many set,Actinopterygii,Squamata,1459.779,441.71,Extinct in the Wild
Explain concern,Actinopterygii,Primates,2378.675,39.77,Endangered
Economy small,Amphibia,Passeriformes,4466.094,184.46,Critically Endangered
Peace this,Amphibia,Primates,3239.283,201.48,Endangered
