species,class,order,weight_kg,length_cm,conservation_status
Off money,Actinopterygii,Primates,3908.439,1172.12,Critically Endangered
Board room,Aves,Squamata,2734.795,1729.06,Least Concern
Job change,Actinopterygii,Carnivora,3685.332,725.59,Least Concern
To since,Mammalia,Rodentia,4087.744,237.21,Endangered
Low realize,Reptilia,Anura,1131.838,1946.58,Near Threatened
Yet likely,Mammalia,Squamata,3169.097,642.56,Vulnerable
Force morning,Aves,Carnivora,1814.349,1274.14,Near Threatened
Camera hit,Reptilia,Squamata,920.014,2080.95,Extinct in the Wild
Congress hold,Amphibia,Rodentia,868.638,1380.91,Least Concern
Exactly too,Amphibia,Squamata,202.604,2780.23,Vulnerable
Standard break,Amphibia,Rodentia,8.181,324.62,Vulnerable
Teach resource,Aves,Carnivora,742.176,1527.45,Endangered
Prepare two,Mammalia,Squamata,444.497,140.56,Vulnerable
Skill moment,Mammalia,Anura,4873.19,1534.9,Endangered
Mind lot,Aves,Primates,1318.799,1202.96,Endangered
One character,Aves,Passeriformes,879.932,109.5,Near Threatened
Fill hit,Amphibia,Rodentia,3977.292,5.23,Extinct in the Wild
What trip,Reptilia,Anura,1405.127,1214.55,Critically Endangered
Teacher evening,Actinopterygii,Anura,1377.84,1672.75,Endangered
Black really,Mammalia,Passeriformes,1199.341,1116.26,Extinct in the Wild
Effort indeed,Reptilia,Carnivora,3283.678,1713.7,Extinct in the Wild
Lead while,Actinopterygii,Carnivora,3071.38,957.08,Endangered
Force for,Reptilia,Anura,3733.093,2919.78,Extinct in the Wild
Memory bank,Mammalia,Carnivora,2397.482,105.96,Near Threatened
Lot cost,Mammalia,Passeriformes,703.052,2011.62,Extinct in the Wild
Apply authority,Reptilia,Rodentia,2853.049,1847.13,Critically Endangered
Outside course,Aves,Squamata,3630.672,1077.41,Near Threatened
Your teacher,Reptilia,Rodentia,2602.396,2056.83,Extinct in the Wild
Continue from,Amphibia,Carnivora,1590.74,2796.01,Critically Endangered
Key draw,Aves,Rodentia,4358.474,1601.26,Vulnerable
