species,class,order,weight_kg,length_cm,conservation_status
Dinner provide,Mammalia,Anura,385.01,1796.18,Least Concern
Such son,Aves,Anura,1030.985,2214.52,Critically Endangered
Window stuff,Actinopterygii,Primates,3152.818,1896.6,Critically Endangered
Local meet,Mammalia,Anura,2111.53,1967.08,Endangered
Population full,Amphibia,Carnivora,4653.039,1675.31,Critically Endangered
Alone heavy,Amphibia,Passeriformes,3126.494,2356.08,Extinct in the Wild
Someone ability,Mammalia,Anura,4639.892,401.88,Vulnerable
Agree factor,Actinopterygii,Squamata,3781.222,1317.12,Extinct in the Wild
Actually structure,Aves,Carnivora,3407.052,692.04,Near Threatened
Agency consider,Aves,Carnivora,3617.95,2962.6,Critically Endangered
Measure available,Aves,Anura,3992.787,2547.02,Near Threatened
Know figure,Mammalia,Anura,2542.465,2318.78,Endangered
President nice,Actinopterygii,Squamata,3373.061,1880.23,Critically Endangered
Deal machine,Mammalia,Passeriformes,4339.839,2842.5,Endangered
Phone tax,Actinopterygii,Carnivora,3473.585,1973.44,Extinct in the Wild
Military plant,Mammalia,Rodentia,3494.36,2639.44,Vulnerable
Car too,Reptilia,Rodentia,1792.985,274.04,Vulnerable
Character phone,Amphibia,Rodentia,2640.845,1594.24,Vulnerable
Movie control,Amphibia,Carnivora,3651.555,2231.62,Vulnerable
Book surface,Aves,Anura,1662.923,2193.19,Endangered
Parent of,Actinopterygii,Anura,1963.016,986.2,Extinct in the Wild
Serious yet,Reptilia,Anura,3568.54,1078.7,Least Concern
Speak city,Aves,Rodentia,3990.992,1400.99,Least Concern
His bring,Mammalia,Squamata,1130.541,2868.54,Endangered
Coach lead,Actinopterygii,Squamata,3013.218,930.3,Extinct in the Wild
Second large,Reptilia,Rodentia,156.121,1733.93,Extinct in the Wild
Management which,Amphibia,Anura,1719.888,1590.02,Critically Endangered
According often,Aves,Anura,3906.32,742.39,Critically Endangered
New high,Reptilia,Carnivora,247.287,2204.56,Least Concern
Less final,Mammalia,Anura,3661.409,1284.13,Least Concern
Level left,Mammalia,Carnivora,3401.648,583.01,Vulnerable
Figure admit,Reptilia,Passeriformes,99.986,2617.15,Extinct in the Wild
Fact factor,Reptilia,Carnivora,4394.664,1375.29,Least Concern
Rest tend,Actinopterygii,Squamata,4235.891,751.83,Extinct in the Wild
Teach campaign,Actinopterygii,Carnivora,3202.954,2127.92,Vulnerable
Open available,Reptilia,Carnivora,4952.219,844.66,Least Concern
Now position,Reptilia,Carnivora,2173.7,2652.85,Vulnerable
Provide business,Reptilia,Anura,934.816,2519.86,Least Concern
Theory finish,Reptilia,Rodentia,897.186,373.25,Vulnerable
Poor rest,Aves,Primates,1326.497,650.26,Extinct in the Wild
Player no,Aves,Rodentia,953.831,2877.8,Critically Endangered
Responsibility other,Amphibia,Carnivora,2998.933,947.7,Endangered
Structure third,Actinopterygii,Passeriformes,356.471,601.42,Critically Endangered
Phone culture,Mammalia,Primates,1581.286,2835.75,Vulnerable
Away small,Mammalia,Anura,424.527,69.33,Vulnerable
Beautiful this,Mammalia,Passeriformes,3227.559,477.36,Extinct in the Wild
Environmental poor,Amphibia,Squamata,2058.821,1443.3,Vulnerable
Professor national,Aves,Anura,4444.037,1555.14,Extinct in the Wild
Particularly product,Amphibia,Primates,3436.671,369.9,Extinct in the Wild
Stay player,Aves,Primates,3043.95,1520.41,Critically Endangered
Learn miss,Actinopterygii,Anura,226.692,765.12,Critically Endangered
Night purpose,Mammalia,Passeriformes,594.212,822.44,Extinct in the Wild
Current coach,Reptilia,Primates,358.702,787.5,Extinct in the Wild
Question sometimes,Actinopterygii,Anura,2346.232,237.87,Endangered
Attack bag,Amphibia,Primates,2725.26,2799.17,Critically Endangered
Case blood,Amphibia,Carnivora,4256.085,2082.91,Endangered
World child,Mammalia,Passeriformes,2788.03,1323.69,Endangered
Experience vote,Aves,Anura,3768.732,2542.11,Least Concern
Bar policy,Actinopterygii,Primates,699.372,1110.93,Endangered
Stock politics,Actinopterygii,Rodentia,4452.475,1192.27,Endangered
Include option,Actinopterygii,Anura,2973.426,1958.88,Endangered
Expert scientist,Amphibia,Passeriformes,289.796,1810.57,Critically Endangered
Plan ground,Mammalia,Squamata,2328.891,1148.78,Endangered
Remember pressure,Amphibia,Primates,3602.928,1182.39,Extinct in the Wild
Within down,Actinopterygii,Passeriformes,4923.179,2478.68,Vulnerable
Commercial west,Reptilia,Passeriformes,4431.832,1750.76,Near Threatened
Seek huge,Mammalia,Rodentia,4334.552,1386.57,Least Concern
Of brother,Reptilia,Squamata,1030.679,435.59,Endangered
Degree public,Actinopterygii,Squamata,4425.056,1367.09,Vulnerable
Company give,Amphibia,Rodentia,1430.13,2638.24,Vulnerable
First there,Actinopterygii,Passeriformes,3288.923,2781.8,Least Concern
Remember study,Amphibia,Carnivora,1222.111,2816.2,Critically Endangered
From name,Reptilia,Squamata,4098.697,2040.75,Endangered
Country fish,Mammalia,Passeriformes,1013.34,2431.68,Vulnerable
Well husband,Amphibia,Squamata,4417.546,549.31,Near Threatened
Medical exactly,Amphibia,Rodentia,3679.573,2358.93,Near Threatened
May administration,Amphibia,Passeriformes,2862.795,2306.16,Critically Endangered
Service political,Reptilia,Anura,2267.682,2294.24,Vulnerable
Only night,Actinopterygii,Squamata,2608.364,777.2,Endangered
Almost color,Amphibia,Rodentia,791.447,1178.42,Endangered
Red maybe,Mammalia,Carnivora,344.108,2129.29,Extinct in the Wild
Fund look,Aves,Primates,2256.944,2508.75,Least Concern
Suffer grow,Amphibia,Anura,1384.524,1553.49,Near Threatened
Local part,Mammalia,Carnivora,4262.665,2630.66,Least Concern
Career mother,Amphibia,Squamata,539.327,82.95,Endangered
Beyond herself,Mammalia,Rodentia,909.192,2458.28,Near Threatened
Happy gas,Actinopterygii,Carnivora,2863.821,1627.99,Vulnerable
Much teach,Mammalia,Carnivora,3019.132,1019.38,Least Concern
Skill last,Aves,Squamata,2812.702,2359.41,Critically Endangered
Improve address,Aves,Squamata,2759.858,2087.2,Critically Endangered
Common put,Amphibia,Squamata,860.806,271.34,Endangered
Measure tonight,Amphibia,Primates,4210.032,1537.74,Near Threatened
Pm almost,Aves,Passeriformes,1022.666,855.16,Least Concern
Summer question,Aves,Squamata,3392.531,749.52,Extinct in the Wild
New concern,Reptilia,Primates,4233.539,1527.68,Near Threatened
Appear in,Reptilia,Squamata,3731.444,1107.11,Endangered
Purpose else,Reptilia,Primates,236.386,1695.24,Vulnerable
Market there,Actinopterygii,Primates,2839.465,2620.23,Endangered
Get speak,Actinopterygii,Rodentia,4935.812,2377.66,Extinct in the Wild
Those response,Reptilia,Carnivora,2981.899,2824.3,Near Threatened
Building senior,Amphibia,Passeriformes,3412.625,1931.85,Vulnerable
Company movie,Amphibia,Carnivora,3045.637,1313.25,Least Concern
People ago,Amphibia,Anura,3096.385,2880.16,Vulnerable
Between while,Aves,Carnivora,1885.01,1485.07,Endangered
Move court,Reptilia,Primates,2866.656,2083.18,Endangered
Television thought,Aves,Carnivora,4488.556,2673.44,Near Threatened
Rule security,Mammalia,Carnivora,973.555,395.33,Near Threatened
Thousand identify,Aves,Primates,1276.125,517.79,Near Threatened
Deal point,Mammalia,Anura,3056.753,1075.34,Critically Endangered
