species,latitude,longitude,population,date,habitat
Customer ten,59.350261,167.703074,3046,2026-06-20,Wetland
Effort seem,-84.935552,-171.519404,34196,2025-01-18,Desert
Size research,-1.231616,77.381773,47057,2024-08-08,Desert
Defense game,89.455581,-42.724051,42741,2017-04-20,Marine
Officer east,-44.027604,-133.838059,39877,2023-08-05,Forest
Expert together,82.038281,23.161793,11480,2017-10-04,Tundra
Together without,-52.181546,-142.268629,17343,2022-11-16,Tundra
Certainly strong,-23.966241,-167.221621,69264,2023-10-22,Freshwater
Themselves find,75.552141,-116.993722,85748,2020-01-02,Urban
Produce particular,46.635766,-92.508459,95459,2019-02-18,Freshwater
Off necessary,5.923401,-26.914841,26771,2024-11-02,Wetland
Fund president,26.007706,-129.645972,56274,2020-05-29,Tundra
Gas author,51.297196,-57.909507,91043,2017-04-24,Tundra
Force suffer,-1.151512,97.564088,36355,2017-11-04,Marine
Draw oil,3.523285,-104.431275,97926,2019-03-29,Desert
Reveal box,51.401413,54.862869,39386,2017-08-21,Forest
Star social,36.661141,107.197261,68733,2019-11-15,Grassland
Worker operation,7.38991,150.481553,28859,2023-11-04,Grassland
However person,50.214589,-94.736581,1010,2019-06-24,Urban
Full prove,-34.714913,-21.686093,41145,2020-05-16,Wetland
Part agree,89.674088,-74.053479,94313,2018-02-23,Desert
Sometimes strong,30.182121,24.758276,24703,2022-04-19,Freshwater
Police administration,83.426732,-134.797963,24377,2022-09-18,Urban
Half all,-8.704893,62.133692,18378,2023-06-23,Wetland
Pass prepare,30.434759,90.69039,27456,2023-07-21,Urban
Former follow,-89.965179,88.181131,71626,2026-06-27,Forest
Radio option,-35.185085,-171.07445,70996,2022-11-14,Desert
To radio,-84.52409,-92.781744,60727,2018-12-13,Urban
Lead upon,-14.679869,-87.115111,57562,2023-12-25,Grassland
Bag unit,22.508421,-96.690757,82182,2022-10-06,Freshwater
Mouth increase,13.126506,78.335533,44785,2019-03-13,Grassland
Sort all,51.94175,-62.427524,24917,2017-10-17,Grassland
Successful structure,57.808919,156.566946,96955,2016-08-15,Grassland
Light feel,-6.987502,125.088319,9555,2024-11-10,Freshwater
Test case,33.780554,-154.952295,83071,2021-11-10,Desert
Professor appear,57.382866,-125.842439,45231,2018-06-25,Grassland
Eye everybody,-9.988715,90.770338,4485,2021-04-11,Urban
Cup paper,-42.847973,149.142016,64227,2019-06-24,Tundra
Also along,-29.578164,109.731666,32956,2023-06-18,Urban
Prove reach,7.321465,-23.825324,51181,2018-04-15,Freshwater
Late director,-14.479679,-155.186021,4370,2019-05-02,Grassland
Model bring,42.441762,-39.638887,24444,2020-01-17,Urban
Meet college,1.03844,-125.998306,8213,2018-06-08,Urban
Require check,81.158352,-25.194644,46733,2022-01-08,Freshwater
Language stop,-31.101494,-154.114217,37337,2017-07-29,Urban
Point condition,-89.702702,37.969361,65392,2025-09-13,Marine
Stand guy,74.38961,157.54445,5539,2020-10-01,Freshwater
Action rest,37.899703,39.307172,96133,2017-10-04,Forest
Ball court,-13.15053,24.544811,28,2022-09-28,Wetland
Certainly practice,-50.350585,-5.54487,40992,2022-07-17,Wetland
Budget color,86.521508,-50.22618,2193,2021-03-07,Freshwater
Learn agency,67.490766,-81.050103,70492,2021-03-27,Urban
Fact manage,-9.424653,91.886454,47838,2021-10-02,Urban
Stuff institution,-16.409698,69.318875,81861,2019-03-29,Forest
Term pick,47.2244,-103.526901,7272,2025-09-25,Desert
Those relate,14.492972,-69.118185,6820,2017-03-01,Grassland
Education TV,-72.040198,-101.08153,95516,2017-01-20,Tundra
Democratic front,65.606734,-78.616211,92170,2017-01-14,Wetland
Whole same,-43.108983,54.727583,23191,2017-04-22,Freshwater
Hear stay,80.524306,31.319876,571,2020-06-07,Marine
Task they,86.949036,47.464633,51806,2019-10-21,Forest
Garden amount,-26.384229,-111.434683,17531,2020-02-07,Wetland
True then,-7.714247,-1.765796,64300,2025-11-10,Marine
Especially meet,56.941062,-157.423833,77582,2016-12-06,Forest
For indicate,-77.314444,23.332709,52409,2024-07-16,Urban
Team account,20.128447,133.203119,74608,2025-07-17,Marine
Early wind,-41.982593,57.20773,4828,2026-02-17,Grassland
Create seven,-43.179124,107.07702,41170,2016-07-31,Wetland
Child former,-14.989602,-42.01888,20046,2020-09-23,Freshwater
Able throw,67.81227,-12.700923,29065,2026-07-03,Forest
Agency seek,3.765508,136.365604,9778,2019-04-14,Wetland
Organization sure,-62.376858,15.970424,6729,2023-08-19,Freshwater
Available stock,23.197812,-81.098586,86430,2022-04-01,Desert
Again positive,-40.565402,-27.309402,40866,2023-03-12,Grassland
Perform describe,87.679007,-176.665608,91688,2019-02-10,Grassland
Up character,29.670245,-157.34841,5029,2018-10-05,Wetland
It accept,-82.32768,-130.826873,8011,2023-09-30,Desert
Mind statement,-60.37128,124.403206,81034,2017-04-30,Tundra
Structure head,-55.959653,-86.753633,54162,2023-03-09,Freshwater
Computer still,-53.798761,-33.009071,28146,2018-07-13,Urban
