species,latitude,longitude,population,date,habitat
Me fight,67.148188,114.259774,10141,2026-05-20,Grassland
Make me,-18.621225,133.742014,91126,2017-03-05,Desert
Simply buy,50.455317,-139.505527,35602,2019-07-27,Freshwater
Billion threat,-57.611426,-107.67141,29916,2023-04-15,Grassland
Case your,6.420996,170.036888,72155,2016-09-10,Tundra
Science bit,-33.469766,78.550504,9144,2025-02-05,Marine
Poor country,-28.617339,-57.14027,68057,2023-09-10,Wetland
Last any,-26.696537,172.895331,79649,2024-03-30,Urban
Day stop,-5.251947,-86.771962,77788,2025-01-05,Wetland
Daughter plan,35.502679,-77.2286,81309,2023-08-30,Urban
Without message,49.576952,44.087517,30382,2022-03-14,Desert
Night agent,-64.082816,-168.064105,15143,2016-08-24,Freshwater
Store magazine,-18.458749,-101.568307,52563,2020-09-17,Freshwater
Truth well,12.764797,6.912221,68146,2022-06-17,Tundra
Admit citizen,77.877668,151.592722,8710,2016-11-09,Urban
Have take,-16.082008,101.004379,28866,2024-06-30,Grassland
Low radio,51.90268,-88.498679,22041,2017-09-17,Tundra
Sort past,37.20245,-63.552075,16937,2026-05-02,Grassland
Ball natural,75.396775,-109.30126,67959,2025-12-04,Tundra
Truth western,27.416596,-69.491373,14948,2020-11-08,Wetland
Address drive,31.015511,156.270307,18641,2025-07-11,Freshwater
Citizen might,-29.751961,120.312477,95935,2022-02-22,Desert
Kid product,-59.873247,38.42231,17857,2020-04-05,Freshwater
Month or,47.020146,151.385937,50618,2021-01-29,Wetland
Word action,-71.108248,156.105088,48813,2022-08-04,Desert
Go wish,-13.723936,102.86107,55401,2024-05-31,Forest
Guess rule,72.612613,-12.201924,461,2024-12-03,Marine
Result same,-81.635205,-93.959677,45256,2020-04-02,Forest
Determine modern,6.645097,-105.624381,97093,2026-01-05,Marine
Tax effort,72.656154,96.272616,83253,2021-11-25,Grassland
Top along,69.043635,106.235176,38946,2025-01-02,Grassland
The picture,-6.809643,13.5524,75084,2020-02-04,Grassland
Site certainly,24.73597,-65.101208,46645,2017-12-08,Grassland
Step during,42.230907,155.560644,61649,2024-09-09,Grassland
Bit goal,66.555564,68.231273,23702,2020-10-16,Marine
Back change,70.814383,-101.873297,18162,2020-07-14,Desert
Play police,-8.273372,-2.510383,76930,2024-03-27,Freshwater
Either four,11.49785,155.941335,53560,2019-08-28,Grassland
Trial everyone,76.617976,93.370971,11703,2021-06-06,Desert
Enough sit,-27.298934,-64.079181,20079,2020-02-21,Forest
Write successful,-15.902276,15.988077,40520,2025-06-28,Grassland
Increase popular,-76.969196,1.285215,6394,2016-08-04,Wetland
Day professional,43.586927,-148.926271,50378,2026-01-12,Forest
Either arrive,9.696988,-147.552913,98025,2019-02-17,Urban
Without voice,-14.911899,-157.526945,54073,2021-05-02,Marine
Base money,-34.645506,148.059108,49143,2024-10-25,Desert
Race get,-61.748972,-78.246412,24655,2017-05-07,Grassland
Night money,40.112017,5.726582,79498,2020-07-12,Grassland
Customer assume,4.899731,-168.19468,57998,2018-01-30,Wetland
Throw us,-2.054668,-122.424719,96685,2017-10-12,Tundra
Improve set,-53.807517,-145.934813,78421,2023-01-10,Tundra
Resource difference,51.696137,134.119406,24786,2018-11-01,Desert
Energy town,46.368989,-173.669676,93016,2022-02-08,Urban
Make able,70.406492,8.289721,13387,2022-04-11,Freshwater
Fish school,-81.762422,78.73457,8718,2019-12-02,Grassland
Open real,-70.18542,85.262945,76506,2021-03-01,Freshwater
Happy meet,-18.372028,-173.352324,43148,2026-04-07,Tundra
Provide story,71.59269,89.892854,57495,2026-04-26,Tundra
Into than,21.941371,28.327107,64014,2019-03-17,Forest
Behavior pay,-85.170518,36.44835,15727,2026-02-23,Forest
Sure trouble,-52.540378,-120.012061,32212,2022-08-08,Freshwater
Music central,8.336972,132.252222,6799,2021-07-07,Wetland
Listen though,71.738747,66.442005,22160,2019-10-03,Forest
Various fast,-44.780122,38.164718,34640,2018-02-27,Wetland
Magazine more,39.599808,-151.52321,38712,2023-12-23,Desert
Security box,64.658622,164.939468,20656,2025-05-04,Forest
About quite,59.730998,-89.247777,1653,2021-06-07,Wetland
Current poor,-39.364102,152.254822,77104,2018-11-29,Forest
Interest Republican,-30.375943,165.028009,3204,2023-01-26,Freshwater
