species,latitude,longitude,population,date,habitat
My nation,-83.209765,-57.772868,73693,2024-09-30,Grassland
However test,-72.342866,-70.760653,3921,2017-04-07,Wetland
Nothing social,-19.556873,-132.063706,93217,2020-08-19,Tundra
Experience executive,-66.073454,-74.533696,44443,2021-01-07,Urban
Enter man,75.646543,138.230772,64807,2017-09-25,Forest
Water these,19.36317,-88.889412,2223,2019-10-15,Urban
Magazine attorney,63.934523,73.654611,21176,2019-10-31,Urban
Capital science,-39.039221,-75.319919,39814,2017-01-21,Marine
See agency,-48.357461,-174.682972,34556,2022-10-26,Desert
Only just,-43.92459,162.114606,96081,2020-04-03,Forest
Develop assume,56.730977,81.162189,81426,2020-06-30,Freshwater
Really might,69.666789,-131.739861,56900,2023-06-14,Desert
Too finally,68.911578,71.59334,4839,2019-12-28,Marine
Body finally,45.159963,6.046349,78430,2023-12-05,Tundra
Sort past,15.68586,-137.019312,61681,2021-05-08,Wetland
Bed report,85.255442,-174.476344,27203,2021-11-15,Tundra
Story sense,-45.156586,-57.054695,2550,2018-10-26,Forest
Me spend,80.962535,146.305748,72204,2019-08-13,Desert
Think purpose,42.149253,83.513846,7464,2022-02-21,Marine
Country off,-62.34804,95.457334,40315,2021-10-15,Forest
Whether cup,56.498239,-58.647239,10857,2023-04-21,Freshwater
Actually none,-57.050784,35.082557,15751,2017-06-14,Freshwater
Improve top,-45.403525,-63.063199,33085,2025-02-21,Desert
Vote professor,15.937463,-15.970083,77636,2019-06-13,Tundra
Plant scene,13.442246,77.936552,61750,2023-07-22,Desert
Real process,7.253126,115.468869,75457,2021-01-04,Marine
Deep experience,35.209727,-158.575577,64184,2019-03-04,Tundra
Lot operation,-41.494425,-66.091126,88083,2018-11-13,Wetland
Eye management,-18.525684,-85.7003,1309,2023-03-06,Desert
Create western,-63.609538,-1.593831,13051,2018-01-31,Freshwater
Wife government,-54.460755,91.670419,12552,2017-07-04,Freshwater
Nothing move,77.703499,60.394454,53661,2026-04-01,Marine
Since support,-53.079807,-153.439675,89549,2021-01-24,Freshwater
Heart consumer,14.661848,-49.528058,98769,2017-01-03,Grassland
Follow call,-27.461564,-84.773535,79625,2019-04-01,Marine
Simply majority,14.429192,-7.856081,73425,2024-02-22,Desert
Notice reach,1.06133,56.49008,8934,2021-06-09,Tundra
Draw itself,-11.337932,135.084042,42899,2025-10-30,Grassland
Education account,-63.243282,-161.030745,73991,2019-08-09,Grassland
Share environmental,83.759979,170.323198,22144,2019-01-23,Desert
Finally ago,-57.426609,-84.752377,34386,2022-05-29,Grassland
Card front,12.10557,7.54785,15981,2018-08-18,Desert
Reveal play,-2.093335,41.937235,37592,2018-12-31,Urban
Bit trial,89.990726,-149.218535,42698,2017-05-19,Wetland
Maybe music,71.451654,170.704187,89853,2019-04-25,Urban
Attention I,-33.312314,4.875018,41782,2025-09-09,Grassland
Available effort,-81.949853,-1.49154,352,2018-11-30,Forest
Apply every,-63.215514,51.116121,62726,2020-10-24,Grassland
Range might,64.037549,161.81282,65598,2022-07-18,Grassland
Assume well,-21.747289,76.238085,44034,2024-06-05,Urban
Which place,-5.604613,101.896441,98834,2025-12-17,Tundra
According president,-16.511322,-53.927457,32387,2023-09-09,Tundra
Suggest gas,-7.218357,72.471789,79705,2017-12-26,Wetland
Science wind,-3.261695,139.684014,71046,2020-02-09,Tundra
Guy tough,-27.87518,22.630123,82514,2017-11-06,Freshwater
Policy dark,24.440079,-97.38547,94658,2018-04-03,Desert
Place coach,3.720579,80.695645,98398,2025-07-20,Forest
Majority maybe,48.830855,-151.724842,78881,2025-06-07,Marine
Action article,70.79336,-29.418321,60180,2018-01-17,Urban
Time commercial,23.864567,-164.968373,65828,2023-06-09,Wetland
Benefit senior,39.081022,-77.982472,6582,2026-03-15,Forest
White wide,62.852165,25.774314,10276,2026-06-01,Wetland
General film,-48.905437,-16.820635,59600,2022-05-02,Forest
Firm anything,-84.935687,-119.966693,60287,2024-02-25,Urban
Late a,-25.144061,-31.967378,93031,2025-06-15,Wetland
There window,-13.454819,-36.435821,2078,2020-04-28,Desert
Easy give,-25.529602,-154.025097,89642,2020-08-31,Tundra
True stop,14.423474,-61.936569,74203,2017-02-24,Tundra
Top position,48.424434,-118.628207,38740,2026-03-14,Desert
Thus look,44.248741,-160.333018,86298,2020-12-30,Freshwater
Later score,-44.63459,156.727231,18261,2018-01-05,Freshwater
Cost life,4.136268,-144.530709,7080,2020-11-04,Tundra
Teacher radio,79.335432,106.46951,6256,2022-03-13,Wetland
Food food,-36.576456,-107.21224,28263,2026-06-17,Desert
Security growth,38.233694,-29.970117,67870,2018-05-01,Tundra
Against value,-15.120713,78.374576,12689,2026-01-19,Grassland
Theory way,60.901552,-117.970381,51256,2017-01-24,Tundra
Western modern,48.31619,-121.800354,78851,2020-11-15,Grassland
Stay along,88.439607,158.855268,42044,2026-07-05,Grassland
Up chance,1.900976,26.619366,84071,2025-03-20,Grassland
Also individual,-32.580339,5.198193,94916,2022-06-26,Grassland
Citizen do,-13.374622,-172.498248,71096,2023-05-18,Tundra
Arrive value,-19.588822,-165.461104,3347,2023-12-24,Tundra
Know him,39.406763,-165.472319,66024,2020-09-23,Marine
Face card,30.971809,170.076137,14573,2017-02-17,Wetland
Cut fight,-68.651605,-86.605988,94446,2022-04-28,Wetland
Last professor,-43.051624,1.095267,38137,2024-06-26,Desert
Whom wife,-7.765398,-66.481206,89038,2025-12-27,Freshwater
Movement example,74.517943,4.826717,44587,2017-08-20,Grassland
Common company,71.265196,-150.18913,32987,2024-07-11,Grassland
Probably experience,85.663567,61.185405,69459,2022-05-23,Tundra
Protect now,70.661818,-154.850228,52573,2016-11-05,Desert
Eat least,32.639721,-31.493119,368,2025-03-23,Freshwater
You operation,67.082164,-151.398246,233,2023-03-31,Forest
South society,-8.904681,174.993328,64450,2018-04-19,Forest
Resource art,9.756971,-33.980293,74466,2025-02-28,Urban
Impact likely,22.032837,104.93838,10802,2022-06-28,Grassland
Describe onto,-28.487233,7.320905,73562,2016-08-15,Forest
Attack effect,19.137908,-44.415197,57808,2018-12-19,Desert
College whatever,-16.291828,-2.338173,29606,2016-08-04,Marine
Month man,-40.627974,-39.170289,81439,2026-05-18,Wetland
Season miss,-0.927995,-86.952052,83596,2019-01-13,Tundra
Day wonder,-74.840868,113.999611,45648,2019-07-25,Freshwater
Public they,46.325727,177.345414,33396,2018-05-28,Grassland
Type involve,29.778714,113.156158,20255,2017-08-13,Desert
Memory cell,-79.461179,50.663178,2579,2020-07-22,Urban
Paper color,48.059989,-35.97775,54921,2024-03-24,Forest
Whole amount,46.846738,-97.011041,59393,2022-04-10,Freshwater
Beautiful song,75.049747,123.563241,85710,2017-10-18,Wetland
Plant probably,-43.629298,51.793581,83441,2023-01-27,Marine
Pressure their,-13.742652,27.291974,7858,2025-06-07,Urban
Stock conference,48.074023,-137.515716,29042,2021-10-12,Desert
Whole recent,28.415794,-59.103125,16441,2022-12-04,Freshwater
Significant investment,-80.929167,-4.253014,21974,2024-06-13,Urban
Every occur,-3.091447,91.327788,44280,2024-09-27,Marine
Newspaper coach,63.735172,145.589116,36290,2018-03-18,Forest
From notice,51.893224,145.548773,72861,2025-09-12,Tundra
Watch agree,67.555461,83.882601,50693,2018-11-02,Wetland
Sort finally,-18.279488,-37.679047,79055,2026-03-06,Desert
Make yeah,-58.340564,55.759513,64052,2021-09-19,Grassland
Page culture,-69.46536,126.967613,19550,2022-07-15,Urban
Organization Congress,-61.018232,173.505437,73408,2016-12-03,Marine
Million group,73.814776,102.519832,58941,2023-09-30,Desert
Season prove,-5.014959,-118.916402,41240,2018-12-16,Tundra
Article today,24.727969,58.530618,6830,2023-04-27,Urban
Pick energy,43.779586,-65.766168,49474,2020-05-01,Marine
War lot,-40.488292,-130.700996,26588,2023-04-30,Grassland
Once five,-65.35354,174.612975,63784,2019-05-12,Freshwater
Skill run,33.966852,166.267591,76500,2024-03-18,Wetland
Environmental political,35.122278,-50.03501,36429,2025-12-08,Forest
Live success,-62.911345,-148.591006,63711,2017-07-25,Freshwater
Against group,82.012878,88.818212,31989,2026-01-14,Urban
Know star,-67.823823,-107.938048,49610,2021-02-03,Urban
Simply rule,-71.429963,1.041381,56235,2023-09-01,Urban
Color attack,-49.440263,-136.721112,43854,2018-09-06,Grassland
Figure follow,7.026031,-35.620582,4913,2021-08-27,Freshwater
Hot strong,29.180672,90.640377,88561,2018-12-21,Forest
Significant gas,-8.701079,57.708424,71245,2023-08-29,Freshwater
Professor above,75.521337,69.349977,47244,2026-01-12,Wetland
Risk prove,77.127427,-163.882408,31051,2019-07-24,Urban
Summer wrong,58.194868,-18.282404,73481,2019-06-21,Grassland
Business author,1.867135,84.375249,90790,2017-06-22,Grassland
Turn hard,44.818566,-11.139544,75064,2026-06-16,Forest
May past,-77.039636,95.025181,39076,2019-05-15,Desert
Argue from,-27.892437,-122.195245,7024,2024-08-21,Wetland
Young where,-1.756047,-110.352093,40126,2024-12-09,Marine
Natural represent,55.217333,83.274528,74004,2025-06-22,Tundra
Meet writer,-7.944906,-97.251392,42023,2018-09-20,Marine
Author much,-74.051237,-89.9827,88196,2019-10-05,Grassland
And gas,41.372441,-102.359315,86916,2023-12-19,Grassland
His TV,-69.951916,-54.743486,44853,2019-05-05,Grassland
Ten push,5.390987,47.982776,92936,2023-08-31,Wetland
Difference author,36.487351,126.34298,90432,2025-10-14,Grassland
A important,65.682932,95.610705,36530,2018-07-28,Forest
