species,latitude,longitude,population,date,habitat
Rock its,-37.072709,-22.575095,74890,2018-10-25,Urban
Someone instead,17.746123,125.475579,71427,2017-09-11,Forest
True see,-34.988702,-173.026161,29001,2018-09-12,Forest
Carry chair,-60.580066,152.765356,39608,2022-08-20,Freshwater
Appear green,51.301758,-140.707718,48826,2022-11-17,Forest
Hard process,65.51309,6.018146,75064,2020-12-22,Marine
Money culture,-68.161847,-91.563594,91132,2017-09-02,Marine
Commercial threat,-22.099242,94.864356,68030,2018-04-07,Freshwater
Where left,69.094218,-27.07326,82046,2024-06-23,Urban
Standard campaign,-16.102426,130.528132,31862,2019-04-27,Tundra
Lead benefit,-43.962203,117.63512,6479,2020-11-21,Grassland
Mind car,10.458521,-31.563647,62334,2016-12-31,Urban
Expect thank,-88.618348,65.802549,42643,2017-07-25,Urban
Half out,-56.506191,-9.401794,11906,2019-03-03,Urban
Suggest bed,63.258602,-35.841235,92379,2024-07-31,Desert
Understand threat,73.74556,176.163961,17387,2018-01-11,Tundra
Detail section,-49.735088,167.614166,51679,2024-04-12,Tundra
Week land,40.179006,-146.87932,96949,2023-07-08,Freshwater
Decision behavior,-40.730492,-46.218646,79912,2024-04-13,Freshwater
Answer week,85.199269,-151.538422,93577,2021-11-23,Forest
Road girl,82.428851,162.094875,66754,2019-09-05,Wetland
Night both,4.945337,-26.910757,28788,2018-10-30,Forest
Issue million,-36.264689,-40.300291,71162,2023-11-23,Grassland
Agency source,-61.867584,86.555437,9522,2026-04-06,Desert
Seat we,38.920039,-134.013697,1801,2023-04-30,Grassland
Level artist,-29.47252,136.594034,58582,2023-11-07,Urban
Blue sort,26.132257,25.242899,49806,2021-10-11,Forest
Range identify,29.423037,69.839862,51773,2017-10-04,Urban
Push need,-84.942655,-138.396504,56795,2021-07-02,Grassland
Street style,-40.612355,-132.269702,25847,2023-04-28,Wetland
Reduce into,-82.145377,-10.728017,103,2022-10-22,Tundra
Floor month,34.370919,-14.712128,93086,2026-01-09,Urban
Never water,-87.410169,-64.728801,4250,2018-01-07,Tundra
Company school,-53.840395,174.423633,90683,2026-07-04,Tundra
Official note,80.03544,-164.053488,58917,2025-04-08,Tundra
Camera maybe,2.762215,-148.433585,63673,2018-06-17,Freshwater
Peace set,46.289659,-71.553943,87599,2020-02-08,Grassland
Middle wide,6.130783,-40.315588,16421,2021-11-20,Tundra
Certainly language,-45.063665,174.219272,15097,2025-01-26,Grassland
Sit purpose,-26.966465,-124.069416,4649,2025-01-06,Wetland
Life story,43.977784,175.203751,4641,2017-02-06,Tundra
Help across,-55.492327,-57.353196,72003,2019-03-05,Desert
Treatment street,28.529352,17.122264,12062,2023-12-02,Freshwater
