species,latitude,longitude,population,date,habitat
Exist public,66.622995,-162.695145,72338,2018-08-03,Forest
Other relationship,-23.142558,-103.712612,57327,2023-03-21,Urban
Eye maybe,48.114093,-33.951069,1351,2021-10-09,Tundra
Right together,16.859254,-124.214253,45882,2022-06-17,Freshwater
Involve case,49.578769,174.020826,66831,2017-12-10,Wetland
Blood yet,26.116098,170.449189,80321,2020-05-10,Desert
Shoulder back,26.029317,14.944782,87413,2026-05-29,Tundra
Then control,-19.64782,-147.779312,65820,2018-11-22,Forest
Population now,13.081391,-105.373124,34378,2024-06-22,Grassland
Child add,-22.100129,162.286967,75499,2026-03-05,Wetland
Mission campaign,79.406654,-156.009732,56470,2023-10-24,Marine
Home time,-44.335023,51.117226,54888,2022-09-22,Freshwater
Still policy,58.0575,-80.855466,74764,2017-05-22,Wetland
Close history,-82.266707,-141.321375,98855,2022-03-12,Forest
Everybody might,4.544919,118.565943,61079,2022-04-04,Wetland
Must Republican,-72.537328,-81.78496,75333,2021-09-23,Forest
Wear challenge,26.546095,164.156658,82096,2024-03-27,Marine
Yard seek,33.345853,78.87515,94507,2022-03-25,Desert
Several home,-6.644019,-105.418816,1351,2016-12-11,Urban
Fine structure,-10.712036,-65.089152,64208,2021-11-24,Desert
Pay ago,87.690837,-87.610997,40553,2017-06-02,Grassland
Citizen traditional,36.428986,-164.333683,74207,2021-09-04,Urban
Food end,85.662514,43.364396,93227,2024-11-12,Tundra
Window back,21.532869,-97.419483,1197,2025-10-23,Grassland
Look long,75.236246,106.94461,28260,2026-04-06,Marine
Region produce,55.994935,-55.74447,95192,2020-11-13,Urban
Wind act,-83.118024,118.749762,19281,2017-01-30,Marine
Compare mother,-71.294729,-98.984577,29124,2022-02-28,Freshwater
Them bed,-50.194681,75.048698,41159,2017-01-05,Forest
Military turn,9.074321,26.888313,73898,2018-09-06,Marine
Hotel walk,-87.597418,-20.733736,52029,2020-07-19,Wetland
Trade church,-82.72677,45.922855,91855,2018-09-13,Grassland
Same Democrat,-7.327678,-64.815971,69218,2023-11-07,Wetland
Tv white,53.619386,48.628359,71694,2022-03-06,Marine
Throughout agency,85.444812,88.240582,7412,2019-01-10,Marine
Value understand,8.913133,27.321311,84158,2021-06-14,Urban
Because station,26.550341,-47.439663,24039,2022-01-15,Urban
Police son,-21.898839,63.008455,8440,2019-04-17,Urban
Hard size,-82.811286,133.659969,63835,2022-08-10,Wetland
Piece ball,7.095295,116.268489,2905,2017-09-23,Tundra
Pretty time,-85.236769,163.671992,1987,2026-01-01,Urban
Very east,-75.330406,64.829841,2226,2025-02-06,Forest
Actually imagine,-76.501542,-96.696802,31912,2022-01-04,Wetland
Heart recognize,16.502139,-170.230735,47457,2025-03-13,Marine
Industry find,-8.366858,-76.300476,6223,2023-05-18,Urban
Significant when,-34.011877,-123.527016,12703,2022-04-03,Tundra
Consider whether,22.637715,-149.062636,26914,2021-11-29,Wetland
