species,latitude,longitude,population,date,habitat
Adult describe,-11.275174,103.568656,58511,2018-11-18,Tundra
Later Republican,-34.434976,-144.650595,92393,2024-10-28,Forest
Total ask,-75.187907,111.178111,53049,2016-12-18,Grassland
Address with,16.425457,92.522677,90264,2025-05-31,Forest
Much pattern,-55.674406,111.241148,40786,2017-10-14,Wetland
Heart against,-31.984421,85.872874,46448,2021-03-17,Urban
Service could,59.113104,-165.076744,54185,2026-07-17,Wetland
Account computer,57.080657,-29.242079,88434,2026-03-23,Forest
Hard place,-19.10279,-116.691045,10168,2019-05-19,Marine
Long least,7.307057,-27.945463,1131,2021-01-19,Marine
Specific product,-18.054584,174.292732,92546,2025-05-31,Urban
Generation others,42.892429,7.402354,30539,2026-01-26,Forest
Read for,-40.892893,-111.424993,33366,2022-04-22,Urban
Represent real,53.510174,141.867626,6240,2026-01-24,Tundra
Eat another,12.760306,-120.201387,87314,2023-03-30,Freshwater
Late talk,-28.118303,20.624791,90709,2024-02-23,Desert
Board particularly,58.79764,-27.907579,84437,2018-12-11,Freshwater
According hot,6.69208,87.039851,88540,2020-11-18,Desert
Toward step,17.171508,-123.999417,85242,2025-02-13,Urban
Affect writer,-4.714721,147.419278,10843,2024-08-28,Freshwater
Run five,-9.7106,-9.584165,20928,2022-06-17,Grassland
Pay fish,64.304865,-5.778906,28161,2020-04-30,Marine
Travel position,27.477807,78.313016,34264,2019-05-18,Urban
Animal near,-65.276531,-95.888016,11224,2018-10-10,Marine
Little write,-82.841102,138.294514,41160,2018-06-09,Forest
To others,77.415929,-169.260226,18326,2020-06-27,Marine
South owner,-8.156343,162.803689,19102,2022-03-05,Freshwater
Expect inside,-56.724274,-48.971286,71090,2022-05-12,Desert
Paper likely,87.413586,-21.31039,54781,2017-01-12,Grassland
Visit thing,-17.117804,-50.283157,99887,2022-06-13,Freshwater
Against above,-30.176595,-145.826536,94770,2024-12-31,Forest
Thousand standard,9.435016,-8.168932,45089,2024-04-10,Urban
Effect hotel,-25.451336,124.964926,70839,2020-11-10,Tundra
Pressure throughout,1.219208,-55.185228,52364,2021-02-22,Tundra
Recently process,66.385625,-10.774937,21768,2019-12-22,Forest
Popular above,-13.810827,-112.97446,58915,2018-03-01,Grassland
Serious college,82.691711,-19.490148,65762,2022-05-16,Freshwater
Pm four,-65.097921,-162.660105,76579,2025-03-15,Urban
Wife walk,70.91512,-40.978492,67815,2018-02-09,Forest
Teach recognize,55.504381,42.823507,88060,2025-09-12,Forest
Enough through,-18.127046,173.011142,72027,2021-02-10,Tundra
Worry establish,65.720362,151.928182,11304,2022-03-02,Grassland
Them poor,2.982459,52.278789,31378,2021-07-04,Marine
Bag professional,57.296576,-86.024137,9730,2020-10-26,Wetland
Big drop,66.216754,-134.645477,27359,2019-06-10,Forest
Wrong class,-5.64384,119.83574,7089,2017-11-06,Desert
Follow that,-0.963383,128.977621,73542,2021-07-18,Grassland
West it,-87.405531,-107.498109,38274,2020-03-29,Wetland
Side mother,12.918967,103.060652,58360,2021-08-01,Desert
Move there,78.02006,89.848541,10885,2021-07-16,Freshwater
Ready member,-37.442882,0.058653,33736,2016-11-11,Urban
It first,67.876632,-153.511583,24356,2024-12-16,Freshwater
Much range,-5.503832,23.177427,62137,2025-07-05,Desert
Administration I,-88.754913,49.61093,79350,2017-05-11,Urban
Responsibility special,-48.183967,-3.38966,37183,2020-09-06,Marine
Together southern,62.614237,-148.054145,79553,2025-03-21,Grassland
Away collection,-84.799509,29.487533,84752,2020-06-24,Desert
Cut wall,-0.881883,-102.134914,27763,2021-06-22,Freshwater
Southern role,62.539758,64.841209,79713,2021-02-05,Forest
Better music,-86.8884,-82.405358,81096,2019-03-21,Marine
Add her,48.75105,176.627335,16016,2026-01-16,Desert
During enough,87.199051,83.815865,96237,2017-11-01,Desert
Down firm,33.416466,-157.204873,10330,2024-09-17,Desert
Although north,87.713909,-55.434666,30364,2021-08-25,Marine
Interesting according,1.138551,170.122805,13706,2020-05-30,Urban
Often mission,65.169523,121.307727,90715,2021-07-08,Forest
Unit down,58.290222,-15.997368,43674,2026-07-14,Tundra
