species,latitude,longitude,population,date,habitat
Unit media,11.865476,-12.12829,99306,2016-08-18,Grassland
Best even,89.066646,176.230925,9930,2020-11-28,Wetland
Part concern,-66.538476,90.476696,36529,2016-08-11,Freshwater
Least until,53.949164,-156.306631,5557,2019-04-12,Urban
After consider,-45.293815,108.155744,80436,2021-02-24,Desert
Score shoulder,-89.465774,17.860594,44501,2019-08-10,Wetland
Model if,-88.379809,29.174414,52560,2017-08-07,Marine
Trip measure,-6.886723,-55.531387,33275,2025-01-30,Freshwater
Difficult Democrat,69.636256,-161.137233,22201,2025-05-02,Urban
Role politics,-28.264739,0.852335,33365,2016-11-24,Freshwater
Newspaper choice,-20.599158,-29.662527,68895,2019-08-15,Marine
Maintain nature,5.631108,-3.90434,2071,2019-03-09,Urban
Dinner five,4.953939,90.118112,19133,2021-11-17,Freshwater
Head religious,-45.66317,67.272572,87693,2020-06-20,Grassland
Star produce,64.816061,-34.687414,47226,2021-06-13,Tundra
Visit under,15.024813,152.64944,73754,2018-02-11,Urban
American industry,-10.543236,-65.569326,18514,2020-05-17,Forest
Group early,47.001357,124.351389,60467,2023-06-29,Marine
Career right,-16.863451,-101.364943,90446,2026-01-13,Desert
Financial describe,0.191833,-115.505586,30829,2021-07-31,Grassland
Place north,-25.811882,-92.984318,33794,2025-04-17,Grassland
Man activity,72.37982,-24.290643,56197,2024-07-21,Desert
Million room,32.113645,-124.917715,61662,2021-02-27,Forest
Material it,-40.464608,-73.263254,40149,2019-05-18,Tundra
Nothing pretty,25.506361,-87.15847,57596,2026-06-16,Urban
Him vote,-4.978236,-178.804703,44082,2021-06-09,Urban
Feel could,-19.908782,-54.402539,77425,2019-11-04,Freshwater
Author degree,-12.013359,-57.15926,61730,2018-05-21,Tundra
Resource usually,22.458494,36.485786,63483,2024-09-06,Tundra
Reason nothing,-20.347796,-75.223134,19941,2026-05-28,Grassland
Job person,-11.252118,-129.094017,32550,2019-04-02,Wetland
Office fly,78.286628,138.430203,15491,2019-04-16,Grassland
Article enter,-14.744373,-10.019621,35218,2022-07-03,Wetland
Grow evidence,16.849223,175.963301,74119,2018-12-06,Marine
Prepare risk,-85.205583,48.334336,72521,2025-03-31,Forest
