species,latitude,longitude,population,date,habitat
Work family,41.890294,-9.946568,67123,2025-12-13,Desert
Themselves trip,-71.972833,-52.899376,14559,2017-07-10,Desert
Step among,-31.339836,-161.470126,84886,2019-03-22,Freshwater
Foot hotel,31.514582,151.703627,60846,2016-08-12,Urban
Middle travel,39.238456,151.400483,94417,2024-06-24,Tundra
Great road,-27.445393,-90.483594,63431,2025-03-21,Marine
Benefit certain,6.373885,-178.897603,62085,2016-09-23,Forest
Carry find,-53.398886,-12.56371,25909,2024-08-30,Freshwater
Thought past,3.963495,26.747815,35454,2026-05-25,Freshwater
Fall own,-54.395243,40.287386,71306,2019-07-26,Urban
About each,-72.140205,116.47705,31330,2024-06-10,Urban
Main here,20.640974,137.500167,18758,2017-02-21,Grassland
Watch describe,38.668172,-167.517433,87765,2023-07-25,Desert
Draw show,-13.739588,-172.673464,13913,2025-08-19,Tundra
Summer never,68.506603,92.531712,48578,2019-10-21,Tundra
Discuss despite,-1.010319,51.834219,67806,2024-08-06,Freshwater
Important color,-47.783617,-20.118616,24545,2021-06-08,Freshwater
Win western,58.75552,77.893853,69652,2020-04-07,Freshwater
Expect employee,-58.598348,-156.034929,16326,2017-08-09,Marine
Arrive sister,-26.785296,39.642179,67866,2019-10-07,Urban
Fish happen,43.280914,153.845663,42487,2021-09-28,Tundra
Space yourself,15.920327,-59.173401,45571,2022-02-27,Wetland
Role down,9.190979,-113.253379,89241,2025-08-19,Forest
Increase design,-75.463595,33.282239,96679,2019-03-11,Grassland
Game despite,-30.212681,-121.391759,38457,2020-07-30,Forest
Service mind,-6.342921,-20.153013,77825,2017-01-18,Wetland
Brother election,-23.819953,-106.888584,38246,2018-09-10,Urban
Management from,68.682672,22.580014,97237,2016-08-16,Tundra
Success sell,2.010076,-104.996331,13852,2021-07-31,Urban
Large job,-22.391972,-66.482592,29374,2023-01-21,Grassland
Something certain,-30.808458,-75.946686,90368,2019-10-04,Grassland
Laugh difference,-83.118122,-83.464845,60104,2025-11-12,Tundra
Race move,-25.938505,76.197904,75097,2018-04-11,Desert
House guy,-44.671416,-100.85907,62091,2019-08-01,Urban
Region determine,29.699536,-18.248324,95599,2016-10-03,Desert
Hold cost,-38.009996,-22.343516,65698,2025-02-15,Urban
Consider by,39.043784,-113.083264,17388,2019-10-01,Urban
Front stock,-11.084606,14.619927,54720,2023-06-24,Forest
Radio board,-88.19338,94.936067,65416,2021-01-04,Wetland
During move,45.982844,174.324536,3425,2019-08-06,Forest
Discussion compare,45.950929,22.642663,3076,2017-10-29,Urban
Data bad,15.089179,73.709048,80057,2026-05-20,Marine
Face country,40.163183,99.994766,94651,2017-07-26,Urban
Activity mention,-8.198857,33.977363,30981,2022-05-20,Urban
Country above,-15.901755,142.906942,94839,2026-02-13,Tundra
Wall different,-50.691937,-11.394488,4782,2023-12-23,Freshwater
Finally long,18.933333,-161.588486,1034,2018-09-09,Freshwater
Own involve,-38.989521,-60.943413,37515,2016-12-22,Grassland
Dark physical,5.368057,-159.565575,83346,2020-01-28,Desert
Poor voice,-43.917854,135.684391,26399,2024-03-02,Tundra
