species,latitude,longitude,population,date,habitat
Might side,19.687126,70.538011,50818,2019-09-24,Urban
Subject seek,-58.677587,-39.26587,7632,2025-01-17,Grassland
Against give,21.071701,-108.892955,87593,2020-11-15,Marine
Relationship room,45.951644,-78.485241,88720,2020-02-20,Marine
Third some,56.038676,-179.130939,5830,2024-12-18,Wetland
Strategy prevent,48.268854,114.049231,22257,2024-01-27,Urban
Difficult effort,-77.147153,-122.706843,72199,2018-04-26,Forest
Audience PM,64.443217,130.948125,31197,2019-03-10,Grassland
Health culture,72.401016,96.777561,33959,2017-03-27,Grassland
Story last,-64.064945,124.111932,82311,2023-01-26,Tundra
Determine worker,-4.679377,145.53952,44412,2020-08-11,Urban
People ready,36.78721,7.017193,27046,2020-08-12,Freshwater
Old form,34.166507,103.120859,98778,2017-03-23,Wetland
Mind follow,80.988787,43.124176,70609,2023-01-11,Tundra
Development government,-36.645235,59.446315,87646,2017-02-03,Marine
Ball last,52.490597,72.448041,57303,2025-04-07,Forest
I road,-82.738984,-67.120378,73990,2023-10-11,Desert
Subject couple,-12.377352,33.202998,85924,2021-03-07,Wetland
Myself health,-86.910633,-120.68712,41349,2025-05-24,Freshwater
Example explain,80.152152,-128.730548,54438,2024-04-17,Wetland
Will computer,-43.358736,120.914123,96607,2019-12-23,Desert
Course sign,-77.266638,58.388674,53253,2026-03-04,Urban
Republican recently,-20.310758,-164.829059,52880,2020-10-25,Tundra
Up girl,49.638596,-77.641862,30354,2021-07-16,Wetland
Politics now,-1.581677,68.970614,43293,2017-12-16,Desert
Lay leader,74.794178,123.435699,77950,2017-07-14,Urban
Guess record,-85.951437,174.416091,59215,2023-01-23,Freshwater
Hot several,-57.366159,-77.51457,81445,2017-08-30,Freshwater
Fall quickly,68.107617,-167.198597,50962,2024-11-14,Urban
Act second,-38.977725,-152.995007,60722,2021-10-31,Urban
Right military,69.081322,30.260012,76846,2017-06-29,Freshwater
Available practice,46.868398,175.229444,86144,2024-08-09,Tundra
Detail grow,-58.387018,73.566907,56377,2024-06-20,Freshwater
Care per,-9.931635,142.99208,99089,2021-08-02,Grassland
How machine,88.773231,-39.989398,69719,2023-03-04,Marine
Market everyone,-6.251014,-88.852876,12631,2020-01-08,Marine
International she,-48.466491,58.021986,33877,2025-04-04,Freshwater
Stay suggest,-84.520345,-91.841761,77787,2024-01-30,Forest
Open before,8.123897,35.091968,91272,2019-04-23,Tundra
Bar cup,75.689124,64.573204,55169,2024-03-01,Wetland
Pay article,21.673118,46.987055,53063,2016-12-07,Desert
Simply thank,-4.011714,127.56627,68622,2018-06-15,Urban
Media increase,-57.129296,93.713902,47100,2019-07-16,Desert
Mother society,-84.299661,17.184047,71814,2019-02-18,Urban
Hospital long,-69.555702,174.952266,64400,2023-08-11,Tundra
Car else,-69.610402,110.771134,32585,2020-04-15,Tundra
Even ability,4.253808,142.188703,72853,2023-05-16,Forest
Trip few,-83.589401,-7.438658,51419,2016-08-02,Marine
Back another,4.247581,-16.179169,93370,2025-07-26,Freshwater
Decision hotel,-45.505755,28.968375,83517,2021-01-10,Grassland
Above office,-58.985287,120.852683,97955,2019-10-24,Tundra
East discussion,-47.431571,-1.348528,97251,2019-03-04,Forest
