compound,formula,mw,pka,solubility_mg_ml,class
Dopamine,C2H12N5O9,874.27,3.53,473.135,Neurotransmitter
Ethanol,C20H14N4O9,749.21,13.85,908.361,Alkaloid
Aspirin,C14H26N4O9,861.27,8.44,593.365,Hormone
Adrenaline,C17H33N1O1,844.78,9.31,974.016,Nucleotide
Dopamine,C16H2N2O5,922.62,2.57,428.954,Alcohol
Adrenaline,C13H27N0O0,502.91,4.25,400.304,Amide
Adrenaline,C10H37N1O10,373.7,N/A,167.088,Amide
Cholesterol,C12H40N4O10,900.87,N/A,732.027,Alcohol
Cholesterol,C11H17N1O1,457.0,N/A,94.766,Hormone
Cholesterol,C12H24N3O1,841.56,13.3,138.144,Carbohydrate
Ethanol,C14H32N1O8,440.34,2.35,198.627,Organic Compound
Ethanol,C11H34N5O7,584.01,N/A,627.405,Nucleotide
Aspirin,C20H2N0O2,357.88,N/A,920.495,Lipid
Dopamine,C7H4N0O6,735.15,11.94,249.75,Lipid
Ethanol,C12H25N4O2,977.44,N/A,913.639,Nucleotide
Urea,C9H18N1O9,666.73,9.46,391.647,Alkaloid
Urea,C12H32N4O0,909.85,1.35,254.822,Neurotransmitter
Dopamine,C14H35N1O1,890.62,1.76,922.497,Neurotransmitter
Caffeine,C18H23N2O1,455.18,4.22,349.67,Hormone
Glucose,C2H29N2O0,320.58,1.03,707.455,Carbohydrate
Adrenaline,C18H28N1O0,717.53,13.38,90.656,Alkaloid
Dopamine,C15H13N1O0,793.06,10.9,66.29,Hormone
Caffeine,C4H18N0O2,905.9,13.9,695.9,Neurotransmitter
Adrenaline,C9H12N3O7,624.28,9.33,224.65,Organic Compound
Cholesterol,C18H34N5O9,269.7,10.82,358.027,Hormone
Caffeine,C5H10N3O0,958.17,12.07,52.613,Hormone
Aspirin,C8H4N4O4,946.66,6.47,788.098,Hormone
Adenosine triphosphate,C16H40N3O4,795.27,13.6,223.392,Organic Compound
Serotonin,C4H24N5O2,895.87,1.46,686.081,Hormone
Adenosine triphosphate,C3H22N0O4,843.25,N/A,544.667,Nucleotide
Adenosine triphosphate,C20H36N4O3,62.43,1.69,21.34,Alkaloid
Caffeine,C4H23N5O7,237.65,10.71,669.306,Alkaloid
Ethanol,C1H11N2O1,837.44,N/A,622.05,Carbohydrate
Adrenaline,C1H25N2O5,967.06,12.47,936.828,Alcohol
Urea,C19H36N0O2,268.43,N/A,919.589,Organic Compound
Serotonin,C14H24N3O0,572.03,2.43,863.227,Alkaloid
Dopamine,C17H9N2O6,980.56,4.03,304.05,Lipid
Cholesterol,C18H12N2O7,626.09,N/A,456.685,Alkaloid
Adrenaline,C4H3N3O6,556.57,N/A,749.461,Neurotransmitter
Cholesterol,C1H6N5O4,155.78,4.14,221.5,Lipid
Ethanol,C15H10N3O5,720.48,12.36,287.118,Alkaloid
Aspirin,C9H8N5O7,492.62,10.74,735.767,Amide
Adenosine triphosphate,C4H36N3O8,237.2,9.49,54.419,Nucleotide
Ethanol,C19H25N4O3,851.98,5.52,827.212,Hormone
Urea,C5H35N3O2,337.33,N/A,610.867,Organic Compound
Dopamine,C13H40N5O1,79.39,12.16,237.608,Lipid
Caffeine,C5H27N1O1,732.14,11.53,626.919,Carbohydrate
Serotonin,C11H25N4O8,296.91,N/A,629.612,Alcohol
Adenosine triphosphate,C9H37N2O9,355.16,N/A,713.807,Carbohydrate
Glucose,C17H8N4O3,662.69,2.99,958.37,Alcohol
Urea,C13H10N3O10,222.25,2.44,969.194,Alcohol
Glucose,C14H28N0O3,130.0,N/A,257.307,Organic Compound
Dopamine,C2H21N3O0,601.0,N/A,673.047,Nucleotide
Caffeine,C6H19N3O9,162.25,12.56,682.625,Carbohydrate
Adrenaline,C13H11N2O3,470.6,1.5,92.007,Alcohol
Cholesterol,C5H22N5O5,662.73,3.26,13.484,Nucleotide
Serotonin,C6H27N2O1,755.0,N/A,458.406,Alcohol
Cholesterol,C20H25N5O7,247.75,6.93,259.322,Neurotransmitter
Adrenaline,C15H8N4O8,145.96,N/A,403.403,Carbohydrate
Glucose,C8H35N4O2,843.68,12.86,839.621,Lipid
Cholesterol,C10H34N1O4,659.53,11.98,178.944,Lipid
Caffeine,C11H7N2O3,948.26,13.45,969.116,Nucleotide
Aspirin,C10H38N3O0,287.52,9.72,370.02,Organic Compound
Ethanol,C4H4N0O2,635.55,2.61,264.615,Amide
Ethanol,C1H7N5O6,589.8,3.03,854.686,Neurotransmitter
Glucose,C8H17N3O6,172.72,1.27,527.369,Nucleotide
Caffeine,C5H12N5O9,547.44,12.43,360.224,Nucleotide
Dopamine,C5H37N0O4,969.64,5.04,555.415,Alkaloid
Aspirin,C6H19N4O9,377.01,12.1,767.699,Alcohol
Dopamine,C11H25N2O8,91.47,N/A,23.339,Alkaloid
Caffeine,C5H12N3O5,630.74,8.64,574.262,Organic Compound
Glucose,C20H14N3O8,668.04,5.35,724.386,Amide
Adrenaline,C13H39N4O4,239.88,N/A,279.646,Amide
Urea,C19H3N4O4,484.18,6.4,319.168,Organic Compound
Adrenaline,C19H19N5O4,571.57,9.36,712.843,Amide
Aspirin,C8H33N5O2,972.06,11.55,616.201,Hormone
Cholesterol,C11H8N3O10,198.36,N/A,880.08,Carbohydrate
Ethanol,C13H13N5O2,67.24,N/A,952.644,Hormone
Adrenaline,C17H13N5O4,533.3,2.54,727.276,Neurotransmitter
Adenosine triphosphate,C6H11N3O5,571.89,8.28,579.575,Carbohydrate
Dopamine,C14H10N2O5,382.43,4.15,479.212,Hormone
Ethanol,C5H28N2O5,710.94,4.23,839.424,Alkaloid
Ethanol,C9H6N1O0,746.07,2.96,347.505,Neurotransmitter
Urea,C3H24N4O9,460.77,1.09,567.305,Alcohol
Cholesterol,C15H34N2O9,918.68,3.4,743.897,Neurotransmitter
Ethanol,C9H25N1O10,947.08,N/A,560.637,Amide
Aspirin,C18H1N2O0,72.41,N/A,749.79,Hormone
Urea,C15H37N2O5,999.1,2.59,681.58,Amide
Ethanol,C13H12N1O1,488.27,5.45,519.506,Neurotransmitter
Caffeine,C11H4N5O1,647.03,2.43,357.219,Alkaloid
Caffeine,C2H32N4O3,550.11,2.89,174.55,Carbohydrate
Glucose,C3H40N0O5,833.46,8.82,192.657,Nucleotide
Adrenaline,C15H5N0O8,777.86,2.16,365.833,Alcohol
Aspirin,C14H11N2O10,448.19,7.11,52.646,Organic Compound
Adenosine triphosphate,C7H12N2O5,425.97,3.82,186.527,Amide
Caffeine,C15H39N2O10,275.56,3.49,405.822,Amide
Serotonin,C10H30N3O2,723.12,5.81,67.727,Organic Compound
Urea,C5H40N2O10,559.03,11.67,454.473,Nucleotide
Aspirin,C2H3N3O10,395.8,2.49,628.138,Alcohol
Adrenaline,C1H31N5O0,987.21,1.27,883.164,Amide
Adrenaline,C20H26N3O3,226.0,12.37,552.553,Neurotransmitter
Adenosine triphosphate,C20H5N2O2,912.21,1.4,282.682,Nucleotide
Serotonin,C16H37N2O3,739.99,10.28,51.262,Neurotransmitter
Adrenaline,C11H9N5O2,948.44,7.98,917.786,Hormone
Glucose,C3H21N0O0,308.67,4.93,508.856,Alcohol
Adenosine triphosphate,C12H2N0O10,698.68,4.11,459.871,Neurotransmitter
Dopamine,C19H33N0O7,489.81,N/A,739.813,Nucleotide
Cholesterol,C17H7N4O2,482.61,5.41,773.889,Alcohol
Cholesterol,C15H35N0O8,711.82,12.23,227.157,Amide
Caffeine,C13H38N5O0,826.73,8.58,250.506,Carbohydrate
Caffeine,C15H33N2O5,592.56,N/A,958.981,Nucleotide
Dopamine,C16H37N5O4,258.3,2.14,578.372,Alkaloid
Glucose,C6H24N4O5,311.17,1.39,947.757,Organic Compound
Aspirin,C6H8N4O10,638.91,13.83,724.317,Amide
Caffeine,C2H37N5O9,441.38,13.39,461.305,Carbohydrate
Adenosine triphosphate,C19H17N0O1,430.27,1.35,659.586,Alkaloid
Adenosine triphosphate,C3H33N2O6,236.78,4.98,121.723,Nucleotide
Urea,C3H37N0O0,402.06,6.29,853.888,Alkaloid
Caffeine,C19H28N5O1,396.5,2.58,318.979,Alkaloid
Serotonin,C20H39N1O3,408.05,13.42,480.191,Amide
Dopamine,C17H8N2O5,590.23,7.18,21.552,Carbohydrate
Cholesterol,C14H40N3O10,223.69,4.64,500.448,Carbohydrate
Serotonin,C10H35N1O4,282.15,11.57,987.633,Neurotransmitter
Glucose,C17H23N0O8,641.61,8.73,771.824,Alcohol
Urea,C8H22N3O2,906.32,4.37,79.272,Neurotransmitter
Adrenaline,C2H19N5O6,686.98,10.15,125.9,Carbohydrate
Glucose,C17H20N5O6,615.14,6.3,976.278,Nucleotide
Ethanol,C20H13N0O8,911.1,12.4,181.399,Organic Compound
Caffeine,C6H38N3O2,457.65,7.89,379.214,Carbohydrate
Glucose,C8H39N0O3,177.71,11.71,54.581,Nucleotide
Caffeine,C7H20N5O8,227.73,9.19,658.626,Neurotransmitter
Cholesterol,C13H24N3O10,968.32,N/A,709.617,Hormone
Cholesterol,C17H38N2O6,343.41,9.11,81.181,Amide
Ethanol,C14H3N1O9,844.97,6.79,266.168,Hormone
Dopamine,C16H8N3O10,107.81,N/A,985.183,Lipid
Cholesterol,C10H10N0O10,758.61,3.48,380.981,Lipid
Aspirin,C7H35N2O8,495.96,N/A,417.631,Neurotransmitter
Adrenaline,C7H28N3O10,444.44,N/A,812.482,Alkaloid
Dopamine,C18H20N3O0,960.9,4.91,216.28,Alkaloid
Aspirin,C5H17N4O10,794.4,N/A,276.668,Lipid
Cholesterol,C13H6N0O9,317.75,3.98,649.706,Amide
Caffeine,C2H6N0O2,174.28,11.06,272.508,Amide
Glucose,C7H5N3O10,711.0,11.25,203.074,Organic Compound
Urea,C4H39N2O1,879.55,7.75,614.113,Organic Compound
Cholesterol,C5H32N5O3,171.73,10.64,168.522,Lipid
Caffeine,C14H19N2O3,848.03,13.84,254.942,Organic Compound
Cholesterol,C3H32N0O6,568.45,3.34,442.355,Neurotransmitter
Urea,C10H38N4O3,867.89,N/A,581.047,Lipid
Dopamine,C17H12N3O9,823.66,1.94,533.608,Alcohol
Serotonin,C15H16N1O7,477.4,3.14,800.632,Amide
Glucose,C4H15N4O6,543.32,5.12,306.859,Alcohol
Serotonin,C11H36N2O7,523.69,10.93,377.671,Alkaloid
Urea,C17H3N1O6,80.19,1.26,549.072,Organic Compound
Ethanol,C4H4N0O10,406.25,11.23,52.307,Nucleotide
Adrenaline,C10H38N2O7,85.54,5.71,710.916,Alcohol
Ethanol,C8H13N3O3,833.33,13.85,602.078,Amide
Urea,C5H32N5O3,739.53,N/A,344.885,Organic Compound
Glucose,C14H8N0O3,229.88,10.86,403.83,Carbohydrate
Aspirin,C18H40N0O10,571.31,4.1,505.968,Neurotransmitter
Glucose,C3H23N2O0,811.69,6.06,681.91,Hormone
Cholesterol,C2H2N4O9,717.64,13.44,306.296,Amide
Cholesterol,C12H23N3O8,767.76,13.46,773.724,Organic Compound
Aspirin,C14H7N4O9,195.55,11.39,736.981,Carbohydrate
Glucose,C9H20N4O6,920.31,2.21,674.008,Alkaloid
Cholesterol,C5H21N2O10,668.9,N/A,560.089,Organic Compound
Aspirin,C9H30N3O3,543.97,5.31,810.029,Carbohydrate
Dopamine,C1H36N5O5,579.91,8.64,731.353,Amide
Cholesterol,C16H24N1O5,181.07,2.88,713.175,Amide
Adenosine triphosphate,C15H29N1O9,342.38,6.13,274.409,Amide
Glucose,C11H26N2O6,526.67,4.76,496.687,Amide
Adenosine triphosphate,C14H29N4O4,579.99,3.86,924.49,Amide
Glucose,C11H36N3O9,362.05,9.91,638.091,Hormone
Aspirin,C1H36N2O1,200.37,6.95,49.967,Nucleotide
Adrenaline,C17H22N4O1,336.69,13.86,898.903,Carbohydrate
Serotonin,C10H18N2O0,797.91,N/A,213.92,Lipid
Aspirin,C7H11N5O3,732.23,4.43,647.911,Carbohydrate
Aspirin,C17H24N3O7,54.27,10.15,608.385,Alcohol
Urea,C9H11N0O3,623.18,5.22,275.54,Hormone
Caffeine,C17H30N1O9,653.92,5.42,416.472,Alcohol
Caffeine,C11H8N3O0,636.05,2.8,139.622,Nucleotide
Adrenaline,C2H27N5O0,963.24,N/A,607.319,Organic Compound
Serotonin,C17H27N0O1,296.65,6.33,234.691,Amide
