compound,formula,mw,pka,solubility_mg_ml,class
Cholesterol,C17H32N0O9,561.65,1.95,499.027,Alkaloid
Ethanol,C19H32N3O2,362.51,N/A,239.89,Carbohydrate
Aspirin,C15H12N2O5,164.55,7.76,756.954,Nucleotide
Aspirin,C9H13N3O4,587.82,10.38,242.858,Nucleotide
Urea,C6H33N2O5,840.11,3.99,432.015,Neurotransmitter
Serotonin,C8H29N5O1,481.07,7.11,936.869,Alkaloid
Glucose,C12H3N2O9,712.6,3.16,6.615,Amide
Dopamine,C15H6N0O2,718.02,N/A,761.629,Hormone
Ethanol,C20H3N0O6,820.67,3.71,103.025,Alcohol
Caffeine,C20H33N2O3,600.36,12.3,391.651,Alcohol
Serotonin,C13H1N4O6,973.43,10.35,771.522,Alkaloid
Glucose,C19H32N4O6,760.91,8.97,307.076,Lipid
Glucose,C11H9N0O9,735.52,5.55,906.367,Alcohol
Aspirin,C19H14N4O1,853.52,8.54,568.806,Lipid
Aspirin,C14H15N0O1,384.03,6.92,793.54,Organic Compound
Caffeine,C17H11N0O4,128.13,5.98,877.661,Amide
Glucose,C16H5N0O3,929.69,3.33,71.357,Neurotransmitter
Glucose,C17H37N2O10,921.92,N/A,521.877,Nucleotide
Serotonin,C11H24N0O4,812.45,12.27,394.827,Nucleotide
Adrenaline,C13H18N4O7,84.33,7.36,728.27,Carbohydrate
Adrenaline,C5H30N4O2,669.11,9.4,825.656,Amide
Adenosine triphosphate,C8H37N0O4,273.75,13.18,68.83,Organic Compound
Cholesterol,C5H33N1O10,524.51,11.63,728.345,Neurotransmitter
Adenosine triphosphate,C15H6N0O4,207.67,N/A,761.942,Nucleotide
Caffeine,C20H29N0O9,495.41,13.82,309.881,Neurotransmitter
Ethanol,C8H17N4O4,358.39,10.15,189.971,Neurotransmitter
Ethanol,C15H40N4O8,884.62,10.79,325.621,Neurotransmitter
Adenosine triphosphate,C3H5N2O4,609.26,12.81,384.547,Alkaloid
Cholesterol,C1H4N0O0,368.13,7.11,32.781,Hormone
Adrenaline,C9H17N5O4,116.1,N/A,585.527,Amide
Serotonin,C9H31N0O5,898.35,10.44,422.745,Carbohydrate
Urea,C20H34N3O2,521.69,9.41,57.237,Amide
Adrenaline,C6H25N3O8,328.46,10.09,224.246,Nucleotide
Dopamine,C14H23N5O2,717.59,N/A,612.544,Hormone
Cholesterol,C18H40N1O3,981.49,7.77,604.101,Nucleotide
Aspirin,C18H2N5O7,790.93,N/A,52.211,Neurotransmitter
Adrenaline,C2H3N0O7,402.58,2.64,403.252,Amide
Ethanol,C14H4N1O6,664.84,1.87,609.952,Organic Compound
Glucose,C14H18N0O2,908.2,6.46,633.198,Alkaloid
Dopamine,C9H19N0O7,135.46,2.0,706.696,Carbohydrate
Aspirin,C9H7N0O8,115.63,9.7,376.471,Lipid
Dopamine,C18H25N1O10,470.62,N/A,159.455,Amide
Urea,C20H33N3O0,238.26,5.48,803.139,Alkaloid
Glucose,C12H38N1O2,759.31,9.82,244.585,Carbohydrate
Aspirin,C18H19N1O1,285.42,N/A,626.026,Organic Compound
Ethanol,C4H2N2O5,960.38,3.64,11.269,Organic Compound
Adrenaline,C20H5N2O8,148.1,11.02,554.368,Nucleotide
Aspirin,C3H17N1O6,934.63,7.33,257.133,Carbohydrate
Caffeine,C20H25N1O9,735.27,N/A,344.64,Neurotransmitter
Serotonin,C20H29N5O9,945.64,10.57,928.951,Organic Compound
Glucose,C6H31N4O0,750.1,4.13,688.017,Organic Compound
Urea,C10H32N0O2,200.48,12.17,41.332,Hormone
Urea,C11H4N1O0,436.36,13.81,205.821,Organic Compound
Cholesterol,C9H6N0O1,392.65,11.94,32.107,Hormone
Urea,C10H25N5O8,953.73,1.68,263.661,Lipid
Adrenaline,C1H40N2O0,509.09,6.08,473.844,Organic Compound
Aspirin,C2H35N1O0,849.89,1.08,689.756,Alkaloid
Adenosine triphosphate,C17H7N1O9,880.44,7.64,187.963,Alkaloid
Adrenaline,C10H36N4O10,533.35,N/A,895.048,Lipid
Glucose,C18H39N3O9,763.88,6.74,62.894,Hormone
Glucose,C6H3N1O7,342.34,12.59,341.647,Lipid
Urea,C9H28N3O10,758.08,7.26,471.905,Alkaloid
Cholesterol,C5H9N2O10,523.22,6.08,473.969,Lipid
Serotonin,C12H24N2O2,525.11,8.02,74.035,Lipid
Cholesterol,C20H12N4O2,485.88,3.01,359.28,Lipid
Adrenaline,C14H21N4O4,375.25,3.31,395.581,Organic Compound
Adenosine triphosphate,C3H18N5O2,155.54,9.82,103.696,Neurotransmitter
Glucose,C15H13N4O9,807.42,1.64,372.439,Alkaloid
Glucose,C12H34N0O4,328.84,11.56,345.752,Carbohydrate
Adenosine triphosphate,C20H31N0O2,958.11,2.7,467.093,Alcohol
Caffeine,C8H8N2O0,801.52,2.29,604.077,Carbohydrate
Glucose,C6H36N5O3,964.52,7.61,558.995,Nucleotide
Caffeine,C8H35N2O3,612.51,12.16,176.556,Organic Compound
Adrenaline,C8H4N5O9,488.26,N/A,657.334,Alcohol
Adrenaline,C19H34N1O4,648.78,2.79,823.764,Lipid
Dopamine,C6H23N5O5,375.81,N/A,261.348,Amide
Adenosine triphosphate,C3H18N3O0,939.79,3.88,831.957,Organic Compound
Adenosine triphosphate,C16H10N5O8,53.69,3.09,948.691,Lipid
Serotonin,C1H10N4O9,691.85,6.12,525.423,Amide
Glucose,C6H21N1O2,485.4,13.46,11.872,Neurotransmitter
Ethanol,C12H26N3O1,749.56,12.38,220.361,Alkaloid
Serotonin,C10H29N2O0,102.36,2.04,12.535,Neurotransmitter
Aspirin,C9H16N3O2,488.5,12.27,829.837,Organic Compound
Aspirin,C15H10N5O4,55.67,N/A,909.085,Organic Compound
Caffeine,C17H15N1O1,902.31,7.64,708.475,Hormone
Cholesterol,C3H1N2O5,628.24,9.85,877.812,Carbohydrate
Adrenaline,C18H32N5O6,227.11,9.0,548.431,Amide
Serotonin,C5H8N0O7,297.37,2.12,850.728,Neurotransmitter
Serotonin,C7H36N1O1,201.14,11.89,999.934,Organic Compound
Dopamine,C13H38N4O8,466.76,7.7,684.531,Organic Compound
Urea,C15H8N5O6,121.99,9.72,733.982,Amide
Cholesterol,C18H40N2O6,142.02,5.11,29.864,Alcohol
Dopamine,C5H22N1O9,914.15,9.05,802.035,Alcohol
Adrenaline,C4H14N5O0,871.14,1.01,501.975,Nucleotide
Serotonin,C4H16N3O1,483.59,N/A,635.944,Organic Compound
Serotonin,C15H4N5O10,925.15,1.38,695.273,Hormone
Serotonin,C12H27N0O9,813.98,N/A,164.584,Lipid
Adrenaline,C10H38N4O6,840.17,6.94,930.792,Nucleotide
Urea,C8H20N0O1,524.71,5.14,397.884,Carbohydrate
Glucose,C19H19N2O9,178.79,11.19,422.391,Hormone
Ethanol,C2H40N0O5,268.95,8.82,786.921,Carbohydrate
Aspirin,C16H10N3O7,788.44,4.73,648.184,Nucleotide
Aspirin,C13H12N4O9,734.06,6.73,754.644,Carbohydrate
Urea,C11H15N1O7,619.1,7.13,676.988,Alcohol
Glucose,C7H24N5O6,692.56,2.34,441.968,Carbohydrate
Dopamine,C10H37N5O7,409.01,8.14,503.147,Organic Compound
Ethanol,C15H5N4O0,771.6,7.99,118.481,Hormone
Cholesterol,C18H35N0O10,427.82,7.17,730.556,Carbohydrate
Caffeine,C4H7N4O10,391.9,4.92,881.22,Alkaloid
Adrenaline,C13H26N1O5,455.19,13.78,665.923,Alcohol
Aspirin,C10H40N0O10,621.66,7.29,643.592,Nucleotide
Dopamine,C9H9N4O1,520.91,10.99,766.373,Amide
Serotonin,C12H37N1O6,264.71,N/A,557.842,Hormone
Ethanol,C9H20N3O8,597.14,N/A,366.024,Alcohol
Aspirin,C11H22N3O8,485.09,5.94,56.646,Alkaloid
Glucose,C16H12N0O9,998.88,14.0,246.138,Neurotransmitter
