compound,formula,mw,pka,solubility_mg_ml,class
Aspirin,C6H34N3O9,445.64,2.0,345.272,Nucleotide
Cholesterol,C1H31N3O10,663.67,N/A,406.245,Alkaloid
Ethanol,C4H14N4O1,830.25,4.1,455.77,Organic Compound
Urea,C10H32N0O0,389.1,5.8,905.794,Alkaloid
Dopamine,C17H21N0O2,668.92,N/A,675.543,Organic Compound
Aspirin,C19H7N3O5,582.87,5.94,753.373,Alcohol
Adrenaline,C20H22N1O10,899.86,13.44,764.923,Carbohydrate
Cholesterol,C19H15N4O4,885.78,4.86,665.554,Carbohydrate
Adenosine triphosphate,C12H21N3O6,559.02,11.77,636.981,Organic Compound
Serotonin,C20H38N2O5,217.78,N/A,148.931,Nucleotide
Adenosine triphosphate,C20H35N1O7,366.89,11.48,860.262,Neurotransmitter
Caffeine,C7H1N5O5,764.94,10.57,290.016,Amide
Caffeine,C10H12N5O5,610.65,3.64,797.543,Hormone
Adenosine triphosphate,C11H22N1O9,969.81,11.82,754.975,Hormone
Adrenaline,C8H40N2O4,300.72,6.23,791.26,Hormone
Adrenaline,C14H17N2O4,650.57,5.31,24.025,Alkaloid
Glucose,C1H14N0O5,536.99,11.2,20.99,Carbohydrate
Aspirin,C2H25N3O6,137.69,13.37,564.078,Organic Compound
Dopamine,C2H17N5O9,622.0,N/A,748.683,Alcohol
Glucose,C2H16N4O7,147.79,8.82,290.495,Nucleotide
Urea,C2H7N2O9,457.04,N/A,523.382,Carbohydrate
Adenosine triphosphate,C6H18N3O5,979.69,N/A,554.06,Hormone
Dopamine,C18H38N4O10,104.52,13.33,298.603,Hormone
Cholesterol,C7H23N2O7,831.44,3.14,457.248,Carbohydrate
Glucose,C13H2N2O10,538.82,N/A,595.723,Organic Compound
Caffeine,C15H8N2O3,959.21,2.78,292.641,Carbohydrate
Caffeine,C20H8N4O10,529.75,11.59,510.437,Neurotransmitter
Serotonin,C10H16N0O6,77.9,8.13,305.386,Alkaloid
Dopamine,C16H35N2O7,381.29,2.73,632.728,Lipid
Cholesterol,C5H2N1O7,932.27,7.89,713.62,Nucleotide
Adrenaline,C2H20N5O3,431.46,N/A,397.988,Nucleotide
Cholesterol,C17H14N3O1,111.9,N/A,763.474,Lipid
Urea,C9H11N5O1,252.02,2.07,423.835,Alkaloid
Caffeine,C15H20N5O0,720.82,9.17,299.849,Amide
Ethanol,C16H24N2O1,92.2,3.97,45.457,Organic Compound
Ethanol,C14H25N1O1,516.76,7.39,435.694,Nucleotide
Dopamine,C18H17N0O8,299.93,3.5,849.691,Neurotransmitter
Cholesterol,C20H7N2O5,290.21,1.37,10.965,Hormone
Caffeine,C11H38N5O4,673.98,N/A,457.634,Hormone
Serotonin,C1H25N1O6,456.61,N/A,587.834,Alcohol
Adrenaline,C7H16N1O1,102.86,9.65,57.928,Alkaloid
Cholesterol,C6H30N1O2,938.95,5.03,470.792,Nucleotide
Adrenaline,C15H9N1O7,465.4,N/A,730.048,Alkaloid
Adenosine triphosphate,C6H38N4O10,374.46,N/A,344.959,Organic Compound
Caffeine,C1H9N1O5,97.57,2.07,488.66,Hormone
Adrenaline,C16H34N5O6,552.36,13.95,145.858,Neurotransmitter
Aspirin,C1H30N4O8,496.28,N/A,34.973,Amide
Adrenaline,C4H27N0O4,904.21,3.54,484.96,Organic Compound
Ethanol,C4H38N1O10,126.94,11.19,151.021,Organic Compound
Urea,C4H17N5O4,742.34,13.11,149.215,Nucleotide
Adrenaline,C10H6N3O8,567.78,7.61,997.21,Lipid
Cholesterol,C6H32N5O2,931.94,11.82,111.199,Alcohol
Caffeine,C17H14N4O7,480.84,7.59,766.06,Amide
Serotonin,C8H20N5O5,665.11,9.84,705.803,Lipid
Dopamine,C12H22N4O0,69.3,5.91,280.207,Neurotransmitter
Dopamine,C19H8N4O6,930.45,3.29,290.024,Alcohol
Adrenaline,C12H12N4O2,810.91,8.8,135.401,Nucleotide
Urea,C17H7N1O6,102.2,N/A,788.839,Hormone
Urea,C13H30N3O10,409.29,12.42,190.459,Hormone
Caffeine,C6H4N2O7,58.25,6.95,262.878,Neurotransmitter
Aspirin,C19H15N3O3,67.95,10.62,596.502,Alkaloid
Caffeine,C6H8N3O1,703.58,8.05,985.452,Alcohol
Glucose,C3H6N3O10,235.71,9.62,764.168,Nucleotide
Urea,C2H1N3O7,82.4,12.7,570.566,Neurotransmitter
Glucose,C1H11N1O1,843.18,10.04,200.443,Amide
Adrenaline,C20H12N4O9,360.43,7.94,686.783,Alkaloid
Adenosine triphosphate,C11H17N0O7,244.92,13.25,224.079,Organic Compound
Dopamine,C3H37N1O5,814.56,N/A,328.976,Lipid
Dopamine,C3H8N1O10,945.56,8.78,981.107,Carbohydrate
Adenosine triphosphate,C6H39N5O10,822.2,4.86,350.796,Hormone
Cholesterol,C6H13N2O2,328.45,11.25,549.339,Hormone
Aspirin,C16H3N0O2,644.24,13.87,611.103,Alkaloid
Dopamine,C13H18N1O9,644.6,3.83,256.242,Lipid
Adenosine triphosphate,C18H11N3O0,613.33,5.2,437.724,Hormone
Glucose,C17H14N3O7,778.65,13.76,45.261,Hormone
Ethanol,C16H40N4O1,489.09,4.22,100.984,Organic Compound
Caffeine,C19H13N4O6,876.32,6.47,422.429,Nucleotide
Aspirin,C4H32N0O1,931.93,9.26,82.298,Alkaloid
Cholesterol,C7H2N3O10,791.85,2.98,881.439,Organic Compound
Aspirin,C10H25N3O6,721.83,3.27,559.359,Alkaloid
Ethanol,C20H40N2O6,197.73,5.4,532.128,Organic Compound
Adrenaline,C6H7N0O10,128.42,11.37,839.499,Organic Compound
Dopamine,C4H2N1O10,591.24,N/A,695.647,Amide
Serotonin,C6H8N5O4,688.94,6.88,112.505,Nucleotide
Ethanol,C15H35N5O7,181.76,3.42,677.47,Alkaloid
Serotonin,C18H29N4O7,768.23,6.78,74.582,Nucleotide
Cholesterol,C17H1N5O5,658.91,10.03,764.713,Organic Compound
Caffeine,C20H15N0O0,369.33,2.59,345.343,Lipid
Glucose,C15H17N5O6,849.43,5.69,600.9,Lipid
Urea,C4H25N0O3,95.72,10.73,234.48,Lipid
Glucose,C10H32N5O8,74.8,9.65,212.669,Carbohydrate
Adenosine triphosphate,C5H14N4O9,991.92,9.49,847.449,Organic Compound
Serotonin,C13H9N2O3,817.7,N/A,293.807,Alkaloid
Urea,C6H39N5O6,836.52,10.23,121.268,Hormone
Glucose,C15H33N2O4,673.7,N/A,717.026,Carbohydrate
Aspirin,C14H20N1O8,104.08,6.63,930.11,Nucleotide
Urea,C1H4N1O6,961.08,8.64,709.613,Alcohol
Cholesterol,C5H29N3O2,407.75,12.53,795.521,Alkaloid
Dopamine,C12H40N4O3,277.49,7.37,896.132,Organic Compound
Cholesterol,C15H34N1O7,833.38,8.63,181.16,Nucleotide
Cholesterol,C1H5N4O0,423.26,2.53,884.435,Amide
Urea,C18H27N1O5,99.83,7.04,871.414,Alcohol
Serotonin,C15H7N5O3,392.37,N/A,0.879,Hormone
Cholesterol,C20H32N4O0,212.62,4.86,87.675,Amide
Glucose,C20H17N4O5,574.62,3.37,747.827,Lipid
Adrenaline,C11H38N2O10,65.17,N/A,826.13,Lipid
Caffeine,C3H11N3O1,922.76,3.06,326.419,Nucleotide
Ethanol,C10H11N3O9,530.65,6.47,829.374,Hormone
Adenosine triphosphate,C17H18N2O3,552.24,N/A,968.503,Hormone
Cholesterol,C13H24N5O7,775.54,3.47,983.341,Lipid
Aspirin,C1H36N2O7,562.57,N/A,23.679,Nucleotide
Dopamine,C14H35N0O6,856.8,12.66,931.123,Hormone
Urea,C8H16N0O2,494.75,9.01,432.797,Hormone
Glucose,C14H19N3O7,487.86,7.19,876.435,Organic Compound
Serotonin,C12H38N5O2,837.08,2.99,568.105,Organic Compound
Cholesterol,C6H40N3O10,51.57,N/A,430.066,Neurotransmitter
Dopamine,C12H32N3O0,815.53,2.48,321.818,Carbohydrate
Caffeine,C14H39N3O4,359.65,6.95,316.461,Alkaloid
Adenosine triphosphate,C16H22N4O8,308.55,13.65,677.234,Neurotransmitter
Serotonin,C3H33N2O8,158.64,13.95,724.893,Lipid
Serotonin,C2H1N0O1,764.14,5.54,149.745,Alkaloid
Glucose,C16H31N2O1,979.69,6.69,265.315,Neurotransmitter
Ethanol,C18H35N5O2,748.16,5.93,260.874,Hormone
Caffeine,C17H23N5O6,631.59,5.0,748.643,Nucleotide
Caffeine,C3H27N3O7,554.82,2.51,878.974,Alcohol
Aspirin,C4H30N4O5,787.61,5.17,732.982,Carbohydrate
Dopamine,C16H35N4O7,700.89,12.11,726.269,Alkaloid
Dopamine,C6H20N4O4,115.01,12.9,324.296,Alkaloid
Caffeine,C3H17N3O8,251.14,N/A,136.615,Organic Compound
Serotonin,C3H40N1O6,864.3,9.32,973.269,Hormone
Serotonin,C7H23N2O4,204.18,N/A,24.061,Alcohol
Caffeine,C13H36N4O3,220.94,2.98,581.153,Alkaloid
Urea,C6H8N3O8,373.5,12.09,501.894,Lipid
Ethanol,C7H36N5O7,857.78,3.4,154.683,Carbohydrate
Urea,C9H26N0O4,334.02,N/A,323.946,Amide
Caffeine,C13H35N2O2,493.88,8.85,119.952,Neurotransmitter
Serotonin,C11H5N1O1,811.09,12.88,276.062,Alcohol
Ethanol,C14H25N1O2,749.71,N/A,943.954,Hormone
Cholesterol,C10H32N0O10,233.89,11.48,710.359,Nucleotide
Ethanol,C17H17N1O6,778.43,12.6,751.966,Hormone
Dopamine,C16H26N3O5,257.15,10.2,300.04,Lipid
Aspirin,C14H28N5O4,744.69,2.58,334.904,Alcohol
Serotonin,C5H22N0O8,70.62,4.18,75.895,Hormone
Adrenaline,C14H2N3O1,971.63,4.96,314.921,Nucleotide
Adrenaline,C6H20N4O5,951.32,10.38,615.019,Lipid
Aspirin,C14H16N0O3,919.59,N/A,516.3,Carbohydrate
Dopamine,C6H1N5O5,759.78,6.15,216.573,Alkaloid
Glucose,C12H29N3O4,794.83,N/A,334.68,Neurotransmitter
Caffeine,C15H33N2O8,591.83,13.12,469.766,Organic Compound
Urea,C2H6N2O8,582.42,3.5,980.451,Alkaloid
Cholesterol,C4H18N2O10,981.51,8.05,598.128,Hormone
Urea,C2H9N2O9,413.56,9.29,595.668,Hormone
Dopamine,C5H24N0O5,256.1,13.87,839.744,Neurotransmitter
Adenosine triphosphate,C6H17N4O4,258.52,1.7,677.118,Alkaloid
Serotonin,C19H37N0O9,880.06,5.24,178.716,Amide
Aspirin,C9H5N0O10,706.2,9.1,799.64,Amide
Aspirin,C20H20N4O1,612.39,5.94,921.418,Lipid
Ethanol,C1H16N4O8,384.59,8.61,328.707,Alkaloid
Glucose,C1H7N1O3,903.88,10.04,584.974,Alkaloid
Adrenaline,C14H22N4O4,701.07,8.13,571.744,Alkaloid
Adenosine triphosphate,C4H23N4O10,220.62,2.47,106.783,Carbohydrate
Adenosine triphosphate,C15H9N3O0,805.12,3.78,819.494,Nucleotide
Aspirin,C9H13N3O8,480.67,8.62,820.42,Organic Compound
Caffeine,C20H4N4O10,53.98,10.2,11.535,Organic Compound
Ethanol,C19H39N1O0,208.5,9.45,905.449,Alkaloid
Ethanol,C11H25N0O5,739.25,N/A,311.879,Carbohydrate
Dopamine,C10H13N2O9,810.79,6.89,522.333,Alcohol
Serotonin,C8H26N1O7,388.22,N/A,801.263,Nucleotide
Cholesterol,C17H40N5O6,284.42,N/A,209.902,Organic Compound
Serotonin,C7H32N5O1,645.17,6.07,471.656,Lipid
Ethanol,C16H27N4O3,797.53,5.9,355.812,Nucleotide
Serotonin,C12H4N3O7,293.47,7.69,551.022,Organic Compound
Cholesterol,C17H34N0O7,627.38,N/A,522.749,Alcohol
Serotonin,C16H11N2O8,831.37,2.3,210.154,Alcohol
Dopamine,C4H35N4O7,157.04,N/A,876.178,Alkaloid
Caffeine,C18H20N0O10,167.58,4.15,764.76,Organic Compound
Urea,C2H16N1O5,791.77,12.21,358.485,Organic Compound
Aspirin,C18H20N0O3,256.42,6.76,375.764,Alcohol
Aspirin,C3H33N3O8,427.69,2.21,665.84,Organic Compound
Dopamine,C17H36N0O8,390.98,N/A,264.504,Hormone
Cholesterol,C7H30N4O5,679.02,11.43,806.055,Hormone
Aspirin,C3H1N4O6,244.99,11.94,863.019,Neurotransmitter
Ethanol,C16H37N1O4,310.94,11.86,3.672,Carbohydrate
Ethanol,C20H40N2O7,854.09,N/A,860.796,Nucleotide
Dopamine,C18H22N0O4,895.07,13.9,963.171,Amide
Caffeine,C16H28N5O3,268.22,7.35,186.663,Amide
Urea,C3H25N2O8,591.29,10.64,889.013,Alcohol
Serotonin,C12H40N4O4,518.23,1.62,242.504,Organic Compound
Urea,C1H15N4O4,420.72,1.33,449.916,Amide
Urea,C13H11N5O3,386.45,10.02,886.521,Alkaloid
Dopamine,C3H14N3O6,719.6,10.1,937.356,Organic Compound
Aspirin,C20H6N3O8,836.73,4.1,92.891,Carbohydrate
Cholesterol,C9H1N1O4,865.82,9.43,348.16,Carbohydrate
Dopamine,C18H27N4O10,54.48,6.63,29.182,Lipid
Caffeine,C10H20N3O7,388.99,10.74,931.456,Alkaloid
Aspirin,C3H5N1O10,546.36,12.7,943.028,Hormone
Serotonin,C16H7N1O3,203.93,10.89,915.046,Hormone
Serotonin,C13H25N4O7,74.64,10.12,91.512,Lipid
Aspirin,C5H19N2O7,832.49,7.79,640.72,Hormone
Dopamine,C20H15N4O6,390.0,8.98,7.21,Neurotransmitter
Glucose,C19H9N0O4,256.83,6.28,243.731,Hormone
Cholesterol,C13H39N3O0,658.35,2.89,593.957,Amide
Serotonin,C5H20N0O4,694.74,5.95,126.432,Nucleotide
Adenosine triphosphate,C15H28N2O9,72.64,11.8,684.771,Carbohydrate
Glucose,C2H20N1O0,656.65,10.19,279.244,Alkaloid
Aspirin,C1H24N4O6,188.78,10.82,947.223,Nucleotide
Adenosine triphosphate,C8H25N5O7,57.66,N/A,687.685,Hormone
Ethanol,C1H5N1O3,744.33,N/A,360.307,Carbohydrate
Aspirin,C4H20N5O9,916.48,10.83,212.956,Hormone
Adrenaline,C10H22N3O0,610.58,5.36,614.588,Organic Compound
Adenosine triphosphate,C1H4N5O1,151.43,N/A,890.516,Nucleotide
Aspirin,C13H19N5O6,785.95,11.17,124.878,Carbohydrate
Glucose,C9H40N2O1,385.41,9.13,890.706,Carbohydrate
Serotonin,C20H28N2O5,530.78,10.08,522.947,Lipid
Ethanol,C10H19N4O10,612.22,N/A,73.681,Organic Compound
Serotonin,C5H21N2O8,252.85,7.12,31.686,Hormone
Adrenaline,C5H11N4O1,210.23,N/A,16.686,Alcohol
Adrenaline,C1H39N4O10,234.51,8.59,147.301,Neurotransmitter
Urea,C2H10N2O3,691.92,8.3,803.507,Organic Compound
Ethanol,C6H40N3O2,766.7,3.44,723.02,Carbohydrate
Aspirin,C6H6N2O5,672.32,N/A,851.397,Nucleotide
Urea,C10H21N0O6,419.58,1.18,792.949,Amide
Ethanol,C3H28N0O0,344.62,9.33,393.99,Amide
Serotonin,C14H2N0O3,546.06,12.23,405.787,Organic Compound
Cholesterol,C6H28N1O2,327.47,12.28,480.035,Organic Compound
Adrenaline,C2H23N0O9,600.39,N/A,442.359,Alcohol
Dopamine,C2H18N5O7,452.48,8.33,368.338,Nucleotide
Ethanol,C7H11N5O8,655.93,4.78,71.036,Neurotransmitter
Adenosine triphosphate,C3H40N1O10,379.53,7.21,559.888,Amide
Aspirin,C20H25N1O10,647.7,4.23,661.27,Lipid
Dopamine,C4H31N3O5,866.15,11.26,277.831,Hormone
Aspirin,C7H2N1O2,80.13,6.18,564.604,Nucleotide
Caffeine,C2H20N4O4,382.39,9.18,42.938,Alcohol
Aspirin,C18H17N0O8,621.73,2.49,83.226,Hormone
Ethanol,C15H8N1O3,509.41,11.71,655.904,Lipid
Adenosine triphosphate,C4H34N5O4,67.83,N/A,449.798,Hormone
Adenosine triphosphate,C2H1N5O10,729.04,N/A,437.286,Lipid
Serotonin,C12H12N5O3,513.46,1.06,741.964,Amide
Urea,C16H34N3O10,684.95,N/A,129.988,Organic Compound
Cholesterol,C1H13N2O1,503.17,6.27,771.986,Nucleotide
Adenosine triphosphate,C3H34N4O1,387.53,9.86,278.332,Alkaloid
Aspirin,C6H17N3O4,419.86,10.53,499.61,Hormone
Aspirin,C9H31N5O9,944.23,8.15,437.69,Neurotransmitter
Urea,C20H24N1O6,664.98,N/A,935.164,Alcohol
Cholesterol,C6H32N2O0,412.66,7.41,18.608,Carbohydrate
Adenosine triphosphate,C3H35N4O6,730.41,9.6,859.983,Neurotransmitter
Ethanol,C15H12N1O8,726.09,4.43,578.057,Hormone
Serotonin,C19H37N1O9,605.01,N/A,692.788,Amide
Adenosine triphosphate,C9H13N0O5,708.99,12.24,578.923,Alkaloid
Glucose,C2H4N2O0,755.44,1.01,44.88,Hormone
Cholesterol,C2H36N3O10,515.99,N/A,525.331,Nucleotide
Serotonin,C4H23N1O7,420.36,9.35,813.207,Hormone
Aspirin,C14H25N1O2,223.49,3.84,522.691,Hormone
Adrenaline,C2H10N1O1,378.95,5.85,140.576,Hormone
Cholesterol,C6H22N1O2,979.77,N/A,347.2,Hormone
Caffeine,C4H1N0O6,629.85,1.26,679.053,Hormone
Glucose,C20H14N4O9,750.11,5.72,906.627,Alcohol
Caffeine,C19H5N4O8,629.36,9.57,140.244,Neurotransmitter
Caffeine,C12H11N1O1,450.93,11.14,746.354,Alcohol
Urea,C17H36N2O5,947.93,10.91,725.795,Neurotransmitter
Aspirin,C9H12N3O5,615.98,7.86,516.226,Nucleotide
Glucose,C19H26N5O8,472.9,3.49,479.602,Hormone
Aspirin,C2H34N4O7,814.66,13.27,791.548,Amide
Adenosine triphosphate,C1H19N3O9,856.42,9.04,347.311,Nucleotide
Caffeine,C17H33N2O4,196.95,8.09,668.66,Carbohydrate
Cholesterol,C12H16N2O6,764.02,9.29,936.218,Nucleotide
Aspirin,C10H32N0O8,779.79,3.8,640.101,Organic Compound
Caffeine,C15H40N5O2,145.56,5.36,408.181,Alcohol
Aspirin,C3H14N5O3,537.44,10.4,151.047,Carbohydrate
Glucose,C3H19N0O5,507.21,N/A,502.305,Amide
Aspirin,C18H40N0O8,790.86,10.81,888.99,Alkaloid
Caffeine,C10H26N3O3,941.18,10.94,674.744,Hormone
Caffeine,C4H9N0O3,763.62,9.64,790.451,Neurotransmitter
Adrenaline,C9H40N0O6,72.61,8.35,806.97,Alkaloid
Serotonin,C11H37N1O1,755.69,11.2,920.329,Carbohydrate
Urea,C2H15N5O5,548.77,6.2,537.546,Neurotransmitter
Serotonin,C5H1N1O0,123.72,1.41,777.171,Neurotransmitter
Cholesterol,C20H33N0O6,233.23,5.24,488.916,Neurotransmitter
