compound,formula,mw,pka,solubility_mg_ml,class
Serotonin,C2H21N5O2,720.54,4.7,950.165,Alcohol
Caffeine,C4H27N1O3,208.85,4.56,364.374,Lipid
Adenosine triphosphate,C17H31N5O8,250.03,4.34,894.057,Organic Compound
Caffeine,C11H5N4O4,289.05,3.77,916.504,Alkaloid
Adrenaline,C10H17N1O1,269.95,N/A,646.463,Lipid
Glucose,C8H10N4O0,879.71,11.18,174.049,Lipid
Adrenaline,C20H27N2O10,125.51,4.08,438.595,Neurotransmitter
Aspirin,C14H29N3O4,529.52,11.23,547.337,Neurotransmitter
Ethanol,C10H29N3O5,92.78,12.26,114.137,Neurotransmitter
Ethanol,C17H8N0O8,765.7,N/A,258.114,Neurotransmitter
Cholesterol,C12H5N0O8,705.41,3.4,730.425,Carbohydrate
Caffeine,C8H32N0O6,393.93,N/A,974.871,Alkaloid
Serotonin,C3H12N0O10,297.88,N/A,305.641,Hormone
Dopamine,C9H14N4O7,495.28,5.63,441.311,Organic Compound
Ethanol,C13H6N4O2,846.48,3.97,297.028,Alcohol
Urea,C17H26N3O6,463.71,2.55,140.126,Lipid
Cholesterol,C13H3N4O9,608.41,9.43,39.103,Alcohol
Serotonin,C17H26N3O10,245.6,7.25,175.071,Amide
Ethanol,C3H21N3O9,347.93,7.49,402.496,Lipid
Glucose,C3H6N5O1,617.31,13.02,89.514,Organic Compound
Adenosine triphosphate,C1H3N3O8,392.04,N/A,920.929,Hormone
Serotonin,C12H40N1O7,533.8,1.18,199.218,Amide
Caffeine,C20H16N1O5,803.07,1.01,489.348,Lipid
Aspirin,C14H14N5O7,141.29,12.77,469.294,Alkaloid
Caffeine,C8H15N2O5,144.3,5.41,521.609,Alkaloid
Aspirin,C8H26N4O1,621.0,11.28,962.677,Nucleotide
Ethanol,C4H36N4O10,333.44,N/A,785.737,Nucleotide
Ethanol,C6H23N4O8,702.04,5.23,604.103,Organic Compound
Adenosine triphosphate,C19H26N1O7,782.06,12.79,43.659,Neurotransmitter
Adrenaline,C14H13N3O2,845.41,4.55,939.914,Alkaloid
Ethanol,C15H28N0O7,893.5,2.49,101.953,Alcohol
Adenosine triphosphate,C8H13N0O4,449.34,5.28,836.182,Alkaloid
Aspirin,C10H6N4O6,590.45,5.93,528.468,Nucleotide
Adrenaline,C16H20N2O3,522.85,10.09,896.551,Neurotransmitter
Dopamine,C9H14N0O0,74.11,N/A,413.334,Organic Compound
Dopamine,C15H37N1O5,502.42,13.19,244.583,Alkaloid
Glucose,C6H2N0O4,433.83,N/A,419.153,Hormone
Caffeine,C20H36N3O6,700.38,10.63,187.096,Alkaloid
Caffeine,C20H3N1O9,741.32,3.57,368.137,Carbohydrate
Urea,C20H29N0O2,529.74,13.26,151.002,Alcohol
Urea,C9H24N0O10,156.45,5.99,762.632,Alkaloid
Urea,C20H32N3O2,182.34,3.15,897.036,Alkaloid
Adenosine triphosphate,C4H25N3O6,75.24,13.56,361.637,Alkaloid
