compound,formula,mw,pka,solubility_mg_ml,class
Adenosine triphosphate,C10H34N3O6,742.55,8.62,13.642,Alcohol
Adrenaline,C14H4N1O7,165.36,N/A,569.793,Carbohydrate
Serotonin,C9H2N4O3,220.41,3.51,487.36,Alkaloid
Aspirin,C10H36N3O8,721.45,11.48,903.86,Organic Compound
Adenosine triphosphate,C7H34N1O8,960.36,2.69,263.22,Nucleotide
Adenosine triphosphate,C8H16N4O3,788.92,N/A,403.89,Nucleotide
Adenosine triphosphate,C10H28N3O1,204.35,4.29,743.579,Alkaloid
Cholesterol,C16H35N1O1,725.31,12.27,691.049,Hormone
Glucose,C13H14N2O9,617.28,12.25,80.737,Nucleotide
Caffeine,C18H23N4O9,673.94,11.79,841.903,Alkaloid
Dopamine,C1H24N4O5,635.42,12.06,227.026,Amide
Aspirin,C9H39N0O7,816.44,N/A,381.734,Nucleotide
Cholesterol,C1H5N2O8,795.78,5.84,339.256,Organic Compound
Adrenaline,C17H5N4O9,565.72,5.34,529.734,Alkaloid
Caffeine,C6H5N0O9,968.65,N/A,515.032,Alcohol
Glucose,C14H13N2O1,766.57,9.28,410.448,Alcohol
Urea,C18H6N3O1,827.1,3.59,340.066,Amide
Urea,C7H40N3O8,265.56,6.35,403.407,Carbohydrate
Adenosine triphosphate,C17H18N1O8,796.79,N/A,159.481,Organic Compound
Ethanol,C3H40N0O9,403.4,7.95,737.751,Organic Compound
Cholesterol,C17H12N3O8,373.1,8.08,564.926,Organic Compound
Cholesterol,C10H37N0O9,648.19,6.92,455.959,Alkaloid
Urea,C6H9N4O2,223.53,9.45,886.07,Alkaloid
Urea,C10H27N3O5,648.63,11.62,738.969,Nucleotide
Urea,C19H21N1O8,782.51,2.95,520.016,Amide
Caffeine,C3H16N1O7,287.35,5.17,16.838,Nucleotide
Glucose,C12H31N5O8,421.26,2.79,23.283,Alcohol
Aspirin,C15H35N5O4,61.53,9.19,664.762,Amide
Caffeine,C18H21N2O1,988.89,N/A,415.877,Organic Compound
Aspirin,C18H32N5O10,117.94,1.17,745.485,Organic Compound
Glucose,C7H2N0O9,588.66,12.28,634.414,Alcohol
Dopamine,C6H6N0O2,462.89,7.62,568.998,Carbohydrate
Dopamine,C10H24N4O9,771.42,7.84,679.904,Carbohydrate
Caffeine,C9H39N0O7,541.32,10.85,706.299,Amide
Ethanol,C18H13N0O10,200.25,4.77,81.269,Alcohol
Aspirin,C14H5N4O10,486.24,13.57,453.776,Carbohydrate
Aspirin,C2H15N4O1,309.61,11.25,127.78,Lipid
Aspirin,C18H29N5O7,738.05,2.17,334.768,Carbohydrate
Caffeine,C2H9N0O8,623.19,5.7,907.368,Hormone
Cholesterol,C6H12N1O3,115.15,8.91,783.346,Hormone
Ethanol,C9H15N4O3,65.03,13.61,548.047,Amide
Adenosine triphosphate,C11H18N2O1,57.12,N/A,403.148,Alkaloid
Adenosine triphosphate,C5H10N4O7,335.26,4.05,749.252,Amide
Aspirin,C2H16N1O9,429.56,2.17,406.611,Organic Compound
Cholesterol,C7H30N4O6,545.22,N/A,209.236,Hormone
Adrenaline,C12H1N4O9,116.67,12.5,661.395,Organic Compound
Caffeine,C13H15N4O3,606.91,5.69,75.202,Alcohol
Urea,C12H16N1O1,419.59,N/A,880.668,Organic Compound
Serotonin,C4H17N3O3,546.66,N/A,490.999,Neurotransmitter
Serotonin,C17H26N0O4,995.36,12.83,422.712,Neurotransmitter
Adenosine triphosphate,C8H24N2O7,791.0,9.36,942.149,Lipid
Adenosine triphosphate,C4H31N3O8,575.24,1.42,136.592,Carbohydrate
Adrenaline,C17H16N0O10,640.5,7.59,323.364,Amide
Urea,C15H19N4O10,117.7,13.39,661.927,Neurotransmitter
Glucose,C16H22N0O2,981.1,3.98,804.103,Alkaloid
Aspirin,C5H6N0O5,608.72,12.07,436.953,Lipid
Adenosine triphosphate,C8H10N0O2,965.5,11.38,790.951,Hormone
Cholesterol,C16H5N4O8,848.69,N/A,629.493,Carbohydrate
Cholesterol,C7H10N5O4,56.88,4.55,725.84,Alkaloid
Adenosine triphosphate,C14H31N3O6,101.38,N/A,180.336,Organic Compound
Ethanol,C7H36N2O7,64.91,3.52,220.869,Hormone
Dopamine,C17H36N4O6,888.06,N/A,442.064,Amide
Cholesterol,C15H36N1O9,357.29,7.61,319.624,Amide
Ethanol,C20H14N0O2,806.92,N/A,514.72,Alcohol
Adrenaline,C15H17N0O2,446.7,2.08,979.832,Organic Compound
Serotonin,C8H15N5O7,119.03,10.37,942.665,Hormone
Cholesterol,C18H13N3O5,290.31,5.02,472.746,Alkaloid
Adrenaline,C19H22N2O9,502.57,3.45,965.593,Alcohol
Adenosine triphosphate,C6H8N1O1,599.09,N/A,530.851,Alkaloid
Ethanol,C7H24N5O4,684.14,N/A,969.045,Lipid
Glucose,C10H36N3O0,532.45,3.15,721.879,Lipid
Ethanol,C17H14N0O6,96.89,6.69,607.742,Neurotransmitter
Caffeine,C1H28N5O10,592.52,9.65,345.804,Organic Compound
Adenosine triphosphate,C12H13N0O3,478.07,N/A,634.408,Carbohydrate
Dopamine,C7H36N2O5,739.24,10.51,289.7,Nucleotide
Serotonin,C15H18N5O6,639.03,11.93,609.906,Alcohol
Aspirin,C12H39N4O9,866.02,12.14,61.823,Alkaloid
Urea,C17H23N1O3,326.45,4.68,902.931,Amide
Urea,C3H11N0O9,594.45,2.97,713.08,Amide
Aspirin,C11H27N1O2,984.23,4.29,544.118,Organic Compound
Serotonin,C7H3N1O5,899.85,3.14,255.155,Alkaloid
Serotonin,C10H16N0O7,338.92,10.03,11.114,Organic Compound
Dopamine,C14H25N1O1,600.41,1.49,626.53,Neurotransmitter
Urea,C4H28N3O0,452.94,9.56,449.143,Lipid
Adenosine triphosphate,C3H14N0O4,360.45,N/A,473.951,Nucleotide
Caffeine,C2H3N0O5,641.59,13.01,11.851,Nucleotide
Dopamine,C13H7N3O8,205.36,8.59,810.145,Organic Compound
Dopamine,C20H23N1O10,766.09,4.18,702.016,Lipid
Adenosine triphosphate,C18H12N4O1,916.99,12.07,532.327,Organic Compound
Glucose,C5H4N5O8,268.34,11.24,513.717,Hormone
Ethanol,C10H27N0O6,348.87,N/A,488.818,Organic Compound
Urea,C6H19N2O7,527.35,8.86,809.805,Neurotransmitter
Dopamine,C20H6N2O7,805.54,4.32,38.468,Neurotransmitter
Dopamine,C15H29N4O4,660.18,10.59,184.201,Alkaloid
Aspirin,C1H27N1O5,101.78,3.03,949.984,Amide
Caffeine,C20H8N5O8,606.72,3.41,952.85,Lipid
Dopamine,C17H1N4O7,121.84,8.42,375.708,Amide
Caffeine,C6H27N2O1,747.14,7.38,144.852,Lipid
Aspirin,C5H30N3O1,947.89,11.67,460.167,Nucleotide
Adenosine triphosphate,C17H34N2O4,812.82,3.94,421.445,Lipid
Glucose,C6H10N3O4,448.29,11.67,409.809,Neurotransmitter
Urea,C11H32N4O5,844.8,5.51,730.268,Amide
Adenosine triphosphate,C10H7N4O5,698.63,N/A,504.975,Lipid
Dopamine,C20H15N0O9,88.01,5.42,109.47,Alcohol
Urea,C12H4N3O10,581.47,N/A,234.556,Organic Compound
Urea,C8H5N2O10,779.45,7.08,639.098,Lipid
Adrenaline,C2H16N4O0,131.87,8.75,465.887,Nucleotide
Cholesterol,C11H19N0O3,252.39,N/A,316.427,Lipid
Adrenaline,C6H5N5O4,827.11,9.11,978.08,Lipid
Dopamine,C7H38N4O1,533.33,5.32,712.28,Amide
Urea,C19H14N2O1,577.84,13.33,517.677,Neurotransmitter
Serotonin,C10H11N4O1,903.27,N/A,260.226,Amide
Caffeine,C11H16N1O1,585.31,9.2,358.499,Hormone
Cholesterol,C16H14N5O4,387.81,3.03,884.644,Carbohydrate
Serotonin,C4H28N3O3,535.54,13.78,129.521,Carbohydrate
Caffeine,C14H31N1O9,982.51,N/A,850.53,Alcohol
Adenosine triphosphate,C19H3N1O10,497.36,8.83,811.439,Hormone
Adrenaline,C3H23N1O9,293.68,9.14,112.545,Organic Compound
Adrenaline,C15H17N0O6,739.39,8.88,588.376,Organic Compound
Adrenaline,C4H5N4O7,461.36,N/A,710.021,Nucleotide
Aspirin,C14H9N3O2,287.15,N/A,579.941,Hormone
Aspirin,C7H5N0O4,130.22,5.78,332.544,Nucleotide
Glucose,C6H32N0O5,691.13,4.77,208.101,Lipid
Ethanol,C3H10N0O7,413.03,13.68,930.835,Organic Compound
Aspirin,C8H23N4O10,466.16,10.89,595.115,Carbohydrate
Ethanol,C9H8N2O6,813.4,12.22,183.962,Neurotransmitter
Cholesterol,C17H3N1O7,886.03,12.36,527.878,Hormone
Glucose,C2H7N1O3,582.53,3.71,471.539,Amide
Urea,C5H26N4O9,365.48,3.16,491.065,Carbohydrate
Cholesterol,C3H37N4O9,814.1,11.05,860.13,Lipid
Adenosine triphosphate,C10H36N2O8,273.84,1.1,690.503,Nucleotide
Urea,C2H12N5O0,745.92,11.09,980.905,Lipid
Aspirin,C2H39N0O1,487.08,11.05,550.765,Nucleotide
Adenosine triphosphate,C14H22N4O4,341.32,12.05,532.599,Neurotransmitter
Caffeine,C1H15N0O4,524.1,2.35,930.902,Neurotransmitter
Adenosine triphosphate,C18H39N5O7,986.24,8.85,380.142,Neurotransmitter
Ethanol,C14H33N0O10,80.89,5.25,72.013,Lipid
Adenosine triphosphate,C20H14N0O6,839.37,10.07,570.056,Organic Compound
