compound,formula,mw,pka,solubility_mg_ml,class
Aspirin,C9H31N2O2,561.28,4.93,28.714,Carbohydrate
Adrenaline,C16H3N1O0,591.87,N/A,48.28,Alcohol
Glucose,C7H7N0O1,687.47,2.37,608.81,Neurotransmitter
Urea,C14H26N0O4,572.23,N/A,115.32,Nucleotide
Dopamine,C6H31N2O10,127.72,11.85,637.352,Alcohol
Urea,C20H7N3O7,209.5,5.18,426.249,Carbohydrate
Caffeine,C20H37N4O2,249.9,2.26,595.113,Neurotransmitter
Adenosine triphosphate,C3H37N4O8,65.21,N/A,415.507,Carbohydrate
Ethanol,C7H15N4O9,200.54,13.17,117.472,Lipid
Urea,C20H28N4O4,222.78,7.12,85.032,Lipid
Urea,C6H21N0O10,788.95,4.96,855.169,Neurotransmitter
Serotonin,C16H24N4O5,84.77,N/A,24.281,Carbohydrate
Adenosine triphosphate,C18H3N2O8,761.83,1.83,70.277,Neurotransmitter
Caffeine,C7H33N2O1,960.53,2.09,861.647,Carbohydrate
Adenosine triphosphate,C2H26N4O4,332.93,1.58,259.512,Neurotransmitter
Ethanol,C5H9N3O7,183.82,13.12,911.772,Alkaloid
Adenosine triphosphate,C19H3N3O5,346.71,N/A,381.838,Alkaloid
Aspirin,C20H12N5O6,932.56,10.38,960.057,Organic Compound
Ethanol,C18H35N2O8,307.47,12.22,688.651,Organic Compound
Cholesterol,C3H16N2O6,667.9,N/A,307.776,Organic Compound
Adrenaline,C14H9N5O5,457.96,N/A,429.519,Alkaloid
Cholesterol,C10H22N2O3,360.1,8.37,90.039,Alkaloid
Caffeine,C18H7N2O4,588.87,11.32,544.523,Alcohol
Adrenaline,C1H29N2O10,921.17,7.22,582.729,Nucleotide
Glucose,C18H13N2O5,670.87,N/A,105.686,Neurotransmitter
Dopamine,C1H29N5O8,226.76,1.16,275.492,Nucleotide
Ethanol,C3H35N5O8,236.39,1.22,95.189,Hormone
Caffeine,C8H25N2O8,360.87,13.34,83.984,Alkaloid
Glucose,C5H19N5O6,663.36,1.33,215.116,Hormone
Adenosine triphosphate,C8H33N3O2,931.63,9.21,517.317,Lipid
Adrenaline,C3H13N0O5,529.42,N/A,684.144,Amide
Adrenaline,C18H15N4O4,910.96,7.93,858.215,Alkaloid
Adenosine triphosphate,C16H36N4O9,424.4,12.31,715.223,Alkaloid
Ethanol,C6H1N4O7,900.82,13.31,534.442,Amide
Caffeine,C16H2N0O7,729.61,N/A,61.682,Nucleotide
Ethanol,C17H27N5O4,742.67,N/A,636.47,Carbohydrate
Cholesterol,C11H3N2O9,745.87,8.31,110.368,Neurotransmitter
Urea,C11H17N1O1,316.37,N/A,930.106,Alkaloid
Ethanol,C14H6N4O7,822.3,10.2,916.165,Carbohydrate
Ethanol,C2H5N3O10,136.16,5.25,20.577,Carbohydrate
Glucose,C11H36N0O1,778.16,7.12,392.413,Lipid
Urea,C17H2N5O10,617.87,7.34,156.007,Alcohol
Aspirin,C18H7N2O3,967.34,4.23,417.144,Lipid
Urea,C1H32N4O3,164.88,8.89,550.28,Alkaloid
Serotonin,C13H3N0O3,531.86,1.61,525.452,Hormone
Serotonin,C13H4N5O2,790.97,10.13,767.727,Amide
Adenosine triphosphate,C7H24N5O10,153.35,3.19,130.26,Amide
Glucose,C20H25N4O10,243.14,9.49,542.043,Amide
Cholesterol,C16H32N4O6,532.68,N/A,685.314,Organic Compound
Dopamine,C16H18N1O9,267.71,N/A,745.69,Alkaloid
Glucose,C15H36N4O9,481.47,12.04,821.682,Carbohydrate
Adrenaline,C9H38N2O9,795.59,5.1,177.79,Amide
Serotonin,C2H27N5O6,644.1,6.66,188.573,Hormone
Ethanol,C18H17N1O6,660.12,10.46,74.344,Carbohydrate
Caffeine,C19H36N5O1,673.12,N/A,475.413,Amide
Ethanol,C5H23N2O7,513.21,N/A,459.846,Carbohydrate
Cholesterol,C11H29N2O7,231.82,N/A,989.651,Organic Compound
Cholesterol,C13H16N3O10,283.54,6.33,217.131,Carbohydrate
Urea,C15H36N3O7,648.11,N/A,887.892,Hormone
Serotonin,C11H8N2O3,212.04,13.66,580.906,Alkaloid
Dopamine,C9H6N5O8,53.27,1.11,571.406,Neurotransmitter
Serotonin,C7H12N5O5,506.6,12.84,255.539,Nucleotide
Glucose,C20H10N2O9,67.66,N/A,949.368,Alcohol
Serotonin,C20H7N0O7,279.24,3.64,887.983,Organic Compound
Ethanol,C20H32N2O8,440.43,3.86,136.691,Alkaloid
Serotonin,C4H36N1O8,639.76,7.56,317.046,Organic Compound
Caffeine,C20H28N1O2,751.17,9.05,873.341,Neurotransmitter
Cholesterol,C14H8N0O2,860.49,1.28,578.521,Hormone
Dopamine,C12H1N3O2,432.61,9.71,866.542,Hormone
Dopamine,C10H37N3O3,266.59,12.54,414.265,Alcohol
Adenosine triphosphate,C5H37N1O5,196.51,1.99,332.481,Nucleotide
Adrenaline,C17H1N4O3,824.82,6.35,619.022,Alkaloid
Serotonin,C12H36N1O4,411.45,4.51,771.987,Hormone
Adenosine triphosphate,C17H37N3O4,876.59,3.61,273.343,Lipid
Caffeine,C20H5N4O5,413.42,11.59,719.581,Lipid
Caffeine,C16H28N5O9,898.35,5.83,914.267,Hormone
Adrenaline,C2H20N2O3,596.81,7.9,827.357,Nucleotide
Serotonin,C7H40N5O0,569.88,N/A,923.953,Hormone
Adrenaline,C20H17N3O1,705.08,3.53,506.147,Neurotransmitter
Adrenaline,C18H34N1O9,523.37,6.07,25.106,Nucleotide
Dopamine,C1H29N5O1,414.93,N/A,751.62,Carbohydrate
Caffeine,C9H9N4O7,717.74,3.74,835.342,Amide
