compound,formula,mw,pka,solubility_mg_ml,class
Caffeine,C14H17N2O2,230.89,N/A,883.267,Nucleotide
Urea,C18H13N0O2,530.1,4.25,26.306,Neurotransmitter
Ethanol,C8H22N1O6,244.42,13.73,634.48,Nucleotide
Dopamine,C9H3N1O1,409.7,6.42,973.425,Organic Compound
Dopamine,C9H23N4O9,698.66,13.4,708.366,Organic Compound
Aspirin,C18H4N0O3,780.44,4.37,900.126,Carbohydrate
Serotonin,C2H11N4O2,222.25,N/A,438.96,Hormone
Caffeine,C16H26N0O8,980.71,1.84,669.098,Neurotransmitter
Cholesterol,C8H24N5O1,979.45,10.36,422.988,Alkaloid
Adrenaline,C2H39N2O4,443.08,13.67,137.839,Alcohol
Glucose,C18H1N4O0,673.38,6.92,162.375,Nucleotide
Dopamine,C15H31N0O4,903.38,5.86,183.549,Alcohol
Caffeine,C19H19N0O3,174.36,5.65,576.405,Neurotransmitter
Dopamine,C5H30N1O8,867.7,N/A,426.359,Nucleotide
Cholesterol,C6H9N4O9,453.74,N/A,670.453,Neurotransmitter
Aspirin,C3H31N3O8,822.35,6.47,702.601,Alkaloid
Adenosine triphosphate,C8H20N1O10,669.25,3.0,411.06,Amide
Aspirin,C7H1N5O10,420.49,13.7,372.829,Neurotransmitter
Serotonin,C8H2N4O0,922.05,12.17,812.549,Organic Compound
Glucose,C8H14N5O4,937.49,5.68,466.122,Carbohydrate
Glucose,C11H13N3O6,254.72,7.26,398.845,Nucleotide
Glucose,C11H9N2O4,486.89,5.34,388.513,Hormone
Adrenaline,C3H9N2O4,746.71,6.55,380.992,Amide
Aspirin,C10H30N3O7,703.23,4.64,648.647,Organic Compound
Urea,C2H37N0O6,313.93,12.87,852.991,Organic Compound
Urea,C11H36N5O1,806.75,5.56,187.113,Carbohydrate
Adrenaline,C19H14N0O6,245.73,5.26,75.736,Hormone
Urea,C5H33N0O7,97.97,13.95,877.339,Neurotransmitter
Ethanol,C5H24N5O0,365.78,12.88,931.552,Lipid
Caffeine,C9H34N0O3,125.61,N/A,545.325,Carbohydrate
Caffeine,C2H12N0O6,727.15,N/A,496.626,Amide
Aspirin,C15H22N5O7,521.53,5.69,696.113,Nucleotide
Serotonin,C4H27N2O1,539.89,10.67,114.451,Alcohol
Adenosine triphosphate,C7H13N3O8,413.41,3.31,962.728,Carbohydrate
Dopamine,C19H4N3O6,470.54,6.91,927.992,Hormone
Adenosine triphosphate,C19H9N5O9,539.08,1.09,441.808,Organic Compound
Caffeine,C4H1N2O2,456.23,3.06,93.684,Carbohydrate
Adenosine triphosphate,C6H26N3O7,342.19,3.72,467.563,Amide
