compound,formula,mw,pka,solubility_mg_ml,class
Serotonin,C12H20N5O5,892.05,5.34,323.304,Carbohydrate
Adrenaline,C1H15N1O7,540.33,13.55,944.336,Amide
Caffeine,C9H31N1O2,497.76,9.14,672.969,Nucleotide
Glucose,C14H39N4O1,332.48,8.37,767.171,Carbohydrate
Caffeine,C10H20N4O4,476.4,N/A,967.56,Organic Compound
Adenosine triphosphate,C14H25N5O3,457.38,11.29,209.303,Alcohol
Caffeine,C1H4N5O4,428.73,8.23,719.846,Alkaloid
Caffeine,C7H22N1O1,97.71,10.42,41.43,Alcohol
Dopamine,C5H24N0O1,780.79,5.35,655.391,Nucleotide
Adrenaline,C6H38N0O5,690.12,4.77,937.702,Neurotransmitter
Urea,C18H17N2O9,347.47,11.91,287.397,Carbohydrate
Adrenaline,C17H36N0O7,724.02,7.27,669.509,Alkaloid
Cholesterol,C19H32N4O2,807.26,9.31,704.998,Lipid
Cholesterol,C10H29N5O9,697.6,4.38,410.773,Lipid
Cholesterol,C15H18N3O5,581.81,N/A,797.877,Amide
Aspirin,C10H9N2O3,507.04,6.62,412.401,Alcohol
Adenosine triphosphate,C1H22N0O1,781.8,4.79,560.652,Neurotransmitter
Aspirin,C17H16N2O0,698.39,10.41,993.293,Lipid
Urea,C15H36N5O5,497.35,12.13,722.455,Lipid
Serotonin,C20H23N5O7,345.19,N/A,638.193,Nucleotide
Cholesterol,C7H4N2O10,165.9,N/A,860.17,Alcohol
Glucose,C19H3N5O5,913.88,2.88,880.732,Alkaloid
Serotonin,C7H31N3O3,354.82,12.27,501.138,Carbohydrate
Dopamine,C14H7N4O5,849.18,N/A,505.312,Organic Compound
Caffeine,C10H37N5O2,918.03,6.42,913.236,Carbohydrate
Adrenaline,C8H29N3O6,283.26,6.91,884.592,Carbohydrate
Caffeine,C4H8N1O5,735.8,1.91,292.635,Lipid
Adrenaline,C13H3N0O8,534.47,13.64,894.625,Lipid
Dopamine,C10H9N3O0,99.28,N/A,580.924,Neurotransmitter
Serotonin,C7H9N3O4,142.49,N/A,314.685,Carbohydrate
Urea,C6H37N0O6,427.88,5.29,761.408,Alcohol
Glucose,C10H20N2O6,274.61,N/A,870.641,Carbohydrate
Aspirin,C5H33N2O9,621.41,7.7,535.947,Amide
Dopamine,C5H17N3O0,983.31,9.66,94.806,Alcohol
Dopamine,C10H24N3O4,334.84,7.85,614.414,Neurotransmitter
Aspirin,C4H13N5O1,862.38,2.46,765.191,Neurotransmitter
Glucose,C13H30N1O8,150.63,13.3,66.946,Hormone
Aspirin,C11H21N5O5,897.53,2.72,29.817,Lipid
Glucose,C18H34N0O2,458.66,9.05,561.202,Nucleotide
Adrenaline,C13H38N4O6,144.74,13.45,4.852,Alkaloid
Serotonin,C11H14N5O9,306.36,N/A,76.876,Lipid
Glucose,C5H5N1O6,548.69,N/A,116.57,Amide
Cholesterol,C8H39N5O8,946.25,11.49,465.408,Alkaloid
Urea,C16H34N2O10,173.71,N/A,429.428,Neurotransmitter
Glucose,C5H23N3O8,584.06,13.32,321.027,Nucleotide
Glucose,C6H13N0O3,753.66,2.38,692.606,Alkaloid
Dopamine,C16H31N3O9,348.79,N/A,32.473,Amide
Cholesterol,C2H5N3O1,279.72,1.19,126.531,Alkaloid
Caffeine,C13H15N3O8,786.7,10.33,77.108,Nucleotide
Dopamine,C5H14N1O4,154.36,12.5,611.798,Neurotransmitter
Glucose,C1H21N1O8,492.18,N/A,146.817,Carbohydrate
Adrenaline,C3H25N0O0,730.25,N/A,425.184,Alcohol
Glucose,C13H5N4O0,124.17,1.18,559.856,Lipid
Aspirin,C20H31N2O9,309.36,N/A,456.818,Carbohydrate
Dopamine,C3H19N4O1,912.86,N/A,433.035,Lipid
Adenosine triphosphate,C17H8N4O5,737.16,N/A,229.035,Hormone
Glucose,C20H29N0O4,562.63,10.13,815.693,Nucleotide
Adenosine triphosphate,C17H28N0O5,238.66,11.82,71.068,Organic Compound
Adrenaline,C14H37N0O7,683.35,N/A,73.757,Carbohydrate
Ethanol,C16H28N5O10,254.54,13.88,664.609,Lipid
Ethanol,C14H32N4O7,312.73,12.94,804.666,Nucleotide
Cholesterol,C6H37N5O8,309.0,7.33,682.373,Carbohydrate
Cholesterol,C3H38N3O7,581.65,2.1,856.076,Alkaloid
Ethanol,C20H35N5O6,463.35,13.48,808.563,Lipid
Adenosine triphosphate,C13H26N3O4,802.11,6.28,234.663,Hormone
Caffeine,C13H21N1O6,122.87,11.1,574.84,Amide
Urea,C19H33N5O9,515.05,4.61,106.354,Carbohydrate
Serotonin,C7H29N0O4,857.61,5.01,246.411,Neurotransmitter
Ethanol,C7H7N2O1,425.87,3.57,303.444,Hormone
Urea,C9H17N2O6,344.47,2.53,220.775,Alkaloid
Caffeine,C8H22N2O4,551.53,3.02,507.515,Carbohydrate
Glucose,C18H37N0O1,156.7,11.65,947.598,Neurotransmitter
Serotonin,C19H4N1O2,256.63,6.15,1.883,Lipid
Adrenaline,C2H15N2O7,506.6,N/A,534.291,Neurotransmitter
Aspirin,C8H10N3O8,662.59,9.3,960.432,Neurotransmitter
Ethanol,C17H11N5O7,743.88,N/A,149.985,Alcohol
Glucose,C17H38N1O1,284.11,N/A,937.825,Alkaloid
Dopamine,C11H23N2O5,454.65,11.09,916.285,Carbohydrate
Adenosine triphosphate,C16H8N4O7,693.15,10.65,281.343,Amide
Ethanol,C7H22N4O7,254.66,5.37,14.07,Lipid
Caffeine,C8H14N5O2,292.8,N/A,520.149,Organic Compound
Serotonin,C7H35N5O1,219.07,1.15,236.912,Amide
Adrenaline,C15H11N2O1,224.15,N/A,823.589,Amide
Cholesterol,C14H3N5O5,233.26,11.44,523.084,Hormone
Adrenaline,C17H36N2O7,780.16,11.28,252.713,Hormone
Serotonin,C19H18N3O2,709.17,2.55,161.353,Alkaloid
Dopamine,C15H2N3O3,184.63,N/A,86.726,Alkaloid
Ethanol,C5H15N1O5,656.11,9.99,742.764,Hormone
Urea,C3H16N5O6,399.78,1.08,81.308,Hormone
Ethanol,C18H29N4O10,415.8,11.94,176.849,Neurotransmitter
Ethanol,C20H34N4O0,994.63,7.88,77.7,Nucleotide
Glucose,C9H34N0O3,289.56,N/A,65.037,Organic Compound
Dopamine,C19H16N4O4,991.29,4.23,570.391,Carbohydrate
Adrenaline,C9H28N0O1,838.88,11.42,233.566,Organic Compound
Glucose,C6H28N2O1,847.85,9.91,482.972,Hormone
Aspirin,C12H38N3O2,439.35,N/A,287.73,Alkaloid
Ethanol,C15H18N1O0,488.18,10.81,32.646,Neurotransmitter
Adenosine triphosphate,C2H2N4O2,146.46,5.61,432.583,Nucleotide
Serotonin,C12H20N4O8,377.63,9.22,18.399,Nucleotide
Ethanol,C8H29N1O6,99.97,13.58,571.855,Alkaloid
Adenosine triphosphate,C6H27N3O9,249.35,2.39,226.077,Carbohydrate
Cholesterol,C8H33N0O3,600.63,10.29,439.335,Alkaloid
Urea,C17H27N2O7,825.07,3.02,844.296,Nucleotide
Caffeine,C19H4N1O10,921.25,N/A,715.987,Lipid
Urea,C9H20N4O10,701.37,10.17,454.413,Carbohydrate
Adenosine triphosphate,C9H32N4O10,710.73,9.7,405.045,Neurotransmitter
Adenosine triphosphate,C20H6N4O4,82.15,5.02,738.958,Nucleotide
Serotonin,C10H11N2O4,823.33,11.21,339.91,Hormone
Adrenaline,C6H40N5O2,782.2,7.36,929.326,Organic Compound
Glucose,C8H21N1O4,95.18,9.92,299.873,Alcohol
Ethanol,C12H7N2O6,794.22,9.21,354.033,Organic Compound
Serotonin,C14H9N4O1,568.04,4.84,549.601,Neurotransmitter
Ethanol,C7H28N1O2,489.55,11.75,716.284,Alcohol
Ethanol,C14H27N1O6,764.9,11.32,458.378,Organic Compound
Dopamine,C6H36N3O7,985.77,N/A,42.53,Alkaloid
Ethanol,C4H18N2O5,597.59,N/A,680.136,Lipid
Ethanol,C9H29N2O8,417.19,N/A,511.038,Alcohol
Adrenaline,C2H3N5O3,469.17,8.31,311.209,Neurotransmitter
Adenosine triphosphate,C10H38N2O0,780.42,10.42,419.201,Amide
Adenosine triphosphate,C16H2N0O10,573.9,N/A,227.171,Alcohol
Adenosine triphosphate,C19H27N1O2,838.2,7.31,511.769,Alkaloid
Urea,C19H32N5O3,81.7,N/A,404.618,Neurotransmitter
Adrenaline,C2H27N0O5,406.61,7.8,7.602,Lipid
Ethanol,C2H8N3O5,199.56,8.2,837.303,Alkaloid
Adenosine triphosphate,C2H31N3O0,296.16,9.52,501.931,Alkaloid
Adrenaline,C14H7N5O0,941.82,8.07,80.27,Lipid
Glucose,C3H23N0O10,775.62,2.09,339.989,Nucleotide
Dopamine,C18H21N3O0,435.12,N/A,454.822,Alkaloid
Serotonin,C3H19N2O9,88.78,N/A,429.948,Organic Compound
Caffeine,C19H10N5O2,159.06,N/A,109.134,Amide
