compound,formula,mw,pka,solubility_mg_ml,class
Adenosine triphosphate,C4H24N3O2,379.91,8.54,225.418,Neurotransmitter
Adenosine triphosphate,C4H8N0O8,262.09,8.17,14.008,Alcohol
Aspirin,C18H24N5O5,468.05,3.32,35.504,Amide
Adenosine triphosphate,C3H11N2O2,309.98,5.58,138.446,Lipid
Adrenaline,C2H5N0O5,672.27,N/A,17.11,Alcohol
Ethanol,C17H25N0O1,511.0,10.19,571.141,Amide
Serotonin,C9H35N2O6,337.6,2.51,183.598,Alcohol
Adrenaline,C6H34N5O8,381.31,9.31,737.43,Alkaloid
Glucose,C7H23N5O6,226.65,8.13,421.41,Neurotransmitter
Glucose,C11H39N3O3,664.17,12.71,198.886,Alcohol
Aspirin,C16H21N2O2,791.45,5.07,705.807,Amide
Urea,C8H23N4O0,578.08,N/A,650.653,Alcohol
Dopamine,C14H38N1O7,922.91,7.77,229.263,Organic Compound
Urea,C17H25N3O1,234.24,10.09,176.835,Alcohol
Aspirin,C7H12N0O1,783.06,3.52,236.623,Amide
Aspirin,C6H12N0O6,423.7,7.55,665.264,Neurotransmitter
Caffeine,C11H34N5O9,479.07,N/A,327.527,Nucleotide
Adenosine triphosphate,C12H31N4O0,969.08,6.93,465.486,Amide
Serotonin,C8H24N4O9,789.5,5.92,440.424,Lipid
Ethanol,C2H1N1O4,75.52,1.91,627.46,Nucleotide
Ethanol,C2H35N3O9,116.32,9.04,434.681,Lipid
Serotonin,C6H26N0O3,354.48,N/A,41.962,Organic Compound
Glucose,C18H37N0O7,852.21,12.47,972.083,Organic Compound
Urea,C17H24N0O5,87.58,1.35,141.226,Hormone
Aspirin,C17H39N3O3,795.92,N/A,301.09,Alcohol
Cholesterol,C19H2N3O8,601.65,9.68,975.801,Neurotransmitter
Ethanol,C17H19N3O7,866.44,7.21,942.384,Amide
Ethanol,C5H17N4O0,947.51,3.68,248.287,Alkaloid
Glucose,C10H19N5O2,953.1,N/A,369.322,Organic Compound
Caffeine,C15H5N4O2,610.56,1.72,250.642,Alcohol
Aspirin,C3H33N0O9,849.94,N/A,497.857,Alkaloid
Glucose,C4H26N0O8,338.63,11.39,701.776,Alcohol
Caffeine,C13H5N4O8,753.86,4.8,424.632,Amide
Urea,C14H26N5O10,245.97,2.55,464.704,Neurotransmitter
Cholesterol,C1H19N4O8,156.31,N/A,846.086,Alcohol
Glucose,C20H30N3O2,584.81,11.5,704.333,Carbohydrate
Urea,C3H35N5O1,307.01,6.28,423.746,Carbohydrate
Dopamine,C17H16N2O1,426.94,2.86,873.625,Amide
Ethanol,C2H4N4O7,382.9,9.22,543.999,Organic Compound
Cholesterol,C20H1N1O6,493.74,8.25,317.256,Lipid
Adrenaline,C19H9N5O6,318.31,N/A,832.804,Organic Compound
Serotonin,C5H36N2O1,503.36,8.03,112.034,Alcohol
Adrenaline,C5H20N0O5,738.35,3.09,497.284,Organic Compound
Adenosine triphosphate,C5H2N0O10,393.1,7.12,249.852,Nucleotide
Adrenaline,C4H6N5O7,63.07,N/A,994.053,Organic Compound
Caffeine,C18H25N2O8,219.07,3.14,471.588,Hormone
Caffeine,C15H7N4O6,803.4,13.66,976.506,Neurotransmitter
Cholesterol,C20H18N3O4,523.21,9.39,577.679,Neurotransmitter
Dopamine,C10H2N4O7,915.39,6.07,119.701,Amide
Aspirin,C19H23N1O6,888.17,6.35,367.336,Organic Compound
Caffeine,C14H29N3O7,184.21,9.53,42.448,Lipid
Cholesterol,C3H37N1O2,571.42,N/A,459.298,Alkaloid
Urea,C14H29N0O7,557.82,12.23,693.022,Neurotransmitter
Adenosine triphosphate,C11H6N2O8,911.79,6.16,692.592,Lipid
Glucose,C4H10N2O8,616.46,9.2,985.12,Hormone
Aspirin,C18H22N0O3,745.09,7.52,685.972,Neurotransmitter
Glucose,C9H40N5O7,120.68,N/A,348.366,Carbohydrate
Serotonin,C15H31N5O9,904.61,1.72,688.66,Alcohol
Serotonin,C5H35N2O9,922.0,8.48,569.309,Alcohol
Urea,C14H32N1O1,89.76,4.09,882.505,Organic Compound
Adrenaline,C20H30N2O1,809.8,1.19,175.279,Lipid
Aspirin,C6H16N3O2,88.87,13.34,821.739,Nucleotide
Dopamine,C3H14N0O0,944.74,12.22,293.612,Alkaloid
Adenosine triphosphate,C13H26N4O1,385.42,3.57,94.78,Organic Compound
Cholesterol,C3H35N0O5,678.98,7.21,196.128,Lipid
Urea,C10H23N0O8,969.14,8.66,685.729,Hormone
Adenosine triphosphate,C7H26N1O9,261.72,2.86,102.025,Alkaloid
Glucose,C9H24N1O10,957.84,6.61,57.606,Organic Compound
Ethanol,C4H28N3O6,317.41,11.81,60.319,Lipid
Urea,C18H34N2O4,103.19,9.27,507.488,Alkaloid
Glucose,C18H4N4O10,553.96,13.48,260.733,Alcohol
Serotonin,C9H14N2O1,367.6,3.12,746.553,Lipid
Cholesterol,C11H28N1O1,913.5,8.65,321.001,Neurotransmitter
Serotonin,C17H25N4O4,121.47,3.38,140.676,Hormone
Aspirin,C1H2N5O4,285.81,13.81,61.566,Alkaloid
Caffeine,C13H10N4O5,880.68,11.64,342.7,Alcohol
Urea,C19H31N3O1,162.92,6.86,305.01,Lipid
Adenosine triphosphate,C7H3N5O4,949.13,12.76,651.652,Alcohol
Adenosine triphosphate,C12H38N5O6,515.45,12.61,57.537,Carbohydrate
Adrenaline,C8H1N2O4,128.63,7.92,97.118,Organic Compound
Serotonin,C5H2N2O5,643.22,N/A,435.418,Alcohol
Aspirin,C6H14N4O1,444.91,3.06,666.097,Neurotransmitter
Adrenaline,C14H16N0O1,973.85,4.96,372.063,Neurotransmitter
Glucose,C2H3N4O3,93.76,10.77,509.734,Amide
Ethanol,C2H16N0O8,392.77,N/A,82.202,Neurotransmitter
