compound,formula,mw,pka,solubility_mg_ml,class
Ethanol,C3H26N0O2,329.68,2.6,763.642,Amide
Dopamine,C3H23N0O0,512.98,13.68,722.462,Nucleotide
Caffeine,C20H38N3O2,645.57,3.39,572.119,Alkaloid
Urea,C18H35N0O6,498.77,3.59,766.898,Alkaloid
Ethanol,C4H37N4O0,376.92,N/A,43.086,Amide
Urea,C13H8N3O2,220.7,2.7,553.122,Lipid
Adenosine triphosphate,C5H9N2O8,632.04,11.53,637.957,Neurotransmitter
Glucose,C15H25N0O10,932.23,13.28,613.922,Nucleotide
Cholesterol,C5H30N1O6,498.11,12.83,232.501,Hormone
Glucose,C3H18N1O2,967.43,13.33,723.123,Carbohydrate
Urea,C4H4N0O5,307.41,N/A,716.915,Organic Compound
Urea,C1H18N1O6,585.55,3.84,683.839,Organic Compound
Urea,C13H17N2O1,545.76,9.82,515.897,Amide
Urea,C7H10N0O6,413.36,11.63,335.736,Alcohol
Urea,C7H35N2O7,841.17,8.93,993.247,Alcohol
Caffeine,C3H33N5O8,868.1,10.45,231.064,Organic Compound
Serotonin,C14H19N2O1,685.29,12.78,913.071,Amide
Serotonin,C10H31N4O5,695.23,2.22,792.644,Lipid
Urea,C9H28N1O2,704.08,9.27,244.954,Carbohydrate
Adenosine triphosphate,C10H5N4O0,694.83,12.91,967.266,Nucleotide
Serotonin,C18H21N2O10,231.5,2.23,626.968,Carbohydrate
Adenosine triphosphate,C14H22N3O6,539.15,7.32,596.992,Neurotransmitter
Serotonin,C3H4N2O0,719.27,11.96,827.547,Alkaloid
Caffeine,C2H18N4O5,683.68,11.43,912.31,Hormone
Urea,C13H6N0O5,957.53,9.43,435.351,Nucleotide
Ethanol,C13H2N1O9,540.01,N/A,567.906,Nucleotide
Serotonin,C16H25N4O9,668.65,N/A,377.437,Nucleotide
Adenosine triphosphate,C3H11N2O10,549.97,N/A,284.856,Hormone
Caffeine,C14H12N0O3,87.58,5.99,782.911,Amide
Serotonin,C10H15N1O8,88.8,11.27,259.047,Amide
Caffeine,C13H16N4O9,902.27,7.37,291.633,Organic Compound
Dopamine,C20H12N1O3,444.42,8.81,450.464,Alcohol
Caffeine,C17H10N4O5,551.41,N/A,108.91,Neurotransmitter
Aspirin,C17H29N1O7,136.94,5.87,836.775,Alkaloid
Serotonin,C14H22N4O8,996.25,3.77,199.919,Alcohol
Serotonin,C18H14N3O0,301.52,2.6,392.665,Alkaloid
Ethanol,C7H3N2O8,79.66,8.23,869.722,Nucleotide
Glucose,C12H14N0O5,995.7,3.57,130.882,Neurotransmitter
Glucose,C10H27N3O3,660.23,9.51,205.779,Amide
Caffeine,C16H40N4O6,781.97,N/A,774.576,Amide
Adenosine triphosphate,C19H30N3O0,544.82,4.07,112.412,Amide
Adenosine triphosphate,C2H1N5O3,484.91,13.86,543.271,Alkaloid
Dopamine,C17H21N0O0,92.62,N/A,199.043,Nucleotide
Cholesterol,C12H36N4O2,632.04,N/A,777.818,Nucleotide
Glucose,C5H12N0O7,284.68,5.08,26.286,Nucleotide
Dopamine,C7H17N0O1,844.98,5.89,826.466,Carbohydrate
Adrenaline,C2H34N2O4,807.37,N/A,722.426,Organic Compound
Adenosine triphosphate,C19H33N0O3,185.09,9.81,256.383,Organic Compound
Caffeine,C12H4N5O4,820.89,5.41,179.908,Carbohydrate
Adrenaline,C3H19N5O7,630.81,6.88,288.445,Carbohydrate
Aspirin,C7H35N4O1,377.95,8.61,809.433,Amide
Ethanol,C17H23N0O8,134.78,6.5,820.862,Amide
